dataset,fold,K,subject_id,n_observations,harm_rate,mean_H,same_auroc,same_spearman,same_sign_accuracy,different_auroc,different_spearman,different_sign_accuracy,permuted_auroc,permuted_spearman,permuted_sign_accuracy,random_auroc,random_spearman,random_sign_accuracy
OpenBMI,0,1,8,1,0.0,-0.0003659725189208,,,1.0,,,0.0,,,1.0,,,0.0
OpenBMI,0,2,1,2,1.0,0.0006750524044036692,,1.0,1.0,,1.0,0.5,,-1.0,0.5,,1.0,0.5
OpenBMI,0,2,10,1,1.0,0.0002328753471374,,,0.0,,,1.0,,,1.0,,,1.0
OpenBMI,0,2,11,1,0.0,-0.0005924403667449,,,0.0,,,0.0,,,1.0,,,0.0
OpenBMI,0,2,12,1,1.0,0.0003437995910644,,,1.0,,,1.0,,,0.0,,,1.0
OpenBMI,0,2,15,1,0.0,-5.1334500312805176e-05,,,0.0,,,0.0,,,1.0,,,0.0
OpenBMI,0,2,16,1,0.0,-0.0002306997776031,,,0.0,,,1.0,,,1.0,,,1.0
OpenBMI,0,2,17,1,1.0,0.0002172887325286,,,1.0,,,1.0,,,1.0,,,0.0
OpenBMI,0,2,18,2,0.0,-0.0002701282501220408,,1.0,0.5,,-1.0,0.0,,-1.0,0.5,,-1.0,0.0
OpenBMI,0,2,22,1,0.0,-0.0006333887577056,,,0.0,,,0.0,,,0.0,,,1.0
OpenBMI,0,2,24,1,1.0,0.0001686811447143,,,1.0,,,0.0,,,0.0,,,0.0
OpenBMI,0,2,25,1,0.0,-0.0002347528934478,,,0.0,,,0.0,,,1.0,,,1.0
OpenBMI,0,2,26,2,0.5,0.00011208653450014999,1.0,1.0,0.5,1.0,1.0,0.5,0.0,-1.0,0.5,1.0,1.0,0.5
OpenBMI,0,2,27,1,1.0,2.9414892196655277e-05,,,0.0,,,0.0,,,1.0,,,1.0
OpenBMI,0,2,28,1,0.0,-0.0001467168331146,,,1.0,,,1.0,,,0.0,,,1.0
OpenBMI,0,2,29,1,1.0,4.70280647277832e-05,,,1.0,,,1.0,,,0.0,,,1.0
OpenBMI,0,2,30,1,0.0,-0.0002152323722839,,,1.0,,,1.0,,,0.0,,,1.0
OpenBMI,0,2,31,2,0.5,8.822232484815e-05,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0
OpenBMI,0,2,34,1,1.0,0.0005300045013427,,,1.0,,,1.0,,,1.0,,,0.0
OpenBMI,0,2,35,1,0.0,-0.0002155900001525,,,0.0,,,0.0,,,0.0,,,1.0
OpenBMI,0,2,37,2,1.0,0.0006852895021438408,,1.0,1.0,,-1.0,0.5,,1.0,1.0,,-1.0,0.5
OpenBMI,0,2,38,1,1.0,0.0002043545246124,,,0.0,,,1.0,,,1.0,,,0.0
OpenBMI,0,2,4,1,0.0,-8.64863395690918e-05,,,1.0,,,1.0,,,1.0,,,1.0
OpenBMI,0,2,41,1,1.0,0.000544935464859,,,1.0,,,0.0,,,1.0,,,0.0
OpenBMI,0,2,42,1,0.0,-5.7309865951538086e-05,,,1.0,,,1.0,,,0.0,,,0.0
OpenBMI,0,2,43,1,0.0,-4.017353057861328e-05,,,0.0,,,1.0,,,0.0,,,0.0
OpenBMI,0,2,44,1,0.0,-0.0003627240657806,,,1.0,,,0.0,,,0.0,,,1.0
OpenBMI,0,2,45,1,0.0,-0.0001780986785888,,,1.0,,,0.0,,,0.0,,,0.0
OpenBMI,0,2,46,1,1.0,7.894635200500488e-05,,,1.0,,,0.0,,,0.0,,,0.0
OpenBMI,0,2,5,2,0.0,-0.00014380365610115,,-1.0,0.5,,-1.0,0.5,,-1.0,0.5,,1.0,0.5
OpenBMI,0,2,51,2,0.5,-0.000571645796299,1.0,1.0,1.0,0.0,-1.0,0.5,0.0,-1.0,0.5,1.0,1.0,1.0
OpenBMI,0,2,52,1,0.0,-3.734230995178223e-05,,,0.0,,,0.0,,,0.0,,,1.0
OpenBMI,0,2,54,2,0.0,-0.0002995431423187,,-1.0,1.0,,-1.0,0.0,,1.0,0.5,,1.0,1.0
OpenBMI,0,2,6,1,1.0,0.0001379624009132,,,0.0,,,1.0,,,0.0,,,0.0
OpenBMI,0,2,7,2,0.5,0.00025402009487155,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,0.5,0.0,-1.0,0.0
OpenBMI,0,2,8,1,0.0,-0.0003659725189208,,,1.0,,,1.0,,,1.0,,,1.0
OpenBMI,0,4,1,2,1.0,0.0006750524044036692,,1.0,1.0,,1.0,0.0,,1.0,1.0,,-1.0,0.5
OpenBMI,0,4,10,1,1.0,0.0002328753471374,,,0.0,,,0.0,,,1.0,,,1.0
OpenBMI,0,4,11,1,0.0,-0.0005924403667449,,,1.0,,,0.0,,,1.0,,,0.0
OpenBMI,0,4,12,1,1.0,0.0003437995910644,,,0.0,,,0.0,,,0.0,,,1.0
OpenBMI,0,4,15,1,0.0,-5.1334500312805176e-05,,,0.0,,,1.0,,,1.0,,,1.0
OpenBMI,0,4,16,1,0.0,-0.0002306997776031,,,1.0,,,1.0,,,1.0,,,1.0
OpenBMI,0,4,17,1,1.0,0.0002172887325286,,,1.0,,,1.0,,,1.0,,,1.0
OpenBMI,0,4,18,2,0.0,-0.0002701282501220408,,1.0,0.5,,-1.0,0.0,,-1.0,0.5,,1.0,0.5
OpenBMI,0,4,22,1,0.0,-0.0006333887577056,,,1.0,,,0.0,,,0.0,,,1.0
OpenBMI,0,4,24,1,1.0,0.0001686811447143,,,1.0,,,0.0,,,0.0,,,1.0
OpenBMI,0,4,25,1,0.0,-0.0002347528934478,,,0.0,,,0.0,,,1.0,,,1.0
OpenBMI,0,4,26,2,0.5,0.00011208653450014999,1.0,1.0,0.5,1.0,1.0,1.0,0.0,-1.0,0.5,1.0,1.0,0.5
OpenBMI,0,4,27,1,1.0,2.9414892196655277e-05,,,0.0,,,0.0,,,0.0,,,0.0
OpenBMI,0,4,28,1,0.0,-0.0001467168331146,,,1.0,,,1.0,,,1.0,,,0.0
OpenBMI,0,4,29,1,1.0,4.70280647277832e-05,,,1.0,,,1.0,,,0.0,,,1.0
OpenBMI,0,4,30,1,0.0,-0.0002152323722839,,,1.0,,,1.0,,,1.0,,,1.0
OpenBMI,0,4,31,2,0.5,8.822232484815e-05,1.0,1.0,1.0,0.0,-1.0,0.0,1.0,1.0,0.5,0.0,-1.0,0.0
OpenBMI,0,4,34,1,1.0,0.0005300045013427,,,1.0,,,1.0,,,1.0,,,0.0
OpenBMI,0,4,35,1,0.0,-0.0002155900001525,,,0.0,,,0.0,,,0.0,,,1.0
OpenBMI,0,4,37,2,1.0,0.0006852895021438408,,-1.0,0.5,,-1.0,1.0,,-1.0,1.0,,1.0,1.0
OpenBMI,0,4,38,1,1.0,0.0002043545246124,,,0.0,,,1.0,,,1.0,,,1.0
OpenBMI,0,4,4,1,0.0,-8.64863395690918e-05,,,1.0,,,1.0,,,1.0,,,1.0
OpenBMI,0,4,41,1,1.0,0.000544935464859,,,1.0,,,0.0,,,1.0,,,0.0
OpenBMI,0,4,42,1,0.0,-5.7309865951538086e-05,,,1.0,,,1.0,,,0.0,,,0.0
OpenBMI,0,4,43,1,0.0,-4.017353057861328e-05,,,0.0,,,1.0,,,1.0,,,1.0
OpenBMI,0,4,44,1,0.0,-0.0003627240657806,,,1.0,,,0.0,,,0.0,,,1.0
OpenBMI,0,4,45,1,0.0,-0.0001780986785888,,,1.0,,,0.0,,,0.0,,,1.0
OpenBMI,0,4,46,1,1.0,7.894635200500488e-05,,,1.0,,,0.0,,,0.0,,,1.0
OpenBMI,0,4,5,2,0.0,-0.00014380365610115,,-1.0,1.0,,-1.0,0.5,,-1.0,0.5,,1.0,0.5
OpenBMI,0,4,51,2,0.5,-0.000571645796299,1.0,1.0,0.5,0.0,-1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5
OpenBMI,0,4,52,1,0.0,-3.734230995178223e-05,,,0.0,,,0.0,,,0.0,,,0.0
OpenBMI,0,4,54,2,0.0,-0.0002995431423187,,-1.0,0.5,,-1.0,0.0,,1.0,0.0,,-1.0,0.5
OpenBMI,0,4,6,1,1.0,0.0001379624009132,,,0.0,,,0.0,,,0.0,,,1.0
OpenBMI,0,4,7,2,0.5,0.00025402009487155,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.5
OpenBMI,0,4,8,1,0.0,-0.0003659725189208,,,1.0,,,1.0,,,1.0,,,0.0
OpenBMI,1,1,12,1,1.0,0.0002022981643676,,,0.0,,,1.0,,,1.0,,,0.0
OpenBMI,1,1,14,1,1.0,0.0001047849655151,,,1.0,,,1.0,,,0.0,,,0.0
OpenBMI,1,1,15,1,0.0,-8.291006088256836e-05,,,0.0,,,1.0,,,0.0,,,1.0
OpenBMI,1,1,18,2,1.0,0.0008066371083259,,-1.0,0.5,,-1.0,0.0,,-1.0,0.0,,1.0,0.5
OpenBMI,1,1,19,1,0.0,-0.0008027851581573,,,1.0,,,0.0,,,0.0,,,1.0
OpenBMI,1,1,2,1,0.0,-4.899501800537109e-05,,,0.0,,,0.0,,,0.0,,,0.0
OpenBMI,1,1,20,1,1.0,5.9723854064941406e-05,,,1.0,,,0.0,,,1.0,,,0.0
OpenBMI,1,1,21,1,1.0,2.393871545791626e-05,,,1.0,,,1.0,,,1.0,,,0.0
OpenBMI,1,1,22,2,1.0,0.0008061230182647688,,-1.0,0.0,,-1.0,0.5,,-1.0,0.0,,1.0,0.0
OpenBMI,1,1,23,1,1.0,0.0001465678215026,,,1.0,,,1.0,,,0.0,,,1.0
OpenBMI,1,1,24,2,0.5,-0.00161272287368775,1.0,1.0,1.0,0.0,-1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0
OpenBMI,1,1,26,1,1.0,0.0001729726791381,,,0.0,,,0.0,,,1.0,,,0.0
OpenBMI,1,1,27,1,1.0,4.291534423828125e-06,,,0.0,,,1.0,,,0.0,,,0.0
OpenBMI,1,1,29,1,0.0,-0.0001934170722961,,,0.0,,,1.0,,,1.0,,,0.0
OpenBMI,1,1,3,1,1.0,0.0003957897424697,,,1.0,,,0.0,,,0.0,,,0.0
OpenBMI,1,1,30,2,1.0,0.0003720968961715,,1.0,1.0,,-1.0,0.5,,1.0,1.0,,-1.0,0.0
OpenBMI,1,1,31,1,0.0,-0.0004305392503738,,,1.0,,,0.0,,,1.0,,,0.0
OpenBMI,1,1,32,1,0.0,-0.000116616487503,,,1.0,,,0.0,,,0.0,,,1.0
OpenBMI,1,1,36,2,0.5,-0.00033896043896675,1.0,1.0,1.0,1.0,1.0,0.5,0.0,-1.0,0.0,1.0,1.0,0.5
OpenBMI,1,1,37,1,1.0,0.0003624856472015,,,1.0,,,0.0,,,1.0,,,0.0
OpenBMI,1,1,38,1,1.0,0.0002332627773284,,,1.0,,,0.0,,,1.0,,,0.0
OpenBMI,1,1,39,1,1.0,0.0001324564218521,,,0.0,,,1.0,,,0.0,,,1.0
OpenBMI,1,1,4,1,0.0,-0.0003645122051239,,,1.0,,,1.0,,,0.0,,,1.0
OpenBMI,1,1,40,1,0.0,-0.0002608299255371,,,1.0,,,0.0,,,0.0,,,0.0
OpenBMI,1,1,44,1,1.0,0.0001645535230636,,,1.0,,,1.0,,,1.0,,,0.0
OpenBMI,1,1,46,2,0.5,-0.0006372034549713001,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
OpenBMI,1,1,47,2,0.5,-0.00013336166739463137,1.0,1.0,0.5,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5
OpenBMI,1,1,49,2,0.5,0.00044966489076615003,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,0.5
OpenBMI,1,1,50,1,1.0,0.0006024837493896,,,1.0,,,1.0,,,0.0,,,1.0
OpenBMI,1,1,51,1,0.0,-0.0001328587532043,,,0.0,,,0.0,,,0.0,,,1.0
OpenBMI,1,1,52,1,0.0,-5.495548248291016e-05,,,0.0,,,1.0,,,1.0,,,0.0
OpenBMI,1,1,53,1,0.0,-0.0004830658435821,,,0.0,,,1.0,,,0.0,,,0.0
OpenBMI,1,1,54,1,0.0,-0.00022754073143,,,0.0,,,0.0,,,1.0,,,0.0
OpenBMI,1,1,7,2,0.5,-6.692111492155001e-05,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,0.0
OpenBMI,1,1,8,1,1.0,0.0002164840698242,,,0.0,,,1.0,,,1.0,,,0.0
OpenBMI,1,2,12,1,1.0,0.0002022981643676,,,0.0,,,1.0,,,1.0,,,1.0
OpenBMI,1,2,14,1,1.0,0.0001047849655151,,,1.0,,,0.0,,,0.0,,,0.0
OpenBMI,1,2,15,1,0.0,-8.291006088256836e-05,,,1.0,,,1.0,,,0.0,,,1.0
OpenBMI,1,2,18,2,1.0,0.0008066371083259,,-1.0,0.5,,1.0,0.0,,-1.0,0.5,,1.0,1.0
OpenBMI,1,2,19,1,0.0,-0.0008027851581573,,,1.0,,,0.0,,,1.0,,,1.0
OpenBMI,1,2,2,1,0.0,-4.899501800537109e-05,,,0.0,,,1.0,,,0.0,,,1.0
OpenBMI,1,2,20,1,1.0,5.9723854064941406e-05,,,1.0,,,1.0,,,1.0,,,0.0
OpenBMI,1,2,21,1,1.0,2.393871545791626e-05,,,1.0,,,1.0,,,1.0,,,0.0
OpenBMI,1,2,22,2,1.0,0.0008061230182647688,,1.0,0.0,,-1.0,0.5,,-1.0,0.0,,-1.0,0.0
OpenBMI,1,2,23,1,1.0,0.0001465678215026,,,1.0,,,1.0,,,0.0,,,0.0
OpenBMI,1,2,24,2,0.5,-0.00161272287368775,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.0,-1.0,0.5
OpenBMI,1,2,26,1,1.0,0.0001729726791381,,,1.0,,,0.0,,,0.0,,,0.0
OpenBMI,1,2,27,1,1.0,4.291534423828125e-06,,,0.0,,,1.0,,,0.0,,,0.0
OpenBMI,1,2,29,1,0.0,-0.0001934170722961,,,0.0,,,1.0,,,1.0,,,1.0
OpenBMI,1,2,3,1,1.0,0.0003957897424697,,,0.0,,,0.0,,,0.0,,,0.0
OpenBMI,1,2,30,2,1.0,0.0003720968961715,,-1.0,1.0,,-1.0,0.5,,1.0,1.0,,-1.0,0.0
OpenBMI,1,2,31,1,0.0,-0.0004305392503738,,,1.0,,,0.0,,,1.0,,,1.0
OpenBMI,1,2,32,1,0.0,-0.000116616487503,,,1.0,,,1.0,,,0.0,,,0.0
OpenBMI,1,2,36,2,0.5,-0.00033896043896675,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,0.5
OpenBMI,1,2,37,1,1.0,0.0003624856472015,,,1.0,,,0.0,,,1.0,,,1.0
OpenBMI,1,2,38,1,1.0,0.0002332627773284,,,1.0,,,0.0,,,1.0,,,1.0
OpenBMI,1,2,39,1,1.0,0.0001324564218521,,,0.0,,,0.0,,,1.0,,,0.0
OpenBMI,1,2,4,1,0.0,-0.0003645122051239,,,1.0,,,1.0,,,1.0,,,1.0
OpenBMI,1,2,40,1,0.0,-0.0002608299255371,,,1.0,,,0.0,,,0.0,,,1.0
OpenBMI,1,2,44,1,1.0,0.0001645535230636,,,0.0,,,1.0,,,1.0,,,0.0
OpenBMI,1,2,46,2,0.5,-0.0006372034549713001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OpenBMI,1,2,47,2,0.5,-0.00013336166739463137,1.0,1.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,-1.0,0.5
OpenBMI,1,2,49,2,0.5,0.00044966489076615003,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,0.5
OpenBMI,1,2,50,1,1.0,0.0006024837493896,,,1.0,,,1.0,,,0.0,,,0.0
OpenBMI,1,2,51,1,0.0,-0.0001328587532043,,,0.0,,,0.0,,,0.0,,,1.0
OpenBMI,1,2,52,1,0.0,-5.495548248291016e-05,,,0.0,,,1.0,,,1.0,,,1.0
OpenBMI,1,2,53,1,0.0,-0.0004830658435821,,,0.0,,,1.0,,,0.0,,,0.0
OpenBMI,1,2,54,1,0.0,-0.00022754073143,,,1.0,,,0.0,,,1.0,,,1.0
OpenBMI,1,2,7,2,0.5,-6.692111492155001e-05,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5
OpenBMI,1,2,8,1,1.0,0.0002164840698242,,,0.0,,,1.0,,,0.0,,,0.0
OpenBMI,1,4,12,1,1.0,0.0002022981643676,,,0.0,,,1.0,,,0.0,,,0.0
OpenBMI,1,4,14,1,1.0,0.0001047849655151,,,1.0,,,0.0,,,0.0,,,0.0
OpenBMI,1,4,15,1,0.0,-8.291006088256836e-05,,,1.0,,,1.0,,,0.0,,,0.0
OpenBMI,1,4,18,2,1.0,0.0008066371083259,,1.0,1.0,,1.0,0.0,,-1.0,0.5,,1.0,1.0
OpenBMI,1,4,19,1,0.0,-0.0008027851581573,,,1.0,,,0.0,,,0.0,,,0.0
OpenBMI,1,4,2,1,0.0,-4.899501800537109e-05,,,0.0,,,1.0,,,0.0,,,1.0
OpenBMI,1,4,20,1,1.0,5.9723854064941406e-05,,,1.0,,,1.0,,,1.0,,,0.0
OpenBMI,1,4,21,1,1.0,2.393871545791626e-05,,,1.0,,,1.0,,,0.0,,,1.0
OpenBMI,1,4,22,2,1.0,0.0008061230182647688,,1.0,0.0,,-1.0,0.5,,-1.0,0.0,,-1.0,0.0
OpenBMI,1,4,23,1,1.0,0.0001465678215026,,,1.0,,,0.0,,,0.0,,,0.0
OpenBMI,1,4,24,2,0.5,-0.00161272287368775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,-1.0,0.0
OpenBMI,1,4,26,1,1.0,0.0001729726791381,,,1.0,,,0.0,,,0.0,,,1.0
OpenBMI,1,4,27,1,1.0,4.291534423828125e-06,,,0.0,,,1.0,,,0.0,,,1.0
OpenBMI,1,4,29,1,0.0,-0.0001934170722961,,,1.0,,,1.0,,,1.0,,,1.0
OpenBMI,1,4,3,1,1.0,0.0003957897424697,,,0.0,,,0.0,,,0.0,,,1.0
OpenBMI,1,4,30,2,1.0,0.0003720968961715,,-1.0,0.5,,-1.0,0.5,,1.0,1.0,,1.0,0.5
OpenBMI,1,4,31,1,0.0,-0.0004305392503738,,,1.0,,,0.0,,,1.0,,,1.0
OpenBMI,1,4,32,1,0.0,-0.000116616487503,,,1.0,,,0.0,,,0.0,,,1.0
OpenBMI,1,4,36,2,0.5,-0.00033896043896675,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,0.0
OpenBMI,1,4,37,1,1.0,0.0003624856472015,,,1.0,,,0.0,,,1.0,,,0.0
OpenBMI,1,4,38,1,1.0,0.0002332627773284,,,1.0,,,0.0,,,1.0,,,0.0
OpenBMI,1,4,39,1,1.0,0.0001324564218521,,,0.0,,,1.0,,,1.0,,,1.0
OpenBMI,1,4,4,1,0.0,-0.0003645122051239,,,1.0,,,1.0,,,0.0,,,1.0
OpenBMI,1,4,40,1,0.0,-0.0002608299255371,,,1.0,,,0.0,,,1.0,,,1.0
OpenBMI,1,4,44,1,1.0,0.0001645535230636,,,1.0,,,0.0,,,1.0,,,0.0
OpenBMI,1,4,46,2,0.5,-0.0006372034549713001,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.5,0.0,-1.0,0.0
OpenBMI,1,4,47,2,0.5,-0.00013336166739463137,1.0,1.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,-1.0,0.0
OpenBMI,1,4,49,2,0.5,0.00044966489076615003,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,0.5
OpenBMI,1,4,50,1,1.0,0.0006024837493896,,,1.0,,,0.0,,,0.0,,,0.0
OpenBMI,1,4,51,1,0.0,-0.0001328587532043,,,1.0,,,1.0,,,1.0,,,0.0
OpenBMI,1,4,52,1,0.0,-5.495548248291016e-05,,,1.0,,,1.0,,,1.0,,,1.0
OpenBMI,1,4,53,1,0.0,-0.0004830658435821,,,1.0,,,1.0,,,0.0,,,1.0
OpenBMI,1,4,54,1,0.0,-0.00022754073143,,,0.0,,,0.0,,,1.0,,,1.0
OpenBMI,1,4,7,2,0.5,-6.692111492155001e-05,0.0,-1.0,0.0,0.0,-1.0,0.5,1.0,1.0,1.0,0.0,-1.0,0.5
OpenBMI,1,4,8,1,1.0,0.0002164840698242,,,0.0,,,1.0,,,0.0,,,0.0
OpenBMI,2,1,11,2,0.5,-0.00024044513702390003,0.0,-1.0,0.0,0.0,-1.0,0.5,0.0,-1.0,0.5,0.0,-1.0,0.0
OpenBMI,2,1,12,1,0.0,-0.0001106262207031,,,1.0,,,1.0,,,0.0,,,0.0
OpenBMI,2,1,13,1,1.0,0.0002408623695373,,,0.0,,,1.0,,,0.0,,,0.0
OpenBMI,2,1,14,1,0.0,-0.0004716515541076,,,0.0,,,0.0,,,1.0,,,1.0
OpenBMI,2,1,15,1,0.0,-2.282857894897461e-05,,,1.0,,,1.0,,,0.0,,,1.0
OpenBMI,2,1,16,2,0.5,-3.378093242645117e-05,0.0,-1.0,0.5,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
OpenBMI,2,1,17,2,0.5,1.2964010238647427e-06,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.5
OpenBMI,2,1,2,1,1.0,0.0001867711544036,,,1.0,,,1.0,,,0.0,,,1.0
OpenBMI,2,1,20,1,1.0,0.0001634955406188,,,1.0,,,1.0,,,0.0,,,0.0
OpenBMI,2,1,21,2,0.5,0.0004139831289648686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OpenBMI,2,1,23,1,0.0,-0.0004095137119293,,,1.0,,,1.0,,,1.0,,,0.0
OpenBMI,2,1,24,1,0.0,-0.0011904537677764,,,1.0,,,0.0,,,0.0,,,0.0
OpenBMI,2,1,25,1,0.0,-9.63360071182251e-06,,,0.0,,,1.0,,,1.0,,,0.0
OpenBMI,2,1,27,1,0.0,-0.0001716166734695,,,0.0,,,0.0,,,0.0,,,0.0
OpenBMI,2,1,28,1,0.0,-0.0004283860325813,,,1.0,,,0.0,,,1.0,,,1.0
OpenBMI,2,1,3,2,0.5,0.00105273723602295,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0
OpenBMI,2,1,30,1,0.0,-0.0003642737865447,,,1.0,,,0.0,,,0.0,,,1.0
OpenBMI,2,1,31,1,0.0,-7.975101470947266e-05,,,0.0,,,0.0,,,1.0,,,1.0
OpenBMI,2,1,32,1,0.0,-0.0001452565193176,,,0.0,,,1.0,,,0.0,,,0.0
OpenBMI,2,1,33,1,0.0,-0.0001779943704605,,,1.0,,,0.0,,,0.0,,,0.0
OpenBMI,2,1,35,2,0.5,-6.65858387947e-05,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.5,0.0,-1.0,0.5
OpenBMI,2,1,37,1,1.0,0.0005984902381896,,,1.0,,,0.0,,,1.0,,,1.0
OpenBMI,2,1,40,1,0.0,-0.0001376867294311,,,0.0,,,0.0,,,1.0,,,0.0
OpenBMI,2,1,41,1,1.0,0.0001382529735565,,,1.0,,,0.0,,,1.0,,,0.0
OpenBMI,2,1,42,1,1.0,0.0001221299171447,,,0.0,,,0.0,,,1.0,,,0.0
