fold,task,intervention,balanced_accuracy,delta,selected_c,n_test_subjects,probe_epochs,probe_refit
2,mi,erase_UM,0.6668181818181818,-0.015000000000000124,0.1,11,1,True
2,mi,erase_UL+UM,0.6713636363636364,-0.010454545454545494,0.1,11,1,True
2,mi,UL_only,0.6727272727272727,-0.00909090909090915,0.1,11,1,True
2,mi,UM_only,0.6540909090909091,-0.027727272727272823,0.1,11,1,True
2,mi,residualized,0.6868181818181818,0.004999999999999893,0.1,11,1,True
2,erp,raw,0.6496920359271939,0.0,0.01,11,1,True
2,erp,erase_UL,0.64779097876779,-0.0019010571594039183,0.01,11,1,True
2,erp,erase_UM,0.6439481728013969,-0.005743863125797,0.01,11,1,True
2,erp,erase_UL+UM,0.6407936774282954,-0.008898358498898529,0.01,11,1,True
2,erp,UL_only,0.5594425777425434,-0.09024945818465058,0.01,11,1,True
2,erp,UM_only,0.5518651068941711,-0.09782692903302281,0.01,11,1,True
2,erp,residualized,0.6499543336007025,0.00026229767350860467,0.01,11,1,True
2,ssvep,raw,0.9286363636363636,0.0,100.0,11,1,True
2,ssvep,erase_UL,0.9254545454545455,-0.0031818181818180635,100.0,11,1,True
2,ssvep,erase_UM,0.9236363636363636,-0.0050000000000000044,100.0,11,1,True
2,ssvep,erase_UL+UM,0.9004545454545454,-0.028181818181818197,100.0,11,1,True
2,ssvep,UL_only,0.8931818181818182,-0.035454545454545405,100.0,11,1,True
2,ssvep,UM_only,0.9145454545454546,-0.014090909090909043,100.0,11,1,True
2,ssvep,residualized,0.9313636363636364,0.0027272727272728003,100.0,11,1,True
3,mi,raw,0.7404545454545455,0.0,0.1,11,1,True
3,mi,erase_UL,0.6799999999999999,-0.06045454545454554,0.1,11,1,True
3,mi,erase_UM,0.6909090909090909,-0.04954545454545456,0.1,11,1,True
3,mi,erase_UL+UM,0.6845454545454546,-0.05590909090909091,0.1,11,1,True
3,mi,UL_only,0.7354545454545455,-0.0050000000000000044,0.1,11,1,True
3,mi,UM_only,0.7340909090909091,-0.006363636363636349,0.1,11,1,True
3,mi,residualized,0.7386363636363636,-0.0018181818181818299,0.1,11,1,True
3,erp,raw,0.6560743801652893,0.0,10.0,11,1,True
3,erp,erase_UL,0.6537465564738292,-0.002327823691460118,10.0,11,1,True
3,erp,erase_UM,0.6525068870523416,-0.003567493112947684,10.0,11,1,True
3,erp,erase_UL+UM,0.6458539944903581,-0.01022038567493122,10.0,11,1,True
3,erp,UL_only,0.5275206611570248,-0.1285537190082645,10.0,11,1,True
3,erp,UM_only,0.5827134986225895,-0.07336088154269982,10.0,11,1,True
3,erp,residualized,0.6556473829201102,-0.0004269972451791393,10.0,11,1,True
3,ssvep,raw,0.9381818181818182,0.0,0.1,11,1,True
3,ssvep,erase_UL,0.9318181818181819,-0.006363636363636349,0.1,11,1,True
3,ssvep,erase_UM,0.9286363636363637,-0.009545454545454524,0.1,11,1,True
3,ssvep,erase_UL+UM,0.9140909090909091,-0.024090909090909163,0.1,11,1,True
3,ssvep,UL_only,0.8140909090909092,-0.12409090909090903,0.1,11,1,True
3,ssvep,UM_only,0.9159090909090909,-0.022272727272727333,0.1,11,1,True
3,ssvep,residualized,0.9418181818181818,0.0036363636363635488,0.1,11,1,True
4,mi,raw,0.7585,0.0,0.1,10,1,True
4,mi,erase_UL,0.667,-0.09149999999999991,0.1,10,1,True
4,mi,erase_UM,0.6619999999999999,-0.09650000000000003,0.1,10,1,True
4,mi,erase_UL+UM,0.656,-0.10249999999999992,0.1,10,1,True
4,mi,UL_only,0.756,-0.0024999999999999467,0.1,10,1,True
4,mi,UM_only,0.772,0.013500000000000068,0.1,10,1,True
4,mi,residualized,0.765,0.006500000000000061,0.1,10,1,True
4,erp,raw,0.6451818181818182,0.0,1.0,10,1,True
4,erp,erase_UL,0.6445606060606062,-0.0006212121212120225,1.0,10,1,True
4,erp,erase_UM,0.6445000000000001,-0.0006818181818181168,1.0,10,1,True
4,erp,erase_UL+UM,0.6270909090909091,-0.018090909090909046,1.0,10,1,True
4,erp,UL_only,0.5513787878787879,-0.09380303030303028,1.0,10,1,True
4,erp,UM_only,0.5512878787878788,-0.09389393939393942,1.0,10,1,True
4,erp,residualized,0.6478484848484849,0.002666666666666706,1.0,10,1,True
4,ssvep,raw,0.9215000000000001,0.0,10.0,10,1,True
4,ssvep,erase_UL,0.9075,-0.014000000000000123,10.0,10,1,True
4,ssvep,erase_UM,0.91,-0.011500000000000066,10.0,10,1,True
4,ssvep,erase_UL+UM,0.8985000000000001,-0.02300000000000002,10.0,10,1,True
4,ssvep,UL_only,0.8915000000000001,-0.030000000000000027,10.0,10,1,True
4,ssvep,UM_only,0.9175,-0.004000000000000115,10.0,10,1,True
4,ssvep,residualized,0.9185,-0.0030000000000001137,10.0,10,1,True
0,erp,random_same_rank,0.6492438016528925,-0.0005771349862260244,1.0,11,1,True
0,mi,random_same_rank,0.7611863636363637,0.0002772727272727371,10.0,11,1,True
0,ssvep,random_same_rank,0.9106045454545453,0.0019681818181817023,0.01,11,1,True
1,erp,random_same_rank,0.6489570247933885,-0.0007674931129475482,100.0,11,1,True
1,mi,random_same_rank,0.7409954545454545,-0.007640909090909087,0.01,11,1,True
1,ssvep,random_same_rank,0.9263909090909092,-0.0008818181818182058,100.0,11,1,True
2,erp,random_same_rank,0.6487614106043189,-0.0009306253228750228,0.01,11,1,True
2,mi,random_same_rank,0.6904636363636363,0.0086454545454544,0.1,11,1,True
2,ssvep,random_same_rank,0.9293863636363636,0.0007500000000000284,100.0,11,1,True
3,erp,random_same_rank,0.656426170798898,0.000351790633608684,10.0,11,1,True
3,mi,random_same_rank,0.7371590909090909,-0.003295454545454546,0.1,11,1,True
3,ssvep,random_same_rank,0.9388227272727272,0.0006409090909089699,0.1,11,1,True
4,erp,random_same_rank,0.6465980303030302,0.0014162121212120127,1.0,10,1,True
4,mi,random_same_rank,0.759225,0.0007250000000000867,0.1,10,1,True
4,ssvep,random_same_rank,0.919645,-0.001855000000000051,10.0,10,1,True
0,mi,pca_same_rank,0.5904545454545456,-0.17409090909090896,10.0,11,5,True
0,erp,pca_same_rank,0.6314187327823692,-0.016831955922865016,1.0,11,5,True
0,ssvep,pca_same_rank,0.7436363636363637,-0.16090909090909078,0.01,11,5,True
1,mi,pca_same_rank,0.5309090909090909,-0.21000000000000008,0.01,11,5,True
1,erp,pca_same_rank,0.6393801652892561,-0.009338842975206707,100.0,11,5,True
1,ssvep,pca_same_rank,0.8604545454545455,-0.06818181818181812,100.0,11,5,True
2,mi,pca_same_rank,0.5913636363636363,-0.10181818181818192,0.1,11,5,True
2,erp,pca_same_rank,0.6437424396907988,-0.004766746246671061,0.01,11,5,True
2,ssvep,pca_same_rank,0.8227272727272726,-0.1100000000000001,100.0,11,5,True
3,mi,pca_same_rank,0.5872727272727274,-0.14818181818181808,0.1,11,5,True
3,erp,pca_same_rank,0.651198347107438,-0.005413223140495971,10.0,11,5,True
3,ssvep,pca_same_rank,0.8345454545454545,-0.10318181818181815,0.1,11,5,True
4,mi,pca_same_rank,0.602,-0.1635000000000001,0.1,10,5,True
4,erp,pca_same_rank,0.6315606060606062,-0.01593939393939392,1.0,10,5,True
4,ssvep,pca_same_rank,0.8644999999999999,-0.05399999999999994,10.0,10,5,True
