fold,seed,batch,cos_task_vs_protected,cos_task_vs_residual,cos_task_vs_persistence,task_grad_norm,protected_grad_norm,residual_grad_norm,persistence_grad_norm,state_unchanged_before,state_unchanged_after
2,2,0,0.7324842810630798,-0.37812766432762146,0.05615302175283432,4.592920303344727,4.544635772705078,1.3082431554794312,1.7668986320495605,0a1d94ba7b6a44c47e1f1b784cbe2b86b9b10a3348e35d5317f22b5d04f0439a,True
2,2,1,0.3221941888332367,0.14733076095581055,0.23149900138378143,2.8952085971832275,1.7883508205413818,0.8480349779129028,2.6746578216552734,0a1d94ba7b6a44c47e1f1b784cbe2b86b9b10a3348e35d5317f22b5d04f0439a,True
2,2,2,0.7396227717399597,0.22766318917274475,0.39094680547714233,8.166536331176758,9.323622703552246,1.9486607313156128,1.4530904293060303,0a1d94ba7b6a44c47e1f1b784cbe2b86b9b10a3348e35d5317f22b5d04f0439a,True
3,0,0,0.5139350891113281,0.5497817993164062,-0.3352600634098053,5.148132801055908,6.519703388214111,2.7616679668426514,2.6869614124298096,0044ea2a56ad5146f493073d9d1c5427e4a29cf42eebb73e3cf9e29fbe68d685,True
3,0,1,0.7122184038162231,0.766389012336731,0.07337231934070587,4.206352233886719,3.4318325519561768,1.303383469581604,3.562349557876587,0044ea2a56ad5146f493073d9d1c5427e4a29cf42eebb73e3cf9e29fbe68d685,True
3,0,2,0.21090564131736755,0.03238006681203842,-0.23660747706890106,7.550628185272217,3.2261104583740234,0.7728158235549927,1.8727210760116577,0044ea2a56ad5146f493073d9d1c5427e4a29cf42eebb73e3cf9e29fbe68d685,True
3,1,0,-0.12683674693107605,0.22168514132499695,0.43253087997436523,5.1261091232299805,3.903956413269043,1.2893805503845215,4.065786838531494,84f3f3d74cb3f8a1f74fa9e34a42bc9d42167dfea923baee0d463b39e9440e07,True
3,1,1,0.5032750368118286,0.13951779901981354,-0.19811025261878967,4.996005535125732,2.8620564937591553,1.063947081565857,1.6909675598144531,84f3f3d74cb3f8a1f74fa9e34a42bc9d42167dfea923baee0d463b39e9440e07,True
3,1,2,0.9178789854049683,-0.05025845021009445,0.09497330337762833,7.463623046875,11.164917945861816,2.131159543991089,3.8856911659240723,84f3f3d74cb3f8a1f74fa9e34a42bc9d42167dfea923baee0d463b39e9440e07,True
3,2,0,0.6252859830856323,-0.518196702003479,-0.01497730053961277,6.470705032348633,5.858153343200684,1.5304962396621704,1.5645554065704346,be88d49928c991975b3a25fdd8693341c0d17406a454b56a33d3f81259c48af8,True
3,2,1,0.8118435144424438,-0.017271757125854492,0.24224407970905304,6.380724906921387,6.326216697692871,1.6701635122299194,1.9346449375152588,be88d49928c991975b3a25fdd8693341c0d17406a454b56a33d3f81259c48af8,True
3,2,2,0.3195662796497345,0.19939768314361572,-0.15548890829086304,4.56179666519165,3.8042285442352295,1.4173952341079712,1.2203015089035034,be88d49928c991975b3a25fdd8693341c0d17406a454b56a33d3f81259c48af8,True
4,0,0,0.4991925358772278,0.06791158765554428,-0.21731708943843842,3.842883348464966,3.022808313369751,1.9838346242904663,0.7184208035469055,f41febb0935da06de1c0aed10c6b800358713912bd79f0a6089acb824c2c876b,True
4,0,1,0.23416957259178162,0.47685497999191284,0.05914253741502762,4.050692081451416,1.7926945686340332,1.1806623935699463,1.4484646320343018,f41febb0935da06de1c0aed10c6b800358713912bd79f0a6089acb824c2c876b,True
4,0,2,0.36380305886268616,0.21666042506694794,-0.016418106853961945,4.196267127990723,2.838960647583008,1.341302752494812,1.4870713949203491,f41febb0935da06de1c0aed10c6b800358713912bd79f0a6089acb824c2c876b,True
4,1,0,0.7875348925590515,0.4606013298034668,0.1561012715101242,6.86916971206665,3.257323741912842,1.3680263757705688,2.1666886806488037,1e4adf02c31c37d1d4144e57256533aa87c39c79bea46684e4a5deb22945a15f,True
4,1,1,0.7096219062805176,0.06298404932022095,0.09351596236228943,4.134072303771973,3.149230718612671,1.6349116563796997,0.6448729634284973,1e4adf02c31c37d1d4144e57256533aa87c39c79bea46684e4a5deb22945a15f,True
