fold,seed,method,lambda,inner_validation_BA,selected,epochs
0,2,P-only-Aux,0.25,0.7512500000000001,True,33
0,2,PUD-Aux,0.05,0.7525,False,40
0,2,PUD-Aux,0.1,0.769375,False,33
0,2,PUD-Aux,0.25,0.745,True,39
1,0,Random-Aux,0.05,0.80875,False,40
1,0,Random-Aux,0.1,0.78625,False,36
1,0,Random-Aux,0.25,0.79,True,39
1,0,Identity-Aux,0.05,0.7831250000000001,False,39
1,0,Identity-Aux,0.1,0.751875,False,36
1,0,Identity-Aux,0.25,0.78625,True,40
1,0,Full-Teacher-KD-Aux,0.05,0.8206249999999999,False,38
1,0,Full-Teacher-KD-Aux,0.1,0.81,False,39
1,0,Full-Teacher-KD-Aux,0.25,0.778125,True,40
1,0,P-only-Aux,0.05,0.765625,False,37
1,0,P-only-Aux,0.1,0.7818750000000001,False,40
1,0,P-only-Aux,0.25,0.7581249999999999,True,36
1,0,PUD-Aux,0.05,0.7831250000000001,False,40
1,0,PUD-Aux,0.1,0.77625,False,36
1,0,PUD-Aux,0.25,0.7837500000000001,True,38
1,1,Random-Aux,0.05,0.7831250000000001,False,40
1,1,Random-Aux,0.1,0.8087500000000001,False,38
1,1,Random-Aux,0.25,0.764375,True,39
1,1,Identity-Aux,0.05,0.849375,False,36
1,1,Identity-Aux,0.1,0.7725000000000001,False,40
1,1,Identity-Aux,0.25,0.7825,True,39
1,1,Full-Teacher-KD-Aux,0.05,0.8174999999999999,False,40
1,1,Full-Teacher-KD-Aux,0.1,0.784375,False,38
1,1,Full-Teacher-KD-Aux,0.25,0.779375,True,37
1,1,P-only-Aux,0.05,0.77625,False,24
1,1,P-only-Aux,0.1,0.778125,False,39
1,1,P-only-Aux,0.25,0.818125,True,40
1,1,PUD-Aux,0.05,0.77,False,39
1,1,PUD-Aux,0.1,0.7831250000000001,False,40
1,1,PUD-Aux,0.25,0.8043750000000001,True,40
1,2,Random-Aux,0.05,0.830625,False,39
1,2,Random-Aux,0.1,0.7943749999999999,False,40
1,2,Random-Aux,0.25,0.789375,True,39
1,2,Identity-Aux,0.05,0.8431249999999999,False,40
1,2,Identity-Aux,0.1,0.825,False,40
1,2,Identity-Aux,0.25,0.766875,True,40
1,2,Full-Teacher-KD-Aux,0.05,0.7875,False,37
1,2,Full-Teacher-KD-Aux,0.1,0.810625,False,40
1,2,Full-Teacher-KD-Aux,0.25,0.808125,True,39
1,2,P-only-Aux,0.05,0.801875,False,38
1,2,P-only-Aux,0.1,0.778125,False,40
1,2,P-only-Aux,0.25,0.781875,True,39
1,2,PUD-Aux,0.05,0.78125,False,37
1,2,PUD-Aux,0.1,0.8043750000000001,False,37
1,2,PUD-Aux,0.25,0.80125,True,39
2,0,Random-Aux,0.05,0.7293750000000001,False,37
2,0,Random-Aux,0.1,0.718125,False,38
2,0,Random-Aux,0.25,0.71,True,32
2,0,Identity-Aux,0.05,0.7525000000000001,False,39
2,0,Identity-Aux,0.1,0.731875,False,40
2,0,Identity-Aux,0.25,0.696875,True,38
2,0,Full-Teacher-KD-Aux,0.05,0.735625,False,37
2,0,Full-Teacher-KD-Aux,0.1,0.72,False,33
2,0,Full-Teacher-KD-Aux,0.25,0.735,True,29
2,0,P-only-Aux,0.05,0.7306250000000001,False,30
2,0,P-only-Aux,0.1,0.7193750000000001,False,35
2,0,P-only-Aux,0.25,0.7325,True,39
2,0,PUD-Aux,0.05,0.7275,False,40
2,0,PUD-Aux,0.1,0.714375,False,34
2,0,PUD-Aux,0.25,0.7425,True,35
2,1,Random-Aux,0.05,0.728125,False,40
2,1,Random-Aux,0.1,0.730625,False,40
2,1,Random-Aux,0.25,0.73375,True,38
2,1,Identity-Aux,0.05,0.7225,False,31
2,1,Identity-Aux,0.1,0.721875,False,35
2,1,Identity-Aux,0.25,0.7224999999999999,True,38
2,1,Full-Teacher-KD-Aux,0.05,0.7375,False,35
2,1,Full-Teacher-KD-Aux,0.1,0.743125,False,39
2,1,Full-Teacher-KD-Aux,0.25,0.731875,True,39
2,1,P-only-Aux,0.05,0.740625,False,40
2,1,P-only-Aux,0.1,0.731875,False,39
2,1,P-only-Aux,0.25,0.748125,True,32
2,1,PUD-Aux,0.05,0.71625,False,34
2,1,PUD-Aux,0.1,0.725625,False,23
2,1,PUD-Aux,0.25,0.7381249999999999,True,39
2,2,Random-Aux,0.05,0.705625,False,35
2,2,Random-Aux,0.1,0.72,False,40
2,2,Random-Aux,0.25,0.7262500000000001,True,31
2,2,Identity-Aux,0.05,0.7268749999999999,False,40
2,2,Identity-Aux,0.1,0.735625,False,40
2,2,Identity-Aux,0.25,0.72375,True,40
2,2,Full-Teacher-KD-Aux,0.05,0.739375,False,36
2,2,Full-Teacher-KD-Aux,0.1,0.7368750000000001,False,23
2,2,Full-Teacher-KD-Aux,0.25,0.725,True,37
2,2,P-only-Aux,0.05,0.719375,False,33
2,2,P-only-Aux,0.1,0.73875,False,33
2,2,P-only-Aux,0.25,0.7424999999999999,True,40
2,2,PUD-Aux,0.05,0.7212500000000001,False,35
2,2,PUD-Aux,0.1,0.723125,False,39
2,2,PUD-Aux,0.25,0.734375,True,39
3,0,Random-Aux,0.05,0.7450000000000001,False,36
3,0,Random-Aux,0.1,0.7381249999999999,False,32
3,0,Random-Aux,0.25,0.724375,True,39
3,0,Identity-Aux,0.05,0.741875,False,39
3,0,Identity-Aux,0.1,0.743125,False,35
3,0,Identity-Aux,0.25,0.72875,True,30
3,0,Full-Teacher-KD-Aux,0.05,0.73,False,39
3,0,Full-Teacher-KD-Aux,0.1,0.76875,False,40
3,0,Full-Teacher-KD-Aux,0.25,0.743125,True,37
3,0,P-only-Aux,0.05,0.7375,False,39
3,0,P-only-Aux,0.1,0.7293750000000001,False,36
3,0,P-only-Aux,0.25,0.7406250000000001,True,35
3,0,PUD-Aux,0.05,0.768125,False,39
3,0,PUD-Aux,0.1,0.7425,False,38
3,0,PUD-Aux,0.25,0.759375,True,38
3,1,Random-Aux,0.05,0.7625000000000001,False,40
3,1,Random-Aux,0.1,0.754375,False,38
3,1,Random-Aux,0.25,0.7200000000000001,True,35
3,1,Identity-Aux,0.05,0.725625,False,35
3,1,Identity-Aux,0.1,0.74875,False,37
3,1,Identity-Aux,0.25,0.733125,True,37
3,1,Full-Teacher-KD-Aux,0.05,0.7306250000000001,False,34
3,1,Full-Teacher-KD-Aux,0.1,0.7437499999999999,False,39
3,1,Full-Teacher-KD-Aux,0.25,0.7731250000000001,True,38
3,1,P-only-Aux,0.05,0.75375,False,40
3,1,P-only-Aux,0.1,0.75375,False,37
3,1,P-only-Aux,0.25,0.73875,True,40
3,1,PUD-Aux,0.05,0.730625,False,40
3,1,PUD-Aux,0.1,0.778125,False,38
3,1,PUD-Aux,0.25,0.751875,True,39
3,2,Random-Aux,0.05,0.75375,False,38
3,2,Random-Aux,0.1,0.750625,False,38
3,2,Random-Aux,0.25,0.76,True,39
3,2,Identity-Aux,0.05,0.7375,False,37
3,2,Identity-Aux,0.1,0.7581249999999999,False,40
3,2,Identity-Aux,0.25,0.7525,True,40
3,2,Full-Teacher-KD-Aux,0.05,0.7649999999999999,False,38
3,2,Full-Teacher-KD-Aux,0.1,0.7606250000000001,False,40
3,2,Full-Teacher-KD-Aux,0.25,0.758125,True,39
3,2,P-only-Aux,0.05,0.74125,False,39
3,2,P-only-Aux,0.1,0.7537499999999999,False,38
3,2,P-only-Aux,0.25,0.756875,True,31
3,2,PUD-Aux,0.05,0.745,False,40
3,2,PUD-Aux,0.1,0.733125,False,38
3,2,PUD-Aux,0.25,0.7424999999999999,True,39
4,0,Random-Aux,0.05,0.754375,False,40
4,0,Random-Aux,0.1,0.7875000000000001,False,36
4,0,Random-Aux,0.25,0.77125,True,38
4,0,Identity-Aux,0.05,0.7793749999999999,False,40
4,0,Identity-Aux,0.1,0.744375,False,36
4,0,Identity-Aux,0.25,0.7275,True,38
4,0,Full-Teacher-KD-Aux,0.05,0.7562500000000001,False,39
4,0,Full-Teacher-KD-Aux,0.1,0.7725000000000001,False,38
4,0,Full-Teacher-KD-Aux,0.25,0.759375,True,40
4,0,P-only-Aux,0.05,0.75,False,39
4,0,P-only-Aux,0.1,0.7649999999999999,False,38
4,0,P-only-Aux,0.25,0.7906249999999999,True,40
4,0,PUD-Aux,0.05,0.76125,False,39
4,0,PUD-Aux,0.1,0.768125,False,39
4,0,PUD-Aux,0.25,0.7606250000000001,True,39
4,1,Random-Aux,0.05,0.7875,False,33
4,1,Random-Aux,0.1,0.78125,False,38
4,1,Random-Aux,0.25,0.7975,True,35
4,1,Identity-Aux,0.05,0.735,False,40
4,1,Identity-Aux,0.1,0.77,False,39
4,1,Identity-Aux,0.25,0.7437499999999999,True,38
4,1,Full-Teacher-KD-Aux,0.05,0.7662499999999999,False,40
4,1,Full-Teacher-KD-Aux,0.1,0.775625,False,36
4,1,Full-Teacher-KD-Aux,0.25,0.7906249999999999,True,39
4,1,P-only-Aux,0.05,0.7718750000000001,False,37
4,1,P-only-Aux,0.1,0.77125,False,39
4,1,P-only-Aux,0.25,0.79375,True,40
4,1,PUD-Aux,0.05,0.766875,False,31
4,1,PUD-Aux,0.1,0.768125,False,32
4,1,PUD-Aux,0.25,0.7875,True,40
4,2,Random-Aux,0.05,0.765,False,37
4,2,Random-Aux,0.1,0.7675000000000001,False,39
4,2,Random-Aux,0.25,0.753125,True,40
4,2,Identity-Aux,0.05,0.7662499999999999,False,38
4,2,Identity-Aux,0.1,0.73875,False,35
4,2,Identity-Aux,0.25,0.755625,True,40
4,2,Full-Teacher-KD-Aux,0.05,0.76625,False,31
4,2,Full-Teacher-KD-Aux,0.1,0.771875,False,36
4,2,Full-Teacher-KD-Aux,0.25,0.791875,True,39
4,2,P-only-Aux,0.05,0.769375,False,38
4,2,P-only-Aux,0.1,0.7831250000000001,False,38
4,2,P-only-Aux,0.25,0.794375,True,40
4,2,PUD-Aux,0.05,0.766875,False,40
4,2,PUD-Aux,0.1,0.769375,False,39
4,2,PUD-Aux,0.25,0.786875,True,40
