method,fold,seed,subject_id,BA,macro_f1,n_trials
Full-Teacher-KD-Aux,1,1,48,0.72,0.7159090909090908,100
Full-Teacher-KD-Aux,1,1,50,0.56,0.5592948717948718,100
Full-Teacher-KD-Aux,1,2,2,0.8200000000000001,0.8197115384615384,100
Full-Teacher-KD-Aux,1,2,14,0.71,0.6991389148251893,100
Full-Teacher-KD-Aux,1,2,34,0.76,0.7591328783621036,100
Full-Teacher-KD-Aux,1,2,40,0.78,0.7785829307568438,100
Full-Teacher-KD-Aux,1,2,43,0.9,0.8999599839935974,100
Full-Teacher-KD-Aux,1,2,44,0.77,0.7613860358958398,100
Full-Teacher-KD-Aux,1,2,48,0.69,0.6862030569895738,100
Full-Teacher-KD-Aux,1,2,50,0.62,0.6041666666666667,100
Full-Teacher-KD-Aux,2,0,9,0.62,0.6198479391756703,100
Full-Teacher-KD-Aux,2,0,10,0.78,0.7796474358974359,100
Full-Teacher-KD-Aux,2,0,16,0.8300000000000001,0.8291628982011858,100
Full-Teacher-KD-Aux,2,0,21,0.85,0.8498648783905515,100
Full-Teacher-KD-Aux,2,0,22,0.6499999999999999,0.6491228070175439,100
Full-Teacher-KD-Aux,2,0,31,0.91,0.90999099909991,100
Full-Teacher-KD-Aux,2,0,45,0.76,0.7575757575757576,100
Full-Teacher-KD-Aux,2,0,53,0.76,0.7575757575757576,100
Full-Teacher-KD-Aux,2,1,9,0.5800000000000001,0.5784825371336813,100
Full-Teacher-KD-Aux,2,1,10,0.71,0.7097387648883995,100
Full-Teacher-KD-Aux,2,1,16,0.8200000000000001,0.8199279711884754,100
Full-Teacher-KD-Aux,2,1,21,0.86,0.86,100
Full-Teacher-KD-Aux,2,1,22,0.67,0.6659580929243851,100
Full-Teacher-KD-Aux,2,1,31,0.89,0.8899009108197378,100
Full-Teacher-KD-Aux,2,1,45,0.74,0.7383252818035426,100
Full-Teacher-KD-Aux,2,1,53,0.75,0.742559983523839,100
Full-Teacher-KD-Aux,2,2,9,0.58,0.58,100
Full-Teacher-KD-Aux,2,2,10,0.73,0.7286704853783539,100
Full-Teacher-KD-Aux,2,2,16,0.86,0.8599439775910365,100
Full-Teacher-KD-Aux,2,2,21,0.8500000000000001,0.8492613807657522,100
Full-Teacher-KD-Aux,2,2,22,0.67,0.66996699669967,100
Full-Teacher-KD-Aux,2,2,31,0.8899999999999999,0.8897243107769424,100
Full-Teacher-KD-Aux,2,2,45,0.72,0.7189883580891208,100
Full-Teacher-KD-Aux,2,2,53,0.74,0.7291666666666667,100
Full-Teacher-KD-Aux,3,0,1,0.6799999999999999,0.6736026111791106,100
Full-Teacher-KD-Aux,3,0,5,0.8,0.7987117552334944,100
Full-Teacher-KD-Aux,3,0,6,0.95,0.949874686716792,100
Full-Teacher-KD-Aux,3,0,7,0.79,0.7874278773155178,100
Full-Teacher-KD-Aux,3,0,20,0.8899999999999999,0.8894583458948849,100
Full-Teacher-KD-Aux,3,0,23,0.73,0.7175436761167486,100
Full-Teacher-KD-Aux,3,0,26,0.85,0.84998499849985,100
Full-Teacher-KD-Aux,3,0,35,0.79,0.7803117480908045,100
Full-Teacher-KD-Aux,3,1,1,0.7,0.696969696969697,100
Full-Teacher-KD-Aux,3,1,5,0.78,0.7777777777777778,100
Full-Teacher-KD-Aux,3,1,6,0.95,0.94999499949995,100
Full-Teacher-KD-Aux,3,1,7,0.73,0.7297567811029927,100
Full-Teacher-KD-Aux,3,1,20,0.8999999999999999,0.8998397435897436,100
Full-Teacher-KD-Aux,3,1,23,0.64,0.6138996138996139,100
Full-Teacher-KD-Aux,3,1,26,0.87,0.8698828946051447,100
Full-Teacher-KD-Aux,3,1,35,0.8,0.797077922077922,100
Full-Teacher-KD-Aux,3,2,1,0.69,0.6783898744683059,100
Full-Teacher-KD-Aux,3,2,5,0.6900000000000001,0.6726850385386971,100
Full-Teacher-KD-Aux,3,2,6,0.97,0.9699729756781104,100
Full-Teacher-KD-Aux,3,2,7,0.81,0.8099809980998101,100
Full-Teacher-KD-Aux,3,2,20,0.8999999999999999,0.8998397435897436,100
Full-Teacher-KD-Aux,3,2,23,0.73,0.7198879551820728,100
Full-Teacher-KD-Aux,3,2,26,0.85,0.8498648783905515,100
Full-Teacher-KD-Aux,3,2,35,0.8400000000000001,0.839421918908069,100
Full-Teacher-KD-Aux,4,0,3,0.94,0.939903846153846,100
Full-Teacher-KD-Aux,4,0,8,0.8,0.7992773986350863,100
Full-Teacher-KD-Aux,4,0,11,0.73,0.7198879551820728,100
Full-Teacher-KD-Aux,4,0,27,0.93,0.9298245614035088,100
Full-Teacher-KD-Aux,4,0,28,0.8799999999999999,0.8795664391810518,100
Full-Teacher-KD-Aux,4,0,30,0.6799999999999999,0.6692848284415047,100
Full-Teacher-KD-Aux,4,0,38,0.65,0.6072270227808326,100
Full-Teacher-KD-Aux,4,0,52,0.69,0.6756982948007113,100
Full-Teacher-KD-Aux,4,1,3,0.95,0.94999499949995,100
Full-Teacher-KD-Aux,4,1,8,0.8200000000000001,0.8197115384615384,100
Full-Teacher-KD-Aux,4,1,11,0.72,0.7126436781609196,100
Full-Teacher-KD-Aux,4,1,27,0.88,0.8787878787878788,100
Full-Teacher-KD-Aux,4,1,28,0.88,0.8787878787878788,100
Full-Teacher-KD-Aux,4,1,30,0.74,0.7395833333333333,100
Full-Teacher-KD-Aux,4,1,38,0.7,0.6921182266009853,100
Full-Teacher-KD-Aux,4,1,52,0.8300000000000001,0.8298468621759583,100
Full-Teacher-KD-Aux,4,2,3,0.96,0.959983993597439,100
Full-Teacher-KD-Aux,4,2,8,0.84,0.84,100
Full-Teacher-KD-Aux,4,2,11,0.7,0.6899545266639107,100
Full-Teacher-KD-Aux,4,2,27,0.92,0.9197109594540344,100
Full-Teacher-KD-Aux,4,2,28,0.88,0.8787878787878788,100
Full-Teacher-KD-Aux,4,2,30,0.74,0.7348021215830274,100
Full-Teacher-KD-Aux,4,2,38,0.67,0.6515679442508711,100
Full-Teacher-KD-Aux,4,2,52,0.78,0.7726333195535345,100
Identity-Aux,0,0,15,0.88,0.8798076923076923,100
Identity-Aux,0,0,19,0.68,0.6753246753246753,100
Identity-Aux,0,0,32,0.63,0.6290726817042607,100
Identity-Aux,0,0,33,0.71,0.7050147492625369,100
Identity-Aux,0,0,41,0.7,0.6956168831168831,100
Identity-Aux,0,0,46,0.68,0.68,100
Identity-Aux,0,0,47,0.93,0.92999299929993,100
Identity-Aux,0,0,49,0.8400000000000001,0.8397435897435898,100
Identity-Aux,0,1,15,0.8500000000000001,0.8492613807657522,100
Identity-Aux,0,1,19,0.71,0.69662098545873,100
Identity-Aux,0,1,32,0.62,0.6198479391756703,100
Identity-Aux,0,1,33,0.8200000000000001,0.8193496587715776,100
Identity-Aux,0,1,41,0.74,0.7395833333333333,100
Identity-Aux,0,1,46,0.66,0.6565656565656566,100
Identity-Aux,0,1,47,0.89,0.8899889988998899,100
Identity-Aux,0,1,49,0.87,0.8699869986998701,100
Identity-Aux,0,2,15,0.87,0.8693598633303186,100
Identity-Aux,0,2,19,0.77,0.767182913250329,100
Identity-Aux,0,2,32,0.81,0.8099809980998101,100
Identity-Aux,0,2,33,0.81,0.8056265984654731,100
Identity-Aux,0,2,41,0.76,0.7596153846153846,100
Identity-Aux,0,2,46,0.66,0.6392190152801358,100
Identity-Aux,0,2,47,0.89,0.8886526976414617,100
Identity-Aux,0,2,49,0.86,0.8599439775910365,100
Identity-Aux,1,0,2,0.76,0.7584541062801933,100
Identity-Aux,1,0,14,0.76,0.7552019583843329,100
Identity-Aux,1,0,34,0.6799999999999999,0.6736026111791106,100
Identity-Aux,1,0,40,0.79,0.7803117480908045,100
Identity-Aux,1,0,43,0.93,0.929936943248924,100
Identity-Aux,1,0,44,0.85,0.8481627695110842,100
Identity-Aux,1,0,48,0.71,0.7097387648883995,100
Identity-Aux,1,0,50,0.56,0.5331069609507639,100
Identity-Aux,1,1,2,0.78,0.78,100
Identity-Aux,1,1,14,0.75,0.74997499749975,100
Identity-Aux,1,1,34,0.65,0.6419437340153453,100
Identity-Aux,1,1,40,0.82,0.8173701298701299,100
Identity-Aux,1,1,43,0.89,0.8899889988998899,100
Identity-Aux,1,1,44,0.76,0.75,100
Identity-Aux,1,1,48,0.7,0.6998799519807923,100
Identity-Aux,1,1,50,0.61,0.5793334052421529,100
Identity-Aux,1,2,2,0.83,0.8279178054458953,100
Identity-Aux,1,2,14,0.6900000000000001,0.6726850385386971,100
Identity-Aux,1,2,34,0.69,0.6874684948079444,100
Identity-Aux,1,2,40,0.8,0.7916666666666667,100
Identity-Aux,1,2,43,0.88,0.8799519807923168,100
Identity-Aux,1,2,44,0.72,0.6961805555555556,100
Identity-Aux,1,2,48,0.72,0.719551282051282,100
Identity-Aux,1,2,50,0.61,0.5741893219783819,100
Identity-Aux,2,0,9,0.62,0.6193910256410255,100
Identity-Aux,2,0,10,0.74,0.74,100
Identity-Aux,2,0,16,0.8200000000000001,0.8197115384615384,100
Identity-Aux,2,0,21,0.8999999999999999,0.8998397435897436,100
Identity-Aux,2,0,22,0.63,0.6161427533976553,100
Identity-Aux,2,0,31,0.8899999999999999,0.8897243107769424,100
Identity-Aux,2,0,45,0.78,0.7796474358974359,100
Identity-Aux,2,0,53,0.77,0.7694235588972431,100
Identity-Aux,2,1,9,0.59,0.5899589958995899,100
Identity-Aux,2,1,10,0.72,0.719551282051282,100
Identity-Aux,2,1,16,0.88,0.8799519807923168,100
Identity-Aux,2,1,21,0.84,0.8376623376623377,100
Identity-Aux,2,1,22,0.61,0.5920075321686369,100
Identity-Aux,2,1,31,0.8500000000000001,0.849624060150376,100
Identity-Aux,2,1,45,0.74,0.7398959583833533,100
Identity-Aux,2,1,53,0.74,0.7312939231087227,100
Identity-Aux,2,2,9,0.6699999999999999,0.6697027324592133,100
Identity-Aux,2,2,10,0.74,0.7398959583833533,100
Identity-Aux,2,2,16,0.8400000000000001,0.8397435897435898,100
Identity-Aux,2,2,21,0.9,0.8999599839935974,100
Identity-Aux,2,2,22,0.65,0.6368917937545389,100
Identity-Aux,2,2,31,0.8400000000000001,0.8389694041867954,100
Identity-Aux,2,2,45,0.76,0.7599039615846338,100
Identity-Aux,2,2,53,0.79,0.7863899908452854,100
Identity-Aux,3,0,1,0.6699999999999999,0.6576408341114224,100
Identity-Aux,3,0,5,0.76,0.7591328783621036,100
Identity-Aux,3,0,6,0.97,0.9699729756781104,100
Identity-Aux,3,0,7,0.77,0.767182913250329,100
Identity-Aux,3,0,20,0.89,0.8899889988998899,100
Identity-Aux,3,0,23,0.62,0.5924495924495925,100
Identity-Aux,3,0,26,0.86,0.8599439775910365,100
Identity-Aux,3,0,35,0.79,0.7821350762527233,100
Identity-Aux,3,1,1,0.71,0.7064480210547626,100
Identity-Aux,3,1,5,0.76,0.7591328783621036,100
Identity-Aux,3,1,6,0.97,0.96999699969997,100
Identity-Aux,3,1,7,0.78,0.7777777777777778,100
Identity-Aux,3,1,20,0.86,0.8599439775910365,100
Identity-Aux,3,1,23,0.66,0.6532027743778049,100
Identity-Aux,3,1,26,0.86,0.859775641025641,100
Identity-Aux,3,1,35,0.84,0.8368013055895553,100
Identity-Aux,3,2,1,0.68,0.6753246753246753,100
Identity-Aux,3,2,5,0.71,0.7033248081841432,100
Identity-Aux,3,2,6,0.93,0.929936943248924,100
Identity-Aux,3,2,7,0.76,0.7575757575757576,100
Identity-Aux,3,2,20,0.91,0.90999099909991,100
Identity-Aux,3,2,23,0.67,0.6547756041426928,100
Identity-Aux,3,2,26,0.8300000000000001,0.8298468621759583,100
Identity-Aux,3,2,35,0.74,0.7211497211497211,100
Identity-Aux,4,0,3,0.87,0.8696741854636592,100
Identity-Aux,4,0,8,0.71,0.7076318177235609,100
Identity-Aux,4,0,11,0.73,0.7277951406391774,100
Identity-Aux,4,0,27,0.88,0.8787878787878788,100
Identity-Aux,4,0,28,0.87,0.8699869986998701,100
Identity-Aux,4,0,30,0.7,0.696969696969697,100
Identity-Aux,4,0,38,0.71,0.6991389148251893,100
Identity-Aux,4,0,52,0.74,0.7267759562841529,100
Identity-Aux,4,1,3,0.88,0.8792270531400965,100
Identity-Aux,4,1,8,0.8,0.7933030177759405,100
Identity-Aux,4,1,11,0.6799999999999999,0.6736026111791106,100
Identity-Aux,4,1,27,0.8999999999999999,0.8993558776167472,100
Identity-Aux,4,1,28,0.87,0.8698828946051447,100
Identity-Aux,4,1,30,0.6599999999999999,0.6510673234811166,100
Identity-Aux,4,1,38,0.7,0.6940024479804161,100
Identity-Aux,4,1,52,0.78,0.7796474358974359,100
Identity-Aux,4,2,3,0.88,0.8792270531400965,100
Identity-Aux,4,2,8,0.69,0.6899689968996899,100
Identity-Aux,4,2,11,0.7,0.6899545266639107,100
Identity-Aux,4,2,27,0.8999999999999999,0.8996386993175431,100
Identity-Aux,4,2,28,0.8400000000000001,0.839421918908069,100
Identity-Aux,4,2,30,0.74,0.7398959583833533,100
Identity-Aux,4,2,38,0.73,0.7253585596582239,100
Identity-Aux,4,2,52,0.74,0.7373737373737375,100
P-only-Aux,0,0,15,0.87,0.8696741854636592,100
P-only-Aux,0,0,19,0.74,0.7348021215830274,100
P-only-Aux,0,0,32,0.65,0.6457131288591963,100
P-only-Aux,0,0,33,0.79,0.7874278773155178,100
P-only-Aux,0,0,41,0.75,0.7406369955389562,100
P-only-Aux,0,0,46,0.6499999999999999,0.6491228070175439,100
P-only-Aux,0,0,47,0.8899999999999999,0.8894583458948849,100
P-only-Aux,0,0,49,0.76,0.7596153846153846,100
P-only-Aux,0,1,15,0.8200000000000001,0.8193496587715776,100
P-only-Aux,0,1,19,0.79,0.7882851093860268,100
P-only-Aux,0,1,32,0.73,0.7297567811029927,100
P-only-Aux,0,1,33,0.85,0.8481627695110842,100
P-only-Aux,0,1,41,0.79,0.7898108297467721,100
P-only-Aux,0,1,46,0.68,0.6637242538881883,100
P-only-Aux,0,1,47,0.92,0.9198717948717948,100
P-only-Aux,0,1,49,0.87,0.8699869986998701,100
P-only-Aux,0,2,15,0.85,0.84998499849985,100
P-only-Aux,0,2,19,0.75,0.7479584635547938,100
P-only-Aux,0,2,32,0.64,0.64,100
P-only-Aux,0,2,33,0.8,0.797077922077922,100
P-only-Aux,0,2,41,0.73,0.72997299729973,100
P-only-Aux,0,2,46,0.65,0.6338529134846741,100
P-only-Aux,0,2,47,0.93,0.929936943248924,100
P-only-Aux,0,2,49,0.86,0.8599439775910365,100
P-only-Aux,1,0,2,0.78,0.779205138498595,100
P-only-Aux,1,0,14,0.74,0.7383252818035426,100
P-only-Aux,1,0,34,0.6799999999999999,0.6798719487795117,100
P-only-Aux,1,0,40,0.79,0.7874278773155178,100
P-only-Aux,1,0,43,0.85,0.8481627695110842,100
P-only-Aux,1,0,44,0.76,0.75,100
P-only-Aux,1,0,48,0.69,0.6874684948079444,100
P-only-Aux,1,0,50,0.6,0.5941558441558441,100
P-only-Aux,1,1,2,0.81,0.8095238095238095,100
P-only-Aux,1,1,14,0.69,0.6846709388668497,100
P-only-Aux,1,1,34,0.62,0.614448051948052,100
P-only-Aux,1,1,40,0.83,0.8279178054458953,100
P-only-Aux,1,1,43,0.8899999999999999,0.8897243107769424,100
P-only-Aux,1,1,44,0.71,0.7050147492625369,100
P-only-Aux,1,1,48,0.71,0.7064480210547626,100
P-only-Aux,1,1,50,0.62,0.6041666666666667,100
P-only-Aux,1,2,2,0.75,0.7493734335839599,100
P-only-Aux,1,2,14,0.72,0.7171717171717171,100
P-only-Aux,1,2,34,0.6699999999999999,0.6624040920716112,100
P-only-Aux,1,2,40,0.71,0.6833715471121302,100
P-only-Aux,1,2,43,0.9,0.8999599839935974,100
P-only-Aux,1,2,44,0.73,0.712,100
P-only-Aux,1,2,48,0.6799999999999999,0.6666666666666666,100
P-only-Aux,1,2,50,0.63,0.6093337556752191,100
P-only-Aux,2,0,9,0.72,0.7181964573268921,100
P-only-Aux,2,0,10,0.69,0.6874684948079444,100
P-only-Aux,2,0,16,0.87,0.8699869986998701,100
P-only-Aux,2,0,21,0.98,0.9799919967987194,100
P-only-Aux,2,0,22,0.62,0.6041666666666667,100
P-only-Aux,2,0,31,0.86,0.8599439775910365,100
P-only-Aux,2,0,45,0.8899999999999999,0.8897243107769424,100
P-only-Aux,2,0,53,0.81,0.8095238095238095,100
P-only-Aux,2,1,9,0.63,0.6296667000300271,100
P-only-Aux,2,1,10,0.71,0.7092731829573935,100
P-only-Aux,2,1,16,0.86,0.86,100
P-only-Aux,2,1,21,0.83,0.8299829982998299,100
P-only-Aux,2,1,22,0.63,0.6214833759590792,100
P-only-Aux,2,1,31,0.85,0.84998499849985,100
P-only-Aux,2,1,45,0.72,0.7198879551820728,100
P-only-Aux,2,1,53,0.81,0.8084484323016433,100
P-only-Aux,2,2,9,0.63,0.6296667000300271,100
P-only-Aux,2,2,10,0.79,0.78997899789979,100
P-only-Aux,2,2,16,0.85,0.84998499849985,100
P-only-Aux,2,2,21,0.87,0.8693598633303186,100
P-only-Aux,2,2,22,0.69,0.6846709388668497,100
P-only-Aux,2,2,31,0.8899999999999999,0.8897243107769424,100
P-only-Aux,2,2,45,0.76,0.7596153846153846,100
P-only-Aux,2,2,53,0.79,0.7898108297467721,100
P-only-Aux,3,0,1,0.69,0.6884735202492211,100
P-only-Aux,3,0,5,0.77,0.767182913250329,100
P-only-Aux,3,0,6,0.95,0.9499549594635172,100
P-only-Aux,3,0,7,0.74,0.7383252818035426,100
P-only-Aux,3,0,20,0.89,0.8899889988998899,100
P-only-Aux,3,0,23,0.64,0.6279454319966928,100
P-only-Aux,3,0,26,0.79,0.7882851093860268,100
P-only-Aux,3,0,35,0.81,0.8043455874781176,100
P-only-Aux,3,1,1,0.65,0.6266666666666667,100
P-only-Aux,3,1,5,0.81,0.8095238095238095,100
P-only-Aux,3,1,6,0.98,0.9799919967987194,100
P-only-Aux,3,1,7,0.79,0.78997899789979,100
P-only-Aux,3,1,20,0.8600000000000001,0.8594941790445605,100
P-only-Aux,3,1,23,0.69,0.6783898744683059,100
P-only-Aux,3,1,26,0.85,0.84998499849985,100
P-only-Aux,3,1,35,0.81,0.8028841166096068,100
P-only-Aux,3,2,1,0.6799999999999999,0.6736026111791106,100
P-only-Aux,3,2,5,0.81,0.8095238095238095,100
P-only-Aux,3,2,6,0.95,0.94999499949995,100
P-only-Aux,3,2,7,0.74,0.7398959583833533,100
P-only-Aux,3,2,20,0.85,0.8498648783905515,100
P-only-Aux,3,2,23,0.69,0.6862030569895738,100
P-only-Aux,3,2,26,0.8300000000000001,0.8298468621759583,100
P-only-Aux,3,2,35,0.8300000000000001,0.8249407887962105,100
P-only-Aux,4,0,3,0.88,0.8792270531400965,100
P-only-Aux,4,0,8,0.8,0.7999199679871949,100
P-only-Aux,4,0,11,0.7,0.6921182266009853,100
P-only-Aux,4,0,27,0.91,0.9095568284594512,100
P-only-Aux,4,0,28,0.84,0.8376623376623377,100
P-only-Aux,4,0,30,0.73,0.7297567811029927,100
P-only-Aux,4,0,38,0.72,0.7083333333333334,100
P-only-Aux,4,0,52,0.78,0.7756017951856384,100
P-only-Aux,4,1,3,0.92,0.9197109594540344,100
P-only-Aux,4,1,8,0.81,0.8084484323016433,100
P-only-Aux,4,1,11,0.71,0.69662098545873,100
P-only-Aux,4,1,27,0.92,0.9198717948717948,100
P-only-Aux,4,1,28,0.85,0.8465473145780051,100
P-only-Aux,4,1,30,0.76,0.7575757575757576,100
P-only-Aux,4,1,38,0.69,0.6693333333333333,100
P-only-Aux,4,1,52,0.77,0.7699769976997699,100
P-only-Aux,4,2,3,0.93,0.929936943248924,100
P-only-Aux,4,2,8,0.8799999999999999,0.8795664391810518,100
P-only-Aux,4,2,11,0.75,0.7479584635547938,100
P-only-Aux,4,2,27,0.89,0.8891017239641092,100
P-only-Aux,4,2,28,0.85,0.8474214220323466,100
P-only-Aux,4,2,30,0.74,0.7362012987012987,100
P-only-Aux,4,2,38,0.68,0.6753246753246753,100
P-only-Aux,4,2,52,0.8300000000000001,0.8295739348370927,100
PUD-Aux,0,0,15,0.8300000000000001,0.8291628982011858,100
PUD-Aux,0,0,19,0.73,0.7237851662404092,100
PUD-Aux,0,0,32,0.6399999999999999,0.6386993175431553,100
PUD-Aux,0,0,33,0.8300000000000001,0.8295739348370927,100
PUD-Aux,0,0,41,0.76,0.7591328783621036,100
PUD-Aux,0,0,46,0.62,0.6100164203612479,100
PUD-Aux,0,0,47,0.92,0.9197109594540344,100
PUD-Aux,0,0,49,0.84,0.8399359743897559,100
PUD-Aux,0,1,15,0.8999999999999999,0.8998397435897436,100
PUD-Aux,0,1,19,0.73,0.7253585596582239,100
PUD-Aux,0,1,32,0.6599999999999999,0.6578099838969405,100
PUD-Aux,0,1,33,0.79,0.7882851093860268,100
PUD-Aux,0,1,41,0.78,0.779205138498595,100
PUD-Aux,0,1,46,0.6,0.5941558441558441,100
PUD-Aux,0,1,47,0.95,0.949874686716792,100
PUD-Aux,0,1,49,0.86,0.8590982286634461,100
PUD-Aux,0,2,15,0.8400000000000001,0.8397435897435898,100
PUD-Aux,0,2,19,0.75,0.7479584635547938,100
PUD-Aux,0,2,32,0.7,0.696969696969697,100
PUD-Aux,0,2,33,0.81,0.8095238095238095,100
PUD-Aux,0,2,41,0.79,0.7882851093860268,100
PUD-Aux,0,2,46,0.61,0.60996099609961,100
PUD-Aux,0,2,47,0.79,0.7821350762527233,100
PUD-Aux,0,2,49,0.87,0.8684077335762729,100
PUD-Aux,1,0,2,0.78,0.7799119647859143,100
PUD-Aux,1,0,14,0.73,0.7237851662404092,100
PUD-Aux,1,0,34,0.71,0.7076318177235609,100
PUD-Aux,1,0,40,0.79,0.7882851093860268,100
PUD-Aux,1,0,43,0.8899999999999999,0.8894583458948849,100
PUD-Aux,1,0,44,0.73,0.721964782205746,100
PUD-Aux,1,0,48,0.67,0.6643271284711627,100
PUD-Aux,1,0,50,0.56,0.5098039215686274,100
PUD-Aux,1,1,2,0.77,0.7699769976997699,100
PUD-Aux,1,1,14,0.79,0.7889659330720531,100
PUD-Aux,1,1,34,0.65,0.6439833180754755,100
PUD-Aux,1,1,40,0.76,0.7564935064935066,100
PUD-Aux,1,1,43,0.88,0.8799519807923168,100
PUD-Aux,1,1,44,0.91,0.909265046879726,100
PUD-Aux,1,1,48,0.6599999999999999,0.6310763888888888,100
PUD-Aux,1,1,50,0.5800000000000001,0.525101763907734,100
PUD-Aux,1,2,2,0.8,0.7987117552334944,100
PUD-Aux,1,2,14,0.79,0.7889659330720531,100
PUD-Aux,1,2,34,0.66,0.6565656565656566,100
PUD-Aux,1,2,40,0.8,0.7916666666666667,100
PUD-Aux,1,2,43,0.9,0.8999599839935974,100
PUD-Aux,1,2,44,0.78,0.7708333333333333,100
PUD-Aux,1,2,48,0.6799999999999999,0.6788438378161381,100
PUD-Aux,1,2,50,0.5800000000000001,0.5586380832282472,100
PUD-Aux,2,0,9,0.72,0.7198879551820728,100
PUD-Aux,2,0,10,0.72,0.7189883580891208,100
PUD-Aux,2,0,16,0.8200000000000001,0.8193496587715776,100
PUD-Aux,2,0,21,0.98,0.9799919967987194,100
PUD-Aux,2,0,22,0.73,0.721964782205746,100
PUD-Aux,2,0,31,0.87,0.8696741854636592,100
PUD-Aux,2,0,45,0.8300000000000001,0.8295739348370927,100
PUD-Aux,2,0,53,0.81,0.8099809980998101,100
PUD-Aux,2,1,9,0.54,0.5383380168606985,100
PUD-Aux,2,1,10,0.6499999999999999,0.6482765551200884,100
PUD-Aux,2,1,16,0.8200000000000001,0.8199279711884754,100
PUD-Aux,2,1,21,0.84,0.8399359743897559,100
PUD-Aux,2,1,22,0.62,0.614448051948052,100
PUD-Aux,2,1,31,0.81,0.8095238095238095,100
PUD-Aux,2,1,45,0.76,0.7599039615846338,100
PUD-Aux,2,1,53,0.71,0.7076318177235609,100
PUD-Aux,2,2,9,0.69,0.6899689968996899,100
PUD-Aux,2,2,10,0.74,0.7398959583833533,100
PUD-Aux,2,2,16,0.8500000000000001,0.8492613807657522,100
PUD-Aux,2,2,21,0.99,0.98999899989999,100
PUD-Aux,2,2,22,0.71,0.7033248081841432,100
PUD-Aux,2,2,31,0.89,0.8891017239641092,100
PUD-Aux,2,2,45,0.8300000000000001,0.8286117552172598,100
PUD-Aux,2,2,53,0.86,0.8599439775910365,100
PUD-Aux,3,0,1,0.67,0.6659580929243851,100
PUD-Aux,3,0,5,0.72,0.7171717171717171,100
PUD-Aux,3,0,6,0.98,0.98,100
PUD-Aux,3,0,7,0.79,0.78997899789979,100
PUD-Aux,3,0,20,0.8500000000000001,0.8492613807657522,100
PUD-Aux,3,0,23,0.5800000000000001,0.565936337329475,100
PUD-Aux,3,0,26,0.86,0.8590982286634461,100
PUD-Aux,3,0,35,0.8300000000000001,0.8260869565217391,100
PUD-Aux,3,1,1,0.63,0.6290726817042607,100
PUD-Aux,3,1,5,0.74,0.7373737373737375,100
