method,fold,BA,macro_f1,B0_BA,Delta_BA_vs_B0,provenance,protocol,seed
IDENTITY_SOURCE_ONLY,3.0,0.7916666666666666,0.7888972871002501,0.7925,-0.0008333333333333,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
IDENTITY_SOURCE_ONLY,4.0,0.7945833333333333,0.7911419664440782,0.8104166666666667,-0.0158333333333333,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
PUD_AFTER_ADAPT,0.0,0.7591666666666667,0.7577457921540717,0.7904166666666667,-0.03125,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
PUD_AFTER_ADAPT,1.0,0.7370833333333334,0.7314556022602883,0.7466666666666666,-0.0095833333333331,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
PUD_AFTER_ADAPT,2.0,0.7316666666666666,0.7294084620240988,0.7908333333333334,-0.0591666666666668,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
PUD_AFTER_ADAPT,3.0,0.7958333333333334,0.7940697511142756,0.7925,0.0033333333333334,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
PUD_AFTER_ADAPT,4.0,0.7958333333333334,0.7943949388607524,0.8104166666666667,-0.0145833333333332,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
PUD_SOURCE_ONLY,0.0,0.7466666666666666,0.7451281792979284,0.7904166666666667,-0.04375,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
PUD_SOURCE_ONLY,1.0,0.7379166666666667,0.7333709401794386,0.7466666666666666,-0.0087499999999999,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
PUD_SOURCE_ONLY,2.0,0.7266666666666667,0.7249949175496435,0.7908333333333334,-0.0641666666666667,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
PUD_SOURCE_ONLY,3.0,0.7883333333333334,0.7852297095380211,0.7925,-0.0041666666666665,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
PUD_SOURCE_ONLY,4.0,0.7829166666666666,0.7811829626051555,0.8104166666666667,-0.0275,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
RANDOM_SOURCE_ONLY,0.0,0.7687499999999999,0.7670555092270251,0.7904166666666667,-0.0216666666666667,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
RANDOM_SOURCE_ONLY,1.0,0.7416666666666667,0.7367569857580173,0.7466666666666666,-0.0049999999999998,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
RANDOM_SOURCE_ONLY,2.0,0.7379166666666667,0.7358722510291873,0.7908333333333334,-0.0529166666666667,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
RANDOM_SOURCE_ONLY,3.0,0.785,0.7827115437003145,0.7925,-0.0074999999999999,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
RANDOM_SOURCE_ONLY,4.0,0.7933333333333333,0.7902282839585307,0.8104166666666667,-0.0170833333333333,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_fold_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,
A2_SOURCE_ONLY,,0.7787499999999999,0.7766852979292497,0.78425,-0.0055,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,0.0
A2_SOURCE_ONLY,,0.775,0.7715915644354293,0.78625,-0.0112499999999999,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,1.0
A2_SOURCE_ONLY,,0.77925,0.7746671752118648,0.788,-0.00875,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,2.0
B0_VANILLA_EEGNET,,0.78425,0.779531131290679,0.78425,0.0,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,0.0
B0_VANILLA_EEGNET,,0.78625,0.7820347464217627,0.78625,0.0,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,1.0
B0_VANILLA_EEGNET,,0.788,0.7854676016654367,0.788,0.0,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,2.0
B1_STRONG_EEGNET,,0.77975,0.7758376322959885,0.78425,-0.0044999999999999,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,0.0
B1_STRONG_EEGNET,,0.8035,0.8010547769724417,0.78625,0.0172499999999999,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,1.0
B1_STRONG_EEGNET,,0.79125,0.7889229661545519,0.788,0.0032499999999999,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,2.0
IDENTITY_SOURCE_ONLY,,0.77675,0.7745617641818292,0.78425,-0.0074999999999999,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,0.0
IDENTITY_SOURCE_ONLY,,0.765,0.7619479274789767,0.78625,-0.0212499999999999,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,1.0
IDENTITY_SOURCE_ONLY,,0.7617499999999999,0.7574356578405526,0.788,-0.0262500000000001,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,2.0
PUD_AFTER_ADAPT,,0.76,0.757689531629467,0.78425,-0.0242499999999999,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,0.0
PUD_AFTER_ADAPT,,0.7655000000000001,0.7638230388503562,0.78625,-0.0207499999999999,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,1.0
PUD_AFTER_ADAPT,,0.76625,0.762732157368269,0.788,-0.02175,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,2.0
PUD_SOURCE_ONLY,,0.75525,0.7529533182450708,0.78425,-0.029,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,0.0
PUD_SOURCE_ONLY,,0.7555,0.7533191861417805,0.78625,-0.03075,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,1.0
PUD_SOURCE_ONLY,,0.75875,0.7556715211152609,0.788,-0.0292499999999999,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,2.0
RANDOM_SOURCE_ONLY,,0.7685000000000001,0.7665422466604321,0.78425,-0.0157499999999999,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,0.0
RANDOM_SOURCE_ONLY,,0.76375,0.7607404880488191,0.78625,-0.0224999999999999,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,1.0
RANDOM_SOURCE_ONLY,,0.76375,0.7602920094945937,0.788,-0.0242499999999999,D:\nips-temp\TotalP\P1\CRCICLR_SOURCE_ONLY_DIAGNOSTIC\experiments\persist_eeg_persist_net_source_only_diagnostic_v1\results\per_seed_results.csv,OpenBMI_V8_SEARCH_MI_S1_to_S2_frozen,2.0
