model,task,fold,seed,status,protected_rank,rank,JS,donor_centered_shift,flip_rate,logit_rms,pairs,recipient_margin_change,transfer_rate,random_JS,random_donor_centered_shift,random_flip_rate,random_logit_rms,random_recipient_margin_change,random_transfer_rate,same_label_pair_count,same_JS,same_centered_logit_rms,same_prediction_consistent,same_true_margin_change
EEGConformer,OpenBMI_SSVEP,2,0,COMPLETE,4,15,0.4747324362397194,8.384481862187386,0.7525000000000001,7.442575514316559,2400,14.691199153661728,0.66,0.1747039375035092,3.3372575362835777,0.3030083333333334,4.5146192607283595,6.180052398499101,0.23244583333333332,1600,0.09572337654410568,2.2623510575899854,0.82375,-0.40437844771891834
EEGConformer,OpenBMI_SSVEP,3,0,COMPLETE,8,20,0.3624620698392391,3.9044450521469116,0.6791666666666667,3.9506044387817383,2400,6.8122411370277405,0.5670833333333334,0.18441313579212873,2.190751247815788,0.3933,2.8422616851329803,3.9826203033700587,0.2751958333333333,1600,0.09170369075794563,1.7692895461572333,0.7975,0.10179615097120404
EEGConformer,OpenBMI_SSVEP,4,0,COMPLETE,4,20,0.18477049749344587,4.100838363170624,0.32791666666666663,4.568261384963989,2400,7.254323065280914,0.2679166666666667,0.08820852626362466,2.172035087652621,0.16945000000000005,3.302177322804928,3.8878639687329994,0.12989166666666668,1600,0.04544680960017203,2.2005736133875327,0.904375,0.2733879880607128
FBCNet,OpenBMI_MI,0,0,COMPLETE,4,20,0.0018243454542243853,0.047119021241087466,0.06375,0.13514649402350187,800,0.09423804632388055,0.2925,0.0008118671218312557,0.02421198598906983,0.035937500000000004,0.07797633873997256,0.04842397286424216,0.2831625,1600,0.002140003847280241,0.11475670314626768,0.928125,0.01350471051526256
FBCNet,OpenBMI_MI,1,0,COMPLETE,4,20,0.02320463501382619,0.24120447388850152,0.2475,0.47189993411302567,800,0.4824089342728257,0.495,0.004862711741243402,0.05442106220368032,0.07866250000000001,0.16212771039223298,0.10884212348678829,0.3714125000000001,1600,0.02180115410468204,0.3992228228924796,0.77875,-0.014065815871581434
FBCNet,OpenBMI_MI,2,0,COMPLETE,8,20,0.037666532676666975,0.37202658876776695,0.29374999999999996,0.6369961500167847,800,0.7440531803295016,0.56375,0.01295814375316695,0.14879727751937935,0.156025,0.33823376456741244,0.29759455366482146,0.4385499999999999,1600,0.04113636688392489,0.5951444596075453,0.701875,-0.03478817686322145
FBCNet,OpenBMI_MI,3,0,COMPLETE,4,20,0.014675872691441327,0.1688379175029695,0.19124999999999998,0.3865708187222481,800,0.33767582289874554,0.4625,0.0031230341761488488,0.041179246743880495,0.07182499999999999,0.14484032456646673,0.0823584936395747,0.3914,1600,0.011804104968272782,0.2920201230014209,0.846875,-0.021961942384950816
FBCNet,OpenBMI_SSVEP,0,0,COMPLETE,4,20,0.25137200905010104,2.253070816397667,0.6895833333333334,2.394476868212223,2400,3.3130243346095085,0.6079166666666667,0.04306502298306441,0.4125281186600978,0.18912500000000004,0.7580026066396386,0.6141579896893694,0.16471666666666668,1600,0.07908623021683184,1.1267609256575815,0.675,0.03205689169932157
FBCNet,OpenBMI_SSVEP,1,0,COMPLETE,8,20,0.2989768134430051,2.8033854886889458,0.7870833333333334,2.912381149828434,2400,4.221204057335854,0.6725000000000001,0.11791060832736548,1.168738150668505,0.41545416666666674,1.5457098770327866,1.6332426393334754,0.2917708333333333,1600,0.037193742592478006,0.8033324930258096,0.790625,0.002176148924045265
FBCNet,OpenBMI_SSVEP,2,0,COMPLETE,8,20,0.3262080457061529,2.88472767919302,0.7637499999999999,2.9812647104263306,2400,4.5055350214242935,0.6829166666666666,0.11228550249405089,1.0208674628281733,0.33166666666666667,1.436448854058981,1.579896973458235,0.27087083333333334,1600,0.04477696241678245,0.870589813310653,0.833125,-0.068163952678442
FBCNet,OpenBMI_SSVEP,3,0,COMPLETE,8,20,0.27927169296890497,2.6870865374803543,0.6745833333333333,2.8027888983488083,2400,3.9102203249931335,0.6008333333333333,0.11909953152498928,1.101516633244064,0.3603625,1.61597769273445,1.6140900750117726,0.2710833333333334,1600,0.0611105948181725,1.045687571084127,0.725625,-0.0488687629904598
FBCNet,OpenBMI_SSVEP,4,0,COMPLETE,4,20,0.29664910957217216,2.785772919654846,0.7133333333333334,3.051297888159752,2400,4.042472839355469,0.5891666666666666,0.06266559388197493,0.7378152775505805,0.21911666666666668,1.0804609878547489,0.9996269681285775,0.14817500000000003,1600,0.03190998157883996,0.9392019631480798,0.86125,0.03034930976573378
