model,task,fold,seed,status,protected_rank,rank,finite_P,finite_random_mean,finite_normmatched_random_mean,finite_ratio,local_P,local_random_mean,local_ratio,cross_label_P_transfer,random_transfer,same_label_crosssession_P_change,P_nonP_interaction,random_interaction
EEGConformer,OpenBMI_MI,0,0,COMPLETE,7,20,1.5010256171226501,0.9018072954192757,1.1744661632180216,1.6644638214251537,0.2939595580101013,0.11853478170931339,2.479943471199767,0.6124999999999999,0.3663625000000001,0.9830938623985276,2.129239042858444e-07,1.9579680405890086e-07
EEGConformer,OpenBMI_MI,1,0,COMPLETE,5,20,0.8670170083642006,0.4683498763665557,0.646254554539919,1.8512164774986013,0.11334651708602905,0.044411346884444355,2.552197243216916,0.51875,0.315225,0.5688878564664628,1.2679944738636095e-07,1.2039549941889048e-07
EEGConformer,OpenBMI_MI,2,0,COMPLETE,5,20,0.9847147464752197,0.5074661741685123,0.6870906231552363,1.9404539585100098,0.24124883115291595,0.07409430496394634,3.255969959773637,0.5149999999999999,0.40897500000000003,0.7786024955520406,1.3645371232939851e-07,1.3587597345043889e-07
EEGConformer,OpenBMI_MI,3,0,COMPLETE,8,20,1.6947514861822128,1.2544844829663635,1.3954380530118944,1.3509545229087176,0.3513549566268921,0.2192845793068409,1.6022784535854093,0.52125,0.39331250000000006,1.0516823746613226,2.8492256909373737e-07,2.7266475246534586e-07
EEGConformer,OpenBMI_MI,4,0,COMPLETE,8,20,1.649929091334343,0.9677990456670522,1.2769167591631412,1.7048261193491205,0.3445175886154175,0.14463862869888544,2.3819196276580317,0.5925,0.3959500000000001,0.9147374120727182,2.715508191641902e-07,2.7979474722883427e-07
EEGConformer,OpenBMI_SSVEP,0,0,COMPLETE,4,18,3.638964146375656,2.898323180526495,3.413951954990625,1.2555411938963341,3.284407615661621,2.2290365076065064,1.473465151626588,0.2908333333333333,0.15072916666666666,2.034983144137077,1.6263740292288276e-06,1.578246809401662e-06
EEGConformer,OpenBMI_SSVEP,1,0,COMPLETE,6,20,2.0159387588500977,1.3977379264682532,1.9331481690704824,1.4422866552271991,0.601779580116272,0.3484435597062111,1.7270503740222956,0.4683333333333333,0.2360750000000001,1.0327570565836504,7.840241877943299e-07,7.619187717011754e-07
EEGConformer,OpenBMI_SSVEP,2,0,COMPLETE,4,15,4.929444372653961,3.3171780259907244,4.603414708375931,1.486035519960286,6.837667942047119,3.0919408360123635,2.211448505872956,0.66,0.23244583333333332,2.2623510575899854,1.8893625224336574e-06,1.8929811422196961e-06
EEGConformer,OpenBMI_SSVEP,3,0,COMPLETE,8,20,2.62774258852005,2.1350678800046445,2.4251688612997535,1.2307536510334902,0.9120035767555237,0.5963541358709336,1.5292986530957922,0.5670833333333334,0.2751958333333333,1.7692895461572333,1.0236723255729885e-06,1.0119303213684815e-06
EEGConformer,OpenBMI_SSVEP,4,0,COMPLETE,4,20,2.957676023244858,2.606684993505478,2.8270774364471434,1.1346503434875597,2.4294655323028564,1.7664671203494071,1.3753245131572607,0.2679166666666667,0.12989166666666668,2.2005736133875327,1.7858131116099685e-06,1.7837990026237093e-06
FBCNet,OpenBMI_MI,0,0,COMPLETE,4,20,0.18521793372929096,0.113059481238015,0.15730759104713798,1.6382344205115058,0.008879407308995724,0.005074351094081066,1.7498606510205872,0.2925,0.2831625,0.11475670314626768,2.3238615654008754e-07,2.3131830603873027e-07
FBCNet,OpenBMI_MI,1,0,COMPLETE,4,20,0.40213804692029953,0.18294059606734664,0.24986410264857115,2.1981892240706316,0.06330404430627823,0.016895490357419475,3.7468012450126333,0.495,0.3714125000000001,0.3992228228924796,2.636017839563465e-07,2.55675763227714e-07
FBCNet,OpenBMI_MI,2,0,COMPLETE,8,20,0.5515080615878105,0.3653892905963585,0.4156013004342094,1.5093711714639588,0.04982314631342888,0.02027170141111128,2.4577683591037864,0.56375,0.4385499999999999,0.5951444596075453,2.2153107614997225e-07,2.2331308045409059e-07
FBCNet,OpenBMI_MI,3,0,COMPLETE,4,20,0.34734576009213924,0.16501540133729575,0.1821992221591063,2.1049293416082753,0.04593673348426819,0.012640552055963782,3.634076524576737,0.4625,0.3914,0.2920201230014209,2.3880099142559175e-07,2.4166191856522803e-07
FBCNet,OpenBMI_MI,4,0,EMPTY_PROTECTED,,,,,,,,,,,,,,
FBCNet,OpenBMI_SSVEP,0,0,COMPLETE,4,20,1.7167076766490936,0.7528932901937515,1.2494624791201203,2.2801473980559868,1.1199824810028076,0.20673069892451168,5.417591517995944,0.6079166666666667,0.16471666666666668,1.1267609256575815,1.0064968378742378e-06,1.024746754865191e-06
FBCNet,OpenBMI_SSVEP,1,0,COMPLETE,8,20,1.9381147548556328,1.2375911915302278,1.3851249369978906,1.566037935725155,0.3875383734703064,0.17905354589223862,2.16437139817126,0.6725000000000001,0.2917708333333333,0.8033324930258096,1.18656968339792e-06,1.163003143958008e-06
FBCNet,OpenBMI_SSVEP,2,0,COMPLETE,8,20,1.9321597069501877,1.1307907320559025,1.1338878822140397,1.7086801758954178,0.5973272919654846,0.21783059041947125,2.742164407741013,0.6829166666666666,0.27087083333333334,0.870589813310653,1.1563476434162112e-06,1.1600534903521975e-06
FBCNet,OpenBMI_SSVEP,3,0,COMPLETE,8,20,1.9984624683856964,1.430644314698875,1.670037864074111,1.3968968022679606,0.5562664270401001,0.2368203207384795,2.348896519122549,0.6008333333333333,0.2710833333333334,1.045687571084127,1.1712142509168189e-06,1.1709427765538294e-06
FBCNet,OpenBMI_SSVEP,4,0,COMPLETE,4,20,2.0917092859745026,0.8575818820111454,0.9473985103704035,2.4390782149794976,0.9180562496185303,0.24600666793994605,3.7318348210083547,0.5891666666666666,0.14817500000000003,0.9392019631480798,1.18611685451242e-06,1.196632079043525e-06
