fold,seed,task,metric,subject,session,representation,value
2,0,erp,cross_session,46,2->1,protected,0.9063103450397234
2,0,erp,cross_session,47,1->2,protected,0.9444145052533429
2,0,erp,cross_session,47,2->1,protected,0.967592504956043
2,0,erp,cross_session,48,1->2,protected,0.9229127237267433
2,0,erp,cross_session,48,2->1,protected,0.8695866539789163
2,0,erp,cross_session,50,1->2,protected,0.9841248370150647
2,0,erp,cross_session,50,2->1,protected,0.7266787490908085
2,0,erp,cross_session,53,1->2,protected,0.8067538299029338
2,0,erp,cross_session,53,2->1,protected,0.44439392663764626
2,0,erp,cross_session,8,1->2,protected,0.8243291619961581
2,0,erp,cross_session,8,2->1,protected,0.7892710444398712
2,0,erp,margin,1,both,protected,0.4716802390769405
2,0,erp,margin,10,both,protected,0.4053020598696011
2,0,erp,margin,11,both,protected,0.395849903806064
2,0,erp,margin,12,both,protected,0.5088297387078847
2,0,erp,margin,13,both,protected,0.5514725012806783
2,0,erp,margin,15,both,protected,0.20311295098732463
2,0,erp,margin,19,both,protected,0.5873052601129883
2,0,erp,margin,2,both,protected,0.6305862346759621
2,0,erp,margin,20,both,protected,0.6235362005469525
2,0,erp,margin,21,both,protected,0.35131802899161424
2,0,erp,margin,23,both,protected,0.06999967865246648
2,0,erp,margin,24,both,protected,0.43075129465688566
2,0,erp,margin,27,both,protected,0.41976179289451143
2,0,erp,margin,28,both,protected,0.6682431753533835
2,0,erp,margin,3,both,protected,0.2791165894291687
2,0,erp,margin,31,both,protected,0.6353489329102289
2,0,erp,margin,32,both,protected,0.6638346370681483
2,0,erp,margin,33,both,protected,0.20437253767267183
2,0,erp,margin,35,both,protected,0.5176866429544108
2,0,erp,margin,36,both,protected,0.6034669380173106
2,0,erp,margin,37,both,protected,0.5493756772970239
2,0,erp,margin,38,both,protected,0.348624029690879
2,0,erp,margin,39,both,protected,0.5259058702195727
2,0,erp,margin,40,both,protected,0.5021713158117973
2,0,erp,margin,41,both,protected,0.5490207658138275
2,0,erp,margin,42,both,protected,0.6571709204413738
2,0,erp,margin,43,both,protected,0.6401818506574292
2,0,erp,margin,45,both,protected,0.5143113990368351
2,0,erp,margin,46,both,protected,0.5959093909868107
2,0,erp,margin,47,both,protected,0.6660792733282295
2,0,erp,margin,48,both,protected,0.6031766815307226
2,0,erp,margin,50,both,protected,0.6239815580402178
2,0,erp,margin,53,both,protected,0.3715816100882745
2,0,erp,margin,8,both,protected,0.5257818861655226
2,0,ssvep,alignment,1,1,protected,0.9778542218129987
2,0,ssvep,alignment,1,2,protected,0.9869526551445442
2,0,ssvep,alignment,10,1,protected,0.9469919043995197
2,0,ssvep,alignment,10,2,protected,0.930858549742536
2,0,ssvep,alignment,11,1,protected,0.9889855919767662
2,0,ssvep,alignment,11,2,protected,0.9893759451296784
2,0,ssvep,alignment,12,1,protected,0.9764497585567452
2,0,ssvep,alignment,12,2,protected,0.9857886049461828
2,0,ssvep,alignment,13,1,protected,0.9258208841719664
2,0,ssvep,alignment,13,2,protected,0.9354918476434946
2,0,ssvep,alignment,15,1,protected,0.9207561732253241
2,0,ssvep,alignment,15,2,protected,0.8709048800213477
2,0,ssvep,alignment,19,1,protected,0.9550238038439934
2,0,ssvep,alignment,19,2,protected,0.9687229327289546
2,0,ssvep,alignment,2,1,protected,0.9922579304178059
2,0,ssvep,alignment,2,2,protected,0.9621944154733509
2,0,ssvep,alignment,20,1,protected,0.9727522761793765
2,0,ssvep,alignment,20,2,protected,0.9771481928223975
2,0,ssvep,alignment,21,1,protected,0.9442678493689468
2,0,ssvep,alignment,21,2,protected,0.9548381320040445
2,0,ssvep,alignment,23,1,protected,0.8401134454842087
2,0,ssvep,alignment,23,2,protected,0.7520148648486444
2,0,ssvep,alignment,24,1,protected,0.9174238723189189
2,0,ssvep,alignment,24,2,protected,0.9280803247278463
2,0,ssvep,alignment,27,1,protected,0.9946117093805742
2,0,ssvep,alignment,27,2,protected,0.9936143121911737
2,0,ssvep,alignment,28,1,protected,0.9708957806480079
2,0,ssvep,alignment,28,2,protected,0.9602243921410428
2,0,ssvep,alignment,3,1,protected,0.9812412554898341
2,0,ssvep,alignment,3,2,protected,0.9749897137428211
2,0,ssvep,alignment,31,1,protected,0.9708073453066517
2,0,ssvep,alignment,31,2,protected,0.971381321434246
2,0,ssvep,alignment,32,1,protected,0.9682404460730404
2,0,ssvep,alignment,32,2,protected,0.9181804491633432
2,0,ssvep,alignment,33,1,protected,0.9546927280858043
2,0,ssvep,alignment,33,2,protected,0.9629510313971871
2,0,ssvep,alignment,35,1,protected,0.9702224066013599
2,0,ssvep,alignment,35,2,protected,0.9210390324527428
2,0,ssvep,alignment,36,1,protected,0.9542357036066772
2,0,ssvep,alignment,36,2,protected,0.972516140480733
2,0,ssvep,alignment,37,1,protected,0.9844077004752015
2,0,ssvep,alignment,37,2,protected,0.9835809243468308
2,0,ssvep,alignment,38,1,protected,0.9833407253451947
2,0,ssvep,alignment,38,2,protected,0.9875623602906449
2,0,ssvep,alignment,39,1,protected,0.991600478136659
2,0,ssvep,alignment,39,2,protected,0.9945073635999927
2,0,ssvep,alignment,40,1,protected,0.9794105054473103
2,0,ssvep,alignment,40,2,protected,0.983206323686982
2,0,ssvep,alignment,41,1,protected,0.9776051750406758
2,0,ssvep,alignment,41,2,protected,0.9765552158395803
2,0,ssvep,alignment,42,1,protected,0.993840575716344
2,0,ssvep,alignment,42,2,protected,0.9329185632808333
2,0,ssvep,alignment,43,1,protected,0.9787273452938179
2,0,ssvep,alignment,43,2,protected,0.9687016597989424
2,0,ssvep,alignment,45,1,protected,0.9427059618973825
2,0,ssvep,alignment,45,2,protected,0.9362000588153335
2,0,ssvep,alignment,46,1,protected,0.9665510169863695
2,0,ssvep,alignment,46,2,protected,0.9839160182451007
2,0,ssvep,alignment,47,1,protected,0.16903747511985387
2,0,ssvep,alignment,47,2,protected,0.9798639290388487
2,0,ssvep,alignment,48,1,protected,0.9248220854340533
2,0,ssvep,alignment,48,2,protected,0.9392787876018726
2,0,ssvep,alignment,50,1,protected,0.9778910880245821
2,0,ssvep,alignment,50,2,protected,0.9707573612501134
2,0,ssvep,alignment,53,1,protected,0.9671019382535833
2,0,ssvep,alignment,53,2,protected,0.9506835931165813
2,0,ssvep,alignment,8,1,protected,0.9584781042241614
2,0,ssvep,alignment,8,2,protected,0.9460322463266437
2,0,ssvep,rdm,1,1,protected,0.6
2,0,ssvep,rdm,1,2,protected,1.0
2,0,ssvep,rdm,10,1,protected,0.4285714285714286
2,0,ssvep,rdm,10,2,protected,0.7142857142857143
2,0,ssvep,rdm,11,1,protected,0.8857142857142858
2,0,ssvep,rdm,11,2,protected,0.942857142857143
2,0,ssvep,rdm,12,1,protected,0.7714285714285715
2,0,ssvep,rdm,12,2,protected,0.8857142857142858
2,0,ssvep,rdm,13,1,protected,0.6
2,0,ssvep,rdm,13,2,protected,0.3142857142857143
2,0,ssvep,rdm,15,1,protected,0.2571428571428572
2,0,ssvep,rdm,15,2,protected,0.4285714285714286
2,0,ssvep,rdm,19,1,protected,0.6571428571428573
2,0,ssvep,rdm,19,2,protected,0.942857142857143
2,0,ssvep,rdm,2,1,protected,1.0
2,0,ssvep,rdm,2,2,protected,0.8285714285714287
2,0,ssvep,rdm,20,1,protected,0.8857142857142858
2,0,ssvep,rdm,20,2,protected,0.7714285714285715
2,0,ssvep,rdm,21,1,protected,0.6
2,0,ssvep,rdm,21,2,protected,0.8285714285714287
2,0,ssvep,rdm,23,1,protected,0.6571428571428573
2,0,ssvep,rdm,23,2,protected,0.2571428571428572
2,0,ssvep,rdm,24,1,protected,0.2571428571428572
2,0,ssvep,rdm,24,2,protected,0.028571428571428574
2,0,ssvep,rdm,27,1,protected,0.942857142857143
2,0,ssvep,rdm,27,2,protected,0.942857142857143
2,0,ssvep,rdm,28,1,protected,0.7142857142857143
2,0,ssvep,rdm,28,2,protected,0.5428571428571429
2,0,ssvep,rdm,3,1,protected,0.942857142857143
2,0,ssvep,rdm,3,2,protected,1.0
2,0,ssvep,rdm,31,1,protected,0.6
2,0,ssvep,rdm,31,2,protected,0.48571428571428577
2,0,ssvep,rdm,32,1,protected,0.7714285714285715
2,0,ssvep,rdm,32,2,protected,0.6571428571428573
2,0,ssvep,rdm,33,1,protected,0.6
2,0,ssvep,rdm,33,2,protected,0.8285714285714287
2,0,ssvep,rdm,35,1,protected,0.8285714285714287
2,0,ssvep,rdm,35,2,protected,0.08571428571428573
2,0,ssvep,rdm,36,1,protected,0.7142857142857143
2,0,ssvep,rdm,36,2,protected,0.7714285714285715
2,0,ssvep,rdm,37,1,protected,0.8285714285714287
2,0,ssvep,rdm,37,2,protected,0.8285714285714287
2,0,ssvep,rdm,38,1,protected,0.8857142857142858
2,0,ssvep,rdm,38,2,protected,1.0
2,0,ssvep,rdm,39,1,protected,0.942857142857143
2,0,ssvep,rdm,39,2,protected,0.8857142857142858
2,0,ssvep,rdm,40,1,protected,1.0
2,0,ssvep,rdm,40,2,protected,0.8857142857142858
2,0,ssvep,rdm,41,1,protected,0.8285714285714287
2,0,ssvep,rdm,41,2,protected,0.8285714285714287
2,0,ssvep,rdm,42,1,protected,0.7142857142857143
2,0,ssvep,rdm,42,2,protected,0.3142857142857143
2,0,ssvep,rdm,43,1,protected,0.8285714285714287
2,0,ssvep,rdm,43,2,protected,0.7714285714285715
2,0,ssvep,rdm,45,1,protected,0.7142857142857143
2,0,ssvep,rdm,45,2,protected,0.6
2,0,ssvep,rdm,46,1,protected,0.4285714285714286
2,0,ssvep,rdm,46,2,protected,0.942857142857143
2,0,ssvep,rdm,47,1,protected,-0.4285714285714286
2,0,ssvep,rdm,47,2,protected,0.7714285714285715
2,0,ssvep,rdm,48,1,protected,0.6571428571428573
2,0,ssvep,rdm,48,2,protected,0.5428571428571429
2,0,ssvep,rdm,50,1,protected,0.942857142857143
2,0,ssvep,rdm,50,2,protected,0.6
2,0,ssvep,rdm,53,1,protected,0.7714285714285715
2,0,ssvep,rdm,53,2,protected,0.3714285714285715
2,0,ssvep,rdm,8,1,protected,0.7714285714285715
2,0,ssvep,rdm,8,2,protected,0.8285714285714287
2,0,ssvep,cross_session,1,1->2,protected,0.942857142857143
2,0,ssvep,cross_session,1,2->1,protected,0.6571428571428573
2,0,ssvep,cross_session,10,1->2,protected,0.6571428571428573
2,0,ssvep,cross_session,10,2->1,protected,0.48571428571428577
2,0,ssvep,cross_session,11,1->2,protected,0.8857142857142858
2,0,ssvep,cross_session,11,2->1,protected,0.942857142857143
2,0,ssvep,cross_session,12,1->2,protected,0.6571428571428573
2,0,ssvep,cross_session,12,2->1,protected,0.942857142857143
2,0,ssvep,cross_session,13,1->2,protected,0.48571428571428577
2,0,ssvep,cross_session,13,2->1,protected,0.3714285714285715
2,0,ssvep,cross_session,15,1->2,protected,0.6
2,0,ssvep,cross_session,15,2->1,protected,0.028571428571428574
2,0,ssvep,cross_session,19,1->2,protected,0.7714285714285715
2,0,ssvep,cross_session,19,2->1,protected,0.8857142857142858
2,0,ssvep,cross_session,2,1->2,protected,0.942857142857143
2,0,ssvep,cross_session,2,2->1,protected,0.942857142857143
2,0,ssvep,cross_session,20,1->2,protected,0.8285714285714287
2,0,ssvep,cross_session,20,2->1,protected,0.7714285714285715
