model,fold,subject,status,protected_rank,intact_BA,protected_erased_BA,random_erased_BA,PEEH_pp,checkpoint_sha256
SIRE-EEG,2,sub-18,EMPTY_PROTECTED,0,0.5,0.5,0.5,0.0,e42877221aae554fdad97da7471a7c483a78576f73f3f31fefa5061bd417eff7
SIRE-EEG,2,sub-23,EMPTY_PROTECTED,0,0.39999999999999997,0.39999999999999997,0.3999999999999999,-5.551115123125783e-15,e42877221aae554fdad97da7471a7c483a78576f73f3f31fefa5061bd417eff7
SIRE-EEG,2,sub-29,EMPTY_PROTECTED,0,0.65,0.65,0.6500000000000001,1.1102230246251565e-14,e42877221aae554fdad97da7471a7c483a78576f73f3f31fefa5061bd417eff7
EEGNet,3,sub-05,VALID,5,0.6,0.7,0.5525,-14.749999999999996,c8f27bb4959d7dd2772b9124468f7d7aa85cc3d19a2ae95dd787e3bf6bfdc679
EEGNet,3,sub-08,VALID,5,0.6499999999999999,0.6000000000000001,0.634,3.399999999999992,c8f27bb4959d7dd2772b9124468f7d7aa85cc3d19a2ae95dd787e3bf6bfdc679
EEGNet,3,sub-10,VALID,5,0.75,0.7,0.5870000000000001,-11.299999999999988,c8f27bb4959d7dd2772b9124468f7d7aa85cc3d19a2ae95dd787e3bf6bfdc679
EEGNet,3,sub-19,VALID,5,0.44999999999999996,0.45,0.45199999999999996,0.19999999999999463,c8f27bb4959d7dd2772b9124468f7d7aa85cc3d19a2ae95dd787e3bf6bfdc679
EEGNet,3,sub-20,VALID,5,0.55,0.44999999999999996,0.5619999999999998,11.199999999999989,c8f27bb4959d7dd2772b9124468f7d7aa85cc3d19a2ae95dd787e3bf6bfdc679
EEGNet,3,sub-25,VALID,5,0.75,0.45,0.7055000000000001,25.55000000000001,c8f27bb4959d7dd2772b9124468f7d7aa85cc3d19a2ae95dd787e3bf6bfdc679
SIRE-EEG,3,sub-05,VALID,4,0.4,0.3,0.38550000000000006,8.550000000000008,40ab0f53ee2a5fb3b39bb1ef629434975b3e969681ed45ee08445a22fd50a88e
SIRE-EEG,3,sub-08,VALID,4,0.75,0.6,0.6844999999999999,8.44999999999999,40ab0f53ee2a5fb3b39bb1ef629434975b3e969681ed45ee08445a22fd50a88e
SIRE-EEG,3,sub-10,VALID,4,0.6,0.5,0.5589999999999998,5.899999999999983,40ab0f53ee2a5fb3b39bb1ef629434975b3e969681ed45ee08445a22fd50a88e
SIRE-EEG,3,sub-19,VALID,4,0.4,0.5,0.42550000000000004,-7.449999999999996,40ab0f53ee2a5fb3b39bb1ef629434975b3e969681ed45ee08445a22fd50a88e
SIRE-EEG,3,sub-20,VALID,4,0.55,0.65,0.5899999999999999,-6.000000000000016,40ab0f53ee2a5fb3b39bb1ef629434975b3e969681ed45ee08445a22fd50a88e
SIRE-EEG,3,sub-25,VALID,4,0.8,0.8,0.757,-4.300000000000004,40ab0f53ee2a5fb3b39bb1ef629434975b3e969681ed45ee08445a22fd50a88e
EEGNet,4,sub-01,VALID,8,0.7,0.55,0.617,6.699999999999995,0edcf5d16cc0e54bceb04e5c7c9439433e828da4787bb2031745df8fabe2b505
EEGNet,4,sub-04,VALID,8,0.75,0.5,0.628,12.8,0edcf5d16cc0e54bceb04e5c7c9439433e828da4787bb2031745df8fabe2b505
EEGNet,4,sub-13,VALID,8,0.6000000000000001,0.6,0.6259999999999999,2.599999999999991,0edcf5d16cc0e54bceb04e5c7c9439433e828da4787bb2031745df8fabe2b505
EEGNet,4,sub-16,VALID,8,0.7,0.6499999999999999,0.6614999999999999,1.1499999999999955,0edcf5d16cc0e54bceb04e5c7c9439433e828da4787bb2031745df8fabe2b505
EEGNet,4,sub-22,VALID,8,0.8,0.5,0.6779999999999999,17.799999999999994,0edcf5d16cc0e54bceb04e5c7c9439433e828da4787bb2031745df8fabe2b505
SIRE-EEG,4,sub-01,EMPTY_PROTECTED,0,0.6000000000000001,0.6000000000000001,0.6,-1.1102230246251565e-14,7189881563d63a7e11cf93d269a3171586539f5b237777a2e1f45ac91966d975
SIRE-EEG,4,sub-04,EMPTY_PROTECTED,0,0.55,0.55,0.5499999999999998,-2.220446049250313e-14,7189881563d63a7e11cf93d269a3171586539f5b237777a2e1f45ac91966d975
SIRE-EEG,4,sub-13,EMPTY_PROTECTED,0,0.8,0.8,0.7999999999999998,-2.220446049250313e-14,7189881563d63a7e11cf93d269a3171586539f5b237777a2e1f45ac91966d975
SIRE-EEG,4,sub-16,EMPTY_PROTECTED,0,0.6000000000000001,0.6000000000000001,0.6,-1.1102230246251565e-14,7189881563d63a7e11cf93d269a3171586539f5b237777a2e1f45ac91966d975
SIRE-EEG,4,sub-22,EMPTY_PROTECTED,0,0.75,0.75,0.75,0.0,7189881563d63a7e11cf93d269a3171586539f5b237777a2e1f45ac91966d975
