row_type,method,subject_id,source_fold,BA,FutureDeltaBA,NegativeTransfer,internal_holdout_used,outer_test_used,mean_BA,median_BA,SD_BA,negative_transfer_rate
subject,FOLD_CORRECT_CACHED_GENERIC,44,2,0.94,0.010000000000000009,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,52,2,0.8200000000000001,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,52,2,0.8200000000000001,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,7,2,0.84,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,7,2,0.8500000000000001,0.01000000000000012,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,15,3,0.91,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,15,3,0.91,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,20,3,0.9,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,20,3,0.9099999999999999,0.009999999999999898,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,21,3,0.97,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,21,3,0.98,0.010000000000000009,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,27,3,0.94,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,27,3,0.94,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,28,3,0.96,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,28,3,0.96,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,38,3,0.76,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,38,3,0.79,0.030000000000000027,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,41,3,0.78,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,41,3,0.78,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,46,3,0.74,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,46,3,0.73,-0.010000000000000009,1.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,9,3,0.81,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,9,3,0.8,-0.010000000000000009,1.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,11,4,0.71,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,11,4,0.71,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,23,4,0.79,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,23,4,0.81,0.020000000000000018,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,3,4,0.94,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,3,4,0.95,0.010000000000000009,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,30,4,0.75,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,30,4,0.75,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,31,4,0.8,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,31,4,0.8,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,49,4,0.78,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,49,4,0.77,-0.010000000000000009,1.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_NOADAPT,8,4,0.72,0.0,0.0,False,False,,,,
subject,FOLD_CORRECT_CACHED_GENERIC,8,4,0.73,0.010000000000000009,0.0,False,False,,,,
aggregate,FOLD_CORRECT_CACHED_NOADAPT,ALL_40,all,0.8267499999999999,0.0,0.0,False,False,0.8267499999999999,0.825,0.09373687942374956,0.0
aggregate,FOLD_CORRECT_CACHED_GENERIC,ALL_40,all,0.83125,0.004499999999999999,0.15,False,False,0.83125,0.835,0.093731408412959,0.15
