subject_id,source_fold,delta_P,delta_U,delta_D,slope_P,slope_U,slope_D,AUC_P,AUC_U,AUC_D,min_U,max_drop_U,max_drop_D,late_minus_early_U,late_minus_early_D,cumulative_predicted_utility_damage,max_predicted_utility_damage,fraction_steps_predicted_damage,cumulative_predicted_decision_damage,max_predicted_decision_damage,mean_actual_utility_delta_small_step,mean_predicted_utility_delta,mean_cos_task_G,final_history_BA,final_history_loss,P_static,U_static,D_static,I_static,history_BA_t0,history_loss_t0,history_margin_t0,history_gradient_norm_t0,BA_NoAdapt_S2,BA_Generic_S2,FutureDeltaBA,NegativeTransfer,role,R_raw
10,1,0.87456676192603,0.08999999999999997,0.09,0.1254581951228431,0.019714285714285705,0.01971428571428571,0.783716433622526,0.03699999999999996,0.037,0.0,0.0,0.0,0.08499999999999996,0.08499999999999999,0.0,0.0,0.0,0.0,0.0,0.0345591215821631,0.03673508469559568,-0.8039002126868571,0.77,0.47700060514571807,1.0,0.3499999999999999,0.67,0.22847877891455692,0.6699999999999999,0.7266949129247634,2.9035284212231636,1.1897509110510955,0.79,0.8,0.010000000000000009,0,outcome,0.0
16,1,0.5997632855697618,0.010000000000000009,0.01,0.08495828728184637,0.0022857142857142876,0.002285714285714285,0.5449896374145616,0.0030000000000000027,0.003,0.0,0.0,0.0,0.010000000000000009,0.01,0.0,0.0,0.0,0.0,0.0,0.0020135369399589377,0.0020566744465876858,-0.5929524469194858,0.79,0.45553970579684433,1.0,0.42,0.72,0.48286493830047406,0.78,0.48398886810180947,2.143810362815857,0.35843873723505704,0.84,0.85,0.010000000000000009,0,outcome,0.0
35,1,0.7991557672077655,0.0,0.0,0.1138949805647086,0.0,0.0,0.7210506483822845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007549484090398878,0.0007733598621663593,-0.7774986335636933,0.99,0.060605008347999326,1.0,0.97,0.99,0.8578451782393004,0.99,0.06673218333978102,4.246071607470513,0.1686136442247941,0.86,0.86,0.0,0,outcome,0.0
43,1,0.7532579069349099,0.0,0.0,0.10668815918590441,0.0,0.0,0.6842456692669396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005703508977036254,0.0005777361709457104,-0.7486549850161426,0.98,0.10211875089711472,1.0,0.78,0.82,0.6620334364746593,0.98,0.10722554744429572,3.548915388956666,0.14784522778771475,0.8899999999999999,0.8899999999999999,0.0,0,outcome,0.0
45,1,0.6651182420314367,0.010000000000000009,0.01,0.09443694724759027,0.002571428571428573,0.002571428571428571,0.6024697660959129,0.0050000000000000044,0.005,0.0,0.0,0.0,0.010000000000000009,0.01,0.0,0.0,0.0,0.0,0.0,0.0011409531470813138,0.0011609225901433556,-0.6547227507604582,0.88,0.2860394532595295,1.0,0.44,0.56,0.36154234937133,0.86,0.2991992639669224,2.1722959250211717,0.24095847825653036,0.95,0.95,0.0,0,outcome,0.0
48,1,0.7511107284623239,-0.020000000000000018,0.02,0.10715620732441412,-0.005142857142857147,0.00457142857142857,0.6771656693600745,-0.006000000000000005,0.01,-0.020000000000000018,0.020000000000000018,0.0,-0.020000000000000018,0.02,0.0,0.0,0.0,0.0,0.0,0.0023667937688551357,0.002388905792716437,-0.7502616331552951,0.74,0.5623841359419957,1.0,0.37,0.71,0.42041140761698387,0.74,0.5834242006932401,1.9177857683598996,0.30082179245343493,0.61,0.6,-0.010000000000000009,1,outcome,0.020000000000000018
5,1,0.8589731257406376,0.0,0.0,0.12234578204902134,0.0,0.0,0.7755766725608069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018497829228961205,0.0018967184329759183,-0.8437234986849065,0.97,0.11578655186934375,1.0,0.79,0.83,0.6537180716350937,0.97,0.12859798361784092,3.074939796179533,0.24703729419243908,0.72,0.72,0.0,0,outcome,0.0
6,1,0.6463247687350901,0.0,0.0,0.0918453258896674,0.0,0.0,0.5850013386819835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003628567960878598,0.0003665330401721226,-0.640730487725937,0.98,0.07892418536935553,1.0,0.89,0.93,0.6546553342471897,0.98,0.08332657919331586,3.9490539668500424,0.1360542184891512,0.97,0.97,0.0,0,outcome,0.0
22,2,0.9174528553034215,0.050000000000000044,0.09,0.1307118821317419,0.00771428571428572,0.01571428571428571,0.8283838785995812,0.025000000000000022,0.053000000000000005,0.0,0.0,0.0,0.030000000000000027,0.06,0.0,0.0,0.0,0.0,0.0,0.024240581765527968,0.02520820080884716,-0.8764858419773123,0.78,0.5854833480084625,1.0,0.26,0.6,0.195498640728657,0.72,0.7396754208088945,2.8935216039419176,0.8782588148445287,0.8500000000000001,0.85,-1.1102230246251565e-16,1,outcome,0.0
26,2,0.9419499575610314,0.020000000000000018,0.04,0.1345153959195009,0.00771428571428572,0.01057142857142857,0.8482873066441862,0.02400000000000002,0.026000000000000002,0.0,0.0,0.0,0.03500000000000003,0.045,0.0,0.0,0.0,0.010000000000000002,0.010000000000000002,0.032136597765691374,0.03284286446759351,-0.9218221084895136,0.79,0.5672192831091785,1.0,0.31,0.77,0.22180339623913306,0.75,0.754941820556261,3.3228486400842665,0.9255257607127344,0.87,0.8799999999999999,0.009999999999999898,0,outcome,0.010000000000000002
