subject_id,source_fold,step,checkpoint,predicted_utility_damage,utility_delta_actual_small_step,predicted_utility_delta,cos_task_G
6,1,2,t2,0.0,0.00036194625448185413,0.0003655996269482114,-0.6405376851357678
6,1,3,t3,0.0,0.00034906733666335843,0.0003524886824069354,-0.6350490289491844
6,1,4,t4,0.0,0.0003370157932963691,0.0003402255622747901,-0.6297469583657053
7,1,0,t0,0.0,0.0014846858354740922,0.001560025265274346,-0.581978880449875
7,1,1,t1,0.0,0.001254868973703832,0.0013157338062462789,-0.5562358940547113
7,1,2,t2,0.0,0.0010710577724294956,0.0011204729260300363,-0.5317693836828571
7,1,3,t3,0.0,0.00092343195817432,0.0009637422659191023,-0.5088594406801382
7,1,4,t4,0.0,0.0008043963579360824,0.0008374307974004831,-0.4877302974553732
8,1,0,t0,0.0,0.0032142138249185437,0.0035730769854471576,-0.654545918914308
8,1,1,t1,0.0,0.0021908572954619787,0.0024442296601669086,-0.5826921933910096
8,1,2,t2,0.0,0.0014943797555009297,0.001672470521983587,-0.5050861555276354
8,1,3,t3,0.0,0.001025716589177994,0.001150628886570049,-0.42645779296054626
8,1,4,t4,0.0,0.0007137389528619198,0.0008013886763601629,-0.3523332369953478
9,1,0,t0,0.0,0.0011641200417962239,0.0011880562533491089,-0.7601659509789287
9,1,1,t1,0.0,0.0010850111614384705,0.0011063635216163558,-0.7544143252748972
9,1,2,t2,0.0,0.0010145526937321014,0.0010336869786491151,-0.7488811692558994
9,1,3,t3,0.0,0.0009515151932160681,0.000968735600328789,-0.7435512415922523
9,1,4,t4,0.0,0.0008948759043188037,0.0009104368269309386,-0.7384095317757252
1,2,0,t0,0.0,0.000549460817155123,0.0005610517165158031,-0.5125212914475235
1,2,1,t1,0.0,0.0005127303418946683,0.0005230604602960973,-0.5020933138344723
1,2,2,t2,0.0,0.00048006962208813064,0.000489300939024794,-0.49228015664287256
1,2,3,t3,0.0,0.00045093809793819717,0.0004592102310576401,-0.4830689355553211
1,2,4,t4,0.0,0.00042487184883854834,0.0004323052411878542,-0.47444101538161504
10,2,0,t0,0.0,0.0031454544641195126,0.003252092912624461,-0.8408839123988507
10,2,1,t1,0.0,0.0027803853785454136,0.002870171757863388,-0.8265322524394617
10,2,2,t2,0.0,0.0024741332349083045,0.0025501402243304928,-0.8119973562147957
10,2,3,t3,0.0,0.0022158834143770345,0.002280572790743521,-0.7973952272672808
10,2,4,t4,0.0,0.0019969750331964853,0.0020523273683737677,-0.7828341119046002
11,2,0,t0,0.0,0.011361291784408478,0.011795814508190252,-0.9023635224351052
11,2,1,t1,0.0,0.009837303537974018,0.010217014786739533,-0.890567486621702
11,2,2,t2,0.0,0.00851228306704832,0.008843636755827501,-0.8773570208968278
11,2,3,t3,0.0,0.007362056439595366,0.007650882320128768,-0.8626205263757915
11,2,4,t4,0.0,0.0063649172458551395,0.006616444792491412,-0.8462542270789288
14,2,0,t0,0.0,0.0018622803748327144,0.0018960446755099836,-0.7703116987336349
14,2,1,t1,0.0,0.0017386926298554872,0.0017692992655741623,-0.7615916645713726
14,2,2,t2,0.0,0.0016267288993900841,0.001654511937487642,-0.7529962053570741
14,2,3,t3,0.0,0.0015251429456407117,0.0015503977240775195,-0.7445435405100586
14,2,4,t4,0.0,0.0014328340892424962,0.001455821976034241,-0.7362496933037305
15,2,0,t0,0.0,0.0003925336733313703,0.00039601972518872635,-0.7960093122520819
15,2,1,t1,0.0,0.0003799108581497429,0.00038323266024714917,-0.7921280762314443
15,2,2,t2,0.0,0.00036789455815602196,0.00037106262944013876,-0.7882675225655985
15,2,3,t3,0.0,0.00035644578136476146,0.000359469806823091,-0.7844278001355375
15,2,4,t4,0.0,0.0003455286247980652,0.0003484175331288574,-0.7806090199401567
16,2,0,t0,0.0,0.0012607426620803719,0.0012738446885924527,-0.6211643775386634
16,2,1,t1,0.0,0.0012130113857838354,0.001225493993184136,-0.6185506429448552
16,2,2,t2,0.0,0.0011675889173934362,0.0011794870067809756,-0.615939457515753
16,2,3,t3,0.0,0.0011243409859926778,0.0011356873001553678,-0.6133275694070213
16,2,4,t4,0.0,0.0010831420369181721,0.0010939672800819994,-0.6107117751995526
19,2,0,t0,0.0,0.0010346442353224572,0.0010509116422661323,-0.5989280213915406
19,2,1,t1,0.0,0.0009795185106363513,0.0009949154924599587,-0.59046646991147
19,2,2,t2,0.0,0.0009275196749040648,0.0009421002030534771,-0.5819409601415964
19,2,3,t3,0.0,0.0008784492401011645,0.0008922634117987708,-0.5733531687507778
19,2,4,t4,0.0,0.000832123279356306,0.0008452175782692498,-0.5647048886816602
2,2,0,t0,0.0,0.0025645346586958273,0.0026573877531913554,-0.8716655318559989
2,2,1,t1,0.0,0.0022451218116160965,0.0023236471018950942,-0.859140241688162
2,2,2,t2,0.0,0.001975752726087854,0.002042451192678203,-0.8460949688140251
2,2,3,t3,0.0,0.001747654242088198,0.001804546139138434,-0.8326036442913913
2,2,4,t4,0.0,0.0015537372695748342,0.001602462460395129,-0.8187486863268593
20,2,0,t0,0.0,0.0008121812933440109,0.0008215747857681727,-0.7036769306232381
20,2,1,t1,0.0,0.0007784315250458085,0.0007872983842172215,-0.6987564099887403
20,2,2,t2,0.0,0.0007465944032704896,0.000754969238052958,-0.6938616915252783
20,2,3,t3,0.0,0.0007165424915581142,0.0007244573677511875,-0.6889953748488388
20,2,4,t4,0.0,0.0006881578517201614,0.0006956424953091625,-0.6841599321137053
21,2,0,t0,0.0,0.00027148646510846697,0.00027362932840918483,-0.8865679249968316
21,2,1,t1,0.0,0.0002636564004587019,0.00026570486863546435,-0.8843510836800967
21,2,2,t2,0.0,0.00025617638082882366,0.0002581361084937429,-0.8821355038180075
21,2,3,t3,0.0,0.0002490253282479704,0.0002509015485557492,-0.8799213711457667
21,2,4,t4,0.0,0.00024218373692766818,0.00024398129875920416,-0.877708859183194
22,2,0,t0,0.0,0.03169578202214851,0.03282797973209526,-0.9013791898479178
22,2,1,t1,0.0,0.027631018473090352,0.028688356067640714,-0.8911126644100934
22,2,2,t2,0.0,0.023892883673156784,0.024865734039557195,-0.8788193450053164
22,2,3,t3,0.0,0.020505660023360406,0.021388968121962067,-0.8641966371158872
22,2,4,t4,0.0,0.01747756463588379,0.01826996608298058,-0.8469213735073471
23,2,0,t0,0.0,0.0007108300275568413,0.0007224911295892326,-0.6715256750709918
23,2,1,t1,0.0,0.0006690630373284434,0.0006798896825004629,-0.6634361690525405
23,2,2,t2,0.0,0.000630307475147085,0.000640368338261824,-0.6553740204206936
23,2,3,t3,0.0,0.00059431190178727,0.0006036691768139429,-0.6473447560161066
23,2,4,t4,0.0,0.000560848859560148,0.0005695589625860938,-0.6393538030659662
26,2,0,t0,0.0,0.03740322856136369,0.038072538349832555,-0.9301977110765635
26,2,1,t1,0.0,0.034835254521158876,0.03552863836011979,-0.9268653005236986
26,2,2,t2,0.0,0.03219093328077072,0.0329033295524648,-0.9227630272913708
26,2,3,t3,0.0,0.02949143763927098,0.030216736980463663,-0.9177287393733121
26,2,4,t4,0.0,0.026762134825892625,0.027493079095086748,-0.9115557641826232
27,2,0,t0,0.0,0.0022473654393292963,0.0022952108819808137,-0.8950601212890509
27,2,1,t1,0.0,0.0020764986351611975,0.0021193427337036735,-0.8887552217708174
27,2,2,t2,0.0,0.0019236082210458416,0.0019621093989250155,-0.8823450781483332
27,2,3,t3,0.0,0.0017863307972733472,0.0018210433296068245,-0.8758380346698905
27,2,4,t4,0.0,0.0016626740809238816,0.0016940673046929222,-0.8692425296080711
