dataset,seed,action,config_id,inner_fold,n_subjects,heldout_mean_safe_gain,heldout_harm_rate
eegmmidb,3,official_t3a,official_t3a-0ad43336d54d,2,8,0.0,0.0
eegmmidb,3,official_t3a,official_t3a-0e621b80ffab,0,14,0.0,0.0
eegmmidb,3,official_t3a,official_t3a-0e621b80ffab,1,8,0.0,0.0
eegmmidb,3,official_t3a,official_t3a-0e621b80ffab,2,8,0.0,0.0
eegmmidb,3,official_t3a,official_t3a-13d4c0513513,0,14,0.0,0.0
eegmmidb,3,official_t3a,official_t3a-13d4c0513513,1,8,0.0,0.0
eegmmidb,3,official_t3a,official_t3a-13d4c0513513,2,8,0.0,0.0
eegmmidb,3,robust_residual_adapter,robust_residual_adapter-23484698f18c,0,14,0.010119047619047614,0.14285714285714285
eegmmidb,3,robust_residual_adapter,robust_residual_adapter-23484698f18c,1,8,0.005208333333333343,0.25
eegmmidb,3,robust_residual_adapter,robust_residual_adapter-23484698f18c,2,8,0.00833333333333336,0.0
eegmmidb,3,robust_residual_adapter,robust_residual_adapter-346f250d78e3,0,14,0.0113095238095238,0.14285714285714285
eegmmidb,3,robust_residual_adapter,robust_residual_adapter-346f250d78e3,1,8,0.006250000000000033,0.25
eegmmidb,3,robust_residual_adapter,robust_residual_adapter-346f250d78e3,2,8,0.010416666666666685,0.0
eegmmidb,3,robust_residual_adapter,robust_residual_adapter-6e54d31acf02,0,14,0.0113095238095238,0.14285714285714285
eegmmidb,3,robust_residual_adapter,robust_residual_adapter-6e54d31acf02,1,8,0.006250000000000033,0.25
eegmmidb,3,robust_residual_adapter,robust_residual_adapter-6e54d31acf02,2,8,0.010416666666666685,0.0
eegmmidb,3,robust_residual_adapter,robust_residual_adapter-767bb840c2da,0,14,0.010119047619047614,0.14285714285714285
eegmmidb,3,robust_residual_adapter,robust_residual_adapter-767bb840c2da,1,8,0.005208333333333343,0.25
eegmmidb,3,robust_residual_adapter,robust_residual_adapter-767bb840c2da,2,8,0.00833333333333336,0.0
eegmmidb,4,official_t3a,official_t3a-06d8b003eb93,0,9,0.0,0.0
eegmmidb,4,official_t3a,official_t3a-06d8b003eb93,1,11,0.0,0.0
eegmmidb,4,official_t3a,official_t3a-06d8b003eb93,2,10,0.0,0.0
eegmmidb,4,official_t3a,official_t3a-0ad43336d54d,0,9,0.0,0.0
eegmmidb,4,official_t3a,official_t3a-0ad43336d54d,1,11,0.0,0.0
eegmmidb,4,official_t3a,official_t3a-0ad43336d54d,2,10,0.0,0.0
eegmmidb,4,official_t3a,official_t3a-0e621b80ffab,0,9,0.0,0.0
eegmmidb,4,official_t3a,official_t3a-0e621b80ffab,1,11,0.0,0.0
eegmmidb,4,official_t3a,official_t3a-0e621b80ffab,2,10,0.0,0.0
eegmmidb,4,official_t3a,official_t3a-13d4c0513513,0,9,0.0,0.0
eegmmidb,4,official_t3a,official_t3a-13d4c0513513,1,11,0.0,0.0
eegmmidb,4,official_t3a,official_t3a-13d4c0513513,2,10,0.0,0.0
eegmmidb,4,robust_residual_adapter,robust_residual_adapter-0903d909f1e8,0,9,0.002777777777777768,0.0
