benchmark,family_id,expert_left,expert_right,correctness_correlation,correctness_disagreement,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB020__META_SGD_MI_SPECIFIC_K4__E2_BLEND50,MB066__SPD_TRANSPORT_K4_P8_D16__E2_RESIDUAL50,0.6682914834540512,0.08444444444444445,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB020__META_SGD_MI_SPECIFIC_K4__E2_BLEND50,MB068__SPD_TRANSPORT_K4_P8_D16__E3_RESIDUAL50,0.6735546810221642,0.08333333333333333,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB022__META_SGD_MI_SPECIFIC_K4__E3_BLEND50,MB024__METRIC_TRANSPORT_CONFORMER_NORM_K4_D16__E0_RESIDUAL50,0.578938645363472,0.11,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB022__META_SGD_MI_SPECIFIC_K4__E3_BLEND50,MB026__METRIC_TRANSPORT_CONFORMER_NORM_K4_D16__E1_RESIDUAL50,0.5777524977485595,0.11,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB022__META_SGD_MI_SPECIFIC_K4__E3_BLEND50,MB028__METRIC_TRANSPORT_CONFORMER_NORM_K4_D16__E2_RESIDUAL50,0.5847366111530022,0.10833333333333334,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB022__META_SGD_MI_SPECIFIC_K4__E3_BLEND50,MB030__METRIC_TRANSPORT_CONFORMER_NORM_K4_D16__E3_RESIDUAL50,0.5859054644440521,0.10833333333333334,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB022__META_SGD_MI_SPECIFIC_K4__E3_BLEND50,MB032__METRIC_TRANSPORT_MI_SPECIFIC_K4_D16__E0_RESIDUAL50,0.6698764167767307,0.08444444444444445,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB022__META_SGD_MI_SPECIFIC_K4__E3_BLEND50,MB034__METRIC_TRANSPORT_MI_SPECIFIC_K4_D16__E1_RESIDUAL50,0.6750613758945476,0.08333333333333333,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB022__META_SGD_MI_SPECIFIC_K4__E3_BLEND50,MB036__METRIC_TRANSPORT_MI_SPECIFIC_K4_D16__E2_RESIDUAL50,0.6837568852448423,0.0811111111111111,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB022__META_SGD_MI_SPECIFIC_K4__E3_BLEND50,MB038__METRIC_TRANSPORT_MI_SPECIFIC_K4_D16__E3_RESIDUAL50,0.6999039001131329,0.07777777777777778,False
