method,fold,BA,Macro_F1,baseline_BA,Delta_BA_vs_strongest_baseline
A7_IDENTITY_PROTECTED,0,0.7754166666666666,0.7739526080443899,0.7725,0.0029166666666666785
A7_IDENTITY_PROTECTED,1,0.73875,0.7310725302919181,0.7675000000000001,-0.028750000000000053
A7_IDENTITY_PROTECTED,2,0.7279166666666667,0.7248639292251801,0.7883333333333334,-0.060416666666666785
A7_IDENTITY_PROTECTED,3,0.8033333333333333,0.8014671204918233,0.8295833333333333,-0.026249999999999996
A7_IDENTITY_PROTECTED,4,0.80375,0.8013332882657812,0.8041666666666667,-0.0004166666666667318
A8_RANDOM_PROTECTED,0,0.7745833333333333,0.7728652635074482,0.7725,0.002083333333333326
A8_RANDOM_PROTECTED,1,0.735,0.7275559452935915,0.7675000000000001,-0.032500000000000084
A8_RANDOM_PROTECTED,2,0.7308333333333333,0.7286138437794726,0.7883333333333334,-0.05750000000000011
A8_RANDOM_PROTECTED,3,0.7933333333333333,0.7920733205194507,0.8295833333333333,-0.036250000000000004
A8_RANDOM_PROTECTED,4,0.80125,0.7992009632766215,0.8041666666666667,-0.0029166666666666785
A9_PCA_PROTECTED,0,0.7787499999999999,0.7775722574941856,0.7762500000000001,0.0024999999999998357
A9_PCA_PROTECTED,1,0.755,0.7411738674724099,0.76,-0.0050000000000000044
A9_PCA_PROTECTED,2,0.7225,0.7204907001480247,0.79,-0.0675
A9_PCA_PROTECTED,3,0.78125,0.7790532544102772,0.8075,-0.026249999999999996
A9_PCA_PROTECTED,4,0.79625,0.7944582797239366,0.79125,0.0050000000000000044
B0_VANILLA_EEGNET,0,0.7904166666666667,0.7867107331958255,0.7725,0.017916666666666692
B0_VANILLA_EEGNET,1,0.7466666666666666,0.7396495854814468,0.7675000000000001,-0.02083333333333348
B0_VANILLA_EEGNET,2,0.7908333333333334,0.7898935400012128,0.7883333333333334,0.0024999999999999467
B0_VANILLA_EEGNET,3,0.7925,0.7888840417206532,0.8295833333333333,-0.03708333333333336
B0_VANILLA_EEGNET,4,0.8104166666666667,0.806584565230659,0.8041666666666667,0.006249999999999978
B1_STRONG_EEGNET,0,0.7754166666666666,0.774080761753548,0.7725,0.0029166666666666785
B1_STRONG_EEGNET,1,0.7604166666666666,0.755460542777053,0.7675000000000001,-0.007083333333333441
B1_STRONG_EEGNET,2,0.7908333333333334,0.7898935400012128,0.7883333333333334,0.0024999999999999467
B1_STRONG_EEGNET,3,0.8204166666666667,0.8170062159424972,0.8295833333333333,-0.009166666666666656
B1_STRONG_EEGNET,4,0.8104166666666667,0.806584565230659,0.8041666666666667,0.006249999999999978
B2_STRONG_GENERIC,0,0.7725,0.7706498288035687,0.7725,0.0
B2_STRONG_GENERIC,1,0.7675000000000001,0.7644521009502113,0.7675000000000001,0.0
B2_STRONG_GENERIC,2,0.7883333333333334,0.7861193199206608,0.7883333333333334,0.0
B2_STRONG_GENERIC,3,0.8295833333333333,0.8278948096420975,0.8295833333333333,0.0
B2_STRONG_GENERIC,4,0.8041666666666667,0.7995573056906986,0.8041666666666667,0.0
