task,dataset,fold,seed,subject_id,method,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256
OpenBMI_ERP,OpenBMI,1,0,2,LiteBN_XS,0.9696969696969697,0.9270277197502592,0.9555555555555556,1980,6a856e1c2f6bb59d105071808260778409cb8b12f92683dc0910bd2e0498fe66,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,2,XS_FT,0.9757575757575758,0.942408278425005,0.9656565656565657,1980,abb2a266b99fedd174bb21311a6783beff1594e14dde075eeba0667e5fa7a2ea,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,26,LiteBN_BASELINE,0.9412121212121212,0.8992510981613617,0.9383838383838384,1980,c08f0f3483a798cec6cfcf478741f17cdc1686870da39749ba6ae265536d3c9a,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,26,LiteBN_XS,0.9415151515151515,0.8843643806848641,0.9267676767676768,1980,6a856e1c2f6bb59d105071808260778409cb8b12f92683dc0910bd2e0498fe66,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,26,XS_FT,0.9415151515151515,0.8973011574055825,0.9368686868686869,1980,abb2a266b99fedd174bb21311a6783beff1594e14dde075eeba0667e5fa7a2ea,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,28,LiteBN_BASELINE,0.9187878787878788,0.8680609279617217,0.9171717171717172,1980,c08f0f3483a798cec6cfcf478741f17cdc1686870da39749ba6ae265536d3c9a,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,28,LiteBN_XS,0.9242424242424243,0.8471238833193948,0.897979797979798,1980,6a856e1c2f6bb59d105071808260778409cb8b12f92683dc0910bd2e0498fe66,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,28,XS_FT,0.9296969696969697,0.865535654214685,0.9131313131313131,1980,abb2a266b99fedd174bb21311a6783beff1594e14dde075eeba0667e5fa7a2ea,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,31,LiteBN_BASELINE,0.9272727272727272,0.8722786647314948,0.9191919191919192,1980,c08f0f3483a798cec6cfcf478741f17cdc1686870da39749ba6ae265536d3c9a,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,31,LiteBN_XS,0.9166666666666667,0.8448701674378645,0.8974747474747474,1980,6a856e1c2f6bb59d105071808260778409cb8b12f92683dc0910bd2e0498fe66,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,31,XS_FT,0.9272727272727272,0.8698393916218128,0.9171717171717172,1980,abb2a266b99fedd174bb21311a6783beff1594e14dde075eeba0667e5fa7a2ea,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,35,LiteBN_BASELINE,0.87,0.8230706807521133,0.8883838383838384,1980,c08f0f3483a798cec6cfcf478741f17cdc1686870da39749ba6ae265536d3c9a,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,35,LiteBN_XS,0.9006060606060606,0.8543286939774479,0.9090909090909091,1980,6a856e1c2f6bb59d105071808260778409cb8b12f92683dc0910bd2e0498fe66,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,35,XS_FT,0.8996969696969697,0.8694259806134383,0.9217171717171717,1980,abb2a266b99fedd174bb21311a6783beff1594e14dde075eeba0667e5fa7a2ea,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,40,LiteBN_BASELINE,0.7966666666666666,0.7543442937847247,0.842929292929293,1980,c08f0f3483a798cec6cfcf478741f17cdc1686870da39749ba6ae265536d3c9a,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,40,LiteBN_XS,0.8066666666666666,0.7909628378378378,0.8777777777777778,1980,6a856e1c2f6bb59d105071808260778409cb8b12f92683dc0910bd2e0498fe66,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,40,XS_FT,0.8018181818181818,0.7974778415015641,0.8858585858585859,1980,abb2a266b99fedd174bb21311a6783beff1594e14dde075eeba0667e5fa7a2ea,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,43,LiteBN_BASELINE,0.936060606060606,0.8698073648256244,0.9156565656565656,1980,c08f0f3483a798cec6cfcf478741f17cdc1686870da39749ba6ae265536d3c9a,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,43,LiteBN_XS,0.9254545454545455,0.842976779596498,0.8939393939393939,1980,6a856e1c2f6bb59d105071808260778409cb8b12f92683dc0910bd2e0498fe66,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,43,XS_FT,0.9336363636363636,0.8599043062200957,0.9075757575757576,1980,abb2a266b99fedd174bb21311a6783beff1594e14dde075eeba0667e5fa7a2ea,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,2,0,1,LiteBN_BASELINE,0.7560606060606061,0.7329853687677996,0.8378787878787879,1980,58fc6dc4928d3ab4b8a85ba59773d740388233db674ed3200485ece132a8a3c6,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,1,LiteBN_XS,0.7763636363636364,0.7500902744342802,0.8474747474747475,1980,7b640572273476f2c9529630a706194e5d0bec75d8d42c7f2d9c40bd06c68086,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,1,XS_FT,0.7727272727272727,0.7520661157024793,0.8515151515151516,1980,0b4c7619323bb62571121daa6accc113dae2100fc819621feba9c9ec01783bde,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,11,LiteBN_BASELINE,0.9687878787878788,0.9364112568775401,0.9621212121212122,1980,58fc6dc4928d3ab4b8a85ba59773d740388233db674ed3200485ece132a8a3c6,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,11,LiteBN_XS,0.9696969696969697,0.9479404031551271,0.9696969696969697,1980,7b640572273476f2c9529630a706194e5d0bec75d8d42c7f2d9c40bd06c68086,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,11,XS_FT,0.9718181818181818,0.9473673889597019,0.9691919191919192,1980,0b4c7619323bb62571121daa6accc113dae2100fc819621feba9c9ec01783bde,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,0,23,LiteBN_BASELINE,0.5533333333333333,0.5590526203724424,0.7929292929292929,1980,58fc6dc4928d3ab4b8a85ba59773d740388233db674ed3200485ece132a8a3c6,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
