block,dataset,task,subject_id,future_session,fold,seed_i,seed_j,family,fusion_rule,trials,trial_identity_sha256,label_sha256,class_order,BA_A,BA_B,macro_F1_A,macro_F1_B,ensemble_BA,ensemble_macro_F1,gain_over_best_pp,gain_over_mean_pp,exclusive_correct_fraction,correct_A,correct_B,ensemble_correct,orientation_count,orientation_BA_difference_pp,G_EE_pp,G_LL_pp,G_EL_pp,D_avg_pp,D_best_pp
OpenBMI_MI,OpenBMI,MI,13,2,0,0,1,LiteBN_homogeneous,PROB50,100,04a5104ef2755a2212336c7ad3884215ec53d6ebb26c1b9c09fb608b91bf7305,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.6799999999999999,0.66,0.6794871794871795,0.6427070197562001,0.69,0.6807743795695603,1.0000000000000009,2.0000000000000018,0.3,68,66,69,,,,,,,
OpenBMI_MI,OpenBMI,MI,13,2,0,0,1,Heterogeneous_A,PROB50,100,04a5104ef2755a2212336c7ad3884215ec53d6ebb26c1b9c09fb608b91bf7305,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.68,0.66,0.6604414261460102,0.6427070197562001,0.7,0.6989160979526294,1.9999999999999907,2.9999999999999916,0.48,68,66,70,,,,,,,
OpenBMI_MI,OpenBMI,MI,13,2,0,0,1,Heterogeneous_B,PROB50,100,04a5104ef2755a2212336c7ad3884215ec53d6ebb26c1b9c09fb608b91bf7305,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.64,0.6799999999999999,0.6279454319966928,0.6794871794871795,0.6699999999999999,0.6624040920716112,-1.0000000000000009,1.0000000000000009,0.28,64,68,67,,,,,,,
OpenBMI_MI,OpenBMI,MI,17,2,0,0,1,EEGNet_homogeneous,LOGIT50,100,7f218e414e41e0bc6c58ac89df96bd7d33a639fc5666f5f81cced732dbefc412,02e83a4853f24b77afdd764dacf0068921bcf85bb0dc1cf19ee2cd6eada2c458,"[0, 1]",0.5700000000000001,0.5900000000000001,0.5501621508525996,0.5710848415106182,0.61,0.5882166613873931,1.9999999999999907,2.9999999999999916,0.26,57,59,61,,,,,,,
OpenBMI_MI,OpenBMI,MI,17,2,0,0,1,LiteBN_homogeneous,LOGIT50,100,7f218e414e41e0bc6c58ac89df96bd7d33a639fc5666f5f81cced732dbefc412,02e83a4853f24b77afdd764dacf0068921bcf85bb0dc1cf19ee2cd6eada2c458,"[0, 1]",0.65,0.62,0.6457131288591963,0.6161616161616161,0.65,0.6419437340153453,0.0,1.5000000000000013,0.27,65,62,65,,,,,,,
OpenBMI_MI,OpenBMI,MI,17,2,0,0,1,Heterogeneous_A,LOGIT50,100,7f218e414e41e0bc6c58ac89df96bd7d33a639fc5666f5f81cced732dbefc412,02e83a4853f24b77afdd764dacf0068921bcf85bb0dc1cf19ee2cd6eada2c458,"[0, 1]",0.5700000000000001,0.62,0.5501621508525996,0.6161616161616161,0.59,0.5777983729790959,-3.0000000000000027,-0.5000000000000004,0.27,57,62,59,,,,,,,
OpenBMI_MI,OpenBMI,MI,17,2,0,0,1,Heterogeneous_B,LOGIT50,100,7f218e414e41e0bc6c58ac89df96bd7d33a639fc5666f5f81cced732dbefc412,02e83a4853f24b77afdd764dacf0068921bcf85bb0dc1cf19ee2cd6eada2c458,"[0, 1]",0.5900000000000001,0.65,0.5710848415106182,0.6457131288591963,0.59,0.5805626598465473,-6.000000000000005,-3.0000000000000138,0.28,59,65,59,,,,,,,
OpenBMI_MI,OpenBMI,MI,17,2,0,0,1,EEGNet_homogeneous,PROB50,100,7f218e414e41e0bc6c58ac89df96bd7d33a639fc5666f5f81cced732dbefc412,02e83a4853f24b77afdd764dacf0068921bcf85bb0dc1cf19ee2cd6eada2c458,"[0, 1]",0.5700000000000001,0.5900000000000001,0.5501621508525996,0.5710848415106182,0.61,0.5882166613873931,1.9999999999999907,2.9999999999999916,0.26,57,59,61,,,,,,,
OpenBMI_MI,OpenBMI,MI,17,2,0,0,1,LiteBN_homogeneous,PROB50,100,7f218e414e41e0bc6c58ac89df96bd7d33a639fc5666f5f81cced732dbefc412,02e83a4853f24b77afdd764dacf0068921bcf85bb0dc1cf19ee2cd6eada2c458,"[0, 1]",0.65,0.62,0.6457131288591963,0.6161616161616161,0.65,0.6419437340153453,0.0,1.5000000000000013,0.27,65,62,65,,,,,,,
OpenBMI_MI,OpenBMI,MI,17,2,0,0,1,Heterogeneous_A,PROB50,100,7f218e414e41e0bc6c58ac89df96bd7d33a639fc5666f5f81cced732dbefc412,02e83a4853f24b77afdd764dacf0068921bcf85bb0dc1cf19ee2cd6eada2c458,"[0, 1]",0.5700000000000001,0.62,0.5501621508525996,0.6161616161616161,0.59,0.5777983729790959,-3.0000000000000027,-0.5000000000000004,0.27,57,62,59,,,,,,,
