dataset,role,fold,seed,subject,method,recipe,BA,macro_F1,future_session_used_for_fit,future_labels_used_for_fit,population_checkpoint_id,matched_subject,assigned_subject
OpenBMI,outcome,0,1,46,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.73,0.7175436761167486,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,,47
OpenBMI,outcome,0,1,47,correct_adapter,pda_r1_lx0.5_lp0.01,0.85,0.8465473145780051,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,,
OpenBMI,outcome,0,1,47,wrong_adapter,pda_r1_lx0.5_lp0.01,0.8400000000000001,0.8357963875205254,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,46,
OpenBMI,outcome,0,1,47,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.85,0.8481627695110842,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,,49
OpenBMI,outcome,0,1,49,correct_adapter,pda_r1_lx0.5_lp0.01,0.86,0.8590982286634461,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,,
OpenBMI,outcome,0,1,49,wrong_adapter,pda_r1_lx0.5_lp0.01,0.76,0.7453310696095077,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,32,
OpenBMI,outcome,0,1,49,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.72,0.6961805555555556,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,,15
OpenBMI,outcome,0,2,15,correct_adapter,pda_r1_lx0.5_lp0.01,0.49,0.3288590604026846,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,,
OpenBMI,outcome,0,2,15,wrong_adapter,pda_r1_lx0.5_lp0.01,0.27,0.2610588116206094,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,19,
OpenBMI,outcome,0,2,15,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.27,0.2610588116206094,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,,19
OpenBMI,outcome,0,2,19,correct_adapter,pda_r1_lx0.5_lp0.01,0.31,0.304365359411231,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,,
OpenBMI,outcome,0,2,19,wrong_adapter,pda_r1_lx0.5_lp0.01,0.5700000000000001,0.4724573671942093,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,32,
OpenBMI,outcome,0,2,19,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.5700000000000001,0.4724573671942093,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,,32
OpenBMI,outcome,0,2,32,correct_adapter,pda_r1_lx0.5_lp0.01,0.6699999999999999,0.6396986570586308,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,,
OpenBMI,outcome,0,2,32,wrong_adapter,pda_r1_lx0.5_lp0.01,0.62,0.5766488413547237,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,33,
OpenBMI,outcome,0,2,32,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.62,0.5766488413547237,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,,33
OpenBMI,outcome,0,2,33,correct_adapter,pda_r1_lx0.5_lp0.01,0.74,0.7211497211497211,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,,
OpenBMI,outcome,0,2,33,wrong_adapter,pda_r1_lx0.5_lp0.01,0.71,0.6871966346672419,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,32,
OpenBMI,outcome,0,2,33,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.91,0.90999099909991,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,,41
OpenBMI,outcome,0,2,41,correct_adapter,pda_r1_lx0.5_lp0.01,0.74,0.7362012987012987,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,,
OpenBMI,outcome,0,2,41,wrong_adapter,pda_r1_lx0.5_lp0.01,0.6900000000000001,0.6726850385386971,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,46,
OpenBMI,outcome,0,2,41,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.6900000000000001,0.6726850385386971,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,,46
OpenBMI,outcome,0,2,46,correct_adapter,pda_r1_lx0.5_lp0.01,0.74,0.7390606182256123,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,,
OpenBMI,outcome,0,2,46,wrong_adapter,pda_r1_lx0.5_lp0.01,0.5800000000000001,0.5384615384615385,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,49,
OpenBMI,outcome,0,2,46,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.71,0.7064480210547626,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,,47
OpenBMI,outcome,0,2,47,correct_adapter,pda_r1_lx0.5_lp0.01,0.66,0.6392190152801358,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,,
OpenBMI,outcome,0,2,47,wrong_adapter,pda_r1_lx0.5_lp0.01,0.51,0.5075871771681237,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,49,
OpenBMI,outcome,0,2,47,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.51,0.5075871771681237,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,,49
OpenBMI,outcome,0,2,49,correct_adapter,pda_r1_lx0.5_lp0.01,0.67,0.6659580929243851,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,,
OpenBMI,outcome,0,2,49,wrong_adapter,pda_r1_lx0.5_lp0.01,0.6,0.5324918186068257,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,46,
OpenBMI,outcome,0,2,49,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.44,0.3055555555555556,False,False,a295647455cb58715cf1a86f9977aaca30117788c7b82126ada638dc33274048,,15
OpenBMI,outcome,1,0,2,correct_adapter,pda_r1_lx0.5_lp0.01,0.7,0.6998799519807923,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,,
OpenBMI,outcome,1,0,2,wrong_adapter,pda_r1_lx0.5_lp0.01,0.66,0.6565656565656566,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,44,
