dataset,role,fold,seed,subject,method,recipe,BA,macro_F1,future_session_used_for_fit,future_labels_used_for_fit,matched_subject,assigned_subject
OpenBMI,outcome,0,0,47,correct_adapter,pda_r1_lx0.5_lp0.01,0.8999999999999999,0.8993558776167472,False,False,,
OpenBMI,outcome,0,0,47,wrong_adapter,pda_r1_lx0.5_lp0.01,0.9299999999999999,0.9296553110240177,False,False,41,
OpenBMI,outcome,0,0,47,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.81,0.8028841166096068,False,False,,49
OpenBMI,outcome,0,0,49,population,pda_r1_lx0.5_lp0.01,0.74,0.7267759562841529,False,False,,
OpenBMI,outcome,0,0,49,intercept_only,pda_r1_lx0.5_lp0.01,0.77,0.7660461804495982,False,False,,
OpenBMI,outcome,0,0,49,ordinary_adapter,pda_r1_lx0.5_lp0.01,0.77,0.7681217864704104,False,False,,
OpenBMI,outcome,0,0,49,single_session,pda_r1_lx0.5_lp0.01,0.8,0.7999199679871949,False,False,,
OpenBMI,outcome,0,0,49,mean_pooled,pda_r1_lx0.5_lp0.01,0.78,0.7767857142857143,False,False,,
OpenBMI,outcome,0,0,49,no_crossfit,pda_r1_lx0.5_lp0.01,0.81,0.8095238095238095,False,False,,
OpenBMI,outcome,0,0,49,crossfit_mean,pda_r1_lx0.5_lp0.01,0.78,0.7767857142857143,False,False,,
OpenBMI,outcome,0,0,49,full_pda,pda_r1_lx0.5_lp0.01,0.79,0.7882851093860268,False,False,,
OpenBMI,outcome,0,0,49,correct_adapter,pda_r1_lx0.5_lp0.01,0.79,0.7882851093860268,False,False,,
OpenBMI,outcome,0,0,49,wrong_adapter,pda_r1_lx0.5_lp0.01,0.75,0.7406369955389562,False,False,32,
OpenBMI,outcome,0,0,49,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.74,0.7241086587436333,False,False,,15
OpenBMI,outcome,0,1,15,population,pda_r1_lx0.5_lp0.01,0.83,0.8279178054458953,False,False,,
OpenBMI,outcome,0,1,15,intercept_only,pda_r1_lx0.5_lp0.01,0.83,0.8299829982998299,False,False,,
OpenBMI,outcome,0,1,15,ordinary_adapter,pda_r1_lx0.5_lp0.01,0.81,0.8095238095238095,False,False,,
OpenBMI,outcome,0,1,15,single_session,pda_r1_lx0.5_lp0.01,0.5,0.3333333333333333,False,False,,
OpenBMI,outcome,0,1,15,mean_pooled,pda_r1_lx0.5_lp0.01,0.5,0.3333333333333333,False,False,,
OpenBMI,outcome,0,1,15,no_crossfit,pda_r1_lx0.5_lp0.01,0.72,0.7106242248863166,False,False,,
OpenBMI,outcome,0,1,15,crossfit_mean,pda_r1_lx0.5_lp0.01,0.81,0.8095238095238095,False,False,,
OpenBMI,outcome,0,1,15,full_pda,pda_r1_lx0.5_lp0.01,0.78,0.7785829307568438,False,False,,
OpenBMI,outcome,0,1,15,correct_adapter,pda_r1_lx0.5_lp0.01,0.78,0.7785829307568438,False,False,,
OpenBMI,outcome,0,1,15,wrong_adapter,pda_r1_lx0.5_lp0.01,0.82,0.8173701298701299,False,False,41,
OpenBMI,outcome,0,1,15,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.74,0.7241086587436333,False,False,,19
OpenBMI,outcome,0,1,19,population,pda_r1_lx0.5_lp0.01,0.72,0.7189883580891208,False,False,,
OpenBMI,outcome,0,1,19,intercept_only,pda_r1_lx0.5_lp0.01,0.72,0.7198879551820728,False,False,,
OpenBMI,outcome,0,1,19,ordinary_adapter,pda_r1_lx0.5_lp0.01,0.68,0.6753246753246753,False,False,,
OpenBMI,outcome,0,1,19,single_session,pda_r1_lx0.5_lp0.01,0.68,0.6604414261460102,False,False,,
OpenBMI,outcome,0,1,19,mean_pooled,pda_r1_lx0.5_lp0.01,0.6799999999999999,0.677938808373591,False,False,,
OpenBMI,outcome,0,1,19,no_crossfit,pda_r1_lx0.5_lp0.01,0.63,0.628178072555522,False,False,,
OpenBMI,outcome,0,1,19,crossfit_mean,pda_r1_lx0.5_lp0.01,0.6799999999999999,0.677938808373591,False,False,,
OpenBMI,outcome,0,1,19,full_pda,pda_r1_lx0.5_lp0.01,0.6799999999999999,0.6788438378161381,False,False,,
OpenBMI,outcome,0,1,19,correct_adapter,pda_r1_lx0.5_lp0.01,0.6799999999999999,0.6788438378161381,False,False,,
OpenBMI,outcome,0,1,19,wrong_adapter,pda_r1_lx0.5_lp0.01,0.66,0.6532027743778049,False,False,49,
OpenBMI,outcome,0,1,19,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.6699999999999999,0.6440513428972063,False,False,,32
OpenBMI,outcome,0,1,32,population,pda_r1_lx0.5_lp0.01,0.73,0.7237851662404092,False,False,,
OpenBMI,outcome,0,1,32,intercept_only,pda_r1_lx0.5_lp0.01,0.73,0.7237851662404092,False,False,,
OpenBMI,outcome,0,1,32,ordinary_adapter,pda_r1_lx0.5_lp0.01,0.6599999999999999,0.6263736263736264,False,False,,
OpenBMI,outcome,0,1,32,single_session,pda_r1_lx0.5_lp0.01,0.7,0.6956168831168831,False,False,,
OpenBMI,outcome,0,1,32,mean_pooled,pda_r1_lx0.5_lp0.01,0.74,0.7291666666666667,False,False,,
OpenBMI,outcome,0,1,32,no_crossfit,pda_r1_lx0.5_lp0.01,0.75,0.7406369955389562,False,False,,
OpenBMI,outcome,0,1,32,crossfit_mean,pda_r1_lx0.5_lp0.01,0.74,0.7291666666666667,False,False,,
OpenBMI,outcome,0,1,32,full_pda,pda_r1_lx0.5_lp0.01,0.74,0.7291666666666667,False,False,,
OpenBMI,outcome,0,1,32,correct_adapter,pda_r1_lx0.5_lp0.01,0.74,0.7291666666666667,False,False,,
OpenBMI,outcome,0,1,32,wrong_adapter,pda_r1_lx0.5_lp0.01,0.69,0.6656239887822242,False,False,15,
OpenBMI,outcome,0,1,32,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.51,0.45011783189316573,False,False,,33
OpenBMI,outcome,0,1,33,population,pda_r1_lx0.5_lp0.01,0.88,0.8798076923076923,False,False,,
OpenBMI,outcome,0,1,33,intercept_only,pda_r1_lx0.5_lp0.01,0.9,0.9,False,False,,
OpenBMI,outcome,0,1,33,ordinary_adapter,pda_r1_lx0.5_lp0.01,0.67,0.648,False,False,,
OpenBMI,outcome,0,1,33,single_session,pda_r1_lx0.5_lp0.01,0.5,0.3333333333333333,False,False,,
OpenBMI,outcome,0,1,33,mean_pooled,pda_r1_lx0.5_lp0.01,0.5,0.3333333333333333,False,False,,
OpenBMI,outcome,0,1,33,no_crossfit,pda_r1_lx0.5_lp0.01,0.29,0.2865038689578937,False,False,,
OpenBMI,outcome,0,1,33,crossfit_mean,pda_r1_lx0.5_lp0.01,0.51,0.3551783129359126,False,False,,
OpenBMI,outcome,0,1,33,full_pda,pda_r1_lx0.5_lp0.01,0.5,0.37996031746031744,False,False,,
OpenBMI,outcome,0,1,33,correct_adapter,pda_r1_lx0.5_lp0.01,0.5,0.37996031746031744,False,False,,
OpenBMI,outcome,0,1,33,wrong_adapter,pda_r1_lx0.5_lp0.01,0.8400000000000001,0.839421918908069,False,False,19,
OpenBMI,outcome,0,1,33,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.87,0.8696741854636592,False,False,,41
OpenBMI,outcome,0,1,41,population,pda_r1_lx0.5_lp0.01,0.74,0.74,False,False,,
OpenBMI,outcome,0,1,41,intercept_only,pda_r1_lx0.5_lp0.01,0.73,0.7277951406391774,False,False,,
OpenBMI,outcome,0,1,41,ordinary_adapter,pda_r1_lx0.5_lp0.01,0.7,0.6940024479804161,False,False,,
OpenBMI,outcome,0,1,41,single_session,pda_r1_lx0.5_lp0.01,0.71,0.6938021328265231,False,False,,
OpenBMI,outcome,0,1,41,mean_pooled,pda_r1_lx0.5_lp0.01,0.76,0.7599039615846338,False,False,,
OpenBMI,outcome,0,1,41,no_crossfit,pda_r1_lx0.5_lp0.01,0.77,0.7699769976997699,False,False,,
OpenBMI,outcome,0,1,41,crossfit_mean,pda_r1_lx0.5_lp0.01,0.76,0.7599039615846338,False,False,,
OpenBMI,outcome,0,1,41,full_pda,pda_r1_lx0.5_lp0.01,0.77,0.7699769976997699,False,False,,
OpenBMI,outcome,0,1,41,correct_adapter,pda_r1_lx0.5_lp0.01,0.77,0.7699769976997699,False,False,,
OpenBMI,outcome,0,1,41,wrong_adapter,pda_r1_lx0.5_lp0.01,0.6699999999999999,0.6440513428972063,False,False,15,
OpenBMI,outcome,0,1,41,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.74,0.7373737373737375,False,False,,46
OpenBMI,outcome,0,1,46,population,pda_r1_lx0.5_lp0.01,0.73,0.7149192271143491,False,False,,
OpenBMI,outcome,0,1,46,intercept_only,pda_r1_lx0.5_lp0.01,0.72,0.7057587221521648,False,False,,
OpenBMI,outcome,0,1,46,ordinary_adapter,pda_r1_lx0.5_lp0.01,0.72,0.7057587221521648,False,False,,
