dataset,role,fold,seed,method,BA,macro_F1,subjects
OpenBMI,outcome,2,1,no_crossfit,0.7225,0.7093227445405714,8
OpenBMI,outcome,2,1,ordinary_adapter,0.7275,0.7157800804014585,8
OpenBMI,outcome,2,1,population,0.785,0.7818879898155455,8
OpenBMI,outcome,2,1,shuffled_adapter,0.74625,0.7369889344871848,8
OpenBMI,outcome,2,1,single_session,0.585,0.5183010498046197,8
OpenBMI,outcome,2,1,wrong_adapter,0.745,0.7313849020750848,8
OpenBMI,outcome,2,2,correct_adapter,0.66875,0.6288707498605445,8
OpenBMI,outcome,2,2,crossfit_mean,0.6575,0.6102273202117238,8
OpenBMI,outcome,2,2,full_pda,0.66875,0.6288707498605445,8
OpenBMI,outcome,2,2,intercept_only,0.775,0.7639952051599062,8
OpenBMI,outcome,2,2,mean_pooled,0.6575,0.6102273202117238,8
OpenBMI,outcome,2,2,no_crossfit,0.6825,0.6617709063099819,8
OpenBMI,outcome,2,2,ordinary_adapter,0.745,0.7219672170010132,8
OpenBMI,outcome,2,2,population,0.78,0.7734756350323715,8
OpenBMI,outcome,2,2,shuffled_adapter,0.6749999999999999,0.6408453032146376,8
OpenBMI,outcome,2,2,single_session,0.625,0.5595562696702764,8
OpenBMI,outcome,2,2,wrong_adapter,0.69375,0.6639394800083158,8
OpenBMI,outcome,3,0,correct_adapter,0.77375,0.7731216628610975,8
OpenBMI,outcome,3,0,crossfit_mean,0.7725,0.7716461657115595,8
OpenBMI,outcome,3,0,full_pda,0.77375,0.7731216628610975,8
OpenBMI,outcome,3,0,intercept_only,0.7475,0.7423983960697881,8
OpenBMI,outcome,3,0,mean_pooled,0.7725,0.7716461657115595,8
OpenBMI,outcome,3,0,no_crossfit,0.7625000000000001,0.7612151267542324,8
OpenBMI,outcome,3,0,ordinary_adapter,0.7525000000000001,0.7470895091397204,8
OpenBMI,outcome,3,0,population,0.7625,0.7617202575480415,8
OpenBMI,outcome,3,0,shuffled_adapter,0.76375,0.7630061091648951,8
OpenBMI,outcome,3,0,single_session,0.6675,0.6196647316955202,8
OpenBMI,outcome,3,0,wrong_adapter,0.76125,0.7602566098567746,8
OpenBMI,outcome,3,1,correct_adapter,0.7849999999999999,0.7820347723125269,8
OpenBMI,outcome,3,1,crossfit_mean,0.7875,0.7842680902504003,8
OpenBMI,outcome,3,1,full_pda,0.7849999999999999,0.7820347723125269,8
OpenBMI,outcome,3,1,intercept_only,0.8075,0.8049352521871963,8
OpenBMI,outcome,3,1,mean_pooled,0.785,0.7817091285358542,8
OpenBMI,outcome,3,1,no_crossfit,0.78625,0.7828402477867431,8
OpenBMI,outcome,3,1,ordinary_adapter,0.78125,0.7751847354549412,8
OpenBMI,outcome,3,1,population,0.80125,0.7989288777144001,8
OpenBMI,outcome,3,1,shuffled_adapter,0.77,0.7659526254885507,8
OpenBMI,outcome,3,1,single_session,0.67875,0.6307255675118295,8
OpenBMI,outcome,3,1,wrong_adapter,0.7825,0.7779024920820575,8
OpenBMI,outcome,3,2,correct_adapter,0.6325000000000001,0.6020758498537835,8
OpenBMI,outcome,3,2,crossfit_mean,0.625,0.5815233555691643,8
OpenBMI,outcome,3,2,full_pda,0.6325000000000001,0.6020758498537835,8
OpenBMI,outcome,3,2,intercept_only,0.765,0.761345982596859,8
OpenBMI,outcome,3,2,mean_pooled,0.625,0.5815233555691643,8
OpenBMI,outcome,3,2,no_crossfit,0.61375,0.5836383767225428,8
OpenBMI,outcome,3,2,ordinary_adapter,0.7212500000000001,0.697239994627957,8
OpenBMI,outcome,3,2,population,0.7725,0.770925408398831,8
OpenBMI,outcome,3,2,shuffled_adapter,0.65,0.6265542138083295,8
OpenBMI,outcome,3,2,single_session,0.57875,0.47689461661292704,8
OpenBMI,outcome,3,2,wrong_adapter,0.6575,0.6419117148470089,8
OpenBMI,outcome,4,0,correct_adapter,0.7637499999999999,0.75931551834592,8
OpenBMI,outcome,4,0,crossfit_mean,0.755,0.7484656984052107,8
OpenBMI,outcome,4,0,full_pda,0.7637499999999999,0.75931551834592,8
OpenBMI,outcome,4,0,intercept_only,0.7525,0.7448193008445473,8
OpenBMI,outcome,4,0,mean_pooled,0.755,0.7484656984052107,8
OpenBMI,outcome,4,0,no_crossfit,0.7825,0.7797777244382262,8
OpenBMI,outcome,4,0,ordinary_adapter,0.74625,0.7380760813549184,8
OpenBMI,outcome,4,0,population,0.7737499999999999,0.7714106899380657,8
OpenBMI,outcome,4,0,shuffled_adapter,0.75,0.7398808227958789,8
OpenBMI,outcome,4,0,single_session,0.67,0.6236531182251484,8
OpenBMI,outcome,4,0,wrong_adapter,0.76375,0.7598908891462759,8
OpenBMI,outcome,4,1,correct_adapter,0.7775,0.7759085601493858,8
OpenBMI,outcome,4,1,crossfit_mean,0.7787499999999999,0.7769527282030292,8
OpenBMI,outcome,4,1,full_pda,0.7775,0.7759085601493858,8
OpenBMI,outcome,4,1,intercept_only,0.7849999999999999,0.7822642457166515,8
OpenBMI,outcome,4,1,mean_pooled,0.7787499999999999,0.7769527282030292,8
OpenBMI,outcome,4,1,no_crossfit,0.76125,0.7569773082420158,8
OpenBMI,outcome,4,1,ordinary_adapter,0.775,0.7700389638445253,8
OpenBMI,outcome,4,1,population,0.7875,0.7837635939257714,8
OpenBMI,outcome,4,1,shuffled_adapter,0.7625,0.7555347814872461,8
OpenBMI,outcome,4,1,single_session,0.6975,0.6632877168981677,8
OpenBMI,outcome,4,1,wrong_adapter,0.75875,0.7467939755872405,8
OpenBMI,outcome,4,2,correct_adapter,0.7224999999999999,0.7123331322931352,8
OpenBMI,outcome,4,2,crossfit_mean,0.72125,0.7068374215490653,8
OpenBMI,outcome,4,2,full_pda,0.7224999999999999,0.7123331322931352,8
OpenBMI,outcome,4,2,intercept_only,0.775,0.7695595486444068,8
OpenBMI,outcome,4,2,mean_pooled,0.72125,0.7068374215490653,8
OpenBMI,outcome,4,2,no_crossfit,0.72875,0.7191161646847182,8
OpenBMI,outcome,4,2,ordinary_adapter,0.72,0.7002498357601796,8
OpenBMI,outcome,4,2,population,0.7725,0.7701574467467339,8
OpenBMI,outcome,4,2,shuffled_adapter,0.7150000000000001,0.7013300722904587,8
OpenBMI,outcome,4,2,single_session,0.6575,0.6210957017207366,8
OpenBMI,outcome,4,2,wrong_adapter,0.7625,0.7543991016787022,8
WBCIC,outcome,0,0,correct_adapter,0.7988888888888889,0.7785954232250292,9
WBCIC,outcome,0,0,crossfit_mean,0.7999999999999999,0.7773300684097708,9
WBCIC,outcome,0,0,full_pda,0.7988888888888889,0.7785954232250292,9
WBCIC,outcome,0,0,intercept_only,0.7955555555555556,0.7738142643187549,9
WBCIC,outcome,0,0,mean_pooled,0.7999999999999999,0.7773300684097708,9
WBCIC,outcome,0,0,no_crossfit,0.7961111111111111,0.7793149157468474,9
WBCIC,outcome,0,0,ordinary_adapter,0.7955555555555556,0.7728187754610336,9
WBCIC,outcome,0,0,population,0.8277777777777778,0.8241091598290865,9
WBCIC,outcome,0,0,shuffled_adapter,0.7961111111111111,0.7874662384962297,9
WBCIC,outcome,0,0,single_session,0.7877777777777778,0.7585415569782954,9
WBCIC,outcome,0,0,wrong_adapter,0.8155555555555556,0.8062035101162839,9
WBCIC,outcome,0,1,correct_adapter,0.805,0.7854482930600931,9
WBCIC,outcome,0,1,crossfit_mean,0.8033333333333333,0.7825699087045922,9
WBCIC,outcome,0,1,full_pda,0.805,0.7854482930600931,9
WBCIC,outcome,0,1,intercept_only,0.8044444444444445,0.7859328518275985,9
WBCIC,outcome,0,1,mean_pooled,0.8033333333333333,0.7825699087045922,9
WBCIC,outcome,0,1,no_crossfit,0.805,0.7866293577406273,9
WBCIC,outcome,0,1,ordinary_adapter,0.8061111111111111,0.7869025281516782,9
WBCIC,outcome,0,1,population,0.826111111111111,0.8222386103188256,9
WBCIC,outcome,0,1,shuffled_adapter,0.8072222222222222,0.7992581132963883,9
WBCIC,outcome,0,1,single_session,0.7905555555555556,0.7599244495073785,9
WBCIC,outcome,0,1,wrong_adapter,0.7944444444444445,0.779491740236926,9
WBCIC,outcome,0,2,correct_adapter,0.8394444444444444,0.8376448129838717,9
WBCIC,outcome,0,2,crossfit_mean,0.8400000000000001,0.8378447998476957,9
WBCIC,outcome,0,2,full_pda,0.8394444444444444,0.8376448129838717,9
WBCIC,outcome,0,2,intercept_only,0.8544444444444445,0.8543524398168211,9
WBCIC,outcome,0,2,mean_pooled,0.8400000000000001,0.8378447998476957,9
WBCIC,outcome,0,2,no_crossfit,0.8394444444444444,0.8374302148525423,9
WBCIC,outcome,0,2,ordinary_adapter,0.8466666666666667,0.8465361503221264,9
WBCIC,outcome,0,2,population,0.8344444444444444,0.8328976978639626,9
WBCIC,outcome,0,2,shuffled_adapter,0.8338888888888889,0.8321734168921572,9
WBCIC,outcome,0,2,single_session,0.83,0.8176822986516915,9
WBCIC,outcome,0,2,wrong_adapter,0.8394444444444445,0.8365590631433313,9
WBCIC,outcome,1,0,correct_adapter,0.71125,0.681462388108409,8
WBCIC,outcome,1,0,crossfit_mean,0.7106250000000001,0.67856707130538,8
WBCIC,outcome,1,0,full_pda,0.71125,0.681462388108409,8
WBCIC,outcome,1,0,intercept_only,0.724375,0.7099146885413937,8
WBCIC,outcome,1,0,mean_pooled,0.71,0.6775185202123448,8
WBCIC,outcome,1,0,no_crossfit,0.71375,0.6990799626734314,8
WBCIC,outcome,1,0,ordinary_adapter,0.718125,0.7028548991258806,8
WBCIC,outcome,1,0,population,0.728125,0.7213442038796624,8
WBCIC,outcome,1,0,shuffled_adapter,0.7006249999999999,0.6798482759117727,8
WBCIC,outcome,1,0,single_session,0.70625,0.6907709067152606,8
WBCIC,outcome,1,0,wrong_adapter,0.6925,0.6730733672571395,8
WBCIC,outcome,1,1,correct_adapter,0.730625,0.7162767462495712,8
WBCIC,outcome,1,1,crossfit_mean,0.73125,0.7155745859804821,8
WBCIC,outcome,1,1,full_pda,0.730625,0.7162767462495712,8
WBCIC,outcome,1,1,intercept_only,0.72125,0.7058017347780001,8
WBCIC,outcome,1,1,mean_pooled,0.730625,0.7148796010873448,8
WBCIC,outcome,1,1,no_crossfit,0.729375,0.7179185608532412,8
WBCIC,outcome,1,1,ordinary_adapter,0.72375,0.7074367514976114,8
WBCIC,outcome,1,1,population,0.736875,0.7353601545318598,8
WBCIC,outcome,1,1,shuffled_adapter,0.720625,0.7110378635507629,8
WBCIC,outcome,1,1,single_session,0.7312500000000001,0.7237679760552158,8
WBCIC,outcome,1,1,wrong_adapter,0.728125,0.7217054652844818,8
WBCIC,outcome,1,2,correct_adapter,0.730625,0.7014408017636731,8
WBCIC,outcome,1,2,crossfit_mean,0.733125,0.703013385463454,8
WBCIC,outcome,1,2,full_pda,0.730625,0.7014408017636731,8
WBCIC,outcome,1,2,intercept_only,0.72625,0.7001150273275139,8
WBCIC,outcome,1,2,mean_pooled,0.733125,0.703013385463454,8
WBCIC,outcome,1,2,no_crossfit,0.725,0.6964931924925092,8
WBCIC,outcome,1,2,ordinary_adapter,0.730625,0.7082775213766911,8
WBCIC,outcome,1,2,population,0.73125,0.7217653677166723,8
WBCIC,outcome,1,2,shuffled_adapter,0.7025,0.6738684093490342,8
WBCIC,outcome,1,2,single_session,0.715625,0.6863815257419503,8
WBCIC,outcome,1,2,wrong_adapter,0.718125,0.6879755240615256,8
WBCIC,outcome,2,0,correct_adapter,0.78625,0.7850815501943632,8
WBCIC,outcome,2,0,crossfit_mean,0.784375,0.7831144177041002,8
WBCIC,outcome,2,0,full_pda,0.78625,0.7850815501943632,8
WBCIC,outcome,2,0,intercept_only,0.7893749999999999,0.7886797939786085,8
WBCIC,outcome,2,0,mean_pooled,0.784375,0.7831144177041002,8
WBCIC,outcome,2,0,no_crossfit,0.7875,0.7863322367930408,8
WBCIC,outcome,2,0,ordinary_adapter,0.7887500000000001,0.7882282807720479,8
WBCIC,outcome,2,0,population,0.794375,0.7937003188505256,8
WBCIC,outcome,2,0,shuffled_adapter,0.7875,0.7850639057970403,8
WBCIC,outcome,2,0,single_session,0.78625,0.776918642219401,8
WBCIC,outcome,2,0,wrong_adapter,0.7893749999999999,0.7890255532153786,8
WBCIC,outcome,2,1,correct_adapter,0.7575,0.7351664349287849,8
WBCIC,outcome,2,1,crossfit_mean,0.755,0.7322696024917676,8
WBCIC,outcome,2,1,full_pda,0.7575,0.7351664349287849,8
WBCIC,outcome,2,1,intercept_only,0.768125,0.7496708715757988,8
WBCIC,outcome,2,1,mean_pooled,0.754375,0.7315898832278308,8
WBCIC,outcome,2,1,no_crossfit,0.7575,0.7353867251868282,8
WBCIC,outcome,2,1,ordinary_adapter,0.768125,0.7496708715757988,8
WBCIC,outcome,2,1,population,0.813125,0.8107247872558224,8
WBCIC,outcome,2,1,shuffled_adapter,0.75125,0.7304325333743631,8
WBCIC,outcome,2,1,single_session,0.728125,0.6981671828251887,8
WBCIC,outcome,2,1,wrong_adapter,0.774375,0.7641843926590091,8
WBCIC,outcome,2,2,correct_adapter,0.808125,0.8058721839928982,8
WBCIC,outcome,2,2,crossfit_mean,0.8075,0.8052022111867418,8
WBCIC,outcome,2,2,full_pda,0.808125,0.8058721839928982,8
WBCIC,outcome,2,2,intercept_only,0.799375,0.7951462650568735,8
WBCIC,outcome,2,2,mean_pooled,0.8075,0.8052022111867418,8
WBCIC,outcome,2,2,no_crossfit,0.809375,0.8072479551074931,8
WBCIC,outcome,2,2,ordinary_adapter,0.80125,0.7975116790495449,8
WBCIC,outcome,2,2,population,0.82375,0.8217696123819234,8
WBCIC,outcome,2,2,shuffled_adapter,0.79625,0.7904732182646389,8
WBCIC,outcome,2,2,single_session,0.8099999999999999,0.8069405038358706,8
WBCIC,outcome,2,2,wrong_adapter,0.795625,0.7872268497983453,8
WBCIC,outcome,3,0,correct_adapter,0.8380871212121213,0.8336946897655126,8
WBCIC,outcome,3,0,crossfit_mean,0.8349684343434344,0.8304294440700599,8
WBCIC,outcome,3,0,full_pda,0.8380871212121213,0.8336946897655126,8
WBCIC,outcome,3,0,intercept_only,0.8368371212121212,0.8328849800658127,8
WBCIC,outcome,3,0,mean_pooled,0.8349684343434344,0.8304294440700599,8
WBCIC,outcome,3,0,no_crossfit,0.8449621212121212,0.8412117412328497,8
WBCIC,outcome,3,0,ordinary_adapter,0.8368371212121212,0.8328849800658127,8
WBCIC,outcome,3,0,population,0.8443497474747474,0.8400424252242514,8
WBCIC,outcome,3,0,shuffled_adapter,0.8499494949494949,0.8434388258194161,8
WBCIC,outcome,3,0,single_session,0.8180871212121212,0.808012336774224,8
WBCIC,outcome,3,0,wrong_adapter,0.8393497474747474,0.8351525446266856,8
WBCIC,outcome,3,1,correct_adapter,0.8468371212121212,0.8462343546409477,8
WBCIC,outcome,3,1,crossfit_mean,0.8468371212121212,0.8462135390356347,8
WBCIC,outcome,3,1,full_pda,0.8468371212121212,0.8462343546409477,8
WBCIC,outcome,3,1,intercept_only,0.8480871212121213,0.8476737387749751,8
WBCIC,outcome,3,1,mean_pooled,0.8468371212121212,0.8462135390356347,8
WBCIC,outcome,3,1,no_crossfit,0.8455871212121212,0.8449733791837251,8
WBCIC,outcome,3,1,ordinary_adapter,0.8493371212121212,0.8484626902364562,8
WBCIC,outcome,3,1,population,0.8412121212121212,0.8390103614849699,8
WBCIC,outcome,3,1,shuffled_adapter,0.8443181818181817,0.843287517531556,8
WBCIC,outcome,3,1,single_session,0.845580808080808,0.8438186282649653,8
WBCIC,outcome,3,1,wrong_adapter,0.8462121212121212,0.8450283856753593,8
WBCIC,outcome,3,2,correct_adapter,0.8280239898989898,0.8219248038855189,8
WBCIC,outcome,3,2,crossfit_mean,0.8261489898989899,0.8198891162203148,8
WBCIC,outcome,3,2,full_pda,0.8280239898989898,0.8219248038855189,8
WBCIC,outcome,3,2,intercept_only,0.8305618686868687,0.8277876715048543,8
WBCIC,outcome,3,2,mean_pooled,0.8261489898989899,0.8198891162203148,8
WBCIC,outcome,3,2,no_crossfit,0.8242676767676768,0.8179415232916396,8
WBCIC,outcome,3,2,ordinary_adapter,0.832405303030303,0.8262018384652134,8
WBCIC,outcome,3,2,population,0.8386931818181818,0.8377474116692376,8
WBCIC,outcome,3,2,shuffled_adapter,0.8305239898989899,0.8290659858200542,8
WBCIC,outcome,3,2,single_session,0.8111300505050505,0.8071414072382018,8
WBCIC,outcome,3,2,wrong_adapter,0.8287058080808081,0.8267140580073854,8
WBCIC,outcome,4,0,correct_adapter,0.7269760101010101,0.7057564198750262,8
WBCIC,outcome,4,0,crossfit_mean,0.7276010101010101,0.7057780493574275,8
WBCIC,outcome,4,0,full_pda,0.7269760101010101,0.7057564198750262,8
WBCIC,outcome,4,0,intercept_only,0.7300757575757576,0.7069401699363171,8
WBCIC,outcome,4,0,mean_pooled,0.7282260101010101,0.706418473721363,8
WBCIC,outcome,4,0,no_crossfit,0.7282260101010101,0.7080156434890238,8
WBCIC,outcome,4,0,ordinary_adapter,0.7275820707070707,0.7048042205340502,8
WBCIC,outcome,4,0,population,0.737935606060606,0.732565872990208,8
WBCIC,outcome,4,0,shuffled_adapter,0.7303472222222223,0.7251893630645053,8
WBCIC,outcome,4,0,single_session,0.7332638888888889,0.7193735264223788,8
WBCIC,outcome,4,0,wrong_adapter,0.7245959595959597,0.7181075087042889,8
WBCIC,outcome,4,1,correct_adapter,0.7418181818181818,0.7296727580352557,8
WBCIC,outcome,4,1,crossfit_mean,0.7411931818181818,0.7290399403155201,8
WBCIC,outcome,4,1,full_pda,0.7418181818181818,0.7296727580352557,8
WBCIC,outcome,4,1,intercept_only,0.7511174242424242,0.7387483227502045,8
WBCIC,outcome,4,1,mean_pooled,0.7411931818181818,0.7290399403155201,8
WBCIC,outcome,4,1,no_crossfit,0.7418118686868687,0.7299237092880955,8
WBCIC,outcome,4,1,ordinary_adapter,0.7417424242424242,0.7274645432779838,8
WBCIC,outcome,4,1,population,0.7436174242424243,0.7404814123648888,8
WBCIC,outcome,4,1,shuffled_adapter,0.7347979797979798,0.7327039069968461,8
WBCIC,outcome,4,1,single_session,0.736830808080808,0.7203623876420717,8
WBCIC,outcome,4,1,wrong_adapter,0.734229797979798,0.7296174219392728,8
WBCIC,outcome,4,2,correct_adapter,0.7465467171717172,0.7445769249795801,8
WBCIC,outcome,4,2,crossfit_mean,0.7465467171717172,0.744478508118765,8
WBCIC,outcome,4,2,full_pda,0.7465467171717172,0.7445769249795801,8
WBCIC,outcome,4,2,intercept_only,0.7515025252525253,0.7467897500732565,8
WBCIC,outcome,4,2,mean_pooled,0.7452967171717172,0.7432266949732815,8
WBCIC,outcome,4,2,no_crossfit,0.7459217171717172,0.7440877817637972,8
WBCIC,outcome,4,2,ordinary_adapter,0.7477967171717171,0.74471893057681,8
WBCIC,outcome,4,2,population,0.7497474747474747,0.7478122140069243,8
WBCIC,outcome,4,2,shuffled_adapter,0.7571906565656565,0.7515427900019277,8
WBCIC,outcome,4,2,single_session,0.7484595959595959,0.7353036716437382,8
WBCIC,outcome,4,2,wrong_adapter,0.7464962121212121,0.7407790049124491,8
