dataset,role,fold,seed,subject,recipe,persistent_norm,transient_norm,persistent_transient_ratio,transient_mean_norm,historical_crossfit_gain,n_historical_blocks,fisher_a_sum,fisher_c_sum,adapter_collapse,transient_zero_center_error
OpenBMI,outcome,2,1,9,pda_r1_lx0.5_lp0.01,0.748393937810603,0.24390024875572483,3.0684426999504515,0.0,-0.42,2,22.34020129460761,22.828829939921672,False,0.0
OpenBMI,outcome,2,1,10,pda_r1_lx0.5_lp0.01,0.09815672908900265,0.11459981591748652,0.8565173364648061,0.0,-0.18000000000000005,2,45.66268791686956,18.198738704960547,False,0.0
OpenBMI,outcome,2,1,16,pda_r1_lx0.5_lp0.01,0.3154264421963622,0.14744262084332233,2.1393165720483585,0.0,-0.37,2,17.183127255071913,16.865273910141383,False,0.0
OpenBMI,outcome,2,1,21,pda_r1_lx0.5_lp0.01,0.36389883026553305,0.1881162734628021,1.9344356741017943,0.0,-0.25,2,12.647389693508597,14.050585510557628,False,0.0
OpenBMI,outcome,2,1,22,pda_r1_lx0.5_lp0.01,0.4598720716197949,0.1281309931287235,3.5890775556371146,0.0,-0.47,2,27.99833741522927,19.82727229394886,False,0.0
OpenBMI,outcome,2,1,31,pda_r1_lx0.5_lp0.01,0.5703276349711512,0.19308239251274922,2.953804474602688,0.0,-0.26,2,27.675340610428584,28.7193935626305,False,0.0
OpenBMI,outcome,2,1,45,pda_r1_lx0.5_lp0.01,0.46315235623829387,0.03441688506524196,13.457125924101632,0.0,-0.5,2,28.885846744533087,22.351916093828578,False,0.0
OpenBMI,outcome,2,1,53,pda_r1_lx0.5_lp0.01,0.2831643613998905,0.15476665912664514,1.829621205224685,0.0,-0.24999999999999997,2,18.915589095528453,22.711512720901947,False,0.0
OpenBMI,outcome,2,2,9,pda_r1_lx0.5_lp0.01,0.2813651952759426,0.07272257120471579,3.8690215515605577,0.0,-0.24,2,105.75693473517126,26.73152415005419,False,0.0
OpenBMI,outcome,2,2,10,pda_r1_lx0.5_lp0.01,0.5035274476963644,0.03709330882513989,13.574616653101057,0.0,-0.34,2,125.57981758044998,27.766396070525328,False,0.0
OpenBMI,outcome,2,2,16,pda_r1_lx0.5_lp0.01,0.4349144513189808,0.012956887881144796,33.56627419396596,0.0,-0.5700000000000001,2,49.9801164966314,18.631302764369206,False,0.0
OpenBMI,outcome,2,2,21,pda_r1_lx0.5_lp0.01,0.7128645052553456,0.02809767670563712,25.370941260503812,0.0,-0.5,2,120.57172715088893,25.115620933480393,False,0.0
OpenBMI,outcome,2,2,22,pda_r1_lx0.5_lp0.01,0.49335455743648443,0.029360827851052068,16.803155549267196,0.0,-0.24,2,108.48118626364055,32.117018627000974,False,0.0
OpenBMI,outcome,2,2,31,pda_r1_lx0.5_lp0.01,0.5903906702253755,0.08598592575837385,6.866131463007242,0.0,-0.5800000000000001,2,71.05561478361312,16.94418258644165,False,0.0
OpenBMI,outcome,2,2,45,pda_r1_lx0.5_lp0.01,0.5014035049801495,0.01976019615472835,25.374419416386736,0.0,-0.6499999999999999,2,80.0585789169622,24.90389713719668,False,0.0
OpenBMI,outcome,2,2,53,pda_r1_lx0.5_lp0.01,0.4040537351122042,0.0357696819038118,11.295983458805827,0.0,-0.48,2,85.46990108801458,27.049631861163007,False,0.0
OpenBMI,outcome,3,0,1,pda_r1_lx0.5_lp0.01,0.3500139546835125,0.01986829002602747,17.616712571891895,0.0,-0.56,2,7.799066352805376,14.645797138391096,False,0.0
OpenBMI,outcome,3,0,5,pda_r1_lx0.5_lp0.01,0.4880623820787507,0.02283653401330238,21.371998999254977,0.0,-0.10000000000000003,2,13.66134759777604,21.34155107455379,False,0.0
OpenBMI,outcome,3,0,6,pda_r1_lx0.5_lp0.01,0.45493643974324777,0.020816121713805508,21.855004788981816,0.0,-0.12,2,6.414031590789906,10.13844081106691,False,0.0
OpenBMI,outcome,3,0,7,pda_r1_lx0.5_lp0.01,0.40343619506526507,0.010299626012521212,39.169984868849546,0.0,-0.51,2,10.667139067314764,19.787937603627114,False,0.0
OpenBMI,outcome,3,0,20,pda_r1_lx0.5_lp0.01,0.3298130354117437,0.0066201809502147435,49.819338457968485,0.0,-0.55,2,13.462217605161317,17.427688669463677,False,0.0
OpenBMI,outcome,3,0,23,pda_r1_lx0.5_lp0.01,0.3631815859712203,0.011665070377998965,31.134110142721724,0.0,-0.54,2,12.337819981028222,19.117533505812048,False,0.0
OpenBMI,outcome,3,0,26,pda_r1_lx0.5_lp0.01,0.565939169059533,0.033496505913462926,16.89546875490887,0.0,-0.24000000000000005,2,10.916248167383927,15.017479752467398,False,0.0
OpenBMI,outcome,3,0,35,pda_r1_lx0.5_lp0.01,0.7178276523654986,0.004154122719668696,172.79885569262808,0.0,-0.14999999999999997,2,0.8911995859899589,1.6796310737970035,False,0.0
OpenBMI,outcome,3,1,1,pda_r1_lx0.5_lp0.01,0.5158679008803919,0.041803229480834314,12.340383919785523,0.0,-0.56,2,28.65548325418762,21.099628587270846,False,0.0
OpenBMI,outcome,3,1,5,pda_r1_lx0.5_lp0.01,0.6247362876190108,0.017208092488497195,36.304796015980145,0.0,-0.43999999999999995,2,20.176271471408164,12.853255312047803,False,0.0
OpenBMI,outcome,3,1,6,pda_r1_lx0.5_lp0.01,0.7235227664731803,0.052938945444365115,13.667117098763306,0.0,-0.4,2,18.90828386250154,13.443986984824505,False,0.0
OpenBMI,outcome,3,1,7,pda_r1_lx0.5_lp0.01,0.4988848137871175,0.0008190741675641877,609.0838089433724,0.0,-0.38,2,36.25634433398838,24.3548387600219,False,0.0
OpenBMI,outcome,3,1,20,pda_r1_lx0.5_lp0.01,0.49506399957266173,0.013096013160156572,37.802649823142275,0.0,-0.6300000000000001,2,31.154550226877014,18.14079923288233,False,0.0
OpenBMI,outcome,3,1,23,pda_r1_lx0.5_lp0.01,0.629935373488482,0.0554030954075882,11.370039324593476,0.0,-0.48,2,38.93169780343654,23.944229470501824,False,0.0
OpenBMI,outcome,3,1,26,pda_r1_lx0.5_lp0.01,0.567313902701816,0.0723824001090716,7.837732678758123,0.0,-0.36,2,31.07590109976774,21.143538106552512,False,0.0
OpenBMI,outcome,3,1,35,pda_r1_lx0.5_lp0.01,0.6965850361486375,0.016720542588745058,41.660432515959336,0.0,-0.62,2,5.725233714662316,2.79073466584239,False,0.0
OpenBMI,outcome,3,2,1,pda_r1_lx0.5_lp0.01,0.4129962125487886,0.03131778130400767,13.187275578041614,0.0,-0.6599999999999999,2,110.38945683707351,29.181372036200553,False,0.0
OpenBMI,outcome,3,2,5,pda_r1_lx0.5_lp0.01,0.42817728595681886,0.014862951508092498,28.808361900641824,0.0,-0.65,2,136.34046932711226,33.53546446518551,False,0.0
OpenBMI,outcome,3,2,6,pda_r1_lx0.5_lp0.01,0.22684185822551722,0.015126706307207805,14.996117040854303,0.0,-0.49,2,37.26451051959462,9.347033058137896,False,0.0
OpenBMI,outcome,3,2,7,pda_r1_lx0.5_lp0.01,0.508124904147674,0.027362502046871462,18.570118451787245,0.0,-0.78,2,61.94191849704906,20.21274119475918,False,0.0
OpenBMI,outcome,3,2,20,pda_r1_lx0.5_lp0.01,0.5726522729566595,0.03969575321935692,14.42603368154294,0.0,-0.74,2,93.4906223975619,23.29461116422025,False,0.0
OpenBMI,outcome,3,2,23,pda_r1_lx0.5_lp0.01,0.4123747978896411,0.0029595401938194155,139.3374547677467,0.0,-0.64,2,86.97970274822819,27.63673458716113,False,0.0
OpenBMI,outcome,3,2,26,pda_r1_lx0.5_lp0.01,0.40727114593658564,0.039053883983691196,10.428441537509075,0.0,-0.69,2,73.75664679438547,17.87706135060935,False,0.0
