dataset,role,fold,seed,subject,recipe,fisher_a_sum,fisher_c_sum
OpenBMI,outcome,2,1,9,pda_r1_lx0.5_lp0.01,22.34020129460761,22.828829939921672
OpenBMI,outcome,2,1,10,pda_r1_lx0.5_lp0.01,45.66268791686956,18.198738704960547
OpenBMI,outcome,2,1,16,pda_r1_lx0.5_lp0.01,17.183127255071913,16.865273910141383
OpenBMI,outcome,2,1,21,pda_r1_lx0.5_lp0.01,12.647389693508597,14.050585510557628
OpenBMI,outcome,2,1,22,pda_r1_lx0.5_lp0.01,27.99833741522927,19.82727229394886
OpenBMI,outcome,2,1,31,pda_r1_lx0.5_lp0.01,27.675340610428584,28.7193935626305
OpenBMI,outcome,2,1,45,pda_r1_lx0.5_lp0.01,28.885846744533087,22.351916093828574
OpenBMI,outcome,2,1,53,pda_r1_lx0.5_lp0.01,18.915589095528453,22.711512720901947
OpenBMI,outcome,2,2,9,pda_r1_lx0.5_lp0.01,105.75693473517126,26.73152415005419
OpenBMI,outcome,2,2,10,pda_r1_lx0.5_lp0.01,125.57981758044998,27.766396070525328
OpenBMI,outcome,2,2,16,pda_r1_lx0.5_lp0.01,49.9801164966314,18.63130276436921
OpenBMI,outcome,2,2,21,pda_r1_lx0.5_lp0.01,120.57172715088892,25.115620933480397
OpenBMI,outcome,2,2,22,pda_r1_lx0.5_lp0.01,108.48118626364057,32.117018627000974
OpenBMI,outcome,2,2,31,pda_r1_lx0.5_lp0.01,71.05561478361312,16.94418258644165
OpenBMI,outcome,2,2,45,pda_r1_lx0.5_lp0.01,80.0585789169622,24.90389713719668
OpenBMI,outcome,2,2,53,pda_r1_lx0.5_lp0.01,85.46990108801458,27.049631861163007
OpenBMI,outcome,3,0,1,pda_r1_lx0.5_lp0.01,7.799066352805376,14.645797138391096
OpenBMI,outcome,3,0,5,pda_r1_lx0.5_lp0.01,13.66134759777604,21.34155107455379
OpenBMI,outcome,3,0,6,pda_r1_lx0.5_lp0.01,6.414031590789906,10.13844081106691
OpenBMI,outcome,3,0,7,pda_r1_lx0.5_lp0.01,10.667139067314764,19.787937603627118
OpenBMI,outcome,3,0,20,pda_r1_lx0.5_lp0.01,13.462217605161316,17.427688669463677
OpenBMI,outcome,3,0,23,pda_r1_lx0.5_lp0.01,12.337819981028222,19.117533505812048
OpenBMI,outcome,3,0,26,pda_r1_lx0.5_lp0.01,10.916248167383928,15.017479752467398
OpenBMI,outcome,3,0,35,pda_r1_lx0.5_lp0.01,0.8911995859899589,1.6796310737970035
OpenBMI,outcome,3,1,1,pda_r1_lx0.5_lp0.01,28.65548325418762,21.099628587270846
OpenBMI,outcome,3,1,5,pda_r1_lx0.5_lp0.01,20.176271471408164,12.853255312047803
OpenBMI,outcome,3,1,6,pda_r1_lx0.5_lp0.01,18.90828386250154,13.443986984824503
OpenBMI,outcome,3,1,7,pda_r1_lx0.5_lp0.01,36.25634433398838,24.3548387600219
OpenBMI,outcome,3,1,20,pda_r1_lx0.5_lp0.01,31.154550226877014,18.14079923288233
OpenBMI,outcome,3,1,23,pda_r1_lx0.5_lp0.01,38.93169780343654,23.944229470501824
OpenBMI,outcome,3,1,26,pda_r1_lx0.5_lp0.01,31.07590109976774,21.143538106552512
OpenBMI,outcome,3,1,35,pda_r1_lx0.5_lp0.01,5.725233714662316,2.79073466584239
OpenBMI,outcome,3,2,1,pda_r1_lx0.5_lp0.01,110.38945683707352,29.181372036200557
OpenBMI,outcome,3,2,5,pda_r1_lx0.5_lp0.01,136.34046932711226,33.53546446518551
OpenBMI,outcome,3,2,6,pda_r1_lx0.5_lp0.01,37.26451051959462,9.347033058137896
OpenBMI,outcome,3,2,7,pda_r1_lx0.5_lp0.01,61.94191849704906,20.21274119475918
OpenBMI,outcome,3,2,20,pda_r1_lx0.5_lp0.01,93.4906223975619,23.29461116422025
OpenBMI,outcome,3,2,23,pda_r1_lx0.5_lp0.01,86.97970274822819,27.63673458716113
OpenBMI,outcome,3,2,26,pda_r1_lx0.5_lp0.01,73.75664679438547,17.87706135060935
OpenBMI,outcome,3,2,35,pda_r1_lx0.5_lp0.01,156.77597148253489,19.08380028846624
OpenBMI,outcome,4,0,3,pda_r1_lx0.5_lp0.01,6.312741909175099,16.96824968871134
OpenBMI,outcome,4,0,8,pda_r1_lx0.5_lp0.01,3.463671320509569,15.630562618418011
OpenBMI,outcome,4,0,11,pda_r1_lx0.5_lp0.01,14.186843904860808,18.557027485234865
OpenBMI,outcome,4,0,27,pda_r1_lx0.5_lp0.01,12.854269350176647,18.48575135425776
OpenBMI,outcome,4,0,28,pda_r1_lx0.5_lp0.01,5.976034149465777,10.205142783652231
OpenBMI,outcome,4,0,30,pda_r1_lx0.5_lp0.01,14.585318646980324,19.629018269676067
OpenBMI,outcome,4,0,38,pda_r1_lx0.5_lp0.01,16.674888008485365,21.008257783646663
OpenBMI,outcome,4,0,52,pda_r1_lx0.5_lp0.01,5.65281945764612,14.607723251786105
OpenBMI,outcome,4,1,3,pda_r1_lx0.5_lp0.01,20.72204989101143,15.77517837498793
OpenBMI,outcome,4,1,8,pda_r1_lx0.5_lp0.01,38.63491028246442,20.858283906373188
OpenBMI,outcome,4,1,11,pda_r1_lx0.5_lp0.01,27.491915550003256,20.432786348479368
OpenBMI,outcome,4,1,27,pda_r1_lx0.5_lp0.01,29.674094682479847,17.827401018936953
OpenBMI,outcome,4,1,28,pda_r1_lx0.5_lp0.01,9.082676125226202,5.664315534799345
OpenBMI,outcome,4,1,30,pda_r1_lx0.5_lp0.01,33.43537460744089,25.84189195203362
OpenBMI,outcome,4,1,38,pda_r1_lx0.5_lp0.01,29.292800490027357,24.29311308929945
OpenBMI,outcome,4,1,52,pda_r1_lx0.5_lp0.01,22.35610527779781,18.909504413546397
OpenBMI,outcome,4,2,3,pda_r1_lx0.5_lp0.01,99.77611384085785,33.45650418311449
OpenBMI,outcome,4,2,8,pda_r1_lx0.5_lp0.01,84.89596916280547,27.863843553151444
OpenBMI,outcome,4,2,11,pda_r1_lx0.5_lp0.01,61.09396485714538,29.49589144839907
OpenBMI,outcome,4,2,27,pda_r1_lx0.5_lp0.01,83.3740662485651,28.718428311600785
OpenBMI,outcome,4,2,28,pda_r1_lx0.5_lp0.01,74.77393048017416,22.38758567141327
OpenBMI,outcome,4,2,30,pda_r1_lx0.5_lp0.01,48.5290950059724,21.084803462933376
OpenBMI,outcome,4,2,38,pda_r1_lx0.5_lp0.01,46.8372911352884,22.25588741034957
OpenBMI,outcome,4,2,52,pda_r1_lx0.5_lp0.01,26.910450834176466,18.24852660268636
WBCIC,outcome,0,0,1,pda_r1_lx0.5_lp0.01,11.345903561842936,47.76405578241827
WBCIC,outcome,0,0,3,pda_r1_lx0.5_lp0.01,9.173819328515782,35.46781196081696
WBCIC,outcome,0,0,5,pda_r1_lx0.5_lp0.01,8.393434539166375,40.67588894659987
WBCIC,outcome,0,0,16,pda_r1_lx0.5_lp0.01,12.160385608961793,47.70898263434551
WBCIC,outcome,0,0,19,pda_r1_lx0.5_lp0.01,15.17481573930429,64.6273448182876
WBCIC,outcome,0,0,21,pda_r1_lx0.5_lp0.01,12.97842407698613,37.55884845166565
WBCIC,outcome,0,0,28,pda_r1_lx0.5_lp0.01,5.237453647942121,42.815736742405264
WBCIC,outcome,0,0,33,pda_r1_lx0.5_lp0.01,4.047606233977644,24.784071828145574
WBCIC,outcome,0,0,37,pda_r1_lx0.5_lp0.01,9.83431293943046,54.95867088309183
WBCIC,outcome,0,1,1,pda_r1_lx0.5_lp0.01,6.887664081903283,44.60131187452865
WBCIC,outcome,0,1,3,pda_r1_lx0.5_lp0.01,5.473297373770599,38.3839597099736
WBCIC,outcome,0,1,5,pda_r1_lx0.5_lp0.01,6.515043010351167,42.08729083083681
WBCIC,outcome,0,1,16,pda_r1_lx0.5_lp0.01,15.792869739445845,58.90433789904253
WBCIC,outcome,0,1,19,pda_r1_lx0.5_lp0.01,9.27216716357292,48.04192910792422
WBCIC,outcome,0,1,21,pda_r1_lx0.5_lp0.01,8.291989145317865,42.19216277721245
WBCIC,outcome,0,1,28,pda_r1_lx0.5_lp0.01,7.09881384073669,51.20422817387558
WBCIC,outcome,0,1,33,pda_r1_lx0.5_lp0.01,4.316916582213354,24.27825659151631
WBCIC,outcome,0,1,37,pda_r1_lx0.5_lp0.01,9.229268112213008,57.88098212815963
WBCIC,outcome,0,2,1,pda_r1_lx0.5_lp0.01,7.117319331232565,38.82249425353884
WBCIC,outcome,0,2,3,pda_r1_lx0.5_lp0.01,6.832440097572933,34.619250068354646
WBCIC,outcome,0,2,5,pda_r1_lx0.5_lp0.01,7.597186059551313,32.82871368316037
WBCIC,outcome,0,2,16,pda_r1_lx0.5_lp0.01,7.880750513005301,35.42182849261104
WBCIC,outcome,0,2,19,pda_r1_lx0.5_lp0.01,5.166245122182824,62.95858880356026
WBCIC,outcome,0,2,21,pda_r1_lx0.5_lp0.01,6.404591331908914,36.91806919218968
WBCIC,outcome,0,2,28,pda_r1_lx0.5_lp0.01,9.083467709549003,48.82204840262243
WBCIC,outcome,0,2,33,pda_r1_lx0.5_lp0.01,4.2096037409782525,17.988488522664966
WBCIC,outcome,0,2,37,pda_r1_lx0.5_lp0.01,14.607063461691109,50.8590140816199
WBCIC,outcome,1,0,2,pda_r1_lx0.5_lp0.01,12.856431845402668,56.00536788036917
WBCIC,outcome,1,0,11,pda_r1_lx0.5_lp0.01,4.021167860051057,20.77868010275193
WBCIC,outcome,1,0,13,pda_r1_lx0.5_lp0.01,6.997660895181873,32.65358320883094
WBCIC,outcome,1,0,18,pda_r1_lx0.5_lp0.01,3.9575956972540847,34.28312098513659
WBCIC,outcome,1,0,27,pda_r1_lx0.5_lp0.01,5.100869360402044,46.45272323105764
WBCIC,outcome,1,0,36,pda_r1_lx0.5_lp0.01,4.620699654324272,28.05826878389477
WBCIC,outcome,1,0,44,pda_r1_lx0.5_lp0.01,5.670602546263376,45.37892404866751
WBCIC,outcome,1,0,45,pda_r1_lx0.5_lp0.01,7.568953501365807,34.323516025581384
WBCIC,outcome,1,1,2,pda_r1_lx0.5_lp0.01,13.59407412723596,57.01873746600092
WBCIC,outcome,1,1,11,pda_r1_lx0.5_lp0.01,5.124564459756694,18.35573074461245
WBCIC,outcome,1,1,13,pda_r1_lx0.5_lp0.01,6.6343440080384335,34.79588442396296
WBCIC,outcome,1,1,18,pda_r1_lx0.5_lp0.01,11.180695569341784,79.07604120439748
WBCIC,outcome,1,1,27,pda_r1_lx0.5_lp0.01,3.528697146158313,59.857889819222734
WBCIC,outcome,1,1,36,pda_r1_lx0.5_lp0.01,5.5856194518237015,25.3172409528076
WBCIC,outcome,1,1,44,pda_r1_lx0.5_lp0.01,7.633715436971295,48.65095555571469
WBCIC,outcome,1,1,45,pda_r1_lx0.5_lp0.01,8.013997159122791,37.374886237971495
WBCIC,outcome,1,2,2,pda_r1_lx0.5_lp0.01,44.118611937873496,42.73129675275069
WBCIC,outcome,1,2,11,pda_r1_lx0.5_lp0.01,27.8670702263089,25.369144336120765
WBCIC,outcome,1,2,13,pda_r1_lx0.5_lp0.01,58.07607293627505,35.36918648508451
WBCIC,outcome,1,2,18,pda_r1_lx0.5_lp0.01,44.619194087408864,46.87987058600624
WBCIC,outcome,1,2,27,pda_r1_lx0.5_lp0.01,0.4736749006246252,2.108693992304429
WBCIC,outcome,1,2,36,pda_r1_lx0.5_lp0.01,30.579274786998205,25.270067140372294
WBCIC,outcome,1,2,44,pda_r1_lx0.5_lp0.01,80.20935188150074,55.88057394006936
WBCIC,outcome,1,2,45,pda_r1_lx0.5_lp0.01,26.73525825899879,32.1857387613841
WBCIC,outcome,2,0,9,pda_r1_lx0.5_lp0.01,3.50011780334667,54.32346071657526
WBCIC,outcome,2,0,22,pda_r1_lx0.5_lp0.01,4.443169003604753,51.58975168569782
WBCIC,outcome,2,0,25,pda_r1_lx0.5_lp0.01,2.240547701779441,26.649417990574324
WBCIC,outcome,2,0,26,pda_r1_lx0.5_lp0.01,3.5139243762020724,42.94051279458601
WBCIC,outcome,2,0,29,pda_r1_lx0.5_lp0.01,4.7428490488559945,52.58027358936609
WBCIC,outcome,2,0,34,pda_r1_lx0.5_lp0.01,4.873061230068156,56.32925288224444
WBCIC,outcome,2,0,35,pda_r1_lx0.5_lp0.01,0.6083693751994496,10.487822950444151
WBCIC,outcome,2,0,49,pda_r1_lx0.5_lp0.01,1.8870639824927316,50.34054512288781
WBCIC,outcome,2,1,9,pda_r1_lx0.5_lp0.01,3.2238770143825457,44.36763387401284
WBCIC,outcome,2,1,22,pda_r1_lx0.5_lp0.01,2.7609607118587247,52.21336208818276
WBCIC,outcome,2,1,25,pda_r1_lx0.5_lp0.01,1.5108352850422988,28.095165140104303
WBCIC,outcome,2,1,26,pda_r1_lx0.5_lp0.01,2.9095435594796752,66.19321316640287
WBCIC,outcome,2,1,29,pda_r1_lx0.5_lp0.01,3.7744583378986194,63.14124350259921
WBCIC,outcome,2,1,34,pda_r1_lx0.5_lp0.01,5.739818974134826,67.77323604582955
WBCIC,outcome,2,1,35,pda_r1_lx0.5_lp0.01,1.0692902972385354,18.75053467565932
WBCIC,outcome,2,1,49,pda_r1_lx0.5_lp0.01,1.990329985546408,55.416788276707365
WBCIC,outcome,2,2,9,pda_r1_lx0.5_lp0.01,29.43051794694092,60.67353355187689
WBCIC,outcome,2,2,22,pda_r1_lx0.5_lp0.01,23.140110411913867,59.28473472627259
WBCIC,outcome,2,2,25,pda_r1_lx0.5_lp0.01,9.378714554894346,29.62648413439948
WBCIC,outcome,2,2,26,pda_r1_lx0.5_lp0.01,24.959428410919852,53.8896929037756
WBCIC,outcome,2,2,29,pda_r1_lx0.5_lp0.01,17.875333911815712,54.618827764397565
WBCIC,outcome,2,2,34,pda_r1_lx0.5_lp0.01,19.176688500586263,64.84974597798072
WBCIC,outcome,2,2,35,pda_r1_lx0.5_lp0.01,7.384317335870717,19.363770522835235
WBCIC,outcome,2,2,49,pda_r1_lx0.5_lp0.01,3.6826611650145056,37.3552401066589
WBCIC,outcome,3,0,6,pda_r1_lx0.5_lp0.01,3.1835478359317597,15.363386743198063
WBCIC,outcome,3,0,23,pda_r1_lx0.5_lp0.01,3.803746413496798,28.58529478724969
WBCIC,outcome,3,0,24,pda_r1_lx0.5_lp0.01,1.4518151673988198,12.918223186948946
WBCIC,outcome,3,0,30,pda_r1_lx0.5_lp0.01,3.669710262313994,35.02920897143035
WBCIC,outcome,3,0,31,pda_r1_lx0.5_lp0.01,5.203506002399154,36.77692867595354
WBCIC,outcome,3,0,38,pda_r1_lx0.5_lp0.01,11.462608853556729,31.79663927941953
WBCIC,outcome,3,0,41,pda_r1_lx0.5_lp0.01,4.531700287855425,29.06241239234896
WBCIC,outcome,3,0,42,pda_r1_lx0.5_lp0.01,10.160678260057528,39.46150651364663
WBCIC,outcome,3,1,6,pda_r1_lx0.5_lp0.01,23.654768927132075,31.765673260565816
WBCIC,outcome,3,1,23,pda_r1_lx0.5_lp0.01,31.721353095357568,40.01444691811351
WBCIC,outcome,3,1,24,pda_r1_lx0.5_lp0.01,23.28852878027759,33.95853762010853
WBCIC,outcome,3,1,30,pda_r1_lx0.5_lp0.01,29.062037752157696,45.74298186802898
WBCIC,outcome,3,1,31,pda_r1_lx0.5_lp0.01,30.98653622780512,50.97506620886526
WBCIC,outcome,3,1,38,pda_r1_lx0.5_lp0.01,126.29593811767954,71.55600770243223
WBCIC,outcome,3,1,41,pda_r1_lx0.5_lp0.01,24.776622656197148,41.17818375139072
WBCIC,outcome,3,1,42,pda_r1_lx0.5_lp0.01,40.46720641499877,52.43363868544629
WBCIC,outcome,3,2,6,pda_r1_lx0.5_lp0.01,6.605680382814908,27.74108819747372
WBCIC,outcome,3,2,23,pda_r1_lx0.5_lp0.01,8.847691922630474,51.26655455561263
WBCIC,outcome,3,2,24,pda_r1_lx0.5_lp0.01,9.609302245111834,31.769603827237912
WBCIC,outcome,3,2,30,pda_r1_lx0.5_lp0.01,7.870025324479544,44.2279000575564
WBCIC,outcome,3,2,31,pda_r1_lx0.5_lp0.01,11.397820170271457,56.199730260980274
WBCIC,outcome,3,2,38,pda_r1_lx0.5_lp0.01,5.080976098415064,30.048013969282145
WBCIC,outcome,3,2,41,pda_r1_lx0.5_lp0.01,6.010049264620138,38.59392651534455
WBCIC,outcome,3,2,42,pda_r1_lx0.5_lp0.01,10.212290896378668,52.95756562156525
WBCIC,outcome,4,0,7,pda_r1_lx0.5_lp0.01,2.3424974336029307,40.50834285811477
WBCIC,outcome,4,0,12,pda_r1_lx0.5_lp0.01,6.357629115472441,70.1071514277425
WBCIC,outcome,4,0,14,pda_r1_lx0.5_lp0.01,5.423647831215649,66.72435296184011
WBCIC,outcome,4,0,17,pda_r1_lx0.5_lp0.01,6.187489287281132,58.21027770168031
WBCIC,outcome,4,0,32,pda_r1_lx0.5_lp0.01,2.719385256031174,51.15637035158146
WBCIC,outcome,4,0,47,pda_r1_lx0.5_lp0.01,3.3115733526631623,39.75172572550045
WBCIC,outcome,4,0,48,pda_r1_lx0.5_lp0.01,3.053679449343724,40.33929466259363
WBCIC,outcome,4,0,50,pda_r1_lx0.5_lp0.01,2.074644558447812,25.84068131897328
WBCIC,outcome,4,1,7,pda_r1_lx0.5_lp0.01,6.1504282685456,39.01797708437155
WBCIC,outcome,4,1,12,pda_r1_lx0.5_lp0.01,16.258100751220145,64.60006287081336
WBCIC,outcome,4,1,14,pda_r1_lx0.5_lp0.01,11.3825898839687,71.67798646233196
WBCIC,outcome,4,1,17,pda_r1_lx0.5_lp0.01,8.729961017918221,63.257470496152166
WBCIC,outcome,4,1,32,pda_r1_lx0.5_lp0.01,8.099184550519208,55.28682108051197
WBCIC,outcome,4,1,47,pda_r1_lx0.5_lp0.01,5.335095048544494,41.38835309753129
WBCIC,outcome,4,1,48,pda_r1_lx0.5_lp0.01,7.013918841170682,36.32935548535912
WBCIC,outcome,4,1,50,pda_r1_lx0.5_lp0.01,3.9045059263838735,28.51725888409304
WBCIC,outcome,4,2,7,pda_r1_lx0.5_lp0.01,3.8787683103796313,42.021776999043
WBCIC,outcome,4,2,12,pda_r1_lx0.5_lp0.01,6.887122318020549,56.41276745130186
WBCIC,outcome,4,2,14,pda_r1_lx0.5_lp0.01,7.883918964301992,62.94069208809026
WBCIC,outcome,4,2,17,pda_r1_lx0.5_lp0.01,12.59442969241812,54.43208484956539
WBCIC,outcome,4,2,32,pda_r1_lx0.5_lp0.01,4.963160224755479,63.08394944664117
WBCIC,outcome,4,2,47,pda_r1_lx0.5_lp0.01,4.81351125240286,43.55079063676639
WBCIC,outcome,4,2,48,pda_r1_lx0.5_lp0.01,3.439332295858152,31.401924334465715
WBCIC,outcome,4,2,50,pda_r1_lx0.5_lp0.01,3.231166461903837,26.01452582910724
