subject_id,intact_probe_BA,protected_erased_BA,random_erased_BA,protected_harm_pp,random_harm_pp,PEEH_pp,task,model,fold,seed,protected_rank,checkpoint_sha256
sub-04,0.675,0.555,0.6661,12.0,0.8900000000000019,11.109999999999998,BNCI2015_001,EEGNet,2,1,5,a0e020014c1883c555d32ae06c80cf88c52c79e7c1386869aeff026db8d002a4
sub-01,0.73,0.6799999999999999,0.71785,5.000000000000004,1.2149999999999994,3.785000000000005,BNCI2015_001,SIRE-EEG,2,1,5,7e3365260fe9ff505957e6a5e02e636e8ee072aa7900c99ccddf639fae67edc9
sub-04,0.7250000000000001,0.625,0.7001999999999999,10.000000000000009,2.4800000000000155,7.519999999999993,BNCI2015_001,SIRE-EEG,2,1,5,7e3365260fe9ff505957e6a5e02e636e8ee072aa7900c99ccddf639fae67edc9
sub-07,0.565,0.5,0.5691000000000002,6.499999999999995,-0.41000000000002146,6.910000000000016,BNCI2015_001,EEGNet,3,1,3,5647e78b439b3e6523ef0aee372070f799855fc7e0db999b23e1c551a7b7f8ca
sub-11,0.56,0.505,0.5545,5.500000000000005,0.550000000000006,4.949999999999999,BNCI2015_001,EEGNet,3,1,3,5647e78b439b3e6523ef0aee372070f799855fc7e0db999b23e1c551a7b7f8ca
sub-07,0.5349999999999999,0.545,0.5317000000000001,-1.000000000000012,0.32999999999998586,-1.3299999999999979,BNCI2015_001,SIRE-EEG,3,1,2,b2f3add3295b06cccc17661b71ff5862e92afbcfcd9b8ac903ecb2489dda7ace
sub-11,0.51,0.525,0.5119499999999999,-1.5000000000000013,-0.19499999999998963,-1.3050000000000117,BNCI2015_001,SIRE-EEG,3,1,2,b2f3add3295b06cccc17661b71ff5862e92afbcfcd9b8ac903ecb2489dda7ace
sub-02,0.77,0.58,0.74555,19.000000000000007,2.444999999999997,16.555000000000007,BNCI2015_001,EEGNet,4,1,2,b779c30f98ebf5d8100cb68fe4ff6d0520f1f61920d49c79befd350437055c9c
sub-09,0.645,0.545,0.62775,9.999999999999998,1.7249999999999988,8.274999999999999,BNCI2015_001,EEGNet,4,1,2,b779c30f98ebf5d8100cb68fe4ff6d0520f1f61920d49c79befd350437055c9c
sub-02,0.75,0.76,0.7291000000000001,-1.0000000000000009,2.089999999999992,-3.0899999999999928,BNCI2015_001,SIRE-EEG,4,1,3,962cae1415cff1e5ef03cd9fe1fb114c245fb5a620f4a9c49064613c04a07937
