dataset,fold,subject_id,eegnet_BA,eegnet_F1,compact_erm_BA,compact_erm_F1,compact_tg_BA,compact_tg_F1,tg_vs_erm_delta_BA_pp,status
OpenBMI,2,22,0.6,0.5796553173602353,0.73,0.7286704853783539,0.72,0.7144022847817217,-1.0000000000000009,harmed
OpenBMI,2,19,0.71,0.7013695808876532,0.6699999999999999,0.6691729323308271,0.7,0.6899545266639107,3.0000000000000027,improved
OpenBMI,2,16,0.8300000000000001,0.8291628982011858,0.9199999999999999,0.9198717948717949,0.95,0.9499949994999499,3.0000000000000027,improved
OpenBMI,2,9,0.64,0.6394230769230769,0.66,0.6458333333333333,0.63,0.6236395076797885,-3.0000000000000027,harmed
OpenBMI,2,53,0.77,0.7681217864704104,0.78,0.7785829307568438,0.85,0.8498648783905515,6.999999999999995,improved
OpenBMI,2,7,0.7,0.7,0.77,0.7688674505074866,0.79,0.78997899789979,2.0000000000000018,improved
OpenBMI,2,20,0.85,0.84998499849985,0.85,0.8474214220323466,0.85,0.8474214220323466,0.0,tie
OpenBMI,2,41,0.77,0.767182913250329,0.79,0.7894736842105263,0.77,0.7699769976997699,-2.0000000000000018,harmed
OpenBMI,2,46,0.71,0.7085720028137876,0.69,0.6693333333333333,0.6900000000000001,0.6726850385386971,1.1102230246251565e-14,tie
OpenBMI,2,21,0.83,0.8279178054458953,0.96,0.9599358974358975,0.96,0.96,0.0,tie
OpenBMI,2,44,0.6699999999999999,0.6697027324592133,0.77,0.757153415690001,0.77,0.7631551848419318,0.0,tie
WBCIC,0,sub-6,0.91,0.9099639855942376,0.8899999999999999,0.8897243107769424,0.8500000000000001,0.8492613807657522,-3.9999999999999813,harmed
WBCIC,0,sub-22,0.74,0.7399739973997399,0.6950000000000001,0.6874919951843028,0.7250000000000001,0.7234443746071653,3.0000000000000027,improved
WBCIC,0,sub-44,0.765,0.7647117719206027,0.8049999999999999,0.8049561151259033,0.77,0.767182913250329,-3.499999999999992,harmed
WBCIC,0,sub-35,0.9450000000000001,0.9449876222149984,0.95,0.9499799919967987,0.96,0.9599639675708138,1.0000000000000009,improved
WBCIC,0,sub-18,0.64,0.6396757081373237,0.625,0.6131528046421664,0.645,0.6424164589156657,2.0000000000000018,improved
WBCIC,0,sub-9,0.615,0.613831841319993,0.55,0.5483741469289443,0.56,0.5469055710019566,1.0000000000000009,improved
WBCIC,0,sub-49,0.855,0.8545600441335038,0.895,0.8949973749343734,0.86,0.859873886497848,-3.500000000000003,harmed
WBCIC,0,sub-28,0.685,0.6849291090495362,0.5650000000000001,0.4981396556199706,0.5800000000000001,0.525101763907734,1.5000000000000013,improved
WBCIC,0,sub-37,0.885,0.8849280800500312,0.75,0.7497747973175859,0.78,0.7777777777777778,3.0000000000000027,improved
WBCIC,0,sub-12,0.76,0.76,0.785,0.7849516141131755,0.7050000000000001,0.7028531137468208,-7.9999999999999964,harmed
WBCIC,0,sub-30,0.8600000000000001,0.8594941790445605,0.805,0.8019047619047619,0.8049999999999999,0.8046043237556051,-1.1102230246251565e-14,tie
WBCIC,1,sub-45,0.95,0.95,0.9450000000000001,0.9449656035021888,0.94,0.93999399939994,-0.5000000000000115,harmed
WBCIC,1,sub-7,0.835,0.8349958748968724,0.8,0.7983667708438351,0.7749999999999999,0.7733625443831684,-2.5000000000000133,harmed
WBCIC,1,sub-50,0.945,0.9449986249656241,0.9299999999999999,0.9299719887955182,0.945,0.9449986249656241,1.5000000000000013,improved
WBCIC,1,sub-14,0.61,0.6010230179028133,0.5800000000000001,0.5765702187720536,0.5449999999999999,0.5444419413781882,-3.500000000000014,harmed
WBCIC,1,sub-1,0.95,0.9499799919967987,0.9199999999999999,0.9199279351416274,0.905,0.9048072346501665,-1.4999999999999902,harmed
WBCIC,1,sub-32,0.5449999999999999,0.5440767554297452,0.605,0.6005965772643393,0.62,0.6198479391756703,1.5000000000000013,improved
WBCIC,1,sub-23,0.9450000000000001,0.9449876222149984,0.94,0.9399759903961584,0.94,0.9399759903961584,0.0,tie
WBCIC,1,sub-34,0.585,0.5772962236765042,0.545,0.536553691018818,0.53,0.5283018867924528,-1.5000000000000013,harmed
WBCIC,1,sub-24,0.9070391414141414,0.9073976361333896,0.8969381313131313,0.8972169512966477,0.8770517676767677,0.8769198401009888,-1.9886363636363535,harmed
WBCIC,1,sub-13,0.845,0.8441231929604023,0.87,0.8698828946051447,0.86,0.8599859985998599,-1.0000000000000009,harmed
WBCIC,2,sub-11,0.665,0.6639835502394744,0.735,0.7320458050001264,0.6950000000000001,0.6937059074590144,-3.9999999999999925,harmed
WBCIC,2,sub-29,0.7949999999999999,0.794584032666149,0.88,0.88,0.86,0.86,-2.0000000000000018,harmed
WBCIC,2,sub-26,0.71,0.7076318177235609,0.6799999999999999,0.6767676767676768,0.685,0.6849291090495362,0.5000000000000115,improved
WBCIC,2,sub-47,0.915,0.9147420948368815,0.835,0.8331605955661164,0.81,0.8087761674718197,-2.499999999999991,harmed
WBCIC,2,sub-36,0.97,0.96999699969997,0.96,0.95999599959996,0.94,0.9399759903961584,-2.0000000000000018,harmed
WBCIC,2,sub-16,0.575,0.5744787364521539,0.56,0.5098039215686274,0.545,0.5133559720848151,-1.5000000000000013,harmed
WBCIC,2,sub-48,0.81,0.8098288459613652,0.845,0.8421226859514654,0.8049999999999999,0.80389692017599,-4.0000000000000036,harmed
WBCIC,2,sub-41,0.865,0.8648344221671547,0.815,0.8110268392962026,0.8400000000000001,0.839421918908069,2.5000000000000133,improved
WBCIC,2,sub-5,0.755,0.7548467792370231,0.7649999999999999,0.7640029123044865,0.7849999999999999,0.7847363019699132,2.0000000000000018,improved
WBCIC,2,sub-27,0.645,0.6449201070240804,0.555,0.4908321176235018,0.5549999999999999,0.5425458096682172,-1.1102230246251565e-14,tie
