dataset,fold,pair,model_a,model_b,historical,competence_eligible,EEGNet_or_component_A_BA,component_B_BA,LOGIT50_BA,PROB50_BA,G_test,G_prob,LOGIT50_macro_F1,PROB50_macro_F1
OpenBMI,2,ST-EEGFormer-small+CBraMod,ST-EEGFormer-small,CBraMod,False,False,0.63625,0.5,0.6275,0.6275,-0.008750000000000036,-0.008750000000000036,0.6203058789032514,0.6203058789032514
OpenBMI,2,LaBraM-base+CBraMod,LaBraM-base,CBraMod,False,False,0.5025000000000001,0.5,0.51125,0.51125,0.008749999999999925,0.008749999999999925,0.49594469945932795,0.49594469945932795
OpenBMI,3,EEGNet+LiteBN,EEGNet,LiteBN,True,True,0.76,0.7875000000000001,0.80375,0.80375,0.016249999999999876,0.016249999999999876,0.8022558729206988,0.8022558729206988
OpenBMI,3,EEGNet+TCFormer,EEGNet,TCFormer,False,False,0.76,0.6799999999999999,0.755,0.755,-0.0050000000000000044,-0.0050000000000000044,0.7533602893345888,0.7533602893345888
OpenBMI,3,EEGNet+ST-EEGFormer-small,EEGNet,ST-EEGFormer-small,False,False,0.76,0.6225,0.6737500000000001,0.6737500000000001,-0.08624999999999994,-0.08624999999999994,0.6498080436142806,0.6498080436142806
OpenBMI,3,EEGNet+LaBraM-base,EEGNet,LaBraM-base,False,False,0.76,0.5900000000000001,0.72875,0.72875,-0.03125,-0.03125,0.7261884772362841,0.7261884772362841
OpenBMI,3,EEGNet+CBraMod,EEGNet,CBraMod,True,False,0.76,0.49375,0.76,0.76,0.0,0.0,0.7585738439416407,0.7585738439416407
OpenBMI,3,LiteBN+TCFormer,LiteBN,TCFormer,False,False,0.7875000000000001,0.6799999999999999,0.78,0.78,-0.007500000000000062,-0.007500000000000062,0.7792092070002286,0.7792092070002286
OpenBMI,3,LiteBN+ST-EEGFormer-small,LiteBN,ST-EEGFormer-small,False,False,0.7875000000000001,0.6225,0.69625,0.69625,-0.09125000000000005,-0.09125000000000005,0.6756229703302703,0.6756229703302703
OpenBMI,3,LiteBN+LaBraM-base,LiteBN,LaBraM-base,False,False,0.7875000000000001,0.5900000000000001,0.76875,0.76875,-0.018750000000000044,-0.018750000000000044,0.7672696248050551,0.7672696248050551
OpenBMI,3,LiteBN+CBraMod,LiteBN,CBraMod,True,False,0.7875000000000001,0.49375,0.7875000000000001,0.7875000000000001,0.0,0.0,0.7851528645934953,0.7851528645934953
OpenBMI,3,TCFormer+ST-EEGFormer-small,TCFormer,ST-EEGFormer-small,False,False,0.6799999999999999,0.6225,0.63,0.63,-0.04999999999999993,-0.04999999999999993,0.6022688035285908,0.6022688035285908
OpenBMI,3,TCFormer+LaBraM-base,TCFormer,LaBraM-base,False,False,0.6799999999999999,0.5900000000000001,0.63125,0.63125,-0.04874999999999996,-0.04874999999999996,0.6269626979740388,0.6269626979740388
OpenBMI,3,TCFormer+CBraMod,TCFormer,CBraMod,False,False,0.6799999999999999,0.49375,0.67875,0.67875,-0.0012499999999999734,-0.0012499999999999734,0.6773703897239327,0.6773703897239327
OpenBMI,3,ST-EEGFormer-small+LaBraM-base,ST-EEGFormer-small,LaBraM-base,False,False,0.6225,0.5900000000000001,0.63,0.63,0.007499999999999951,0.007499999999999951,0.601668943220875,0.601668943220875
OpenBMI,3,ST-EEGFormer-small+CBraMod,ST-EEGFormer-small,CBraMod,False,False,0.6225,0.49375,0.6225,0.6225,0.0,0.0,0.5903841389958612,0.5903841389958612
OpenBMI,3,LaBraM-base+CBraMod,LaBraM-base,CBraMod,False,False,0.5900000000000001,0.49375,0.5900000000000001,0.5900000000000001,0.0,0.0,0.5853452511926277,0.5853452511926277
OpenBMI,4,EEGNet+LiteBN,EEGNet,LiteBN,True,True,0.7275,0.78375,0.78125,0.78125,-0.0024999999999999467,-0.0024999999999999467,0.7765705779402978,0.7765705779402978
OpenBMI,4,EEGNet+TCFormer,EEGNet,TCFormer,False,False,0.7275,0.64625,0.72375,0.72375,-0.003750000000000031,-0.003750000000000031,0.7183216683719968,0.7183216683719968
OpenBMI,4,EEGNet+ST-EEGFormer-small,EEGNet,ST-EEGFormer-small,False,False,0.7275,0.7175,0.71375,0.71375,-0.01375000000000004,-0.01375000000000004,0.7085765437419453,0.7085765437419453
OpenBMI,4,EEGNet+LaBraM-base,EEGNet,LaBraM-base,False,False,0.7275,0.5,0.73125,0.73125,0.00374999999999992,0.00374999999999992,0.7269588272642435,0.7269588272642435
OpenBMI,4,EEGNet+CBraMod,EEGNet,CBraMod,True,False,0.7275,0.50125,0.73,0.73,0.0024999999999999467,0.0024999999999999467,0.7269385492507309,0.7269385492507309
OpenBMI,4,LiteBN+TCFormer,LiteBN,TCFormer,False,False,0.78375,0.64625,0.76625,0.76625,-0.01749999999999996,-0.01749999999999996,0.7584802509130235,0.7584802509130235
OpenBMI,4,LiteBN+ST-EEGFormer-small,LiteBN,ST-EEGFormer-small,False,False,0.78375,0.7175,0.73875,0.73875,-0.04499999999999993,-0.04499999999999993,0.7344484316923132,0.7344484316923132
OpenBMI,4,LiteBN+LaBraM-base,LiteBN,LaBraM-base,False,False,0.78375,0.5,0.7775,0.7775,-0.006249999999999978,-0.006249999999999978,0.7695608991719007,0.7695608991719007
OpenBMI,4,LiteBN+CBraMod,LiteBN,CBraMod,True,False,0.78375,0.50125,0.78375,0.78375,0.0,0.0,0.7764506670099987,0.7764506670099987
OpenBMI,4,TCFormer+ST-EEGFormer-small,TCFormer,ST-EEGFormer-small,False,False,0.64625,0.7175,0.71125,0.71125,-0.006249999999999978,-0.006249999999999978,0.7056763325630611,0.7056763325630611
OpenBMI,4,TCFormer+LaBraM-base,TCFormer,LaBraM-base,False,False,0.64625,0.5,0.6212500000000001,0.6212500000000001,-0.02499999999999991,-0.02499999999999991,0.5854371600611049,0.5854371600611049
OpenBMI,4,TCFormer+CBraMod,TCFormer,CBraMod,False,False,0.64625,0.50125,0.6475,0.6475,0.0012499999999999734,0.0012499999999999734,0.6243127949454421,0.6243127949454421
OpenBMI,4,ST-EEGFormer-small+LaBraM-base,ST-EEGFormer-small,LaBraM-base,False,False,0.7175,0.5,0.715,0.715,-0.0025000000000000577,-0.0025000000000000577,0.7097024667681937,0.7097024667681937
OpenBMI,4,ST-EEGFormer-small+CBraMod,ST-EEGFormer-small,CBraMod,False,False,0.7175,0.50125,0.7175,0.7175,0.0,0.0,0.7121580749229748,0.7121580749229748
OpenBMI,4,LaBraM-base+CBraMod,LaBraM-base,CBraMod,False,False,0.5,0.50125,0.5,0.5,-0.0012499999999999734,-0.0012499999999999734,0.3333333333333333,0.3333333333333333
WBCIC,0,EEGNet+LiteBN,EEGNet,LiteBN,True,True,0.7714285714285715,0.7785714285714286,0.7985714285714286,0.7985714285714286,0.020000000000000018,0.020000000000000018,0.7967582289219072,0.7967582289219072
WBCIC,0,EEGNet+TCFormer,EEGNet,TCFormer,False,False,0.7714285714285715,0.5907142857142859,0.765,0.765,-0.00642857142857145,-0.00642857142857145,0.7593666444539962,0.7593666444539962
WBCIC,0,EEGNet+ST-EEGFormer-small,EEGNet,ST-EEGFormer-small,False,False,0.7714285714285715,0.5,0.7478571428571428,0.7478571428571428,-0.023571428571428688,-0.023571428571428688,0.7274977979637696,0.7274977979637696
WBCIC,0,EEGNet+LaBraM-base,EEGNet,LaBraM-base,False,False,0.7714285714285715,0.7249999999999999,0.7657142857142858,0.7657142857142858,-0.005714285714285672,-0.005714285714285672,0.7609192760338511,0.7609192760338511
WBCIC,0,EEGNet+CBraMod,EEGNet,CBraMod,True,False,0.7714285714285715,0.5,0.7714285714285714,0.7714285714285714,-1.1102230246251565e-16,-1.1102230246251565e-16,0.7647189077511093,0.7647189077511093
WBCIC,0,LiteBN+TCFormer,LiteBN,TCFormer,False,False,0.7785714285714286,0.5907142857142859,0.7735714285714286,0.7735714285714286,-0.0050000000000000044,-0.0050000000000000044,0.772308845746486,0.772308845746486
WBCIC,0,LiteBN+ST-EEGFormer-small,LiteBN,ST-EEGFormer-small,False,False,0.7785714285714286,0.5,0.7742857142857142,0.7742857142857142,-0.004285714285714337,-0.004285714285714337,0.7674150086654883,0.7674150086654883
WBCIC,0,LiteBN+LaBraM-base,LiteBN,LaBraM-base,False,False,0.7785714285714286,0.7249999999999999,0.7828571428571429,0.7828571428571429,0.004285714285714337,0.004285714285714337,0.7794711575817753,0.7794711575817753
WBCIC,0,LiteBN+CBraMod,LiteBN,CBraMod,True,False,0.7785714285714286,0.5,0.7814285714285714,0.7814285714285714,0.0028571428571427804,0.0028571428571427804,0.7798847729094732,0.7798847729094732
WBCIC,0,TCFormer+ST-EEGFormer-small,TCFormer,ST-EEGFormer-small,False,False,0.5907142857142859,0.5,0.515,0.515,-0.07571428571428584,-0.07571428571428584,0.38941844011604354,0.38941844011604354
WBCIC,0,TCFormer+LaBraM-base,TCFormer,LaBraM-base,False,False,0.5907142857142859,0.7249999999999999,0.7178571428571429,0.7178571428571429,-0.0071428571428570065,-0.0071428571428570065,0.7119995858821098,0.7119995858821098
WBCIC,0,TCFormer+CBraMod,TCFormer,CBraMod,False,False,0.5907142857142859,0.5,0.5800000000000001,0.5800000000000001,-0.010714285714285787,-0.010714285714285787,0.5673121994875153,0.5673121994875153
WBCIC,0,ST-EEGFormer-small+LaBraM-base,ST-EEGFormer-small,LaBraM-base,False,False,0.5,0.7249999999999999,0.6885714285714286,0.6885714285714286,-0.036428571428571255,-0.036428571428571255,0.6734836469464519,0.6734836469464519
WBCIC,0,ST-EEGFormer-small+CBraMod,ST-EEGFormer-small,CBraMod,False,False,0.5,0.5,0.5,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333
WBCIC,0,LaBraM-base+CBraMod,LaBraM-base,CBraMod,False,False,0.7249999999999999,0.5,0.7185714285714286,0.7185714285714286,-0.006428571428571228,-0.006428571428571228,0.7127252675417058,0.7127252675417058
WBCIC,1,EEGNet+LiteBN,EEGNet,LiteBN,True,True,0.8125,0.7733333333333333,0.7933333333333333,0.7933333333333333,-0.019166666666666665,-0.019166666666666665,0.7787601629097951,0.7787601629097951
WBCIC,1,EEGNet+TCFormer,EEGNet,TCFormer,False,False,0.8125,0.7783333333333333,0.8191666666666668,0.8191666666666668,0.006666666666666821,0.006666666666666821,0.8154037994921444,0.8154037994921444
