family_id,validation_scheme,method,evaluation_groups,mean_delta_BA,delta_BA_group_bootstrap_CI_L,delta_BA_group_bootstrap_CI_U,positive_group_fraction,largest_positive_group_share,mean_action_rate,unsafe_intervention_rate,positive_intervention_precision,mean_recovered_headroom,worst_group_delta_BA,outer_test_used
openbmi_sample_router,leave_one_subject_group_out,RidgeEffect,5,-9.880952381e-05,-0.000175,-2.380952381e-05,0,,0.8264119048,0.0001187777217,0,-0.0008718966859,-0.00025,False
openbmi_sample_router,leave_one_subject_group_out,RiskAwarePERSIST,5,0,0,0,0,,0.3474738095,0,0,0,0,False
openbmi_sample_router,leave_one_subject_group_out,SmallHGBEffect,5,-0.0004702380952,-0.001096428571,0.0002964285714,0.2,1,0.2801654762,0.02942005461,0.02983210155,-0.003563246804,-0.001428571429,False
wbcic_development_block,leave_one_backbone_out,AlwaysSuppress,4,-0.01802325738,-0.02782205118,-0.008224463581,0,,1,0.675,0.325,-12.51758146,-0.03305416943,False
wbcic_development_block,leave_one_backbone_out,BestFixedTrain,4,0,0,0,0,,0,0,0,0,0,False
wbcic_development_block,leave_one_backbone_out,ElasticNetEffect,4,-0.0004229558278,-0.001309010121,0.0002697263652,0.25,1,0.3625,0.5823529412,0.4176470588,-0.2968743503,-0.001724530855,False
wbcic_development_block,leave_one_backbone_out,M0_NO_OP,4,0,0,0,0,,0,0,0,0,0,False
wbcic_development_block,leave_one_backbone_out,Oracle,4,0.001614210859,0.001060220861,0.002268295159,1,0.401334521,0.325,0,1,1,0.0008372561553,False
wbcic_development_block,leave_one_backbone_out,P_only_gate,4,-0.01494291252,-0.0272779142,-0.005967187204,0,,0.4875,0.6972222222,0.3027777778,-11.21274833,-0.03288838739,False
wbcic_development_block,leave_one_backbone_out,P_plus_U_gate,4,-0.008414527798,-0.02159375414,0.0004983950836,0.5,0.9937298739,0.2375,0.5577380952,0.4422619048,-5.961390374,-0.02879375552,False
wbcic_development_block,leave_one_backbone_out,P_plus_U_plus_D_gate,4,-0.008974241339,-0.02209101977,2.855133365e-05,0.25,1,0.125,0.5833333333,0.1666666667,-6.286978027,-0.02945469302,False
wbcic_development_block,leave_one_backbone_out,RidgeEffect,4,-0.001118124704,-0.003762397017,0.0004080229048,0.25,1,0.4,0.2970588235,0.2029411765,-0.6206107572,-0.005016529356,False
wbcic_development_block,leave_one_backbone_out,RiskAwarePERSIST,4,0,0,0,0,,0,0,0,0,0,False
wbcic_development_block,leave_one_backbone_out,SmallHGBEffect,4,-0.0008965369515,-0.001965608428,-6.215100221e-05,0.25,1,0.2,0.7708333333,0.2291666667,-0.516449504,-0.002500724432,False
wbcic_development_block,leave_one_fold_out,AlwaysSuppress,5,-0.01802325738,-0.02190049913,-0.01390773437,0,,1,0.675,0.325,-15.1359199,-0.02418333333,False
wbcic_development_block,leave_one_fold_out,BestFixedTrain,5,0,0,0,0,,0,0,0,0,0,False
wbcic_development_block,leave_one_fold_out,ElasticNetEffect,5,-0.001769236111,-0.004065755208,0.0001211805556,0.4,0.7046803811,0.4375,0.5151515152,0.4848484848,-1.061024557,-0.0062421875,False
wbcic_development_block,leave_one_fold_out,M0_NO_OP,5,0,0,0,0,,0,0,0,0,0,False
wbcic_development_block,leave_one_fold_out,Oracle,5,0.001614210859,0.001063074495,0.002122777778,1,0.3055382278,0.325,0,1,1,0.000588415404,False
wbcic_development_block,leave_one_fold_out,P_only_gate,5,-0.01494291252,-0.01814205354,-0.01244873264,0,,0.4875,0.6964285714,0.3035714286,-13.08984067,-0.02076230567,False
wbcic_development_block,leave_one_fold_out,P_plus_U_gate,5,-0.002495392401,-0.003925326507,-0.001505616319,0,,0.25,0.6866666667,0.3133333333,-2.539874155,-0.005202569642,False
wbcic_development_block,leave_one_fold_out,P_plus_U_plus_D_gate,5,-0.002828171066,-0.004114704171,-0.001963420139,0,,0.1375,0.9333333333,0.06666666667,-2.779216259,-0.005321020261,False
wbcic_development_block,leave_one_fold_out,RidgeEffect,5,-0.001331171086,-0.003857290088,0.0002058341225,0.4,0.7702407002,0.4125,0.6109090909,0.3890909091,-0.5974666194,-0.0062421875,False
wbcic_development_block,leave_one_fold_out,RiskAwarePERSIST,5,-2.115885417e-05,-5.23828125e-05,0,0,,0.025,0.4,0,-0.02955287467,-7.805989583e-05,False
wbcic_development_block,leave_one_fold_out,SmallHGBEffect,5,0.0001498421717,-0.0005188297033,0.0008113107639,0.6,0.5994396646,0.425,0.5864285714,0.4135714286,-0.006114181676,-0.0008609375,False
