Model,Task,fold,seed,checkpoint_record_path,checkpoint_present,checkpoint_path,checkpoint_sha256,split_sha256,representation_layer,protected_assignment_path,protected_assignment_sha256,protected_rank,frozen_embedding_path,spectral_transform_path,random_coordinate_path,sessions,probe_configuration,status,reason
EEGNet,OpenBMI_MI,3,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold3_seed2\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold3_seed2\selected.pt,2680540cad8e1f509a5cc9219a129d33b77d550ca912b3da1c8e0ac13f054adf,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,,,,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_CORRECTED_PEEH_PROTECTED_ASSIGNMENT
EEGNet,OpenBMI_MI,4,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold4_seed0\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold4_seed0\selected.pt,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,final pre-classifier hook used by corrected PEEH,D:\nips-temp\TotalP\P1\crossbackbone_peeh_runtime\cells\eegnet\openbmi_mi\fold4_seed0.json,142048919d21d3f15f18e849acd468fa82d987ad96b884182c94ec45aef35f57,5,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_FROZEN_EMBEDDING_SPECTRAL_TRANSFORM_AND_RANDOM_COORDINATE_FILES
EEGNet,OpenBMI_MI,4,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold4_seed1\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold4_seed1\selected.pt,18e7ca3b92362386d327d56383ebe95a4bd0a6899685a0b3e4aa93f49e0dec76,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,,,,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_CORRECTED_PEEH_PROTECTED_ASSIGNMENT
EEGNet,OpenBMI_MI,4,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold4_seed2\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold4_seed2\selected.pt,7224fe2a5b2a5a2f0dd79000b82c28cd294225ac6155a3b9355e5552af2dd95d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,,,,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_CORRECTED_PEEH_PROTECTED_ASSIGNMENT
EEGNet,OpenBMI_ERP,0,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold0_seed0\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold0_seed0\selected.pt,d803e953355c6d326d7889b057412049edcd96cc800f9782d7fb36782a175b89,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,final pre-classifier hook used by corrected PEEH,D:\nips-temp\TotalP\P1\crossbackbone_peeh_runtime\cells\eegnet\openbmi_erp\fold0_seed0.json,d802cb9ff25cedfd914881e4b993b723650830a4e7d6ac4c4c48af8da117d286,6,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_FROZEN_EMBEDDING_SPECTRAL_TRANSFORM_AND_RANDOM_COORDINATE_FILES
EEGNet,OpenBMI_ERP,0,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold0_seed1\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold0_seed1\selected.pt,b65f380d52cbcafa22129258a2a087af046ea77db60ef23cd1c220fb60dcd29b,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,,,,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_CORRECTED_PEEH_PROTECTED_ASSIGNMENT
EEGNet,OpenBMI_ERP,0,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold0_seed2\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold0_seed2\selected.pt,0f28d8f44250f6800c36fb227390c776cc47ed35e0157439393ac04633c09ecd,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,,,,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_CORRECTED_PEEH_PROTECTED_ASSIGNMENT
EEGNet,OpenBMI_ERP,1,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold1_seed0\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold1_seed0\selected.pt,f4e2e9272eb01443de43cf8b91fa12040b46238aa312729ccda9311950ca2b05,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,final pre-classifier hook used by corrected PEEH,D:\nips-temp\TotalP\P1\crossbackbone_peeh_runtime\cells\eegnet\openbmi_erp\fold1_seed0.json,08d9d83f6f29f05628c64fe1788c351261cdc79d3085ae6a26d689ef876494ff,9,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_FROZEN_EMBEDDING_SPECTRAL_TRANSFORM_AND_RANDOM_COORDINATE_FILES
EEGNet,OpenBMI_ERP,1,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold1_seed1\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold1_seed1\selected.pt,884766dcf9a4707f42dc6099292eca03fffd03765d345cf5a65ce7a17bd75a19,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,,,,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_CORRECTED_PEEH_PROTECTED_ASSIGNMENT
EEGNet,OpenBMI_ERP,1,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold1_seed2\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold1_seed2\selected.pt,f7f79dbde466a4471597194d03ef86d1b72b757d50a119331c82d8b7f78f9668,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,,,,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_CORRECTED_PEEH_PROTECTED_ASSIGNMENT
EEGNet,OpenBMI_ERP,2,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold2_seed0\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold2_seed0\selected.pt,ffd6833609988d619825e0fcb74978d240924d22c7538ce7b5897e89b3b643d2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,final pre-classifier hook used by corrected PEEH,D:\nips-temp\TotalP\P1\crossbackbone_peeh_runtime\cells\eegnet\openbmi_erp\fold2_seed0.json,c422b7d5afb8852abcafceb1bd240be6cac231445ba7d2f15abd5dbef18b3604,8,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_FROZEN_EMBEDDING_SPECTRAL_TRANSFORM_AND_RANDOM_COORDINATE_FILES
EEGNet,OpenBMI_ERP,2,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold2_seed1\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold2_seed1\selected.pt,4feef6c7357b0e9b9b8824283130ffa4bc6ebf55e443a4bbd2c4cfb0f72749de,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,,,,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_CORRECTED_PEEH_PROTECTED_ASSIGNMENT
EEGNet,OpenBMI_ERP,2,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold2_seed2\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold2_seed2\selected.pt,9b8f3d8682a1c1e4cf3dfb15e089ffd59f0fafb779dbfae4c0f2bb1ef02166a3,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,,,,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_CORRECTED_PEEH_PROTECTED_ASSIGNMENT
EEGNet,OpenBMI_ERP,3,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold3_seed0\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold3_seed0\selected.pt,6a3fe1de7a6eae3ae8d686d038aa725b45393b89b797eba74d24f7ea8caa9415,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,final pre-classifier hook used by corrected PEEH,D:\nips-temp\TotalP\P1\crossbackbone_peeh_runtime\cells\eegnet\openbmi_erp\fold3_seed0.json,a1da6af0da7f52eba65c2975647edb5574607b9a7c89c4b4bfad68032c602d73,4,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_FROZEN_EMBEDDING_SPECTRAL_TRANSFORM_AND_RANDOM_COORDINATE_FILES
EEGNet,OpenBMI_ERP,3,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold3_seed1\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold3_seed1\selected.pt,30411e244c6e72aec3d07119d58e636d0029354ce3b731ff077181025f867290,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,,,,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_CORRECTED_PEEH_PROTECTED_ASSIGNMENT
EEGNet,OpenBMI_ERP,3,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold3_seed2\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold3_seed2\selected.pt,1789ace9978a7fd26377de2e8a2d974a65668fcf9dc11bf3841303eedcbd9382,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,,,,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_CORRECTED_PEEH_PROTECTED_ASSIGNMENT
EEGNet,OpenBMI_ERP,4,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold4_seed0\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold4_seed0\selected.pt,083b79bdaf32125dd9d90d1e63f96e78e2681baf9ea2753a15cfc92dbd660563,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,final pre-classifier hook used by corrected PEEH,D:\nips-temp\TotalP\P1\crossbackbone_peeh_runtime\cells\eegnet\openbmi_erp\fold4_seed0.json,86e1255459f9e181c12139f096e355eae57bd17b3315d9a17434dd8ef89099eb,5,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_FROZEN_EMBEDDING_SPECTRAL_TRANSFORM_AND_RANDOM_COORDINATE_FILES
EEGNet,OpenBMI_ERP,4,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold4_seed1\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold4_seed1\selected.pt,5a030e81492989d1934e9d240d4598781ae5ad1242c456125d144eb85c435449,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,,,,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_CORRECTED_PEEH_PROTECTED_ASSIGNMENT
EEGNet,OpenBMI_ERP,4,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold4_seed2\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold4_seed2\selected.pt,939aca40553ef64d1ee78e3514b1498f9f70f6a8b3c34c403a8b8b693e7621d0,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,,,,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_CORRECTED_PEEH_PROTECTED_ASSIGNMENT
EEGNet,OpenBMI_SSVEP,0,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_ssvep\eegnet\fold0_seed0\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_ssvep\eegnet\fold0_seed0\selected.pt,861b3f566bfc00ddb1036072b3d82948ba562540f8d1b67718262b52ab8bbe16,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,final pre-classifier hook used by corrected PEEH,D:\nips-temp\TotalP\P1\crossbackbone_peeh_runtime\cells\eegnet\openbmi_ssvep\fold0_seed0.json,59b66e9e66b9ab08f1ada9b2a5b26e0a98b5f4f60c9612eb811008b9f77b608e,4,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_FROZEN_EMBEDDING_SPECTRAL_TRANSFORM_AND_RANDOM_COORDINATE_FILES
EEGNet,OpenBMI_SSVEP,0,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_ssvep\eegnet\fold0_seed1\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_ssvep\eegnet\fold0_seed1\selected.pt,e9b66f9aecb279aaab99ab675f9af6b6f8b40e51b4b5b0bdb00ca03decee1b41,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,,,,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_CORRECTED_PEEH_PROTECTED_ASSIGNMENT
EEGNet,OpenBMI_SSVEP,0,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_ssvep\eegnet\fold0_seed2\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_ssvep\eegnet\fold0_seed2\selected.pt,bdc31cb71296def22ff5683a573974e06594413abd81980a5e4a0390ec16c713,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,,,,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_CORRECTED_PEEH_PROTECTED_ASSIGNMENT
EEGNet,OpenBMI_SSVEP,1,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_ssvep\eegnet\fold1_seed0\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_ssvep\eegnet\fold1_seed0\selected.pt,c52842b9bd3717a4239149aa711cc7c894a28959e1ed897577af14acf1f55f50,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,final pre-classifier hook used by corrected PEEH,D:\nips-temp\TotalP\P1\crossbackbone_peeh_runtime\cells\eegnet\openbmi_ssvep\fold1_seed0.json,c39b705cb3e7b5690561bd8e14a14f84afa953ced45eb2115efb2396caf7878f,8,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_FROZEN_EMBEDDING_SPECTRAL_TRANSFORM_AND_RANDOM_COORDINATE_FILES
EEGNet,OpenBMI_SSVEP,1,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_ssvep\eegnet\fold1_seed1\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_ssvep\eegnet\fold1_seed1\selected.pt,f21abd1a8e151dd7c1c19850f901324e5dfc664fea7f2d37d46c6328781748d6,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,,,,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_CORRECTED_PEEH_PROTECTED_ASSIGNMENT
EEGNet,OpenBMI_SSVEP,1,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_ssvep\eegnet\fold1_seed2\record.json,True,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_ssvep\eegnet\fold1_seed2\selected.pt,dafaec075d91f5fe4bf4274bc4654b31c97bbc9291a7cdff1d41bf13f83544cd,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,,,,,,,S1;S2,Appendix-L ridge/linear probe; alpha=0.01; TRAIN-only standardizer,INCOMPLETE,MISSING_CORRECTED_PEEH_PROTECTED_ASSIGNMENT
