model,seed,subject,session,checkpoints_logit_averaged,trials,BA,Macro_F1
EEGNet,2,sub-032,ses-02,5,54,0.9615384615384616,0.9627586206896552
EEGNet,2,sub-037,ses-01,5,160,0.95625,0.9562072336265884
EEGNet,2,sub-037,ses-02,5,46,0.8810916179337231,0.8685714285714285
EEGNet,2,sub-046,ses-01,5,160,0.90625,0.9060702125161442
EEGNet,2,sub-046,ses-02,5,42,0.9285714285714286,0.9285309132161089
EEGNet,2,sub-056,ses-01,5,160,0.90625,0.9058047804073943
EEGNet,2,sub-056,ses-02,5,43,0.9166666666666667,0.9069264069264069
EEGNet,2,sub-063,ses-01,5,160,0.98125,0.9812492675495137
EEGNet,2,sub-063,ses-02,5,172,0.9707234617985125,0.9709056463344498
EEGNet,2,sub-077,ses-01,5,160,0.75625,0.752763580173541
EEGNet,2,sub-077,ses-02,5,63,0.9681818181818183,0.9681818181818183
EEGNet,2,sub-078,ses-01,5,160,0.83125,0.8297536945812808
EEGNet,2,sub-078,ses-02,5,55,0.9636243386243386,0.9636243386243386
EEGNet,2,sub-079,ses-01,5,160,0.93125,0.9312473143482167
EEGNet,2,sub-079,ses-02,5,86,0.8953488372093024,0.8953346855983773
EEGNet,2,sub-084,ses-01,5,160,0.975,0.975
EEGNet,2,sub-084,ses-02,5,102,0.911243742780131,0.9115521726563253
EEGNet,2,sub-091,ses-01,5,160,0.83125,0.8307143696853325
EEGNet,2,sub-091,ses-02,5,83,0.9152148664343787,0.9154663174741743
SIRE-EEG,2,sub-003,ses-01,5,160,0.95,0.9499921862791061
SIRE-EEG,2,sub-003,ses-02,5,184,0.9286900806834362,0.9289933802356992
SIRE-EEG,2,sub-015,ses-01,5,160,0.8625,0.8617221873035826
SIRE-EEG,2,sub-015,ses-02,5,168,0.9174116645381013,0.9166548547129695
SIRE-EEG,2,sub-017,ses-01,5,160,0.94375,0.9435714565617774
SIRE-EEG,2,sub-017,ses-02,5,138,0.9565217391304348,0.956439393939394
SIRE-EEG,2,sub-018,ses-01,5,160,1.0,1.0
SIRE-EEG,2,sub-018,ses-02,5,131,0.9694638694638695,0.9694638694638695
SIRE-EEG,2,sub-022,ses-01,5,160,0.8875,0.887218045112782
SIRE-EEG,2,sub-022,ses-02,5,66,0.9242424242424243,0.9242250287026407
SIRE-EEG,2,sub-024,ses-01,5,160,0.9875,0.9875
SIRE-EEG,2,sub-024,ses-02,5,57,0.8774630541871922,0.8771929824561403
SIRE-EEG,2,sub-025,ses-01,5,160,0.9875,0.9875
SIRE-EEG,2,sub-025,ses-02,5,78,0.9625668449197862,0.9610194902548725
SIRE-EEG,2,sub-027,ses-01,5,160,0.96875,0.9687390098081357
SIRE-EEG,2,sub-027,ses-02,5,84,0.9285714285714286,0.9285309132161089
SIRE-EEG,2,sub-032,ses-01,5,160,0.9875,0.9875
SIRE-EEG,2,sub-032,ses-02,5,54,0.9807692307692308,0.9814241486068112
SIRE-EEG,2,sub-037,ses-01,5,160,0.9375,0.9374119856047567
SIRE-EEG,2,sub-037,ses-02,5,46,0.8625730994152047,0.8471760797342193
SIRE-EEG,2,sub-046,ses-01,5,160,0.875,0.87468671679198
SIRE-EEG,2,sub-046,ses-02,5,42,0.9285714285714286,0.9285309132161089
SIRE-EEG,2,sub-056,ses-01,5,160,0.8999999999999999,0.8994343180389692
SIRE-EEG,2,sub-056,ses-02,5,43,0.9166666666666667,0.9069264069264069
SIRE-EEG,2,sub-063,ses-01,5,160,0.9875,0.9875
SIRE-EEG,2,sub-063,ses-02,5,172,0.9590939824205544,0.9592679048682297
SIRE-EEG,2,sub-077,ses-01,5,160,0.78125,0.7781211616942034
SIRE-EEG,2,sub-077,ses-02,5,63,0.9196969696969697,0.9203136858082469
SIRE-EEG,2,sub-078,ses-01,5,160,0.80625,0.8028538495170714
SIRE-EEG,2,sub-078,ses-02,5,55,0.9636243386243386,0.9636243386243386
SIRE-EEG,2,sub-079,ses-01,5,160,0.925,0.9249882794186592
SIRE-EEG,2,sub-079,ses-02,5,86,0.8837209302325582,0.8837209302325582
SIRE-EEG,2,sub-084,ses-01,5,160,0.975,0.975
SIRE-EEG,2,sub-084,ses-02,5,102,0.9206777050442818,0.9212962962962963
SIRE-EEG,2,sub-091,ses-01,5,160,0.7375,0.7333333333333334
SIRE-EEG,2,sub-091,ses-02,5,83,0.93931475029036,0.9396187981958388
