subject_id,source_fold,step,checkpoint,finite_decision_change,predicted_decision_damage_finite
27,0,4,t4,0.0,0.0
28,0,0,t0,0.0,0.0
28,0,1,t1,0.0,0.0
28,0,2,t2,0.0,0.0
28,0,3,t3,0.0,0.0
28,0,4,t4,0.0,0.0
3,0,0,t0,0.0,0.0
3,0,1,t1,0.0,0.0
3,0,2,t2,0.0,0.0
3,0,3,t3,0.0,0.0
3,0,4,t4,0.0,0.0
30,0,0,t0,0.01,0.0
30,0,1,t1,0.01,0.0
30,0,2,t2,0.0,0.0
30,0,3,t3,0.009999999999999998,0.0
30,0,4,t4,0.010000000000000002,0.0
31,0,0,t0,0.0,0.0
31,0,1,t1,0.0,0.0
31,0,2,t2,0.0,0.0
31,0,3,t3,0.0,0.0
31,0,4,t4,0.01,0.0
32,0,0,t0,0.01,0.0
32,0,1,t1,0.0,0.0
32,0,2,t2,0.01,0.0
32,0,3,t3,0.0,0.0
32,0,4,t4,0.0,0.0
33,0,0,t0,0.0,0.0
33,0,1,t1,0.0,0.0
33,0,2,t2,0.0,0.0
33,0,3,t3,0.0,0.0
33,0,4,t4,0.0,0.0
34,0,0,t0,0.02,0.0
34,0,1,t1,0.02,0.0
34,0,2,t2,-0.010000000000000002,0.010000000000000002
34,0,3,t3,0.0,0.0
34,0,4,t4,0.020000000000000004,0.0
35,0,0,t0,0.0,0.0
35,0,1,t1,0.0,0.0
35,0,2,t2,0.0,0.0
35,0,3,t3,0.0,0.0
35,0,4,t4,0.0,0.0
38,0,0,t0,0.0,0.0
38,0,1,t1,0.0,0.0
38,0,2,t2,0.03,0.0
38,0,3,t3,0.0,0.0
38,0,4,t4,0.010000000000000002,0.0
40,0,0,t0,0.01,0.0
40,0,1,t1,0.01,0.0
40,0,2,t2,0.009999999999999998,0.0
40,0,3,t3,0.0,0.0
40,0,4,t4,0.010000000000000002,0.0
41,0,0,t0,0.0,0.0
41,0,1,t1,0.03,0.0
41,0,2,t2,0.0,0.0
41,0,3,t3,0.0,0.0
41,0,4,t4,0.0,0.0
43,0,0,t0,0.0,0.0
43,0,1,t1,0.0,0.0
43,0,2,t2,0.0,0.0
43,0,3,t3,0.0,0.0
43,0,4,t4,0.0,0.0
44,0,0,t0,0.0,0.0
44,0,1,t1,0.0,0.0
44,0,2,t2,0.0,0.0
44,0,3,t3,0.0,0.0
44,0,4,t4,0.0,0.0
45,0,0,t0,0.0,0.0
45,0,1,t1,0.0,0.0
45,0,2,t2,0.0,0.0
45,0,3,t3,0.0,0.0
45,0,4,t4,0.01,0.0
46,0,0,t0,0.0,0.0
46,0,1,t1,0.0,0.0
46,0,2,t2,0.0,0.0
46,0,3,t3,0.0,0.0
46,0,4,t4,0.0,0.0
47,0,0,t0,0.0,0.0
47,0,1,t1,0.0,0.0
47,0,2,t2,0.0,0.0
47,0,3,t3,0.0,0.0
47,0,4,t4,0.0,0.0
48,0,0,t0,0.01,0.0
48,0,1,t1,0.019999999999999997,0.0
48,0,2,t2,-0.009999999999999998,0.009999999999999998
48,0,3,t3,0.009999999999999998,0.0
48,0,4,t4,0.0,0.0
49,0,0,t0,0.01,0.0
49,0,1,t1,0.0,0.0
49,0,2,t2,0.03,0.0
49,0,3,t3,0.0,0.0
49,0,4,t4,0.0,0.0
5,0,0,t0,0.0,0.0
5,0,1,t1,0.0,0.0
5,0,2,t2,0.0,0.0
5,0,3,t3,0.0,0.0
5,0,4,t4,0.0,0.0
50,0,0,t0,0.02,0.0
50,0,1,t1,0.0,0.0
50,0,2,t2,0.02,0.0
50,0,3,t3,0.010000000000000002,0.0
50,0,4,t4,-0.010000000000000002,0.010000000000000002
52,0,0,t0,0.0,0.0
52,0,1,t1,0.0,0.0
52,0,2,t2,0.0,0.0
52,0,3,t3,0.0,0.0
52,0,4,t4,0.0,0.0
53,0,0,t0,0.01,0.0
53,0,1,t1,-0.01,0.01
53,0,2,t2,0.0,0.0
53,0,3,t3,0.0,0.0
53,0,4,t4,0.0,0.0
6,0,0,t0,0.0,0.0
6,0,1,t1,0.0,0.0
6,0,2,t2,0.0,0.0
6,0,3,t3,0.0,0.0
6,0,4,t4,0.0,0.0
7,0,0,t0,0.01,0.0
7,0,1,t1,-0.01,0.01
7,0,2,t2,0.0,0.0
7,0,3,t3,0.0,0.0
7,0,4,t4,0.0,0.0
8,0,0,t0,0.0,0.0
8,0,1,t1,0.0,0.0
8,0,2,t2,0.0,0.0
8,0,3,t3,0.01,0.0
8,0,4,t4,0.0,0.0
9,0,0,t0,0.0,0.0
9,0,1,t1,0.0,0.0
9,0,2,t2,0.0,0.0
9,0,3,t3,0.0,0.0
9,0,4,t4,0.0,0.0
1,1,0,t0,0.01,0.0
1,1,1,t1,-0.01,0.01
1,1,2,t2,0.0,0.0
1,1,3,t3,0.0,0.0
1,1,4,t4,0.0,0.0
10,1,0,t0,0.01,0.0
10,1,1,t1,0.0,0.0
10,1,2,t2,0.0,0.0
10,1,3,t3,0.019999999999999997,0.0
10,1,4,t4,0.0,0.0
11,1,0,t0,0.0,0.0
11,1,1,t1,0.01,0.0
11,1,2,t2,0.01,0.0
11,1,3,t3,0.0,0.0
11,1,4,t4,0.02,0.0
14,1,0,t0,0.0,0.0
14,1,1,t1,0.0,0.0
14,1,2,t2,0.0,0.0
14,1,3,t3,0.0,0.0
14,1,4,t4,0.01,0.0
15,1,0,t0,0.0,0.0
15,1,1,t1,0.0,0.0
15,1,2,t2,0.0,0.0
15,1,3,t3,0.0,0.0
15,1,4,t4,0.0,0.0
16,1,0,t0,0.0,0.0
16,1,1,t1,0.0,0.0
16,1,2,t2,0.0,0.0
16,1,3,t3,0.0,0.0
16,1,4,t4,0.0,0.0
19,1,0,t0,0.0,0.0
19,1,1,t1,0.0,0.0
19,1,2,t2,0.0,0.0
19,1,3,t3,0.0,0.0
19,1,4,t4,0.0,0.0
2,1,0,t0,0.0,0.0
2,1,1,t1,0.01,0.0
2,1,2,t2,0.0,0.0
2,1,3,t3,0.0,0.0
2,1,4,t4,0.01,0.0
20,1,0,t0,0.0,0.0
20,1,1,t1,0.0,0.0
20,1,2,t2,0.0,0.0
20,1,3,t3,0.0,0.0
20,1,4,t4,0.01,0.0
21,1,0,t0,0.02,0.0
21,1,1,t1,-0.01,0.01
21,1,2,t2,-0.01,0.01
21,1,3,t3,0.0,0.0
21,1,4,t4,0.0,0.0
22,1,0,t0,0.01,0.0
22,1,1,t1,0.01,0.0
22,1,2,t2,0.009999999999999998,0.0
22,1,3,t3,0.0,0.0
22,1,4,t4,0.020000000000000004,0.0
23,1,0,t0,0.01,0.0
23,1,1,t1,0.0,0.0
23,1,2,t2,0.0,0.0
23,1,3,t3,0.0,0.0
23,1,4,t4,-0.01,0.01
26,1,0,t0,0.0,0.0
26,1,1,t1,0.01,0.0
26,1,2,t2,0.0,0.0
26,1,3,t3,0.01,0.0
26,1,4,t4,0.0,0.0
27,1,0,t0,0.0,0.0
27,1,1,t1,0.0,0.0
27,1,2,t2,0.0,0.0
27,1,3,t3,0.0,0.0
27,1,4,t4,0.01,0.0
28,1,0,t0,0.0,0.0
28,1,1,t1,0.0,0.0
28,1,2,t2,0.0,0.0
28,1,3,t3,0.0,0.0
28,1,4,t4,0.0,0.0
3,1,0,t0,0.0,0.0
3,1,1,t1,0.0,0.0
3,1,2,t2,0.0,0.0
3,1,3,t3,0.0,0.0
3,1,4,t4,0.0,0.0
30,1,0,t0,0.01,0.0
30,1,1,t1,0.01,0.0
30,1,2,t2,0.0,0.0
30,1,3,t3,0.009999999999999998,0.0
30,1,4,t4,0.010000000000000002,0.0
31,1,0,t0,0.0,0.0
31,1,1,t1,0.0,0.0
31,1,2,t2,0.0,0.0
31,1,3,t3,0.0,0.0
31,1,4,t4,0.01,0.0
32,1,0,t0,0.01,0.0
32,1,1,t1,0.0,0.0
32,1,2,t2,0.01,0.0
32,1,3,t3,0.0,0.0
32,1,4,t4,0.009999999999999998,0.0
33,1,0,t0,0.0,0.0
33,1,1,t1,0.0,0.0
33,1,2,t2,0.0,0.0
33,1,3,t3,0.0,0.0
33,1,4,t4,0.0,0.0
34,1,0,t0,0.03,0.0
34,1,1,t1,0.010000000000000002,0.0
34,1,2,t2,-0.010000000000000002,0.010000000000000002
34,1,3,t3,0.0,0.0
34,1,4,t4,0.04000000000000001,0.0
35,1,0,t0,0.0,0.0
35,1,1,t1,0.0,0.0
35,1,2,t2,0.0,0.0
35,1,3,t3,0.0,0.0
35,1,4,t4,0.0,0.0
38,1,0,t0,0.0,0.0
38,1,1,t1,0.0,0.0
38,1,2,t2,0.01,0.0
38,1,3,t3,0.019999999999999997,0.0
38,1,4,t4,0.0,0.0
40,1,0,t0,0.01,0.0
40,1,1,t1,0.01,0.0
40,1,2,t2,0.02,0.0
40,1,3,t3,-0.010000000000000002,0.010000000000000002
40,1,4,t4,0.0,0.0
41,1,0,t0,0.0,0.0
41,1,1,t1,0.03,0.0
41,1,2,t2,0.0,0.0
41,1,3,t3,0.0,0.0
41,1,4,t4,0.0,0.0
43,1,0,t0,0.0,0.0
43,1,1,t1,0.0,0.0
43,1,2,t2,0.0,0.0
43,1,3,t3,0.0,0.0
43,1,4,t4,0.0,0.0
44,1,0,t0,0.0,0.0
44,1,1,t1,0.0,0.0
44,1,2,t2,0.0,0.0
44,1,3,t3,0.0,0.0
44,1,4,t4,0.01,0.0
45,1,0,t0,0.0,0.0
45,1,1,t1,0.0,0.0
45,1,2,t2,0.0,0.0
45,1,3,t3,0.0,0.0
45,1,4,t4,0.0,0.0
46,1,0,t0,0.0,0.0
46,1,1,t1,0.0,0.0
46,1,2,t2,0.0,0.0
46,1,3,t3,0.0,0.0
46,1,4,t4,0.0,0.0
47,1,0,t0,0.0,0.0
47,1,1,t1,0.0,0.0
47,1,2,t2,0.0,0.0
47,1,3,t3,0.0,0.0
47,1,4,t4,0.0,0.0
48,1,0,t0,0.01,0.0
48,1,1,t1,0.019999999999999997,0.0
48,1,2,t2,0.0,0.0
48,1,3,t3,0.0,0.0
48,1,4,t4,0.0,0.0
49,1,0,t0,0.01,0.0
49,1,1,t1,-0.01,0.01
49,1,2,t2,0.03,0.0
49,1,3,t3,0.010000000000000002,0.0
49,1,4,t4,0.0,0.0
5,1,0,t0,0.01,0.0
5,1,1,t1,-0.01,0.01
5,1,2,t2,0.0,0.0
5,1,3,t3,0.0,0.0
5,1,4,t4,0.01,0.0
50,1,0,t0,0.02,0.0
50,1,1,t1,0.0,0.0
50,1,2,t2,0.009999999999999998,0.0
50,1,3,t3,0.010000000000000002,0.0
50,1,4,t4,0.0,0.0
52,1,0,t0,0.0,0.0
52,1,1,t1,0.0,0.0
52,1,2,t2,0.0,0.0
52,1,3,t3,0.0,0.0
52,1,4,t4,0.0,0.0
53,1,0,t0,0.01,0.0
53,1,1,t1,-0.01,0.01
53,1,2,t2,0.0,0.0
53,1,3,t3,0.0,0.0
53,1,4,t4,0.0,0.0
6,1,0,t0,0.0,0.0
6,1,1,t1,0.0,0.0
6,1,2,t2,0.0,0.0
6,1,3,t3,0.0,0.0
6,1,4,t4,0.0,0.0
7,1,0,t0,0.01,0.0
7,1,1,t1,0.0,0.0
7,1,2,t2,-0.01,0.01
7,1,3,t3,0.0,0.0
7,1,4,t4,0.0,0.0
8,1,0,t0,0.0,0.0
8,1,1,t1,0.0,0.0
8,1,2,t2,0.0,0.0
8,1,3,t3,0.01,0.0
8,1,4,t4,0.01,0.0
9,1,0,t0,0.0,0.0
9,1,1,t1,0.0,0.0
9,1,2,t2,0.0,0.0
9,1,3,t3,0.0,0.0
9,1,4,t4,0.0,0.0
1,2,0,t0,0.01,0.0
1,2,1,t1,-0.01,0.01
1,2,2,t2,0.0,0.0
1,2,3,t3,0.0,0.0
1,2,4,t4,0.0,0.0
10,2,0,t0,0.01,0.0
10,2,1,t1,0.01,0.0
10,2,2,t2,0.009999999999999998,0.0
10,2,3,t3,0.010000000000000002,0.0
10,2,4,t4,0.010000000000000002,0.0
11,2,0,t0,0.0,0.0
11,2,1,t1,0.01,0.0
11,2,2,t2,0.01,0.0
11,2,3,t3,0.0,0.0
11,2,4,t4,0.009999999999999998,0.0
14,2,0,t0,0.0,0.0
14,2,1,t1,0.0,0.0
14,2,2,t2,0.0,0.0
14,2,3,t3,0.0,0.0
14,2,4,t4,0.01,0.0
15,2,0,t0,0.0,0.0
15,2,1,t1,0.0,0.0
15,2,2,t2,0.0,0.0
15,2,3,t3,0.0,0.0
15,2,4,t4,0.0,0.0
16,2,0,t0,0.0,0.0
16,2,1,t1,0.0,0.0
16,2,2,t2,0.0,0.0
16,2,3,t3,0.0,0.0
16,2,4,t4,0.0,0.0
19,2,0,t0,0.0,0.0
19,2,1,t1,0.0,0.0
19,2,2,t2,0.0,0.0
19,2,3,t3,0.0,0.0
19,2,4,t4,0.0,0.0
2,2,0,t0,0.0,0.0
2,2,1,t1,0.01,0.0
2,2,2,t2,0.0,0.0
2,2,3,t3,0.0,0.0
2,2,4,t4,0.01,0.0
20,2,0,t0,0.0,0.0
20,2,1,t1,0.0,0.0
20,2,2,t2,0.0,0.0
20,2,3,t3,0.0,0.0
20,2,4,t4,0.01,0.0
21,2,0,t0,0.02,0.0
21,2,1,t1,0.0,0.0
21,2,2,t2,-0.02,0.02
21,2,3,t3,0.0,0.0
21,2,4,t4,0.0,0.0
22,2,0,t0,0.01,0.0
22,2,1,t1,0.01,0.0
22,2,2,t2,0.009999999999999998,0.0
22,2,3,t3,0.010000000000000002,0.0
22,2,4,t4,0.010000000000000002,0.0
23,2,0,t0,0.01,0.0
23,2,1,t1,0.0,0.0
23,2,2,t2,0.0,0.0
23,2,3,t3,-0.01,0.01
23,2,4,t4,0.0,0.0
26,2,0,t0,0.0,0.0
26,2,1,t1,0.01,0.0
26,2,2,t2,0.0,0.0
26,2,3,t3,0.01,0.0
26,2,4,t4,0.0,0.0
27,2,0,t0,0.0,0.0
27,2,1,t1,0.0,0.0
27,2,2,t2,0.0,0.0
27,2,3,t3,0.0,0.0
27,2,4,t4,0.0,0.0
28,2,0,t0,0.0,0.0
28,2,1,t1,0.0,0.0
28,2,2,t2,0.0,0.0
28,2,3,t3,0.0,0.0
28,2,4,t4,0.0,0.0
3,2,0,t0,0.0,0.0
3,2,1,t1,0.0,0.0
3,2,2,t2,0.0,0.0
3,2,3,t3,0.0,0.0
3,2,4,t4,0.0,0.0
30,2,0,t0,0.01,0.0
30,2,1,t1,0.01,0.0
30,2,2,t2,0.0,0.0
30,2,3,t3,0.009999999999999998,0.0
30,2,4,t4,0.0,0.0
31,2,0,t0,0.0,0.0
31,2,1,t1,0.0,0.0
31,2,2,t2,0.0,0.0
31,2,3,t3,0.0,0.0
31,2,4,t4,0.01,0.0
32,2,0,t0,0.01,0.0
32,2,1,t1,0.0,0.0
32,2,2,t2,0.01,0.0
32,2,3,t3,0.009999999999999998,0.0
32,2,4,t4,0.0,0.0
33,2,0,t0,0.0,0.0
33,2,1,t1,0.0,0.0
33,2,2,t2,0.0,0.0
33,2,3,t3,0.0,0.0
33,2,4,t4,0.0,0.0
34,2,0,t0,0.03,0.0
34,2,1,t1,0.010000000000000002,0.0
34,2,2,t2,-0.010000000000000002,0.010000000000000002
34,2,3,t3,0.010000000000000002,0.0
34,2,4,t4,0.04,0.0
35,2,0,t0,0.0,0.0
35,2,1,t1,0.0,0.0
35,2,2,t2,0.0,0.0
35,2,3,t3,0.0,0.0
35,2,4,t4,0.0,0.0
38,2,0,t0,0.0,0.0
38,2,1,t1,0.0,0.0
38,2,2,t2,0.01,0.0
38,2,3,t3,0.019999999999999997,0.0
38,2,4,t4,0.0,0.0
40,2,0,t0,0.01,0.0
40,2,1,t1,0.01,0.0
40,2,2,t2,0.009999999999999998,0.0
40,2,3,t3,0.010000000000000002,0.0
40,2,4,t4,0.0,0.0
41,2,0,t0,0.0,0.0
41,2,1,t1,0.02,0.0
41,2,2,t2,0.009999999999999998,0.0
41,2,3,t3,0.0,0.0
41,2,4,t4,0.0,0.0
43,2,0,t0,0.0,0.0
43,2,1,t1,0.0,0.0
43,2,2,t2,0.0,0.0
43,2,3,t3,0.0,0.0
43,2,4,t4,0.0,0.0
44,2,0,t0,0.0,0.0
44,2,1,t1,0.0,0.0
44,2,2,t2,0.0,0.0
44,2,3,t3,0.0,0.0
44,2,4,t4,0.01,0.0
45,2,0,t0,0.0,0.0
45,2,1,t1,0.0,0.0
45,2,2,t2,0.0,0.0
45,2,3,t3,0.0,0.0
45,2,4,t4,0.0,0.0
46,2,0,t0,0.0,0.0
46,2,1,t1,0.0,0.0
46,2,2,t2,0.0,0.0
46,2,3,t3,0.0,0.0
46,2,4,t4,0.0,0.0
47,2,0,t0,0.0,0.0
47,2,1,t1,0.0,0.0
47,2,2,t2,0.0,0.0
47,2,3,t3,0.0,0.0
47,2,4,t4,0.0,0.0
48,2,0,t0,0.01,0.0
48,2,1,t1,0.019999999999999997,0.0
48,2,2,t2,0.0,0.0
48,2,3,t3,0.0,0.0
48,2,4,t4,0.0,0.0
49,2,0,t0,0.01,0.0
49,2,1,t1,-0.01,0.01
49,2,2,t2,0.02,0.0
49,2,3,t3,0.02,0.0
49,2,4,t4,0.0,0.0
5,2,0,t0,0.0,0.0
5,2,1,t1,0.0,0.0
5,2,2,t2,0.0,0.0
5,2,3,t3,0.0,0.0
5,2,4,t4,0.01,0.0
50,2,0,t0,0.02,0.0
50,2,1,t1,0.0,0.0
50,2,2,t2,0.009999999999999998,0.0
50,2,3,t3,0.010000000000000002,0.0
50,2,4,t4,0.0,0.0
52,2,0,t0,0.0,0.0
52,2,1,t1,0.0,0.0
52,2,2,t2,0.0,0.0
52,2,3,t3,0.0,0.0
52,2,4,t4,0.0,0.0
53,2,0,t0,0.01,0.0
53,2,1,t1,-0.01,0.01
53,2,2,t2,0.0,0.0
53,2,3,t3,0.0,0.0
53,2,4,t4,0.0,0.0
6,2,0,t0,0.0,0.0
6,2,1,t1,0.0,0.0
6,2,2,t2,0.0,0.0
6,2,3,t3,0.0,0.0
6,2,4,t4,0.0,0.0
7,2,0,t0,0.01,0.0
7,2,1,t1,-0.01,0.01
7,2,2,t2,0.0,0.0
7,2,3,t3,0.0,0.0
7,2,4,t4,0.0,0.0
8,2,0,t0,0.0,0.0
8,2,1,t1,0.0,0.0
8,2,2,t2,0.0,0.0
8,2,3,t3,0.01,0.0
8,2,4,t4,0.01,0.0
9,2,0,t0,0.0,0.0
9,2,1,t1,0.0,0.0
9,2,2,t2,0.0,0.0
9,2,3,t3,0.0,0.0
9,2,4,t4,0.0,0.0
1,3,0,t0,0.0,0.0
1,3,1,t1,0.0,0.0
1,3,2,t2,0.0,0.0
1,3,3,t3,0.0,0.0
1,3,4,t4,0.0,0.0
10,3,0,t0,0.01,0.0
10,3,1,t1,0.0,0.0
10,3,2,t2,0.01,0.0
10,3,3,t3,0.009999999999999998,0.0
10,3,4,t4,0.010000000000000002,0.0
11,3,0,t0,0.0,0.0
11,3,1,t1,0.02,0.0
11,3,2,t2,0.0,0.0
11,3,3,t3,0.0,0.0
11,3,4,t4,0.02,0.0
14,3,0,t0,0.0,0.0
14,3,1,t1,0.0,0.0
14,3,2,t2,0.0,0.0
14,3,3,t3,0.01,0.0
14,3,4,t4,0.0,0.0
15,3,0,t0,0.0,0.0
15,3,1,t1,0.0,0.0
15,3,2,t2,0.0,0.0
15,3,3,t3,0.0,0.0
15,3,4,t4,0.0,0.0
16,3,0,t0,0.0,0.0
16,3,1,t1,0.0,0.0
16,3,2,t2,0.0,0.0
16,3,3,t3,0.0,0.0
16,3,4,t4,0.0,0.0
19,3,0,t0,0.0,0.0
19,3,1,t1,0.0,0.0
19,3,2,t2,0.0,0.0
19,3,3,t3,0.0,0.0
19,3,4,t4,0.01,0.0
2,3,0,t0,0.01,0.0
2,3,1,t1,0.0,0.0
2,3,2,t2,0.0,0.0
2,3,3,t3,0.01,0.0
2,3,4,t4,0.009999999999999998,0.0
20,3,0,t0,0.0,0.0
20,3,1,t1,0.0,0.0
20,3,2,t2,0.0,0.0
20,3,3,t3,0.0,0.0
20,3,4,t4,0.01,0.0
21,3,0,t0,0.02,0.0
21,3,1,t1,0.0,0.0
21,3,2,t2,-0.02,0.02
21,3,3,t3,0.0,0.0
21,3,4,t4,0.0,0.0
22,3,0,t0,0.0,0.0
22,3,1,t1,0.02,0.0
22,3,2,t2,0.0,0.0
22,3,3,t3,0.009999999999999998,0.0
22,3,4,t4,0.010000000000000002,0.0
23,3,0,t0,0.01,0.0
23,3,1,t1,0.0,0.0
23,3,2,t2,0.0,0.0
23,3,3,t3,0.0,0.0
23,3,4,t4,0.0,0.0
26,3,0,t0,0.01,0.0
26,3,1,t1,0.0,0.0
26,3,2,t2,0.0,0.0
26,3,3,t3,0.01,0.0
26,3,4,t4,0.0,0.0
27,3,0,t0,0.0,0.0
27,3,1,t1,0.0,0.0
27,3,2,t2,0.0,0.0
27,3,3,t3,0.0,0.0
27,3,4,t4,0.01,0.0
28,3,0,t0,0.0,0.0
28,3,1,t1,0.0,0.0
28,3,2,t2,0.0,0.0
28,3,3,t3,0.0,0.0
28,3,4,t4,0.0,0.0
3,3,0,t0,0.0,0.0
3,3,1,t1,0.0,0.0
3,3,2,t2,0.0,0.0
3,3,3,t3,0.0,0.0
3,3,4,t4,0.0,0.0
30,3,0,t0,0.01,0.0
30,3,1,t1,0.01,0.0
30,3,2,t2,0.0,0.0
30,3,3,t3,0.009999999999999998,0.0
30,3,4,t4,0.010000000000000002,0.0
31,3,0,t0,0.0,0.0
31,3,1,t1,0.0,0.0
31,3,2,t2,0.0,0.0
31,3,3,t3,0.01,0.0
31,3,4,t4,0.0,0.0
32,3,0,t0,0.01,0.0
32,3,1,t1,0.0,0.0
32,3,2,t2,0.01,0.0
32,3,3,t3,0.0,0.0
32,3,4,t4,0.0,0.0
33,3,0,t0,0.0,0.0
33,3,1,t1,0.0,0.0
33,3,2,t2,0.0,0.0
33,3,3,t3,0.0,0.0
33,3,4,t4,0.0,0.0
34,3,0,t0,0.02,0.0
34,3,1,t1,0.02,0.0
34,3,2,t2,-0.010000000000000002,0.010000000000000002
34,3,3,t3,0.0,0.0
34,3,4,t4,0.020000000000000004,0.0
35,3,0,t0,0.0,0.0
35,3,1,t1,0.0,0.0
35,3,2,t2,0.0,0.0
35,3,3,t3,0.0,0.0
35,3,4,t4,0.0,0.0
38,3,0,t0,0.0,0.0
38,3,1,t1,0.0,0.0
38,3,2,t2,0.03,0.0
38,3,3,t3,0.0,0.0
38,3,4,t4,0.010000000000000002,0.0
40,3,0,t0,0.01,0.0
40,3,1,t1,0.0,0.0
40,3,2,t2,0.019999999999999997,0.0
40,3,3,t3,0.0,0.0
40,3,4,t4,0.010000000000000002,0.0
41,3,0,t0,0.0,0.0
41,3,1,t1,0.03,0.0
41,3,2,t2,0.0,0.0
41,3,3,t3,0.0,0.0
41,3,4,t4,0.0,0.0
43,3,0,t0,0.0,0.0
43,3,1,t1,0.0,0.0
43,3,2,t2,0.0,0.0
43,3,3,t3,0.0,0.0
43,3,4,t4,0.0,0.0
44,3,0,t0,0.0,0.0
44,3,1,t1,0.0,0.0
44,3,2,t2,0.0,0.0
44,3,3,t3,0.0,0.0
44,3,4,t4,0.0,0.0
45,3,0,t0,0.0,0.0
45,3,1,t1,0.0,0.0
45,3,2,t2,0.0,0.0
45,3,3,t3,0.0,0.0
45,3,4,t4,0.01,0.0
46,3,0,t0,0.0,0.0
46,3,1,t1,0.0,0.0
46,3,2,t2,0.0,0.0
46,3,3,t3,0.0,0.0
46,3,4,t4,0.0,0.0
47,3,0,t0,0.0,0.0
47,3,1,t1,0.0,0.0
47,3,2,t2,0.0,0.0
47,3,3,t3,0.0,0.0
47,3,4,t4,0.0,0.0
48,3,0,t0,0.01,0.0
48,3,1,t1,0.019999999999999997,0.0
48,3,2,t2,0.0,0.0
48,3,3,t3,-0.019999999999999997,0.019999999999999997
48,3,4,t4,0.0,0.0
49,3,0,t0,0.01,0.0
49,3,1,t1,0.0,0.0
49,3,2,t2,0.03,0.0
49,3,3,t3,0.0,0.0
49,3,4,t4,0.0,0.0
5,3,0,t0,0.01,0.0
5,3,1,t1,-0.01,0.01
5,3,2,t2,0.0,0.0
5,3,3,t3,0.0,0.0
5,3,4,t4,0.01,0.0
50,3,0,t0,0.02,0.0
50,3,1,t1,0.0,0.0
50,3,2,t2,0.02,0.0
50,3,3,t3,0.0,0.0
50,3,4,t4,0.0,0.0
52,3,0,t0,0.0,0.0
52,3,1,t1,0.0,0.0
52,3,2,t2,0.0,0.0
52,3,3,t3,0.0,0.0
52,3,4,t4,0.0,0.0
53,3,0,t0,0.01,0.0
53,3,1,t1,-0.01,0.01
53,3,2,t2,0.0,0.0
53,3,3,t3,0.0,0.0
53,3,4,t4,0.0,0.0
6,3,0,t0,0.0,0.0
6,3,1,t1,0.0,0.0
6,3,2,t2,0.0,0.0
6,3,3,t3,0.0,0.0
6,3,4,t4,0.0,0.0
7,3,0,t0,0.01,0.0
7,3,1,t1,0.0,0.0
7,3,2,t2,-0.01,0.01
7,3,3,t3,0.0,0.0
7,3,4,t4,0.0,0.0
8,3,0,t0,0.0,0.0
8,3,1,t1,0.0,0.0
8,3,2,t2,0.0,0.0
8,3,3,t3,0.01,0.0
8,3,4,t4,0.0,0.0
9,3,0,t0,0.0,0.0
