fold,seed,subject_id,direction,source_rho,source_P_score,source_U,source_D_finite,source_PUD_pass,future_BA_erasure_harm,future_CE_erasure_harm,future_D_finite,outcome_margin_rms,basis_column,certificate_direction,source_rho_repaired,source_P_repaired,source_U_repaired,source_D_finite_repaired,source_PUD_pass_repaired
0,0,47,5,0.0954816281035822,0.8288982286033212,0.069584993685035,0.8886452600199102,True,0.01,0.0195397957605313,0.3502991771782742,0.4953978359699249,5,11,0.0263672481487444,0.6811794222162484,0.0045840178174267,0.2812577843641549,True
0,0,49,0,0.5774718602017341,0.8908998828910235,-0.040708726839589,0.0121865469952047,False,0.03,0.080969240171251,0.9394800497083022,1.3286253213882446,0,3,0.1241563224789094,0.8960464454203224,0.0884788042855757,0.9170418902646882,True
0,0,49,1,0.2573407478395985,0.8477769590903217,-0.016605457370343,0.1264480460885112,False,0.06,0.1435590726732275,0.9009890988059523,1.27419114112854,1,5,0.0954816281035822,0.8288982286033212,0.069584993685035,0.8886452600199102,True
0,0,49,2,0.1296405557277313,0.7439720093927845,-0.0033244528888613,0.2199576635447335,False,0.03,0.0685025678112738,0.6198743415826176,0.8766347169876099,2,6,0.0686605157915441,0.8185115710850238,0.0434711650975608,0.6493603019062958,True
0,0,49,3,0.1241563224789094,0.8960464454203224,0.0884788042855757,0.9170418902646882,True,0.0,0.0241306042111985,0.339692451183174,0.4803976714611053,3,7,0.0608146553440501,0.6674573067341312,0.0082884314224887,0.3465282425538945,True
0,0,49,4,0.1115469716206802,0.8060829007714394,-0.000329478873878,0.4095732061613902,False,1.1102230246251563e-16,0.0939397003227844,0.7009408486807044,0.9912800192832948,4,9,0.0371617857860445,0.8306410533114137,0.0555287040864237,0.7223730491925214,True
0,0,49,5,0.0954816281035822,0.8288982286033212,0.069584993685035,0.8886452600199102,True,-0.01,-0.0085891943356024,0.2630430745398801,0.3719990849494934,5,11,0.0263672481487444,0.6811794222162484,0.0045840178174267,0.2812577843641549,True
0,1,15,0,0.5904784445615421,0.898714119062739,-0.0438198389327511,0.0496078996378325,False,0.06,0.0302605877596947,0.7672642148656605,1.0850754976272583,0,3,0.1133524521396928,0.8529865881594009,0.1025520552546971,1.135166336950575,True
0,1,15,1,0.2598834925607115,0.8157619546010997,-0.0185078321133011,0.0497583997227717,False,0.12,0.1396631849194477,0.994506320813582,1.4064443111419678,1,6,0.0772334584255909,0.9340245844672272,0.1319867790023736,1.2310304085762591,True
0,1,15,2,0.1629889631989914,0.8047227235654795,-0.0032263080857064,0.1641500420608594,False,-0.01,0.0043039754082634,0.271156857831648,0.3834736943244934,2,7,0.0620820117345756,0.6454682003050334,0.00464501968589,0.2826391411482873,True
