fold,subject_id,R_P__A2_SOURCE_ONLY,R_P__IDENTITY_SOURCE_ONLY,R_P__PUD_SOURCE_ONLY,R_P__RANDOM_SOURCE_ONLY,protected_harm__A2_SOURCE_ONLY,protected_harm__IDENTITY_SOURCE_ONLY,protected_harm__PUD_SOURCE_ONLY,protected_harm__RANDOM_SOURCE_ONLY,PUD_minus_Vanilla,delta_R_P_PUD_minus_Dual,delta_harm_PUD_minus_A2_SOURCE_ONLY,delta_harm_PUD_minus_RANDOM_SOURCE_ONLY,delta_harm_PUD_minus_IDENTITY_SOURCE_ONLY
1,34,0.5317408442497253,0.2530413617690404,0.5953845580418905,0.37000248829523724,0.09999999999999998,0.0033333333333333006,0.05999999999999991,0.02333333333333323,0.020000000000000018,0.06364371379216516,-0.04000000000000007,0.03666666666666668,0.05666666666666661
1,40,0.47777260343233746,0.164952869216601,0.7009058197339376,0.26465159654617304,0.08333333333333337,0.0,0.15000000000000002,0.04666666666666667,-0.026666666666666727,0.22313321630160016,0.06666666666666665,0.10333333333333336,0.15000000000000002
1,43,0.4869128465652466,0.13893895099560413,0.635097086429596,0.22139802078406012,0.08999999999999982,0.03999999999999996,0.11999999999999995,0.05333333333333327,-0.013333333333333197,0.14818423986434937,0.030000000000000138,0.06666666666666668,0.07999999999999999
1,44,0.49978922804196674,0.16362509131431577,0.662714680035909,0.2406423489252726,0.1166666666666667,0.016666666666666666,0.13333333333333322,0.02,0.0033333333333334103,0.16292545199394232,0.016666666666666524,0.11333333333333322,0.11666666666666656
1,48,0.518532375494639,0.1857473601897557,0.6356922388076782,0.2462831487258275,0.05999999999999997,0.013333333333333334,0.1566666666666666,-0.01,-0.00666666666666671,0.11715986331303918,0.09666666666666662,0.1666666666666666,0.14333333333333326
1,50,0.4628885289033254,0.2068856358528137,0.652596672375997,0.23749324182669315,0.023333333333333334,0.02666666666666667,0.09999999999999992,0.0166666666666666,-0.036666666666666625,0.18970814347267156,0.07666666666666659,0.08333333333333331,0.07333333333333325
2,10,0.47274452447891235,0.13310344765583668,0.6348100105921427,0.24805528918902076,0.01,0.013333333333333296,0.06333333333333327,0.016666666666666597,-0.0033333333333334103,0.16206548611323035,0.05333333333333327,0.046666666666666676,0.049999999999999975
2,16,0.45850543181101483,0.13318501661221183,0.7513956824938456,0.2860654940207799,0.08333333333333333,-0.0033333333333333335,0.14333333333333334,0.016666666666666597,-0.013333333333333197,0.29289025068283076,0.06000000000000001,0.12666666666666673,0.14666666666666667
2,21,0.5269537369410197,0.17131949464480078,0.7262828946113586,0.2930452227592468,0.07666666666666667,0.02666666666666667,0.21999999999999997,0.056666666666666636,-0.15333333333333332,0.19932915767033899,0.1433333333333333,0.16333333333333333,0.1933333333333333
2,22,0.44715966780980426,0.1496548975507418,0.6947224537531534,0.3020746558904647,0.0633333333333332,0.01666666666666664,0.07666666666666654,0.04333333333333326,-0.06333333333333324,0.24756278594334918,0.013333333333333336,0.03333333333333328,0.0599999999999999
2,31,0.4633513589700063,0.12153303126494086,0.7279783288637797,0.28510051469008124,0.11333333333333323,0.0133333333333333,0.17333333333333334,0.013333333333333334,-0.02000000000000024,0.2646269698937734,0.06000000000000011,0.16,0.16000000000000003
2,45,0.4805193642775218,0.1568920662005742,0.6126741965611776,0.3107459247112274,0.08666666666666656,0.02,0.1166666666666666,0.0833333333333333,-0.09999999999999987,0.13215483228365582,0.03000000000000004,0.0333333333333333,0.0966666666666666
2,53,0.49614930152893066,0.15284595390160877,0.6528517405192057,0.26536529759565985,0.06999999999999997,0.016666666666666632,0.1166666666666666,0.02666666666666667,-0.053333333333333344,0.15670243899027503,0.046666666666666634,0.08999999999999993,0.09999999999999996
2,9,0.5274268885453542,0.19070235888163245,0.6657663186391195,0.3029172122478485,-0.016666666666666632,0.01999999999999993,0.08333333333333337,0.006666666666666633,-0.10666666666666658,0.13833943009376526,0.1,0.07666666666666674,0.06333333333333344
3,1,0.5442180732885996,0.18587852021058396,0.6860504746437073,0.34910228848457336,0.04333333333333327,0.006666666666666667,0.10999999999999989,0.03333333333333333,0.04999999999999993,0.14183240135510766,0.06666666666666662,0.07666666666666655,0.10333333333333322
3,20,0.5521367986996969,0.1435230399171511,0.7319671511650085,0.30332528551419574,0.11666666666666657,0.02333333333333323,0.10999999999999997,0.03,-0.036666666666666625,0.17983035246531165,-0.006666666666666599,0.07999999999999997,0.08666666666666674
3,23,0.5159459710121155,0.1861854642629623,0.6626642942428589,0.35732043782869966,0.0699999999999999,0.0033333333333333335,0.10333333333333329,-0.0033333333333333335,-0.01666666666666672,0.1467183232307434,0.033333333333333395,0.10666666666666662,0.09999999999999996
3,26,0.5120894412199656,0.18023063242435447,0.6900803844134012,0.32926614085833233,0.06666666666666664,-0.0033333333333333335,0.09333333333333337,0.016666666666666666,-0.0033333333333334103,0.17799094319343567,0.026666666666666727,0.0766666666666667,0.09666666666666669
3,35,0.5457331538200378,0.14032111813624693,0.7508816520373026,0.31999317308266956,0.08999999999999997,0.01,0.13000000000000003,0.0033333333333333674,-0.01666666666666672,0.20514849821726477,0.04000000000000006,0.12666666666666668,0.12000000000000004
3,5,0.53324294090271,0.20873031516869864,0.6839845577875773,0.3685706357161204,0.05333333333333326,0.02666666666666667,0.036666666666666674,-0.013333333333333334,-0.036666666666666625,0.1507416168848673,-0.016666666666666587,0.05000000000000001,0.010000000000000005
3,6,0.5540346205234528,0.15872522195180253,0.7001583973566691,0.3256025364001592,0.049999999999999996,0.01999999999999993,0.15333333333333324,0.04333333333333326,-0.01000000000000012,0.1461237768332163,0.10333333333333325,0.10999999999999999,0.1333333333333333
3,7,0.5318081378936768,0.1527395074566205,0.7062208851178488,0.3215414683024089,0.15333333333333335,-0.0033333333333333327,0.15333333333333327,0.02666666666666667,0.036666666666666625,0.174412747224172,-8.326672684688674e-17,0.1266666666666666,0.1566666666666666
4,11,0.5153253177801768,0.15036617219448087,0.6787824630737305,0.30275493363539374,0.04333333333333327,-0.0033333333333333327,0.08333333333333326,0.026666666666666634,0.01333333333333342,0.1634571452935537,0.03999999999999999,0.05666666666666663,0.08666666666666659
4,27,0.5645206868648529,0.1123304814100265,0.7471712231636047,0.28005754450956977,0.05333333333333334,0.0233333333333333,0.1566666666666666,0.03666666666666663,-0.033333333333333326,0.18265053629875183,0.10333333333333325,0.11999999999999997,0.1333333333333333
4,28,0.5930842359860738,0.20439838369687394,0.7100598017374674,0.31908007462819415,0.013333333333333369,0.016666666666666666,0.2233333333333333,0.050000000000000024,-0.040000000000000036,0.11697556575139356,0.20999999999999994,0.17333333333333328,0.20666666666666664
4,3,0.5744703312714895,0.1950131803750991,0.7314288020133972,0.3072729259729385,0.07999999999999986,0.01999999999999993,0.14999999999999997,0.026666666666666634,-0.07333333333333325,0.15695847074190772,0.0700000000000001,0.12333333333333334,0.13000000000000003
4,30,0.5311080614725748,0.17684661845366156,0.6889816522598267,0.3548183838526408,0.08999999999999997,0.006666666666666667,0.10999999999999993,0.0,-0.030000000000000138,0.15787359078725183,0.019999999999999962,0.10999999999999993,0.10333333333333326
4,38,0.5342821975549062,0.16344606876373288,0.6683654387791952,0.367376575867335,0.12999999999999992,-0.006666666666666668,0.25999999999999995,0.009999999999999966,0.029999999999999916,0.13408324122428894,0.13000000000000003,0.25,0.2666666666666666
4,52,0.49808263778686523,0.17667364577452338,0.6729321281115214,0.2987652420997619,0.25333333333333335,0.0033333333333333335,0.20666666666666664,0.016666666666666666,-0.026666666666666727,0.17484949032465613,-0.04666666666666672,0.18999999999999997,0.2033333333333333
4,8,0.5328193704287211,0.1930501411358515,0.7141337394714355,0.3162055313587188,0.19333333333333336,0.02666666666666667,0.12333333333333325,0.056666666666666636,-0.06000000000000005,0.18131436904271447,-0.0700000000000001,0.06666666666666662,0.09666666666666658
