method,fold,seed,subject_id,BA,macro_f1,n_trials,lambda_aux,selected_epoch,target_kind
Identity-Aux,0,2,46,0.7,0.6995192307692308,100,0.1,39,IDENTITY
Identity-Aux,0,2,47,0.86,0.8579545454545454,100,0.1,39,IDENTITY
Identity-Aux,0,2,49,0.83,0.8299829982998299,100,0.1,39,IDENTITY
Full-Teacher-KD-Aux,0,2,15,0.85,0.8498648783905515,100,0.25,40,FULL_KD
Full-Teacher-KD-Aux,0,2,19,0.79,0.7874278773155178,100,0.25,40,FULL_KD
Full-Teacher-KD-Aux,0,2,32,0.69,0.6899689968996899,100,0.25,40,FULL_KD
Full-Teacher-KD-Aux,0,2,33,0.81,0.8084484323016433,100,0.25,40,FULL_KD
Full-Teacher-KD-Aux,0,2,41,0.77,0.7694235588972431,100,0.25,40,FULL_KD
Full-Teacher-KD-Aux,0,2,46,0.61,0.5793334052421529,100,0.25,40,FULL_KD
Full-Teacher-KD-Aux,0,2,47,0.8999999999999999,0.8996386993175431,100,0.25,40,FULL_KD
Full-Teacher-KD-Aux,0,2,49,0.8500000000000001,0.8492613807657522,100,0.25,40,FULL_KD
P-only-Aux,0,2,15,0.85,0.8498648783905515,100,0.1,40,P_ONLY
P-only-Aux,0,2,19,0.76,0.7575757575757576,100,0.1,40,P_ONLY
P-only-Aux,0,2,32,0.6499999999999999,0.6491228070175439,100,0.1,40,P_ONLY
P-only-Aux,0,2,33,0.8,0.797979797979798,100,0.1,40,P_ONLY
P-only-Aux,0,2,41,0.77,0.7694235588972431,100,0.1,40,P_ONLY
P-only-Aux,0,2,46,0.63,0.6053333333333333,100,0.1,40,P_ONLY
P-only-Aux,0,2,47,0.88,0.8792270531400965,100,0.1,40,P_ONLY
P-only-Aux,0,2,49,0.86,0.8590982286634461,100,0.1,40,P_ONLY
PUD-Aux,0,2,15,0.86,0.8599439775910365,100,0.25,39,PUD
PUD-Aux,0,2,19,0.77,0.767182913250329,100,0.25,39,PUD
PUD-Aux,0,2,32,0.67,0.66996699669967,100,0.25,39,PUD
PUD-Aux,0,2,33,0.77,0.7660461804495982,100,0.25,39,PUD
PUD-Aux,0,2,41,0.78,0.78,100,0.25,39,PUD
PUD-Aux,0,2,46,0.63,0.6009060511271707,100,0.25,39,PUD
PUD-Aux,0,2,47,0.94,0.9399759903961584,100,0.25,39,PUD
PUD-Aux,0,2,49,0.87,0.8689384010484928,100,0.25,39,PUD
Matched-TaskOnly,1,0,2,0.75,0.74997499749975,100,0.0,40,TASK_ONLY
Matched-TaskOnly,1,0,14,0.73,0.7253585596582239,100,0.0,40,TASK_ONLY
Matched-TaskOnly,1,0,34,0.6799999999999999,0.6736026111791106,100,0.0,40,TASK_ONLY
Matched-TaskOnly,1,0,40,0.84,0.8376623376623377,100,0.0,40,TASK_ONLY
Matched-TaskOnly,1,0,43,0.88,0.8799519807923168,100,0.0,40,TASK_ONLY
Matched-TaskOnly,1,0,44,0.76,0.7536945812807883,100,0.0,40,TASK_ONLY
Matched-TaskOnly,1,0,48,0.6799999999999999,0.6692848284415047,100,0.0,40,TASK_ONLY
Matched-TaskOnly,1,0,50,0.62,0.614448051948052,100,0.0,40,TASK_ONLY
Random-Aux,1,0,2,0.76,0.7599039615846338,100,0.05,40,RANDOM
Random-Aux,1,0,14,0.74,0.7362012987012987,100,0.05,40,RANDOM
Random-Aux,1,0,34,0.68,0.6753246753246753,100,0.05,40,RANDOM
Random-Aux,1,0,40,0.84,0.8376623376623377,100,0.05,40,RANDOM
Random-Aux,1,0,43,0.88,0.8799519807923168,100,0.05,40,RANDOM
Random-Aux,1,0,44,0.76,0.7536945812807883,100,0.05,40,RANDOM
Random-Aux,1,0,48,0.6799999999999999,0.6715927750410509,100,0.05,40,RANDOM
Random-Aux,1,0,50,0.62,0.614448051948052,100,0.05,40,RANDOM
Identity-Aux,1,0,2,0.78,0.7799119647859143,100,0.05,39,IDENTITY
Identity-Aux,1,0,14,0.74,0.7373737373737375,100,0.05,39,IDENTITY
Identity-Aux,1,0,34,0.7,0.6980676328502415,100,0.05,39,IDENTITY
Identity-Aux,1,0,40,0.8500000000000001,0.8492613807657522,100,0.05,39,IDENTITY
Identity-Aux,1,0,43,0.89,0.8899889988998899,100,0.05,39,IDENTITY
Identity-Aux,1,0,44,0.75,0.7442455242966752,100,0.05,39,IDENTITY
Identity-Aux,1,0,48,0.67,0.6643271284711627,100,0.05,39,IDENTITY
Identity-Aux,1,0,50,0.6,0.5920032639738881,100,0.05,39,IDENTITY
Full-Teacher-KD-Aux,1,0,2,0.77,0.7699769976997699,100,0.05,40,FULL_KD
Full-Teacher-KD-Aux,1,0,14,0.75,0.7469379491851402,100,0.05,40,FULL_KD
Full-Teacher-KD-Aux,1,0,34,0.6599999999999999,0.6510673234811166,100,0.05,40,FULL_KD
Full-Teacher-KD-Aux,1,0,40,0.83,0.8270776116366596,100,0.05,40,FULL_KD
Full-Teacher-KD-Aux,1,0,43,0.9,0.9,100,0.05,40,FULL_KD
Full-Teacher-KD-Aux,1,0,44,0.75,0.7442455242966752,100,0.05,40,FULL_KD
Full-Teacher-KD-Aux,1,0,48,0.69,0.6807743795695603,100,0.05,40,FULL_KD
Full-Teacher-KD-Aux,1,0,50,0.61,0.6032956972841013,100,0.05,40,FULL_KD
P-only-Aux,1,0,2,0.77,0.7699769976997699,100,0.05,40,P_ONLY
P-only-Aux,1,0,14,0.75,0.7469379491851402,100,0.05,40,P_ONLY
P-only-Aux,1,0,34,0.69,0.6846709388668497,100,0.05,40,P_ONLY
P-only-Aux,1,0,40,0.82,0.8173701298701299,100,0.05,40,P_ONLY
P-only-Aux,1,0,43,0.91,0.90999099909991,100,0.05,40,P_ONLY
P-only-Aux,1,0,44,0.76,0.7536945812807883,100,0.05,40,P_ONLY
P-only-Aux,1,0,48,0.69,0.6807743795695603,100,0.05,40,P_ONLY
P-only-Aux,1,0,50,0.62,0.6161616161616161,100,0.05,40,P_ONLY
PUD-Aux,1,0,2,0.78,0.78,100,0.05,40,PUD
PUD-Aux,1,0,14,0.75,0.7469379491851402,100,0.05,40,PUD
PUD-Aux,1,0,34,0.69,0.6846709388668497,100,0.05,40,PUD
PUD-Aux,1,0,40,0.83,0.8270776116366596,100,0.05,40,PUD
PUD-Aux,1,0,43,0.91,0.90999099909991,100,0.05,40,PUD
PUD-Aux,1,0,44,0.76,0.7536945812807883,100,0.05,40,PUD
PUD-Aux,1,0,48,0.6799999999999999,0.6715927750410509,100,0.05,40,PUD
PUD-Aux,1,0,50,0.62,0.6161616161616161,100,0.05,40,PUD
Matched-TaskOnly,1,1,2,0.77,0.7688674505074866,100,0.0,38,TASK_ONLY
Matched-TaskOnly,1,1,14,0.6699999999999999,0.6576408341114224,100,0.0,38,TASK_ONLY
Matched-TaskOnly,1,1,34,0.69,0.6862030569895738,100,0.0,38,TASK_ONLY
Matched-TaskOnly,1,1,40,0.8,0.7933030177759405,100,0.0,38,TASK_ONLY
Matched-TaskOnly,1,1,43,0.85,0.8487750781328763,100,0.0,38,TASK_ONLY
Matched-TaskOnly,1,1,44,0.73,0.7277951406391774,100,0.0,38,TASK_ONLY
Matched-TaskOnly,1,1,48,0.69,0.6899689968996899,100,0.0,38,TASK_ONLY
Matched-TaskOnly,1,1,50,0.65,0.6496847162446202,100,0.0,38,TASK_ONLY
Random-Aux,1,1,2,0.77,0.7688674505074866,100,0.05,38,RANDOM
Random-Aux,1,1,14,0.6799999999999999,0.6692848284415047,100,0.05,38,RANDOM
Random-Aux,1,1,34,0.69,0.6862030569895738,100,0.05,38,RANDOM
Random-Aux,1,1,40,0.8,0.7933030177759405,100,0.05,38,RANDOM
Random-Aux,1,1,43,0.85,0.8487750781328763,100,0.05,38,RANDOM
Random-Aux,1,1,44,0.73,0.7277951406391774,100,0.05,38,RANDOM
Random-Aux,1,1,48,0.69,0.6899689968996899,100,0.05,38,RANDOM
Random-Aux,1,1,50,0.6599999999999999,0.6594551282051282,100,0.05,38,RANDOM
Identity-Aux,1,1,2,0.8,0.7992773986350863,100,0.05,40,IDENTITY
Identity-Aux,1,1,14,0.7,0.6921182266009853,100,0.05,40,IDENTITY
Identity-Aux,1,1,34,0.6799999999999999,0.6767676767676768,100,0.05,40,IDENTITY
Identity-Aux,1,1,40,0.79,0.7803117480908045,100,0.05,40,IDENTITY
Identity-Aux,1,1,43,0.8300000000000001,0.8291628982011858,100,0.05,40,IDENTITY
Identity-Aux,1,1,44,0.72,0.7198879551820728,100,0.05,40,IDENTITY
Identity-Aux,1,1,48,0.71,0.7099709970997099,100,0.05,40,IDENTITY
Identity-Aux,1,1,50,0.62,0.6193910256410255,100,0.05,40,IDENTITY
Full-Teacher-KD-Aux,1,1,2,0.79,0.7894736842105263,100,0.25,39,FULL_KD
Full-Teacher-KD-Aux,1,1,14,0.6799999999999999,0.6692848284415047,100,0.25,39,FULL_KD
Full-Teacher-KD-Aux,1,1,34,0.69,0.6846709388668497,100,0.25,39,FULL_KD
Full-Teacher-KD-Aux,1,1,40,0.8300000000000001,0.8260869565217391,100,0.25,39,FULL_KD
Full-Teacher-KD-Aux,1,1,43,0.85,0.8487750781328763,100,0.25,39,FULL_KD
Full-Teacher-KD-Aux,1,1,44,0.76,0.7564935064935066,100,0.25,39,FULL_KD
Full-Teacher-KD-Aux,1,1,48,0.71,0.7050147492625369,100,0.25,39,FULL_KD
Full-Teacher-KD-Aux,1,1,50,0.63,0.6296667000300271,100,0.25,39,FULL_KD
P-only-Aux,1,1,2,0.77,0.7694235588972431,100,0.25,37,P_ONLY
P-only-Aux,1,1,14,0.7,0.6921182266009853,100,0.25,37,P_ONLY
P-only-Aux,1,1,34,0.69,0.6862030569895738,100,0.25,37,P_ONLY
P-only-Aux,1,1,40,0.84,0.8376623376623377,100,0.25,37,P_ONLY
P-only-Aux,1,1,43,0.8500000000000001,0.8492613807657522,100,0.25,37,P_ONLY
P-only-Aux,1,1,44,0.75,0.7479584635547938,100,0.25,37,P_ONLY
P-only-Aux,1,1,48,0.72,0.7181964573268921,100,0.25,37,P_ONLY
P-only-Aux,1,1,50,0.62,0.62,100,0.25,37,P_ONLY
PUD-Aux,1,1,2,0.76,0.7591328783621036,100,0.05,37,PUD
PUD-Aux,1,1,14,0.71,0.7033248081841432,100,0.05,37,PUD
PUD-Aux,1,1,34,0.67,0.6659580929243851,100,0.05,37,PUD
PUD-Aux,1,1,40,0.79,0.7837503861600247,100,0.05,37,PUD
PUD-Aux,1,1,43,0.8300000000000001,0.8286117552172598,100,0.05,37,PUD
PUD-Aux,1,1,44,0.73,0.7286704853783539,100,0.05,37,PUD
PUD-Aux,1,1,48,0.7,0.6995192307692308,100,0.05,37,PUD
PUD-Aux,1,1,50,0.62,0.6198479391756703,100,0.05,37,PUD
Matched-TaskOnly,1,2,2,0.79,0.7882851093860268,100,0.0,39,TASK_ONLY
Matched-TaskOnly,1,2,14,0.76,0.7564935064935066,100,0.0,39,TASK_ONLY
Matched-TaskOnly,1,2,34,0.6499999999999999,0.6491228070175439,100,0.0,39,TASK_ONLY
Matched-TaskOnly,1,2,40,0.79,0.7803117480908045,100,0.0,39,TASK_ONLY
Matched-TaskOnly,1,2,43,0.8899999999999999,0.8894583458948849,100,0.0,39,TASK_ONLY
Matched-TaskOnly,1,2,44,0.68,0.68,100,0.0,39,TASK_ONLY
Matched-TaskOnly,1,2,48,0.72,0.7171717171717171,100,0.0,39,TASK_ONLY
Matched-TaskOnly,1,2,50,0.63,0.62996299629963,100,0.0,39,TASK_ONLY
Random-Aux,1,2,2,0.73,0.7293233082706767,100,0.25,40,RANDOM
Random-Aux,1,2,14,0.77,0.7688674505074866,100,0.25,40,RANDOM
Random-Aux,1,2,34,0.6799999999999999,0.6798719487795117,100,0.25,40,RANDOM
Random-Aux,1,2,40,0.77,0.7593890574327858,100,0.25,40,RANDOM
Random-Aux,1,2,43,0.87,0.8698828946051447,100,0.25,40,RANDOM
Random-Aux,1,2,44,0.71,0.7099709970997099,100,0.25,40,RANDOM
Random-Aux,1,2,48,0.71,0.7099709970997099,100,0.25,40,RANDOM
Random-Aux,1,2,50,0.6000000000000001,0.5993589743589745,100,0.25,40,RANDOM
Identity-Aux,1,2,2,0.73,0.7293233082706767,100,0.05,40,IDENTITY
Identity-Aux,1,2,14,0.75,0.7497747973175859,100,0.05,40,IDENTITY
Identity-Aux,1,2,34,0.67,0.66996699669967,100,0.05,40,IDENTITY
Identity-Aux,1,2,40,0.78,0.7688104245481295,100,0.05,40,IDENTITY
Identity-Aux,1,2,43,0.88,0.8798076923076923,100,0.05,40,IDENTITY
Identity-Aux,1,2,44,0.75,0.7497747973175859,100,0.05,40,IDENTITY
Identity-Aux,1,2,48,0.73,0.72997299729973,100,0.05,40,IDENTITY
Identity-Aux,1,2,50,0.5700000000000001,0.5696126513862476,100,0.05,40,IDENTITY
Full-Teacher-KD-Aux,1,2,2,0.77,0.767182913250329,100,0.1,39,FULL_KD
Full-Teacher-KD-Aux,1,2,14,0.76,0.7575757575757576,100,0.1,39,FULL_KD
Full-Teacher-KD-Aux,1,2,34,0.67,0.66996699669967,100,0.1,39,FULL_KD
Full-Teacher-KD-Aux,1,2,40,0.81,0.8056265984654731,100,0.1,39,FULL_KD
Full-Teacher-KD-Aux,1,2,43,0.88,0.8792270531400965,100,0.1,39,FULL_KD
Full-Teacher-KD-Aux,1,2,44,0.7,0.6998799519807923,100,0.1,39,FULL_KD
Full-Teacher-KD-Aux,1,2,48,0.75,0.7493734335839599,100,0.1,39,FULL_KD
Full-Teacher-KD-Aux,1,2,50,0.66,0.6598639455782312,100,0.1,39,FULL_KD
P-only-Aux,1,2,2,0.78,0.7777777777777778,100,0.05,39,P_ONLY
P-only-Aux,1,2,14,0.76,0.7575757575757576,100,0.05,39,P_ONLY
P-only-Aux,1,2,34,0.69,0.6899689968996899,100,0.05,39,P_ONLY
P-only-Aux,1,2,40,0.8,0.7916666666666667,100,0.05,39,P_ONLY
P-only-Aux,1,2,43,0.87,0.8693598633303186,100,0.05,39,P_ONLY
P-only-Aux,1,2,44,0.7,0.6998799519807923,100,0.05,39,P_ONLY
P-only-Aux,1,2,48,0.73,0.7286704853783539,100,0.05,39,P_ONLY
P-only-Aux,1,2,50,0.66,0.6598639455782312,100,0.05,39,P_ONLY
PUD-Aux,1,2,2,0.79,0.7882851093860268,100,0.05,39,PUD
PUD-Aux,1,2,14,0.76,0.7575757575757576,100,0.05,39,PUD
PUD-Aux,1,2,34,0.66,0.6598639455782312,100,0.05,39,PUD
PUD-Aux,1,2,40,0.81,0.8028841166096068,100,0.05,39,PUD
PUD-Aux,1,2,43,0.87,0.8693598633303186,100,0.05,39,PUD
PUD-Aux,1,2,44,0.7,0.6998799519807923,100,0.05,39,PUD
PUD-Aux,1,2,48,0.73,0.7286704853783539,100,0.05,39,PUD
PUD-Aux,1,2,50,0.66,0.6598639455782312,100,0.05,39,PUD
Matched-TaskOnly,2,0,9,0.6000000000000001,0.5993589743589745,100,0.0,36,TASK_ONLY
Matched-TaskOnly,2,0,10,0.75,0.74997499749975,100,0.0,36,TASK_ONLY
Matched-TaskOnly,2,0,16,0.87,0.8699869986998701,100,0.0,36,TASK_ONLY
Matched-TaskOnly,2,0,21,0.81,0.8099809980998101,100,0.0,36,TASK_ONLY
Matched-TaskOnly,2,0,22,0.6699999999999999,0.6683750376846548,100,0.0,36,TASK_ONLY
Matched-TaskOnly,2,0,31,0.86,0.8599439775910365,100,0.0,36,TASK_ONLY
Matched-TaskOnly,2,0,45,0.7,0.6980676328502415,100,0.0,36,TASK_ONLY
Matched-TaskOnly,2,0,53,0.79,0.7863899908452854,100,0.0,36,TASK_ONLY
Random-Aux,2,0,9,0.6000000000000001,0.5993589743589745,100,0.05,36,RANDOM
Random-Aux,2,0,10,0.75,0.74997499749975,100,0.05,36,RANDOM
Random-Aux,2,0,16,0.87,0.8699869986998701,100,0.05,36,RANDOM
Random-Aux,2,0,21,0.84,0.84,100,0.05,36,RANDOM
Random-Aux,2,0,22,0.69,0.6884735202492211,100,0.05,36,RANDOM
Random-Aux,2,0,31,0.87,0.8698828946051447,100,0.05,36,RANDOM
Random-Aux,2,0,45,0.71,0.7085720028137876,100,0.05,36,RANDOM
Random-Aux,2,0,53,0.79,0.7863899908452854,100,0.05,36,RANDOM
Identity-Aux,2,0,9,0.62,0.6198479391756703,100,0.1,39,IDENTITY
Identity-Aux,2,0,10,0.6799999999999999,0.6794871794871795,100,0.1,39,IDENTITY
Identity-Aux,2,0,16,0.85,0.8498648783905515,100,0.1,39,IDENTITY
Identity-Aux,2,0,21,0.8,0.7992773986350863,100,0.1,39,IDENTITY
Identity-Aux,2,0,22,0.63,0.6254681647940075,100,0.1,39,IDENTITY
Identity-Aux,2,0,31,0.84,0.8399359743897559,100,0.1,39,IDENTITY
Identity-Aux,2,0,45,0.68,0.68,100,0.1,39,IDENTITY
Identity-Aux,2,0,53,0.74,0.7331691297208538,100,0.1,39,IDENTITY
Full-Teacher-KD-Aux,2,0,9,0.5800000000000001,0.5798319327731092,100,0.25,39,FULL_KD
Full-Teacher-KD-Aux,2,0,10,0.73,0.72997299729973,100,0.25,39,FULL_KD
Full-Teacher-KD-Aux,2,0,16,0.87,0.8699869986998701,100,0.25,39,FULL_KD
Full-Teacher-KD-Aux,2,0,21,0.8,0.8,100,0.25,39,FULL_KD
Full-Teacher-KD-Aux,2,0,22,0.6599999999999999,0.6587715776796468,100,0.25,39,FULL_KD
Full-Teacher-KD-Aux,2,0,31,0.84,0.8399359743897559,100,0.25,39,FULL_KD
