model,task,fold,seed,status,checkpoint_sha256,basis_sha256,protected_assignment_sha256,split_sha256,consistent_0,consistent_1,effect_cosine,layer_name,logit_0,logit_1,margin_0,margin_1,output_P_evidence_cosine,output_P_evidence_normalized_rms,qP_0,qP_1,random_effect_cosine,random_qP_0,random_qP_1,subject_id
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.5,0.75,-0.2280411141086611,depth_point_elu_pool2,1.0078959316015244,0.6912180334329605,-1.527545377612114,1.3322795778512955,0.9784111976623535,1.0211710929870605,0.8190369307994843,0.7077911980450153,0.2858957060885399,0.3740296989236958,0.36058343996759507,32
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.5,0.875,0.586694458908464,depth_point_elu_pool2,1.4176944643259048,0.6056903544813395,-0.8409620821475983,0.4512631632387638,0.6867186427116394,0.8016675114631653,0.9239834323525429,0.8121343497186899,0.6631892322051537,0.49666635257657615,0.3950034993956797,33
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.75,0.75,0.7476271976088722,depth_point_elu_pool2,0.7813385799527168,0.8335685487836599,0.6576699763536453,-0.22465354204177856,0.9846131801605225,0.22106526792049408,0.7493157908320427,0.9551385343074799,0.3453299422017759,0.37950024283491074,0.425797648509033,38
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.5,1.0,0.005776908677849932,depth_point_elu_pool2,1.2146367728710175,1.390976671129465,1.1583358198404312,-1.9815397411584854,0.8098069429397583,0.6938744783401489,0.7115535996854305,0.8894904479384422,0.5690491231410073,0.36007490460993724,0.5107107030367479,47
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.875,1.0,0.9963891347533149,embedding_64d,0.4207165762782097,0.5217546708881855,0.32743488252162933,0.4523349329829216,0.9801552891731262,0.21258749067783356,1.1645092517137527,1.2318721413612366,0.7956494368855302,0.4466047821706161,0.44644106973195447,3
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1.0,0.875,0.8699415110018655,embedding_64d,0.6432266924530268,0.5990099720656872,0.08669530600309372,-0.7027480006217957,0.8581809401512146,0.5134657621383667,1.5842532962560654,1.2760019283741713,0.8222372028421462,0.6051156108314172,0.5214320892724209,5
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1.0,0.875,0.9197116100476512,embedding_64d,0.5936815403401852,0.5283867493271828,0.4242282509803772,1.0232524052262306,0.9453825354576111,0.3261799216270447,1.131013661623001,1.0295710414648056,0.8240581787178427,0.44748568469192834,0.4144626492727548,6
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1.0,1.0,0.05261615086744904,embedding_64d,0.8941820859909058,0.8858564868569374,1.0974851995706558,-1.7717129588127136,0.9936904311180115,0.75942462682724,1.1781496554613113,1.1671794727444649,0.5113784860905062,0.4644275943632238,0.48957910656114106,15
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.75,0.75,0.7255456350088757,embedding_64d,0.5141583923250437,0.8276315294206142,-0.4598309025168419,0.785787507891655,0.9784111976623535,1.0211710929870605,1.2941056787967682,1.5000610873103142,0.7340582014932925,0.4927324521844275,0.5444238845654763,32
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,802526bbe20e98cc8e2d47720b1b2775a2687b4934504db4347b9c162f07f124,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.875,1.0,0.9615485213803765,embedding_64d,0.5728909373283386,0.3803489189594984,0.05927039682865143,0.3751055374741554,0.6867186427116394,0.8016675114631653,1.1780822649598122,1.3775711506605148,0.7869667993224937,0.4829309122171253,0.5002501781634056,33
