model,task,fold,seed,status,checkpoint_sha256,basis_sha256,protected_assignment_sha256,split_sha256,P_OPPOSE_COMPLEMENT_OPPOSE,P_OPPOSE_COMPLEMENT_SUPPORT,P_SUPPORT_COMPLEMENT_OPPOSE,P_SUPPORT_COMPLEMENT_SUPPORT,P_dominant_correct_rate,complement_dominant_correct_rate,complement_rescue_rate,correct_trials,error_trials,protected_correct_complement_override_rate,subject_id
EEGNet,OpenBMI_MI,3,0,COMPLETE,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,7b12b4ec68c01cc1ea3577ee4955d925ee19f29a94857743ee9af6011c924683,4ac0159a0f48ef872649e2890646f2a4f2601f1d2c05d741522cfba15d87a42c,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.109375,0.234375,0.34375,0.3125,0.5,0.15625,0.078125,42,22,0.078125,10
EEGNet,OpenBMI_MI,3,0,COMPLETE,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,7b12b4ec68c01cc1ea3577ee4955d925ee19f29a94857743ee9af6011c924683,4ac0159a0f48ef872649e2890646f2a4f2601f1d2c05d741522cfba15d87a42c,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.078125,0.171875,0.265625,0.484375,0.5625,0.1875,0.09375,49,15,0.078125,16
EEGNet,OpenBMI_MI,3,0,COMPLETE,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,7b12b4ec68c01cc1ea3577ee4955d925ee19f29a94857743ee9af6011c924683,4ac0159a0f48ef872649e2890646f2a4f2601f1d2c05d741522cfba15d87a42c,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.09375,0.15625,0.328125,0.421875,0.484375,0.15625,0.046875,41,23,0.15625,19
EEGNet,OpenBMI_MI,3,0,COMPLETE,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,7b12b4ec68c01cc1ea3577ee4955d925ee19f29a94857743ee9af6011c924683,4ac0159a0f48ef872649e2890646f2a4f2601f1d2c05d741522cfba15d87a42c,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.109375,0.25,0.265625,0.375,0.5,0.171875,0.0625,43,21,0.03125,22
EEGNet,OpenBMI_MI,3,0,COMPLETE,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,7b12b4ec68c01cc1ea3577ee4955d925ee19f29a94857743ee9af6011c924683,4ac0159a0f48ef872649e2890646f2a4f2601f1d2c05d741522cfba15d87a42c,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.046875,0.078125,0.28125,0.59375,0.78125,0.09375,0.0625,59,5,0.015625,27
EEGNet,OpenBMI_MI,3,0,COMPLETE,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,7b12b4ec68c01cc1ea3577ee4955d925ee19f29a94857743ee9af6011c924683,4ac0159a0f48ef872649e2890646f2a4f2601f1d2c05d741522cfba15d87a42c,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.109375,0.265625,0.359375,0.265625,0.5,0.15625,0.125,44,20,0.0625,34
EEGNet,OpenBMI_MI,3,0,COMPLETE,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,7b12b4ec68c01cc1ea3577ee4955d925ee19f29a94857743ee9af6011c924683,4ac0159a0f48ef872649e2890646f2a4f2601f1d2c05d741522cfba15d87a42c,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.21875,0.140625,0.28125,0.359375,0.40625,0.15625,0.015625,37,27,0.078125,45
EEGNet,OpenBMI_MI,3,0,COMPLETE,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,7b12b4ec68c01cc1ea3577ee4955d925ee19f29a94857743ee9af6011c924683,4ac0159a0f48ef872649e2890646f2a4f2601f1d2c05d741522cfba15d87a42c,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.046875,0.265625,0.34375,0.34375,0.515625,0.21875,0.125,48,16,0.0625,49
EEGNet,OpenBMI_MI,4,0,COMPLETE,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,7e0fc10f2744a762d23a150a96ad7eded63bdbe97189126dccdac1d7d91368f7,d93a98ab5397644b26c763b9dac3e0a94b10bf5b8a7cee60d6dd04f12d133758,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.078125,0.1875,0.328125,0.40625,0.484375,0.234375,0.109375,46,18,0.125,7
EEGNet,OpenBMI_MI,4,0,COMPLETE,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,7e0fc10f2744a762d23a150a96ad7eded63bdbe97189126dccdac1d7d91368f7,d93a98ab5397644b26c763b9dac3e0a94b10bf5b8a7cee60d6dd04f12d133758,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.15625,0.25,0.296875,0.296875,0.375,0.234375,0.109375,39,25,0.09375,9
EEGNet,OpenBMI_MI,4,0,COMPLETE,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,7e0fc10f2744a762d23a150a96ad7eded63bdbe97189126dccdac1d7d91368f7,d93a98ab5397644b26c763b9dac3e0a94b10bf5b8a7cee60d6dd04f12d133758,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.03125,0.140625,0.203125,0.625,0.53125,0.359375,0.109375,57,7,0.046875,20
EEGNet,OpenBMI_MI,4,0,COMPLETE,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,7e0fc10f2744a762d23a150a96ad7eded63bdbe97189126dccdac1d7d91368f7,d93a98ab5397644b26c763b9dac3e0a94b10bf5b8a7cee60d6dd04f12d133758,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.0625,0.21875,0.3125,0.40625,0.53125,0.28125,0.15625,52,12,0.0625,21
EEGNet,OpenBMI_MI,4,0,COMPLETE,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,7e0fc10f2744a762d23a150a96ad7eded63bdbe97189126dccdac1d7d91368f7,d93a98ab5397644b26c763b9dac3e0a94b10bf5b8a7cee60d6dd04f12d133758,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.140625,0.28125,0.25,0.328125,0.375,0.265625,0.125,41,23,0.0625,41
EEGNet,OpenBMI_MI,4,0,COMPLETE,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,7e0fc10f2744a762d23a150a96ad7eded63bdbe97189126dccdac1d7d91368f7,d93a98ab5397644b26c763b9dac3e0a94b10bf5b8a7cee60d6dd04f12d133758,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.15625,0.296875,0.265625,0.28125,0.359375,0.296875,0.15625,42,22,0.046875,44
EEGNet,OpenBMI_MI,4,0,COMPLETE,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,7e0fc10f2744a762d23a150a96ad7eded63bdbe97189126dccdac1d7d91368f7,d93a98ab5397644b26c763b9dac3e0a94b10bf5b8a7cee60d6dd04f12d133758,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.09375,0.1875,0.390625,0.328125,0.515625,0.15625,0.09375,43,21,0.140625,46
EEGNet,OpenBMI_MI,4,0,COMPLETE,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,7e0fc10f2744a762d23a150a96ad7eded63bdbe97189126dccdac1d7d91368f7,d93a98ab5397644b26c763b9dac3e0a94b10bf5b8a7cee60d6dd04f12d133758,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.078125,0.203125,0.28125,0.4375,0.4375,0.296875,0.109375,47,17,0.09375,53
EEGNet,OpenBMI_SSVEP,0,0,COMPLETE,861b3f566bfc00ddb1036072b3d82948ba562540f8d1b67718262b52ab8bbe16,c955c696f5600b9f5399d12078abd373b844b6a85bfb7087b6c8981f481c85fb,5c7eae649945a3a2ce0999ac8984c519b0077299acded6abf3574051c570d0dc,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,0.01,0.06,0.05,0.88,0.43,0.56,0.06,99,1,0.0,3
EEGNet,OpenBMI_SSVEP,0,0,COMPLETE,861b3f566bfc00ddb1036072b3d82948ba562540f8d1b67718262b52ab8bbe16,c955c696f5600b9f5399d12078abd373b844b6a85bfb7087b6c8981f481c85fb,5c7eae649945a3a2ce0999ac8984c519b0077299acded6abf3574051c570d0dc,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,0.02,0.22,0.05,0.71,0.36,0.58,0.18,94,6,0.0,5
EEGNet,OpenBMI_SSVEP,0,0,COMPLETE,861b3f566bfc00ddb1036072b3d82948ba562540f8d1b67718262b52ab8bbe16,c955c696f5600b9f5399d12078abd373b844b6a85bfb7087b6c8981f481c85fb,5c7eae649945a3a2ce0999ac8984c519b0077299acded6abf3574051c570d0dc,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,0.0,0.2,0.07,0.73,0.53,0.46,0.19,99,1,0.0,6
EEGNet,OpenBMI_SSVEP,0,0,COMPLETE,861b3f566bfc00ddb1036072b3d82948ba562540f8d1b67718262b52ab8bbe16,c955c696f5600b9f5399d12078abd373b844b6a85bfb7087b6c8981f481c85fb,5c7eae649945a3a2ce0999ac8984c519b0077299acded6abf3574051c570d0dc,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,0.04,0.24,0.41,0.31,0.43,0.26,0.14,69,31,0.17,15
EEGNet,OpenBMI_SSVEP,0,0,COMPLETE,861b3f566bfc00ddb1036072b3d82948ba562540f8d1b67718262b52ab8bbe16,c955c696f5600b9f5399d12078abd373b844b6a85bfb7087b6c8981f481c85fb,5c7eae649945a3a2ce0999ac8984c519b0077299acded6abf3574051c570d0dc,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,0.11,0.25,0.18,0.46,0.31,0.34,0.12,65,35,0.11,32
EEGNet,OpenBMI_SSVEP,0,0,COMPLETE,861b3f566bfc00ddb1036072b3d82948ba562540f8d1b67718262b52ab8bbe16,c955c696f5600b9f5399d12078abd373b844b6a85bfb7087b6c8981f481c85fb,5c7eae649945a3a2ce0999ac8984c519b0077299acded6abf3574051c570d0dc,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,0.0,0.12,0.12,0.76,0.42,0.58,0.12,100,0,0.0,33
EEGNet,OpenBMI_SSVEP,0,0,COMPLETE,861b3f566bfc00ddb1036072b3d82948ba562540f8d1b67718262b52ab8bbe16,c955c696f5600b9f5399d12078abd373b844b6a85bfb7087b6c8981f481c85fb,5c7eae649945a3a2ce0999ac8984c519b0077299acded6abf3574051c570d0dc,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,0.0,0.13,0.08,0.79,0.41,0.58,0.12,99,1,0.0,38
EEGNet,OpenBMI_SSVEP,0,0,COMPLETE,861b3f566bfc00ddb1036072b3d82948ba562540f8d1b67718262b52ab8bbe16,c955c696f5600b9f5399d12078abd373b844b6a85bfb7087b6c8981f481c85fb,5c7eae649945a3a2ce0999ac8984c519b0077299acded6abf3574051c570d0dc,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,0.0,0.17,0.09,0.74,0.44,0.54,0.15,98,2,0.0,47
EEGNet,OpenBMI_SSVEP,1,0,COMPLETE,c52842b9bd3717a4239149aa711cc7c894a28959e1ed897577af14acf1f55f50,4eff8f01e69f1655d2da1eb4a55f251dedae77bf90e4ce8bdb70f25106a089a8,ad6719ed8ca15d5177b27fd490ee213e481a2dd07ddff815083a827ae0ee7fce,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,0.03,0.05,0.29,0.63,0.83,0.12,0.04,95,5,0.01,2
EEGNet,OpenBMI_SSVEP,1,0,COMPLETE,c52842b9bd3717a4239149aa711cc7c894a28959e1ed897577af14acf1f55f50,4eff8f01e69f1655d2da1eb4a55f251dedae77bf90e4ce8bdb70f25106a089a8,ad6719ed8ca15d5177b27fd490ee213e481a2dd07ddff815083a827ae0ee7fce,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,0.04,0.19,0.28,0.49,0.53,0.28,0.11,82,18,0.06,14
EEGNet,OpenBMI_SSVEP,1,0,COMPLETE,c52842b9bd3717a4239149aa711cc7c894a28959e1ed897577af14acf1f55f50,4eff8f01e69f1655d2da1eb4a55f251dedae77bf90e4ce8bdb70f25106a089a8,ad6719ed8ca15d5177b27fd490ee213e481a2dd07ddff815083a827ae0ee7fce,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,0.0,0.07,0.36,0.57,0.75,0.21,0.05,96,4,0.02,26
EEGNet,OpenBMI_SSVEP,1,0,COMPLETE,c52842b9bd3717a4239149aa711cc7c894a28959e1ed897577af14acf1f55f50,4eff8f01e69f1655d2da1eb4a55f251dedae77bf90e4ce8bdb70f25106a089a8,ad6719ed8ca15d5177b27fd490ee213e481a2dd07ddff815083a827ae0ee7fce,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,0.01,0.1,0.18,0.71,0.73,0.23,0.08,96,4,0.01,28
EEGNet,OpenBMI_SSVEP,1,0,COMPLETE,c52842b9bd3717a4239149aa711cc7c894a28959e1ed897577af14acf1f55f50,4eff8f01e69f1655d2da1eb4a55f251dedae77bf90e4ce8bdb70f25106a089a8,ad6719ed8ca15d5177b27fd490ee213e481a2dd07ddff815083a827ae0ee7fce,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,0.0,0.0,0.06,0.94,0.98,0.02,0.0,100,0,0.0,31
EEGNet,OpenBMI_SSVEP,1,0,COMPLETE,c52842b9bd3717a4239149aa711cc7c894a28959e1ed897577af14acf1f55f50,4eff8f01e69f1655d2da1eb4a55f251dedae77bf90e4ce8bdb70f25106a089a8,ad6719ed8ca15d5177b27fd490ee213e481a2dd07ddff815083a827ae0ee7fce,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,0.02,0.24,0.32,0.42,0.61,0.3,0.19,91,9,0.02,35
EEGNet,OpenBMI_SSVEP,1,0,COMPLETE,c52842b9bd3717a4239149aa711cc7c894a28959e1ed897577af14acf1f55f50,4eff8f01e69f1655d2da1eb4a55f251dedae77bf90e4ce8bdb70f25106a089a8,ad6719ed8ca15d5177b27fd490ee213e481a2dd07ddff815083a827ae0ee7fce,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,0.01,0.05,0.25,0.69,0.72,0.26,0.05,98,2,0.01,40
EEGNet,OpenBMI_SSVEP,1,0,COMPLETE,c52842b9bd3717a4239149aa711cc7c894a28959e1ed897577af14acf1f55f50,4eff8f01e69f1655d2da1eb4a55f251dedae77bf90e4ce8bdb70f25106a089a8,ad6719ed8ca15d5177b27fd490ee213e481a2dd07ddff815083a827ae0ee7fce,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,0.0,0.0,0.02,0.98,0.93,0.07,0.0,100,0,0.0,43
EEGNet,OpenBMI_SSVEP,2,0,COMPLETE,6aa5e6e296ab32f1f69f03090f052d8a71c09dedc03bbc11d287cf9873a62040,73287146b09aaf3561fe6fd0eb8419bf58673131e6e49d840a76be9e4f1df464,d7d3205c99dc37fa3e413db542ce7dfcc3e37cfbed5a08a779396543d8bda120,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,0.03,0.32,0.08,0.57,0.21,0.69,0.27,90,10,0.02,1
