fold,population,subject_id,original_BA,lighttail_BA,delta_BA_pp,original_macro_F1,lighttail_macro_F1,delta_macro_F1_pp,original_accuracy,lighttail_accuracy,delta_accuracy_pp
2,outer,52,0.81,0.76,-5.000000000000004,0.8090644156366193,0.7596153846153846,-4.944903102123477,0.81,0.76,-5.000000000000004
2,outer,23,0.74,0.74,0.0,0.7348021215830274,0.7348021215830274,0.0,0.74,0.74,0.0
2,outer,1,0.65,0.67,2.0000000000000018,0.6266666666666667,0.6547756041426928,2.8108937476026052,0.65,0.67,2.0000000000000018
2,outer,30,0.75,0.71,-4.0000000000000036,0.7493734335839599,0.7050147492625369,-4.435868432142298,0.75,0.71,-4.0000000000000036
2,outer,48,0.66,0.62,-4.0000000000000036,0.6565656565656566,0.6193910256410255,-3.7174630924631025,0.66,0.62,-4.0000000000000036
2,outer,11,0.73,0.67,-5.999999999999995,0.7286704853783539,0.6659580929243851,-6.271239245396876,0.73,0.67,-5.999999999999995
2,outer,8,0.8500000000000001,0.8300000000000001,-2.0000000000000018,0.8492613807657522,0.8291628982011858,-2.0098482564566367,0.85,0.83,-2.0000000000000018
3,outer,45,0.74,0.71,-3.0000000000000027,0.74,0.7013695808876532,-3.863041911234677,0.74,0.71,-3.0000000000000027
3,outer,34,0.61,0.64,3.0000000000000027,0.5953937130407718,0.6216897856242118,2.629607258344002,0.61,0.64,3.0000000000000027
3,outer,27,0.95,0.94,-1.0000000000000009,0.9499549594635172,0.94,-0.995495946351721,0.95,0.94,-1.0000000000000009
3,outer,49,0.84,0.8200000000000001,-1.9999999999999907,0.8383838383838383,0.8152709359605912,-2.311290242324715,0.84,0.82,-2.0000000000000018
3,outer,10,0.81,0.81,0.0,0.8095238095238095,0.8076728413807066,-0.18509681431029268,0.81,0.81,0.0
3,outer,22,0.7,0.6699999999999999,-3.0000000000000027,0.6980676328502415,0.6691729323308271,-2.889470051941445,0.7,0.67,-2.9999999999999916
3,outer,19,0.78,0.77,-1.0000000000000009,0.7799119647859143,0.7688674505074866,-1.1044514278427675,0.78,0.77,-1.0000000000000009
3,outer,16,0.87,0.8300000000000001,-3.9999999999999925,0.8699869986998701,0.8295739348370927,-4.041306386277732,0.87,0.83,-4.0000000000000036
4,outer,9,0.6,0.63,3.0000000000000027,0.586606035551881,0.6254681647940075,3.886212924212651,0.6,0.63,3.0000000000000027
4,outer,53,0.8200000000000001,0.74,-8.000000000000007,0.818840579710145,0.7312939231087227,-8.754665660142235,0.82,0.74,-7.9999999999999964
4,outer,7,0.73,0.68,-4.999999999999993,0.7237851662404092,0.6637242538881883,-6.0060912352220885,0.73,0.68,-4.999999999999993
4,outer,20,0.9099999999999999,0.9199999999999999,1.0000000000000009,0.9095568284594513,0.9197109594540345,1.0154130994583177,0.91,0.92,1.0000000000000009
4,outer,41,0.77,0.8,3.0000000000000027,0.7647058823529411,0.8,3.529411764705892,0.77,0.8,3.0000000000000027
4,outer,46,0.69,0.66,-2.9999999999999916,0.6615351020853806,0.6155585707824514,-4.597653130292922,0.69,0.66,-2.9999999999999916
4,outer,21,0.9099999999999999,0.95,4.0000000000000036,0.9097744360902256,0.949874686716792,4.010025062656641,0.91,0.95,3.9999999999999925
4,outer,44,0.84,0.8899999999999999,4.999999999999993,0.8368013055895553,0.8897243107769424,5.292300518738702,0.84,0.89,5.000000000000004
0,heldout,4,0.8,0.8200000000000001,2.0000000000000018,0.797077922077922,0.8181818181818181,2.110389610389607,0.8,0.82,1.9999999999999907
0,heldout,12,0.7,0.6499999999999999,-5.000000000000004,0.6875,0.6178622120318812,-6.963778796811882,0.7,0.65,-4.999999999999993
0,heldout,13,0.6799999999999999,0.6599999999999999,-2.0000000000000018,0.6794871794871795,0.6510673234811166,-2.8419856006062894,0.68,0.66,-2.0000000000000018
0,heldout,17,0.65,0.56,-8.999999999999996,0.6457131288591963,0.5598239295718287,-8.588919928736761,0.65,0.56,-8.999999999999996
0,heldout,18,0.6399999999999999,0.69,5.000000000000004,0.6386993175431553,0.6899689968996899,5.126967935653459,0.64,0.69,4.999999999999993
0,heldout,24,0.55,0.61,5.999999999999995,0.5248653785239151,0.5623386825272135,3.74733040032984,0.55,0.61,5.999999999999995
0,heldout,25,0.96,0.96,0.0,0.9599358974358975,0.9599358974358975,0.0,0.96,0.96,0.0
0,heldout,29,0.65,0.71,5.999999999999995,0.64996499649965,0.7092731829573935,5.93081864577435,0.65,0.71,5.999999999999995
0,heldout,36,0.9099999999999999,0.9299999999999999,2.0000000000000018,0.9097744360902256,0.9299369432489241,2.0162507158698495,0.91,0.93,2.0000000000000018
0,heldout,37,0.72,0.73,1.0000000000000009,0.7126436781609196,0.7198879551820728,0.7244277021153267,0.72,0.73,1.0000000000000009
0,heldout,39,0.76,0.77,1.0000000000000009,0.7596153846153846,0.7694235588972431,0.9808174281858539,0.76,0.77,1.0000000000000009
0,heldout,42,0.69,0.72,3.0000000000000027,0.6892230576441103,0.7189883580891208,2.9765300445010467,0.69,0.72,3.0000000000000027
0,heldout,51,0.7,0.6699999999999999,-3.0000000000000027,0.6921182266009853,0.6601791782514674,-3.1939048349517885,0.7,0.67,-2.9999999999999916
0,heldout,54,0.71,0.73,2.0000000000000018,0.7076318177235609,0.7198879551820728,1.225613745851195,0.71,0.73,2.0000000000000018
1,heldout,4,0.81,0.78,-3.0000000000000027,0.8076728413807066,0.7767857142857143,-3.0887127094992306,0.81,0.78,-3.0000000000000027
1,heldout,12,0.76,0.77,1.0000000000000009,0.7596153846153846,0.7699769976997699,1.0361613084385324,0.76,0.77,1.0000000000000009
1,heldout,13,0.75,0.72,-3.0000000000000027,0.7479584635547938,0.7189883580891208,-2.8970105465673024,0.75,0.72,-3.0000000000000027
1,heldout,17,0.7,0.6000000000000001,-9.999999999999986,0.6989160979526294,0.5993589743589745,-9.9557123593655,0.7,0.6,-9.999999999999998
1,heldout,18,0.77,0.64,-13.0,0.7699769976997699,0.6347402597402598,-13.523673795951009,0.77,0.64,-13.0
1,heldout,24,0.58,0.5700000000000001,-0.9999999999999898,0.5495495495495495,0.50997150997151,-3.9578039578039514,0.58,0.57,-1.0000000000000009
1,heldout,25,1.0,0.99,-1.0000000000000009,1.0,0.9899989998999901,-1.0001000100009927,1.0,0.99,-1.0000000000000009
1,heldout,29,0.69,0.73,4.0000000000000036,0.6874684948079444,0.7237851662404092,3.6316671432464864,0.69,0.73,4.0000000000000036
1,heldout,36,0.95,0.9299999999999999,-2.0000000000000018,0.9499949994999499,0.9299369432489241,-2.0058056251025858,0.95,0.93,-1.9999999999999907
1,heldout,37,0.73,0.71,-2.0000000000000018,0.712,0.6871966346672419,-2.4803365332758065,0.73,0.71,-2.0000000000000018
1,heldout,39,0.81,0.78,-3.0000000000000027,0.8090644156366193,0.779205138498595,-2.9859277138024387,0.81,0.78,-3.0000000000000027
1,heldout,42,0.78,0.71,-7.000000000000006,0.7777777777777778,0.7099709970997099,-6.7806780678067895,0.78,0.71,-7.000000000000006
1,heldout,51,0.71,0.64,-6.999999999999995,0.7064480210547626,0.6376811594202898,-6.8766861634472765,0.71,0.64,-6.999999999999995
1,heldout,54,0.76,0.73,-3.0000000000000027,0.7599039615846338,0.72997299729973,-2.9930964284903827,0.76,0.73,-3.0000000000000027
2,heldout,4,0.8300000000000001,0.83,-1.1102230246251565e-14,0.8295739348370927,0.8299829982998299,0.04090634627371692,0.83,0.83,0.0
2,heldout,12,0.77,0.74,-3.0000000000000027,0.7688674505074866,0.7390606182256123,-2.9806832281874307,0.77,0.74,-3.0000000000000027
2,heldout,13,0.71,0.6799999999999999,-3.0000000000000027,0.7092731829573935,0.6798719487795117,-2.9401234177881763,0.71,0.68,-2.9999999999999916
2,heldout,17,0.59,0.61,2.0000000000000018,0.5670995670995671,0.5920075321686369,2.490796506906978,0.59,0.61,2.0000000000000018
2,heldout,18,0.7,0.6799999999999999,-2.0000000000000018,0.7,0.6767676767676768,-2.323232323232316,0.7,0.68,-1.9999999999999907
2,heldout,24,0.62,0.59,-3.0000000000000027,0.5703301673450927,0.516452411841019,-5.38777555040737,0.62,0.59,-3.0000000000000027
2,heldout,25,0.98,0.96,-2.0000000000000018,0.9799919967987194,0.9599358974358975,-2.0056099362821933,0.98,0.96,-2.0000000000000018
2,heldout,29,0.78,0.85,6.999999999999995,0.7799119647859143,0.8498648783905515,6.9952913604637175,0.78,0.85,6.999999999999995
2,heldout,36,0.9199999999999999,0.9199999999999999,0.0,0.9198717948717949,0.9198717948717949,0.0,0.92,0.92,0.0
2,heldout,37,0.75,0.79,4.0000000000000036,0.7406369955389562,0.7821350762527233,4.149808071376704,0.75,0.79,4.0000000000000036
2,heldout,39,0.72,0.75,3.0000000000000027,0.7189883580891208,0.7479584635547938,2.8970105465673024,0.72,0.75,3.0000000000000027
2,heldout,42,0.74,0.7,-4.0000000000000036,0.7348021215830274,0.6921182266009853,-4.268389498204206,0.74,0.7,-4.0000000000000036
2,heldout,51,0.67,0.65,-2.0000000000000018,0.6659580929243851,0.6471418489767113,-1.8816243947673783,0.67,0.65,-2.0000000000000018
2,heldout,54,0.8,0.78,-2.0000000000000018,0.7996794871794872,0.78,-1.9679487179487198,0.8,0.78,-2.0000000000000018
3,heldout,4,0.83,0.78,-4.999999999999993,0.8279178054458953,0.7742200328407225,-5.369777260517283,0.83,0.78,-4.999999999999993
3,heldout,12,0.67,0.76,8.999999999999996,0.6515679442508711,0.7599039615846338,10.833601733376275,0.67,0.76,8.999999999999996
3,heldout,13,0.79,0.77,-2.0000000000000018,0.78997899789979,0.7613860358958398,-2.859296200395023,0.79,0.77,-2.0000000000000018
3,heldout,17,0.61,0.64,3.0000000000000027,0.5983935742971888,0.6305418719211823,3.2148297623993516,0.61,0.64,3.0000000000000027
3,heldout,18,0.77,0.7,-7.000000000000006,0.7694235588972431,0.6940024479804161,-7.542111091682702,0.77,0.7,-7.000000000000006
3,heldout,24,0.51,0.5800000000000001,7.000000000000006,0.4221016629319495,0.5625,14.03983370680505,0.51,0.58,6.999999999999995
3,heldout,25,0.97,0.98,1.0000000000000009,0.96999699969997,0.98,1.0003000300029985,0.97,0.98,1.0000000000000009
3,heldout,29,0.6599999999999999,0.5800000000000001,-7.999999999999985,0.6587715776796468,0.5784825371336813,-8.028904054596552,0.66,0.58,-8.000000000000007
3,heldout,36,0.9299999999999999,0.94,1.0000000000000009,0.9299369432489241,0.94,1.0063056751075883,0.93,0.94,0.9999999999999898
3,heldout,37,0.76,0.77,1.0000000000000009,0.7477931904161412,0.7647058823529411,1.6912691936799895,0.76,0.77,1.0000000000000009
3,heldout,39,0.84,0.73,-10.999999999999998,0.8399359743897559,0.7277951406391774,-11.214083375057848,0.84,0.73,-10.999999999999998
3,heldout,42,0.6699999999999999,0.72,5.000000000000004,0.6624040920716112,0.7189883580891208,5.658426601750954,0.67,0.72,4.999999999999993
3,heldout,51,0.7,0.6799999999999999,-2.0000000000000018,0.696969696969697,0.6692848284415047,-2.7684868528192297,0.7,0.68,-1.9999999999999907
3,heldout,54,0.6799999999999999,0.69,1.0000000000000009,0.6788438378161381,0.6807743795695603,0.19305417534222213,0.68,0.69,0.9999999999999898
4,heldout,4,0.87,0.8400000000000001,-2.9999999999999916,0.8699869986998701,0.8389694041867954,-3.101759451307462,0.87,0.84,-3.0000000000000027
4,heldout,12,0.67,0.69,1.9999999999999907,0.648,0.6656239887822242,1.7623988782224154,0.67,0.69,1.9999999999999907
4,heldout,13,0.73,0.69,-4.0000000000000036,0.7266929851199515,0.6884735202492211,-3.8219464870730357,0.73,0.69,-4.0000000000000036
4,heldout,17,0.56,0.63,6.999999999999995,0.537620849096259,0.6254681647940075,8.78473156977485,0.56,0.63,6.999999999999995
4,heldout,18,0.6799999999999999,0.7,2.0000000000000018,0.6798719487795117,0.6956168831168831,1.5744934337371341,0.68,0.7,1.9999999999999907
4,heldout,24,0.59,0.56,-2.9999999999999916,0.5249681381068243,0.5024875621890548,-2.248057591776953,0.59,0.56,-2.9999999999999916
4,heldout,25,0.97,0.99,2.0000000000000018,0.9699729756781104,0.9899989998999901,2.0026024221879712,0.97,0.99,2.0000000000000018
4,heldout,29,0.76,0.75,-1.0000000000000009,0.7575757575757576,0.7469379491851402,-1.0637808390617343,0.76,0.75,-1.0000000000000009
4,heldout,36,0.94,0.96,2.0000000000000018,0.9399759903961584,0.96,2.002400960384154,0.94,0.96,2.0000000000000018
4,heldout,37,0.6699999999999999,0.6799999999999999,1.0000000000000009,0.6349153667441089,0.6567996567996568,2.188429005554793,0.67,0.68,1.0000000000000009
4,heldout,39,0.75,0.77,2.0000000000000018,0.7442455242966752,0.769792813532179,2.5547289235503756,0.75,0.77,2.0000000000000018
4,heldout,42,0.69,0.73,4.0000000000000036,0.6783898744683059,0.7286704853783539,5.0280610910047985,0.69,0.73,4.0000000000000036
4,heldout,51,0.6499999999999999,0.62,-2.9999999999999916,0.6491228070175439,0.614448051948052,-3.4674755069491914,0.65,0.62,-3.0000000000000027
4,heldout,54,0.72,0.7,-2.0000000000000018,0.72,0.6995192307692308,-2.0480769230769136,0.72,0.7,-2.0000000000000018
