seed,task,dataset,fold,subject_id,method,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256,baseline_reused
1,OpenBMI_ERP,OpenBMI,2,48,LiteBN_X,0.8096969696969698,0.7870298916198294,0.8727272727272727,1980,8d33f4fc626501ef82126b2784ef7b4614f823d65910b4acc339de7abb71515a,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,False
1,OpenBMI_ERP,OpenBMI,2,50,LiteBN_BASELINE,0.5033333333333333,0.5027669914149239,0.7095959595959596,1980,4624b15943e37715aaa45834d6e04a07e290355a7ec552a795bd1dd345bc0f68,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,True
1,OpenBMI_ERP,OpenBMI,2,50,LiteBN_X,0.5418181818181819,0.5453755383456613,0.7838383838383839,1980,8d33f4fc626501ef82126b2784ef7b4614f823d65910b4acc339de7abb71515a,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,False
1,OpenBMI_ERP,OpenBMI,2,52,LiteBN_BASELINE,0.7972727272727272,0.7837099391560818,0.8742424242424243,1980,4624b15943e37715aaa45834d6e04a07e290355a7ec552a795bd1dd345bc0f68,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,True
1,OpenBMI_ERP,OpenBMI,2,52,LiteBN_X,0.8384848484848485,0.8269260719725928,0.9005050505050505,1980,8d33f4fc626501ef82126b2784ef7b4614f823d65910b4acc339de7abb71515a,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,False
1,OpenBMI_ERP,OpenBMI,2,8,LiteBN_BASELINE,0.7457575757575757,0.7305960707715526,0.8409090909090909,1980,4624b15943e37715aaa45834d6e04a07e290355a7ec552a795bd1dd345bc0f68,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,True
1,OpenBMI_ERP,OpenBMI,2,8,LiteBN_X,0.7842424242424242,0.7870193841291978,0.8828282828282829,1980,8d33f4fc626501ef82126b2784ef7b4614f823d65910b4acc339de7abb71515a,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,False
1,OpenBMI_ERP,OpenBMI,3,10,LiteBN_BASELINE,0.8051515151515152,0.762921825712582,0.848989898989899,1980,78c3e60a5415db83b1f3ad07e6abf15072aa74126ecaa58a978264db280106bc,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,True
1,OpenBMI_ERP,OpenBMI,3,10,LiteBN_X,0.793939393939394,0.7711076052660211,0.8626262626262626,1980,43839445bc78aa2ca549edd231d1cc6e4aa0ef9ce4347f9debc0e39b040248a0,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,False
1,OpenBMI_ERP,OpenBMI,3,16,LiteBN_BASELINE,0.7778787878787878,0.756542634821185,0.854040404040404,1980,78c3e60a5415db83b1f3ad07e6abf15072aa74126ecaa58a978264db280106bc,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,True
1,OpenBMI_ERP,OpenBMI,3,16,LiteBN_X,0.8042424242424242,0.8005897563852471,0.8878787878787879,1980,43839445bc78aa2ca549edd231d1cc6e4aa0ef9ce4347f9debc0e39b040248a0,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,False
1,OpenBMI_ERP,OpenBMI,3,19,LiteBN_BASELINE,0.9545454545454546,0.9068129124308899,0.9424242424242424,1980,78c3e60a5415db83b1f3ad07e6abf15072aa74126ecaa58a978264db280106bc,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,True
1,OpenBMI_ERP,OpenBMI,3,19,LiteBN_X,0.9593939393939395,0.9075578766652033,0.9424242424242424,1980,43839445bc78aa2ca549edd231d1cc6e4aa0ef9ce4347f9debc0e39b040248a0,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,False
1,OpenBMI_ERP,OpenBMI,3,22,LiteBN_BASELINE,0.9190909090909091,0.8638924163980333,0.9136363636363637,1980,78c3e60a5415db83b1f3ad07e6abf15072aa74126ecaa58a978264db280106bc,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,True
1,OpenBMI_ERP,OpenBMI,3,22,LiteBN_X,0.9187878787878788,0.853841031311253,0.9050505050505051,1980,43839445bc78aa2ca549edd231d1cc6e4aa0ef9ce4347f9debc0e39b040248a0,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,False
1,OpenBMI_ERP,OpenBMI,3,27,LiteBN_BASELINE,0.9666666666666667,0.922373796944,0.9525252525252526,1980,78c3e60a5415db83b1f3ad07e6abf15072aa74126ecaa58a978264db280106bc,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,True
1,OpenBMI_ERP,OpenBMI,3,27,LiteBN_X,0.9660606060606061,0.9237107979207255,0.9535353535353536,1980,43839445bc78aa2ca549edd231d1cc6e4aa0ef9ce4347f9debc0e39b040248a0,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,False
