policy_id,subject_id,delta_BA,available_runs
I003_CROSS_RUN_PROTECTED_SAFE,34,0.0037499999999999756,4
I003_CROSS_RUN_PROTECTED_SAFE,36,-0.0012500000000000011,4
I003_CROSS_RUN_PROTECTED_SAFE,37,0.00416666666666667,6
I003_CROSS_RUN_PROTECTED_SAFE,38,0.0325,4
I003_CROSS_RUN_PROTECTED_SAFE,40,0.01750000000000007,2
I003_CROSS_RUN_PROTECTED_SAFE,41,0.010000000000000045,6
I003_CROSS_RUN_PROTECTED_SAFE,42,0.003750000000000031,4
I003_CROSS_RUN_PROTECTED_SAFE,43,0.016249999999999987,4
I003_CROSS_RUN_PROTECTED_SAFE,44,-0.0025000000000000022,4
I003_CROSS_RUN_PROTECTED_SAFE,45,-0.007500000000000007,2
I003_CROSS_RUN_PROTECTED_SAFE,47,0.019999999999999962,4
I003_CROSS_RUN_PROTECTED_SAFE,48,0.010000000000000009,2
I003_CROSS_RUN_PROTECTED_SAFE,49,0.020000000000000018,4
I003_CROSS_RUN_PROTECTED_SAFE,5,0.010000000000000009,2
I003_CROSS_RUN_PROTECTED_SAFE,50,0.0,2
I003_CROSS_RUN_PROTECTED_SAFE,51,0.0050000000000000044,4
I003_CROSS_RUN_PROTECTED_SAFE,52,0.011250000000000038,4
I003_CROSS_RUN_PROTECTED_SAFE,54,-0.012500000000000011,2
I003_CROSS_RUN_PROTECTED_SAFE,8,0.0024999999999999836,6
I003_CROSS_RUN_AMPLIFY_ONLY,10,0.007500000000000007,2
I003_CROSS_RUN_AMPLIFY_ONLY,11,0.0012500000000000289,4
I003_CROSS_RUN_AMPLIFY_ONLY,12,0.019166666666666665,6
I003_CROSS_RUN_AMPLIFY_ONLY,13,0.0062500000000000056,4
I003_CROSS_RUN_AMPLIFY_ONLY,15,0.002500000000000021,6
I003_CROSS_RUN_AMPLIFY_ONLY,16,0.0,2
I003_CROSS_RUN_AMPLIFY_ONLY,18,0.007499999999999979,4
I003_CROSS_RUN_AMPLIFY_ONLY,19,-0.0050000000000000044,2
I003_CROSS_RUN_AMPLIFY_ONLY,2,0.0012500000000000011,4
I003_CROSS_RUN_AMPLIFY_ONLY,20,0.004999999999999986,6
I003_CROSS_RUN_AMPLIFY_ONLY,23,0.007500000000000007,6
I003_CROSS_RUN_AMPLIFY_ONLY,24,3.700743415417188e-17,6
I003_CROSS_RUN_AMPLIFY_ONLY,25,-0.0025000000000000577,2
I003_CROSS_RUN_AMPLIFY_ONLY,26,0.010000000000000009,4
I003_CROSS_RUN_AMPLIFY_ONLY,27,0.012499999999999992,6
I003_CROSS_RUN_AMPLIFY_ONLY,29,0.006249999999999978,4
I003_CROSS_RUN_AMPLIFY_ONLY,3,0.007499999999999951,2
I003_CROSS_RUN_AMPLIFY_ONLY,30,0.0025000000000000577,4
I003_CROSS_RUN_AMPLIFY_ONLY,31,0.006666666666666691,6
I003_CROSS_RUN_AMPLIFY_ONLY,32,0.003749999999999948,4
I003_CROSS_RUN_AMPLIFY_ONLY,33,-0.0012500000000000011,4
I003_CROSS_RUN_AMPLIFY_ONLY,34,-0.0012500000000000289,4
I003_CROSS_RUN_AMPLIFY_ONLY,36,0.0,4
I003_CROSS_RUN_AMPLIFY_ONLY,37,0.0025000000000000022,6
I003_CROSS_RUN_AMPLIFY_ONLY,38,0.014999999999999986,4
I003_CROSS_RUN_AMPLIFY_ONLY,40,0.00500000000000006,2
I003_CROSS_RUN_AMPLIFY_ONLY,41,0.0033333333333333734,6
I003_CROSS_RUN_AMPLIFY_ONLY,42,0.003750000000000031,4
I003_CROSS_RUN_AMPLIFY_ONLY,43,0.011249999999999954,4
I003_CROSS_RUN_AMPLIFY_ONLY,44,0.0025000000000000022,4
I003_CROSS_RUN_AMPLIFY_ONLY,45,0.0050000000000000044,2
I003_CROSS_RUN_AMPLIFY_ONLY,47,0.018750000000000044,4
I003_CROSS_RUN_AMPLIFY_ONLY,48,0.017500000000000016,2
I003_CROSS_RUN_AMPLIFY_ONLY,49,0.017499999999999988,4
I003_CROSS_RUN_AMPLIFY_ONLY,5,0.0,2
I003_CROSS_RUN_AMPLIFY_ONLY,50,0.0050000000000000044,2
I003_CROSS_RUN_AMPLIFY_ONLY,51,0.00250000000000003,4
I003_CROSS_RUN_AMPLIFY_ONLY,52,0.008750000000000036,4
I003_CROSS_RUN_AMPLIFY_ONLY,54,-0.015000000000000013,2
I003_CROSS_RUN_AMPLIFY_ONLY,8,0.0008333333333333156,6
