Model,Task,subject_id,Protected_WSBA,Random_WSBA,PSWA_pp,folds
ModernTCN,OpenBMI_ERP,18,0.6125,0.5446875,6.78125,5
ModernTCN,OpenBMI_ERP,24,0.803125,0.63034375,17.278125,5
ModernTCN,OpenBMI_ERP,25,0.596875,0.53453125,6.234375000000001,5
ModernTCN,OpenBMI_ERP,29,0.678125,0.5548124999999999,12.33125,5
ModernTCN,OpenBMI_ERP,36,0.81875,0.6634375,15.53125,5
ModernTCN,OpenBMI_ERP,37,0.765625,0.5892187499999999,17.640625,5
ModernTCN,OpenBMI_ERP,39,0.58125,0.5195000000000001,6.175,5
ModernTCN,OpenBMI_ERP,42,0.734375,0.54425,19.0125,5
ModernTCN,OpenBMI_ERP,51,0.65,0.54453125,10.546875,5
ModernTCN,OpenBMI_ERP,54,0.6375,0.5075,13.0,5
ModernTCN,OpenBMI_SSVEP,4,0.876,0.49910000000000004,37.69,5
ModernTCN,OpenBMI_SSVEP,12,0.8160000000000001,0.4822800000000001,33.372,5
ModernTCN,OpenBMI_SSVEP,13,0.288,0.26276,2.5239999999999982,5
ModernTCN,OpenBMI_SSVEP,17,0.62,0.36428000000000005,25.572,5
ModernTCN,OpenBMI_SSVEP,18,0.866,0.49382000000000004,37.217999999999996,5
ModernTCN,OpenBMI_SSVEP,24,0.4760000000000001,0.32132,15.468,5
ModernTCN,OpenBMI_SSVEP,25,0.758,0.44926000000000005,30.874000000000002,5
ModernTCN,OpenBMI_SSVEP,29,0.5980000000000001,0.36056,23.744000000000003,5
ModernTCN,OpenBMI_SSVEP,36,0.938,0.5483,38.970000000000006,5
ModernTCN,OpenBMI_SSVEP,37,0.5359999999999999,0.33838000000000007,19.761999999999993,5
ModernTCN,OpenBMI_SSVEP,39,0.7,0.40298000000000006,29.701999999999998,5
ModernTCN,OpenBMI_SSVEP,42,0.354,0.2911,6.29,5
ModernTCN,OpenBMI_SSVEP,51,0.17800000000000002,0.2016,-2.3599999999999985,5
ModernTCN,OpenBMI_SSVEP,54,0.49799999999999994,0.34124,15.675999999999998,5
ModernTCN,WBCIC_MI,sub-4,0.4375,0.4483854166666667,-1.0885416666666667,3
ModernTCN,WBCIC_MI,sub-8,0.59375,0.4931770833333333,10.057291666666666,3
ModernTCN,WBCIC_MI,sub-10,0.5625,0.470625,9.1875,3
ModernTCN,WBCIC_MI,sub-15,0.4895833333333333,0.45406250000000004,3.5520833333333335,3
ModernTCN,WBCIC_MI,sub-20,0.515625,0.47328125000000004,4.234375000000001,3
ModernTCN,WBCIC_MI,sub-39,0.4479166666666667,0.45916666666666667,-1.125,3
ModernTCN,WBCIC_MI,sub-40,0.6354166666666666,0.47901041666666666,15.640625,3
ModernTCN,WBCIC_MI,sub-43,0.7708333333333334,0.5340625,23.677083333333332,3
ModernTCN,WBCIC_MI,sub-46,0.6666666666666666,0.49885416666666665,16.78125,3
ModernTCN,WBCIC_MI,sub-51,0.5885416666666666,0.48072916666666665,10.781250000000002,3
Medformer,OpenBMI_MI,4,0.515625,0.5022499999999999,1.3375000000000001,5
Medformer,OpenBMI_MI,12,0.540625,0.5083125,3.2312500000000015,5
Medformer,OpenBMI_MI,13,0.59375,0.50759375,8.615625,5
Medformer,OpenBMI_MI,17,0.575,0.50628125,6.871875,5
Medformer,OpenBMI_MI,18,0.53125,0.46853125,6.271875,5
Medformer,OpenBMI_MI,24,0.48125,0.47865625000000006,0.25937500000000036,5
Medformer,OpenBMI_MI,25,0.68125,0.61184375,6.940624999999997,5
Medformer,OpenBMI_MI,29,0.5125,0.48878125,2.371874999999999,5
Medformer,OpenBMI_MI,36,0.59375,0.51028125,8.346875,5
Medformer,OpenBMI_MI,37,0.471875,0.46675000000000005,0.5125000000000002,5
Medformer,OpenBMI_MI,39,0.578125,0.5054375,7.26875,5
Medformer,OpenBMI_MI,42,0.578125,0.49409374999999994,8.403125,5
Medformer,OpenBMI_MI,51,0.63125,0.50928125,12.196875,5
Medformer,OpenBMI_MI,54,0.553125,0.5157187499999999,3.7406250000000023,5
Medformer,OpenBMI_ERP,4,0.634375,0.5778437499999999,5.653125000000001,5
Medformer,OpenBMI_ERP,12,0.784375,0.68671875,9.765625,5
Medformer,OpenBMI_ERP,13,0.759375,0.66196875,9.740625,5
Medformer,OpenBMI_ERP,17,0.653125,0.5424374999999999,11.06875,5
Medformer,OpenBMI_ERP,18,0.6625,0.5780000000000001,8.45,5
Medformer,OpenBMI_ERP,24,0.65625,0.578125,7.8125,5
Medformer,OpenBMI_ERP,25,0.63125,0.5601875000000001,7.106249999999998,5
Medformer,OpenBMI_ERP,29,0.64375,0.60728125,3.646875,5
Medformer,OpenBMI_ERP,36,0.76875,0.66578125,10.296875,5
Medformer,OpenBMI_ERP,37,0.671875,0.5890625,8.281250000000002,5
Medformer,OpenBMI_ERP,39,0.615625,0.52275,9.287500000000003,5
Medformer,OpenBMI_ERP,42,0.675,0.56603125,10.896875,5
Medformer,OpenBMI_ERP,51,0.60625,0.547125,5.9125,5
Medformer,OpenBMI_ERP,54,0.575,0.515625,5.9375,5
Medformer,OpenBMI_SSVEP,4,0.986,0.69622,28.978,5
Medformer,OpenBMI_SSVEP,12,0.9259999999999998,0.6585599999999999,26.744,5
Medformer,OpenBMI_SSVEP,13,0.766,0.41478000000000004,35.122,5
Medformer,OpenBMI_SSVEP,17,0.892,0.55826,33.374,5
Medformer,OpenBMI_SSVEP,18,0.9799999999999999,0.71028,26.971999999999998,5
Medformer,OpenBMI_SSVEP,24,0.8280000000000001,0.49490000000000006,33.31,5
Medformer,OpenBMI_SSVEP,25,0.858,0.5516800000000001,30.631999999999998,5
Medformer,OpenBMI_SSVEP,29,0.916,0.55928,35.67199999999999,5
Medformer,OpenBMI_SSVEP,36,1.0,0.72548,27.45199999999999,5
Medformer,OpenBMI_SSVEP,37,0.9339999999999999,0.68922,24.477999999999994,5
Medformer,OpenBMI_SSVEP,39,0.9399999999999998,0.5691999999999998,37.08,5
Medformer,OpenBMI_SSVEP,42,0.556,0.38452,17.148000000000003,5
Medformer,OpenBMI_SSVEP,51,0.7,0.38586000000000004,31.413999999999994,5
Medformer,OpenBMI_SSVEP,54,0.4800000000000001,0.39152,8.848000000000003,5
Medformer,WBCIC_MI,sub-4,0.46875,0.46206250000000004,0.6687500000000004,5
Medformer,WBCIC_MI,sub-8,0.8,0.5720625,22.79375,5
Medformer,WBCIC_MI,sub-10,0.578125,0.49196875,8.615625000000001,5
Medformer,WBCIC_MI,sub-15,0.646875,0.52009375,12.678125,5
Medformer,WBCIC_MI,sub-20,0.51875,0.47928125,3.946875000000001,5
Medformer,WBCIC_MI,sub-39,0.46875,0.4488125,1.9937500000000008,5
Medformer,WBCIC_MI,sub-40,0.6125,0.4965,11.6,5
Medformer,WBCIC_MI,sub-43,0.8875,0.6214062499999999,26.609375,5
Medformer,WBCIC_MI,sub-46,0.796875,0.5781250000000001,21.875,5
Medformer,WBCIC_MI,sub-51,0.63125,0.53534375,9.590625,5
