dataset,fold,subject_id,protected_rank,align_protected,novelty_protected,direction_strength_protected,novelty_nonprotected_descriptor,novelty_pca_descriptor,novelty_full_latent_descriptor,BA,difficulty,NLL,accuracy,macro_F1,trials
WBCIC,0,44,1,1.0,0.0,0.7149492306009942,1.11,1.0,0.2368812224279826,0.825,0.17500000000000004,0.3857927742795619,0.825,0.8244690187818149,200
WBCIC,0,45,1,1.0,0.0,1.4384700875984104,0.96,0.0,0.0612353371184104,0.94,0.06000000000000005,0.16561124283558953,0.94,0.9399759903961584,200
WBCIC,1,9,2,0.9323114283446352,0.0676885716553649,0.7105682267570135,0.69268604558792,0.0835690556451584,0.1527621561730446,0.5800000000000001,0.41999999999999993,0.7164425256424838,0.58,0.5642701525054467,200
WBCIC,1,22,2,0.9153351491878764,0.0846648508121235,0.6528922366080876,0.9701896963493776,0.1252278999125613,0.3095313464963074,0.705,0.29500000000000004,0.6053008350646895,0.705,0.7010463378176383,200
WBCIC,1,25,2,0.9925465944005274,0.0074534055994726,1.7381959600778003,0.8898833408393209,1.9540756041491747e-05,0.0226863645233449,0.98,0.020000000000000018,0.06292420854673772,0.98,0.9799919967987194,200
WBCIC,1,26,2,0.999668231241356,0.0003317687586439,1.4582123963314135,0.7490027767569533,0.0012721951670577,0.0293712484952923,0.675,0.32499999999999996,0.6375820531984303,0.675,0.6747967479674797,200
WBCIC,1,29,2,0.9941191761862234,0.0058808238137766,0.5660701373413487,0.5306632706426747,0.0515691119054448,0.204029804626088,0.805,0.19499999999999995,0.4366899911088214,0.805,0.804995124878122,200
WBCIC,1,34,2,-0.0080409889555406,1.0080409889555406,0.097733427260392,1.0740371124336878,1.0221186699742957,1.0856940119478844,0.555,0.44499999999999995,0.7317571048808306,0.555,0.5500391819813444,200
WBCIC,1,35,2,0.9924364981221988,0.007563501877801,2.301789192173822,0.4324022657733421,0.0002300327588387,0.0128371041352937,0.905,0.09499999999999997,0.20248568742957307,0.905,0.9048072346501665,200
WBCIC,1,49,2,0.9544369895171896,0.0455630104828104,1.5964344106751551,0.6832546956367221,0.0041373953761165,0.0501983046462185,0.885,0.11499999999999999,0.2600164765692755,0.885,0.8847666524712543,200
WBCIC,2,6,2,0.9857028751694814,0.0142971248305185,2.191808838892498,0.5792527490152474,0.0025151662999578,0.0209003219447467,0.5,0.5,0.6738436875526176,0.5,0.3333333333333333,200
WBCIC,2,23,2,0.9885330457720432,0.0114669542279567,1.8984922213478783,0.6374187319027832,0.0076629369962535,0.043344584907816,0.5,0.5,0.6767505123187998,0.5,0.3333333333333333,200
WBCIC,2,24,2,0.995378568766476,0.0046214312335239,2.114576364592022,0.7560818055345776,0.005133004356842,0.0197836959790762,0.5,0.5,0.6669314951290097,0.5076923076923077,0.336734693877551,195
WBCIC,2,30,2,0.949153404917458,0.050846595082542,0.9841854767583676,0.959180048528982,0.0581324762449128,0.3998299799598734,0.5,0.5,0.6819875182775076,0.5,0.34201868666929863,200
WBCIC,2,31,2,0.9598086954455364,0.0401913045544635,0.6633971768571997,1.0037430491951054,0.016455602433845,0.2020420936234649,0.5,0.5,0.6962190677893041,0.5,0.3333333333333333,200
WBCIC,2,38,2,0.079753929788837,0.920246070211163,0.9660686528544464,0.6299927421221307,0.5615658727501162,0.5516580221750047,0.5,0.5,0.6990163656396117,0.5,0.3333333333333333,200
WBCIC,2,41,2,0.9743626968280936,0.0256373031719064,1.5906616560411857,0.6969856849312928,0.0185631131080419,0.0381845425985101,0.5,0.5,0.6773462617464105,0.5,0.3333333333333333,200
WBCIC,2,42,2,0.9310030811081736,0.0689969188918264,1.1274056570841768,0.7628899843571635,0.0438584071908967,0.0794069593092015,0.5,0.5,0.6930749401502025,0.5,0.3333333333333333,200
WBCIC,3,7,2,0.9855436421172576,0.0144563578827423,1.4699951160589575,0.4811051592619097,0.0081263697783697,0.0212532665926006,0.845,0.15500000000000003,0.34763265352167594,0.845,0.8443423464135975,200
WBCIC,3,12,2,-0.4654832103326551,1.4654832103326552,0.0909801993043131,0.9166005163222496,0.8354755071022892,0.9627541498979536,0.72,0.28,0.4529838761176885,0.72,0.7189883580891208,200
WBCIC,3,14,2,0.0083734750448354,0.9916265249551646,0.2875684725561668,0.9743853318396652,1.0166612425337602,0.8902821990131528,0.595,0.405,0.7986310848345437,0.595,0.5932816148226256,200
WBCIC,3,17,2,0.9857194331541016,0.0142805668458982,1.41102363887648,0.6168635362338162,0.0404139371783515,0.0584984909837111,0.875,0.125,0.2707068952827386,0.875,0.8749218261413383,200
WBCIC,3,32,2,0.8651487412050277,0.1348512587949722,0.2465816181335334,0.6549903726480786,0.0988558709825225,0.3642925520927449,0.555,0.44499999999999995,0.8203292985623909,0.555,0.5549888747218681,200
WBCIC,3,47,2,0.9843410308714342,0.0156589691285657,1.649964971531439,0.5162076808837663,0.0180642713590375,0.0364492830030883,0.9450000000000001,0.05499999999999994,0.17772774426706078,0.945,0.9449876222149984,200
WBCIC,3,48,2,0.9866746420679368,0.0133253579320631,1.248342017880156,0.6354859635185321,0.0024611830322643,0.0569200850895694,0.815,0.18500000000000005,0.44339541239231567,0.815,0.8147730970438787,200
WBCIC,3,50,2,0.9997787740642798,0.0002212259357201,2.3748813472384014,0.6727318622700638,0.003903829318044,0.0158066341938309,0.96,0.040000000000000036,0.11659563721453267,0.96,0.95999599959996,200
WBCIC,4,1,1,1.0,0.0,1.3930083987144026,1.04,0.0,0.0528547258802893,0.64,0.36,0.5470705734990964,0.64,0.5863970588235294,200
WBCIC,4,3,1,1.0,0.0,1.467071768539411,1.2,0.0,0.0427560151968638,0.6950000000000001,0.30499999999999994,0.5763260967824256,0.695,0.6637173020204525,200
WBCIC,4,5,1,1.0,0.0,1.377778275339911,0.97,0.0,0.0480133395487984,0.71,0.29000000000000004,0.5541953899036368,0.71,0.6991389148251893,200
WBCIC,4,16,1,-1.0,2.0,0.0783385276828724,1.07,1.0,1.069895050514463,0.495,0.505,0.7698595284437468,0.495,0.37713915697943323,200
WBCIC,4,19,1,1.0,0.0,1.4878437829643514,1.12,0.0,0.0942741907572679,0.915,0.08499999999999996,0.31169449057688414,0.915,0.9143814056558637,200
WBCIC,4,21,1,1.0,0.0,1.3080499627982207,0.87,0.0,0.0409292628614814,0.73,0.27,0.49854637360918713,0.73,0.7149192271143491,200
WBCIC,4,28,1,1.0,0.0,1.1732711315763584,1.09,0.0,0.0798243545450452,0.655,0.345,0.622600785402504,0.655,0.6329689619404771,200
WBCIC,4,33,1,1.0,0.0,1.4346542941063831,0.92,0.0,0.0746322553329342,0.875,0.125,0.34673122705319387,0.875,0.8736065117925125,200
WBCIC,4,37,1,1.0,0.0,1.0050358474575434,1.0,0.0,0.0927860952194328,0.74,0.26,0.5119422299407682,0.74,0.7226666666666667,200
