pair_id,dataset,outer_fold,meta_fold,draw,draw_seed,alpha_inner,lambda_meta,mu_harm,gA_norm,gB_future_norm,g_harm_norm,g_combined_norm,g_AB_mean_norm,gB_future_over_gA,half_g_harm_over_gA,g_combined_over_gA,g_AB_mean_over_gA,cos_A_B_future,cos_A_harm,cos_B_future_harm,active_harm_fraction,clip_threshold,clip_triggered,clip_post_norm,future_loss_mean,baseline_loss_mean,scalar_harm_mean
OpenBMI-fold0-meta2-draw3,OpenBMI,0,2,3,1680585146,0.0001,1.0,0.5,2.5568602085113525,4.958229064941406,1.2301253080368042,6.782827377319336,3.380976676940918,1.939186604115589,0.2405538840062367,2.6527955477348577,1.3223158097131091,0.5394304394721985,-0.2415730357170105,0.2605951428413391,0.2857142984867096,5.0,True,5.0,0.30791807174682617,0.3086087703704834,7.348401413764805e-05
OpenBMI-fold0-meta2-draw4,OpenBMI,0,2,4,3096797370,0.0001,1.0,0.5,4.104034900665283,5.2903876304626465,2.33813738822937,8.9721040725708,4.510628700256348,1.2890698443146889,0.28485837046004986,2.186166611574473,1.0990717207412524,0.7996526956558228,-0.18455195426940918,0.1089395135641098,0.2857142984867096,5.0,True,5.0,0.3805215060710907,0.38227578997612,0.00017286624643020332
OpenBMI-fold0-meta2-draw5,OpenBMI,0,2,5,4267204738,0.0001,1.0,0.5,3.3099422454833984,4.282717227935791,4.16120719909668,6.202816486358643,2.3008718490600586,1.2938948508179557,0.6285921158858406,1.8739953830985216,0.6951395759849668,-0.2847718596458435,-0.32780134677886963,0.9784460663795471,0.8571429252624512,5.0,True,5.0,0.39170268177986145,0.3913012444972992,0.00044971919851377606
OpenBMI-fold0-meta2-draw6,OpenBMI,0,2,6,1663734717,0.0001,1.0,0.5,3.235182762145996,5.703643798828125,6.3677544593811035,7.647563934326172,2.528454303741455,1.7630051277365,0.9841413804945561,2.3638738509021073,0.7815491394570406,-0.4625326693058014,-0.5252004265785217,0.9151962995529175,0.5714285969734192,5.0,True,5.0,0.3730422258377075,0.3721972405910492,0.0010749389184638858
OpenBMI-fold0-meta2-draw7,OpenBMI,0,2,7,146536920,0.0001,1.0,0.5,5.5316009521484375,4.926344394683838,3.188140392303467,7.826870918273926,3.803825855255127,0.8905820281143885,0.28817519736896546,1.4149377342980645,0.6876536988406124,0.02914123423397541,-0.484784334897995,0.6884405016899109,0.4285714626312256,5.0,True,5.0,0.33424192667007446,0.33435019850730896,0.0008327279938384891
OpenBMI-fold0-meta2-draw8,OpenBMI,0,2,8,3198415085,0.0001,1.0,0.5,5.25916862487793,2.9045329093933105,1.6987121105194092,6.441875457763672,3.3107926845550537,0.5522798595302176,0.1615000612914211,1.2248847521813762,0.6295277677338023,0.24354390799999237,-0.42740851640701294,0.2146545648574829,0.2857142984867096,5.0,True,5.0,0.2742141783237457,0.2745894193649292,0.0003782766289077699
OpenBMI-fold0-meta2-draw9,OpenBMI,0,2,9,2436909363,0.0001,1.0,0.5,4.615227699279785,4.057023048400879,0.0,8.014725685119629,4.049209117889404,0.8790515469115391,0.0,1.736582939639217,0.877358471072032,0.7070055603981018,,,0.0,5.0,True,5.0,0.32251179218292236,0.3238537311553955,0.0
OpenBMI-fold0-meta3-draw0,OpenBMI,0,3,0,371264265,0.0001,1.0,0.5,4.251798152923584,4.742660045623779,1.245000958442688,7.260889530181885,3.688668966293335,1.1154480704505394,0.14640875620901847,1.7077220670010442,0.867555051680185,0.315451443195343,-0.43306294083595276,0.22571483254432678,0.2857142984867096,5.0,True,5.0,0.31913915276527405,0.31979310512542725,0.0002219506714027375
OpenBMI-fold0-meta3-draw1,OpenBMI,0,3,1,2184538944,0.0001,1.0,0.5,3.5959253311157227,3.7620139122009277,2.785412073135376,4.726804733276367,2.2569549083709717,1.0461879949641981,0.38730115570435586,1.3144891225563247,0.6276423174979268,-0.25299063324928284,-0.5800887942314148,0.570176899433136,0.4285714626312256,5.0,False,4.726804733276367,0.32209277153015137,0.3217518925666809,0.0005800320068374276
OpenBMI-fold0-meta3-draw2,OpenBMI,0,3,2,2935670160,0.0001,1.0,0.5,3.71720290184021,4.060568332672119,1.7093685865402222,6.898756504058838,3.503748655319214,1.0923719904183669,0.22992672604634998,1.8558999027584941,0.9425766491209492,0.6025862693786621,-0.30167120695114136,0.040709950029850006,0.5714285969734192,5.0,True,5.0,0.33556878566741943,0.336485892534256,0.00018676025501918048
OpenBMI-fold0-meta3-draw3,OpenBMI,0,3,3,3299622618,0.0001,1.0,0.5,6.067740440368652,4.367912292480469,1.9644147157669067,9.001144409179688,4.794881820678711,0.719858130947851,0.16187366080276472,1.483442559489709,0.7902252688296258,0.617012619972229,-0.49737438559532166,-0.3050665259361267,0.4285714626312256,5.0,True,5.0,0.35896724462509155,0.3606495261192322,0.0005769729614257812
OpenBMI-fold0-meta3-draw4,OpenBMI,0,3,4,2332340454,0.0001,1.0,0.5,3.5839500427246094,5.001186847686768,1.8556126356124878,7.462844371795654,3.6997671127319336,1.3954398884100345,0.25887813913301705,2.082295869872732,1.0323154811385924,0.45583897829055786,-0.2718040347099304,0.26328444480895996,0.5714285969734192,5.0,True,5.0,0.471061110496521,0.4718831181526184,0.00017958108219318092
