dataset,outer_fold,meta_fold,draw,draw_seed,dropout_seed,epsilon,dot_AB,cos_AB,conflict,delta_B_first_order,delta_B_actual,sign_prediction_correct
OpenBMI,3,0,2,2858046558,4032032851,0.0001,-0.5500982999801636,-0.032661158591508865,True,0.00021380860357981692,0.0005650520324707031,True
OpenBMI,3,1,0,3994294492,255636105,0.0001,0.8027710914611816,0.050833284854888916,False,-0.0002656115887651411,-0.0013134479522705078,True
OpenBMI,3,1,1,4064805893,3631889743,0.0001,1.070461630821228,0.12059098482131958,False,-0.00034251505760903657,0.0014746785163879395,False
OpenBMI,3,1,2,1229167581,2279122158,0.0001,-1.1430796384811401,-0.08448433130979538,True,0.00046243031080191806,0.0004877150058746338,True
OpenBMI,3,2,0,2256578714,3234381337,0.0001,3.263174533843994,0.20428480207920074,False,-0.001246039601180596,-0.000996023416519165,True
OpenBMI,3,2,1,3048185727,1686583737,0.0001,-4.968161582946777,-0.2292703092098236,True,0.0012093458570105093,0.003595486283302307,True
OpenBMI,3,2,2,2947120402,4098292914,0.0001,-2.0572335720062256,-0.1849946230649948,True,0.0005603803399368832,0.0010295659303665161,True
OpenBMI,3,3,0,2501796164,3089966552,0.0001,-7.650285243988037,-0.22115491330623627,True,0.0020233232200841575,0.0006734728813171387,True
OpenBMI,3,3,1,2330298983,1778644129,0.0001,12.63730239868164,0.5598682761192322,False,-0.004530278795229781,-0.0033579766750335693,True
OpenBMI,3,3,2,431289577,128395273,0.0001,-3.9973320960998535,-0.34357282519340515,True,0.0021880576139777577,0.0010820329189300537,True
OpenBMI,3,4,0,3601816703,3380631100,0.0001,-1.2000150680541992,-0.08615934103727341,True,0.0005157473517021392,0.000387340784072876,True
OpenBMI,3,4,1,2359855602,430610888,0.0001,5.919070720672607,0.32721978425979614,False,-0.0014785308135508587,0.0006707459688186646,False
OpenBMI,3,4,2,4092382777,1339588764,0.0001,4.044918060302734,0.34770897030830383,False,-0.0013836564615824713,-0.0005879700183868408,True
OpenBMI,4,0,0,2687605046,1253256717,0.0001,5.789147853851318,0.3335917294025421,False,-0.0017530543904358189,-0.0015108287334442139,True
OpenBMI,4,0,1,4115778995,2193741140,0.0001,0.18691277503967285,0.009091134183108807,False,-4.199019842059037e-05,0.0002506673336029053,False
OpenBMI,4,0,2,4242671254,1082819993,0.0001,-0.4200119376182556,-0.07629553973674774,True,0.00022498439308099385,-6.29425048828125e-05,False
OpenBMI,4,1,0,1264140089,2154870977,0.0001,0.022669821977615356,0.0028312564827501774,False,-7.670418408075367e-06,-0.0004144012928009033,True
OpenBMI,4,1,1,3289769787,1408759997,0.0001,-0.5585809946060181,-0.09298143535852432,True,0.00041598166760727437,0.0009795427322387695,True
OpenBMI,4,1,2,932281582,2584453208,0.0001,-8.806436538696289,-0.44388696551322937,True,0.0020176558689440865,0.0018920302391052246,True
OpenBMI,4,2,0,329546293,2733950752,0.0001,3.3636586666107178,0.33286476135253906,False,-0.001234649804519596,-0.0009997636079788208,True
OpenBMI,4,2,1,2521788803,465890578,0.0001,-5.785951614379883,-0.49853479862213135,True,0.0017042167307180648,0.00021225214004516602,True
OpenBMI,4,2,2,3915389890,3816659727,0.0001,-6.793404579162598,-0.43914225697517395,True,0.002364001397671752,0.0024855881929397583,True
OpenBMI,4,3,0,1953911799,832528975,0.0001,1.5555078983306885,0.13175678253173828,False,-0.0006197133418280553,-0.00021441280841827393,True
OpenBMI,4,3,1,436854613,3747077532,0.0001,-0.7657321691513062,-0.07547992467880249,True,0.00028127581120302223,0.0014827251434326172,True
OpenBMI,4,3,2,3247636439,726697931,0.0001,-1.596818208694458,-0.2089039534330368,True,0.001166245510636364,0.0008595287799835205,True
OpenBMI,4,4,0,725818965,1909937467,0.0001,0.6272978186607361,0.0632125586271286,False,-0.00025932531114763416,-0.0010445117950439453,True
OpenBMI,4,4,1,1666093155,1712862433,0.0001,-5.059277534484863,-0.3121728003025055,True,0.0018028898384286481,-0.0001627504825592041,False
OpenBMI,4,4,2,836790979,3079343507,0.0001,-2.487943172454834,-0.08575796335935593,True,0.0004615602965306654,-0.0018130242824554443,False
WBCIC,0,0,0,3873107084,1674773967,0.0001,0.7242617607116699,0.14346233010292053,False,-0.0003785915215677604,-3.1888484954833984e-05,True
WBCIC,0,0,1,3981019152,589976074,0.0001,0.18338774144649506,0.06461606174707413,False,-0.00013259358433072093,9.718537330627441e-05,False
WBCIC,0,0,2,1997495931,1726386037,0.0001,0.7809839248657227,0.15322142839431763,False,-0.00048465801447015447,-0.0009394586086273193,True
WBCIC,0,1,0,2165257264,2086294990,0.0001,0.11851917207241058,0.030696945264935493,False,-7.11796166982773e-05,-8.806586265563965e-05,True
WBCIC,0,1,1,28736346,2023865069,0.0001,0.02024245262145996,0.008747249841690063,False,-1.4246375543114712e-05,-0.00011581182479858398,True
WBCIC,0,1,2,2882384019,1896869657,0.0001,-0.8653796315193176,-0.23606528341770172,True,0.0007749238673318724,0.0007990896701812744,True
WBCIC,0,2,0,217412367,414613028,0.0001,-0.43802201747894287,-0.19745053350925446,True,0.00030161022231896685,0.0006123781204223633,True
WBCIC,0,2,1,1237448502,865758368,0.0001,0.05623674392700195,0.014849796891212463,False,-3.4268269758388795e-05,0.00023365020751953125,False
WBCIC,0,2,2,2953884534,3713502029,0.0001,0.6017197370529175,0.15391191840171814,False,-0.0003331804213304543,-3.9249658584594727e-05,True
WBCIC,0,3,0,544211600,676075306,0.0001,-0.8474110960960388,-0.2547276020050049,True,0.0005286649593784877,0.00026476383209228516,True
WBCIC,0,3,1,2826560068,3994399474,0.0001,-0.47054916620254517,-0.09978262335062027,True,0.0001777852660027399,2.9832124710083008e-05,True
