task,dataset,fold,seed,subject_id,BA,macro_F1,accuracy,trials
OpenBMI_ERP,OpenBMI,2,0,54,0.657878787878788,0.5950306946058835,0.6924242424242424,1980
OpenBMI_ERP,OpenBMI,3,0,4,0.7842424242424242,0.668343828916664,0.7353535353535353,1980
OpenBMI_ERP,OpenBMI,3,0,12,0.8333333333333333,0.7370020543020033,0.807070707070707,1980
OpenBMI_ERP,OpenBMI,3,0,13,0.7787878787878788,0.688468894567924,0.7666666666666667,1980
OpenBMI_ERP,OpenBMI,3,0,17,0.7178787878787879,0.6227606517041093,0.6994949494949495,1980
OpenBMI_ERP,OpenBMI,3,0,18,0.7921212121212121,0.6944427971470006,0.7686868686868686,1980
OpenBMI_ERP,OpenBMI,3,0,24,0.7784848484848484,0.6682690119380157,0.7378787878787879,1980
OpenBMI_ERP,OpenBMI,3,0,25,0.6754545454545455,0.6142558948589099,0.7136363636363636,1980
OpenBMI_ERP,OpenBMI,3,0,29,0.7875757575757576,0.7065767320607459,0.7873737373737374,1980
OpenBMI_ERP,OpenBMI,3,0,36,0.8181818181818181,0.7019145802650957,0.7676767676767676,1980
OpenBMI_ERP,OpenBMI,3,0,37,0.8193939393939393,0.7415814576719999,0.8181818181818182,1980
OpenBMI_ERP,OpenBMI,3,0,39,0.6648484848484848,0.5944546891464699,0.6858585858585858,1980
OpenBMI_ERP,OpenBMI,3,0,42,0.7542424242424242,0.6791742535886155,0.7661616161616162,1980
OpenBMI_ERP,OpenBMI,3,0,51,0.6242424242424243,0.567970878746594,0.6686868686868687,1980
OpenBMI_ERP,OpenBMI,3,0,54,0.6387878787878788,0.5815762163646423,0.6828282828282828,1980
OpenBMI_ERP,OpenBMI,4,0,4,0.7981818181818181,0.6964292170308151,0.7686868686868686,1980
OpenBMI_ERP,OpenBMI,4,0,12,0.8606060606060606,0.7699246567088811,0.8363636363636363,1980
OpenBMI_ERP,OpenBMI,4,0,13,0.8118181818181818,0.7178532501529356,0.7914141414141415,1980
OpenBMI_ERP,OpenBMI,4,0,17,0.7063636363636363,0.6045861501406183,0.6762626262626262,1980
OpenBMI_ERP,OpenBMI,4,0,18,0.7878787878787878,0.7025782394200666,0.7818181818181819,1980
OpenBMI_ERP,OpenBMI,4,0,24,0.8075757575757576,0.6858024443999198,0.75,1980
OpenBMI_ERP,OpenBMI,4,0,25,0.676060606060606,0.6252091921827158,0.7328282828282828,1980
OpenBMI_ERP,OpenBMI,4,0,29,0.8090909090909091,0.7228096389813983,0.798989898989899,1980
OpenBMI_ERP,OpenBMI,4,0,36,0.842121212121212,0.7335547891226792,0.7994949494949495,1980
OpenBMI_ERP,OpenBMI,4,0,37,0.8090909090909091,0.7323670617624481,0.8111111111111111,1980
OpenBMI_ERP,OpenBMI,4,0,39,0.6518181818181819,0.5730638694399562,0.656060606060606,1980
OpenBMI_ERP,OpenBMI,4,0,42,0.7384848484848485,0.6557345999725182,0.73989898989899,1980
OpenBMI_ERP,OpenBMI,4,0,51,0.6121212121212121,0.558554206634427,0.6606060606060606,1980
OpenBMI_ERP,OpenBMI,4,0,54,0.6703030303030304,0.5983667017913593,0.6888888888888889,1980
OpenBMI_SSVEP,OpenBMI,0,0,4,0.24,0.21752022487316605,0.24,100
OpenBMI_SSVEP,OpenBMI,0,0,12,0.25,0.24301889866405996,0.25,100
OpenBMI_SSVEP,OpenBMI,0,0,13,0.22,0.21586648645472173,0.22,100
OpenBMI_SSVEP,OpenBMI,0,0,17,0.39,0.3883333333333333,0.39,100
