BA,accuracy,dataset,fold,macro_F1,seed,subject_id,task,trials
0.5900000000000001,0.59,OpenBMI,2,0.5889724310776943,1,51,OpenBMI_MI,100
0.47,0.47,OpenBMI,2,0.4608890245142916,1,54,OpenBMI_MI,100
0.56,0.56,OpenBMI,2,0.548440065681445,2,4,OpenBMI_MI,100
0.54,0.54,OpenBMI,2,0.5353535353535354,2,12,OpenBMI_MI,100
0.44,0.44,OpenBMI,2,0.43977591036414565,2,13,OpenBMI_MI,100
0.43,0.43,OpenBMI,2,0.42994299429942995,2,17,OpenBMI_MI,100
0.41000000000000003,0.41,OpenBMI,2,0.4099409940994099,2,18,OpenBMI_MI,100
0.51,0.51,OpenBMI,2,0.50995099509951,2,24,OpenBMI_MI,100
0.61,0.61,OpenBMI,2,0.5882166613873931,2,25,OpenBMI_MI,100
0.46,0.46,OpenBMI,2,0.45454545454545453,2,29,OpenBMI_MI,100
0.56,0.56,OpenBMI,2,0.5584102769971899,2,36,OpenBMI_MI,100
0.55,0.55,OpenBMI,2,0.5495946351716545,2,37,OpenBMI_MI,100
0.51,0.51,OpenBMI,2,0.5095586027424682,2,39,OpenBMI_MI,100
0.51,0.51,OpenBMI,2,0.5075871771681237,2,42,OpenBMI_MI,100
0.54,0.54,OpenBMI,2,0.5398159263705482,2,51,OpenBMI_MI,100
0.5,0.5,OpenBMI,2,0.49269480519480524,2,54,OpenBMI_MI,100
0.6,0.6,OpenBMI,3,0.5998399359743898,0,4,OpenBMI_MI,100
0.56,0.56,OpenBMI,3,0.5571658615136876,0,12,OpenBMI_MI,100
0.55,0.55,OpenBMI,3,0.54995499549955,0,13,OpenBMI_MI,100
0.54,0.54,OpenBMI,3,0.54,0,17,OpenBMI_MI,100
0.33,0.33,OpenBMI,3,0.3283208020050125,0,18,OpenBMI_MI,100
0.5,0.5,OpenBMI,3,0.49979991996798717,0,24,OpenBMI_MI,100
0.69,0.69,OpenBMI,3,0.6899689968996899,0,25,OpenBMI_MI,100
0.56,0.56,OpenBMI,3,0.56,0,29,OpenBMI_MI,100
0.51,0.51,OpenBMI,3,0.50995099509951,0,36,OpenBMI_MI,100
0.5900000000000001,0.59,OpenBMI,3,0.5866518802298619,0,37,OpenBMI_MI,100
0.52,0.52,OpenBMI,3,0.5182657567242072,0,39,OpenBMI_MI,100
0.49,0.49,OpenBMI,3,0.4858352656517794,0,42,OpenBMI_MI,100
0.5800000000000001,0.58,OpenBMI,3,0.5798319327731092,0,51,OpenBMI_MI,100
0.5700000000000001,0.57,OpenBMI,3,0.568922305764411,0,54,OpenBMI_MI,100
0.6000000000000001,0.6,OpenBMI,3,0.5974235104669887,1,4,OpenBMI_MI,100
0.49,0.49,OpenBMI,3,0.4276736617663562,1,12,OpenBMI_MI,100
0.56,0.56,OpenBMI,3,0.5416666666666666,1,13,OpenBMI_MI,100
0.47000000000000003,0.47,OpenBMI,3,0.44554869756250653,1,17,OpenBMI_MI,100
0.55,0.55,OpenBMI,3,0.5396419437340154,1,18,OpenBMI_MI,100
0.5,0.5,OpenBMI,3,0.46943972835314096,1,24,OpenBMI_MI,100
0.57,0.57,OpenBMI,3,0.5361881134721174,1,25,OpenBMI_MI,100
0.5,0.5,OpenBMI,3,0.4832575444398512,1,29,OpenBMI_MI,100
0.56,0.56,OpenBMI,3,0.5098039215686274,1,36,OpenBMI_MI,100
0.54,0.54,OpenBMI,3,0.5245969408846631,1,37,OpenBMI_MI,100
0.54,0.54,OpenBMI,3,0.5208333333333334,1,39,OpenBMI_MI,100
0.5800000000000001,0.58,OpenBMI,3,0.5586380832282472,1,42,OpenBMI_MI,100
0.52,0.52,OpenBMI,3,0.4725274725274725,1,51,OpenBMI_MI,100
0.55,0.55,OpenBMI,3,0.508679986898133,1,54,OpenBMI_MI,100
0.6,0.6,OpenBMI,3,0.586606035551881,2,4,OpenBMI_MI,100
0.47,0.47,OpenBMI,3,0.468671679197995,2,12,OpenBMI_MI,100
0.53,0.53,OpenBMI,3,0.5288220551378446,2,13,OpenBMI_MI,100
0.49,0.49,OpenBMI,3,0.4812328349099786,2,17,OpenBMI_MI,100
0.43999999999999995,0.44,OpenBMI,3,0.4288045695634435,2,18,OpenBMI_MI,100
0.51,0.51,OpenBMI,3,0.4916485112563544,2,24,OpenBMI_MI,100
0.79,0.79,OpenBMI,3,0.7882851093860268,2,25,OpenBMI_MI,100
0.51,0.51,OpenBMI,3,0.5015766453056658,2,29,OpenBMI_MI,100
0.47,0.47,OpenBMI,3,0.46952257031328193,2,36,OpenBMI_MI,100
0.59,0.59,OpenBMI,3,0.5849782366636299,2,37,OpenBMI_MI,100
0.5,0.5,OpenBMI,3,0.49979991996798717,2,39,OpenBMI_MI,100
0.57,0.57,OpenBMI,3,0.5601023017902813,2,42,OpenBMI_MI,100
0.54,0.54,OpenBMI,3,0.5392628205128205,2,51,OpenBMI_MI,100
0.62,0.62,OpenBMI,3,0.6175523349436394,2,54,OpenBMI_MI,100
0.64,0.64,OpenBMI,4,0.6216897856242118,0,4,OpenBMI_MI,100
0.53,0.53,OpenBMI,4,0.5261619114830124,0,12,OpenBMI_MI,100
0.5800000000000001,0.58,OpenBMI,4,0.5772946859903382,0,13,OpenBMI_MI,100
0.48,0.48,OpenBMI,4,0.4797919167667067,0,17,OpenBMI_MI,100
0.61,0.61,OpenBMI,4,0.6096486838154338,0,18,OpenBMI_MI,100
0.52,0.52,OpenBMI,4,0.5198079231692677,0,24,OpenBMI_MI,100
0.55,0.55,OpenBMI,4,0.5495946351716545,0,25,OpenBMI_MI,100
0.5,0.5,OpenBMI,4,0.46943972835314096,0,29,OpenBMI_MI,100
0.56,0.56,OpenBMI,4,0.5592948717948718,0,36,OpenBMI_MI,100
0.56,0.56,OpenBMI,4,0.5592948717948718,0,37,OpenBMI_MI,100
0.52,0.52,OpenBMI,4,0.5169082125603865,0,39,OpenBMI_MI,100
0.53,0.53,OpenBMI,4,0.5276856597326902,0,42,OpenBMI_MI,100
