C_cosine,C_standardized_euclidean,H_cosine,H_standardized_euclidean,P_cosine,P_standardized_euclidean,mechanism_cosine,mechanism_standardized_euclidean,random_excess_included_in_drift,split,status,subject,drift_C_effect_norm,drift_C_to_C_norm,drift_C_to_P_norm,drift_PC_prediction_flip_disagreement_rate,drift_P_effect_norm,drift_P_oppose_C_support_rate,drift_P_support_C_oppose_rate,drift_P_to_C_norm,drift_P_to_P_norm,drift_final_C_true_margin,drift_final_P_true_margin,drift_interaction_norm,drift_interaction_random_excess,drift_local_C_context_sensitivity,drift_local_P_context_sensitivity,drift_protected_top10_interaction_norm
0.5268353211134259,1.1515653043484648,0.8248513298077681,1.0416150639500075,-0.08425625559036534,1.014027883564002,-0.04538089479272309,1.2712146607279855,True,TRAIN,PAIRED,46,-0.3166137259108849,-0.44133567205502655,-1.9172602529330067,-2.3798772394049665,0.7623390935800425,-1.331583551302118,-0.7235493883130374,0.7026685973447109,0.7871435795167634,0.08986241907618653,-0.1939745292734093,0.933926057011348,0.633752876027064,-2.608710515654627,-2.02563191241779,-0.04252931487453937
0.15349953647609366,1.1871902001906842,0.6368801343952595,1.1508047903586942,-0.02928452473074619,0.6820033908471651,-0.06247134190103198,1.4530876996053763,True,TRAIN,PAIRED,48,-1.9995972806142948,-1.623576808816821,-1.1950614909668522,2.776523445972461,0.45640531428149167,-1.9973753269531769,1.8088734707825935,0.4422934879569057,0.42827519044717877,-2.88574110004871,0.008182548110629878,-0.795303091385994,0.6652409252012135,0.8695702582689014,-5.433169310009589e-07,0.06420640425494101
0.2947285708361888,1.125904067672007,0.5701531303970155,1.059373420245686,-0.02156346002378993,0.7756215819217765,0.07132191735243369,1.18513364115315,True,TRAIN,PAIRED,49,-2.266227504893834,-2.510422619152401,-0.23761905127877023,-1.5865848262699778,-0.744007764651444,0.0,-1.0853240824695563,-0.7928865291703923,-0.652395503203659,0.5856915906843141,-0.5050362266789498,-0.10805601643265048,-0.7320253129468318,0.0,2.025632817946008,-0.6529612088385568
0.3379388920487562,1.4072923385947935,0.6633743525607125,1.3101394900837204,0.9629435596906075,0.31445615414003475,0.5665575109185295,1.0045222946860108,True,TRAIN,PAIRED,50,-1.2792864787987048,-0.48723735112902766,-1.5898243100959013,-0.7932924131349889,-0.7701858843533969,-0.665791775651059,0.3617746941565187,-0.8326764293950585,-0.6705758887739521,-1.4056618111847157,-0.7797956364933916,-0.9120291553468775,2.161543418872613,-1.2957603878760438e-07,-1.8110564364848258e-07,0.8460560622545411
0.5591008164719501,1.097728652172484,0.7680539256655852,1.1907619739889657,0.26369332729323436,1.1060168926524476,0.26250712762409917,0.8243748686561508,True,TRAIN,PAIRED,52,-0.25952699390797407,-0.6470333373531921,1.0951121887086148,-1.1899386197024833,-0.6427594244763937,-1.331583551302118,0.36177469415651875,-0.5075830543011741,-0.7893300490135067,-1.3866457453453325,0.4733948528236822,-0.7719850658587928,0.7255230197157143,1.0366083105783908e-07,6.640540267111028e-07,1.142462346046668
0.41420955756122263,1.0260652387841305,0.711297620990081,0.9998468837316468,0.016299954293763227,1.22977370935568,-0.277573571721344,1.0429450673591876,True,TRAIN,PAIRED,53,-1.5898833614126577,-1.0473507294358013,-1.3437997797439682,1.1899386197024833,-0.8298905872691336,1.331583551302118,-1.447098776626075,-0.6691187429106428,-1.0137614144936975,-0.4745006235118686,-1.0550928283313796,-1.5908827668588028,0.8103615141031164,1.0366083108559465e-07,-6.036854788282753e-08,0.0007803839032515802
0.8434207897721246,0.8636399298795171,0.9372020353934802,0.7977266680311392,0.9559264133106324,0.35295715649251014,0.40010291504296797,0.8914941197234235,True,OUTER_DEVELOPMENT,PAIRED,3,-0.17333582976618844,-0.46987377106769235,0.023162453592243892,0.7932924131349889,1.5693478829656056,-0.3328958878255295,-0.3617746941565187,1.5943988001517884,1.536804304779029,0.5061015940766269,0.19596379004989864,1.751114791706159,-0.2583297832232849,-0.8695701805232782,1.2073709576565506e-07,0.20797504908320796
0.5081265244349309,0.8862818930511492,0.5638377565493913,0.943579743472008,0.2732894058895532,1.1770980921644287,-0.3345863074239827,1.1601682928813677,True,OUTER_DEVELOPMENT,PAIRED,5,-1.6505200049708244,-1.6240511892015437,-1.076060398595102,0.39664620656749444,-1.66851157690481,0.665791775651059,0.36177469415651875,-1.608857415944811,-1.7336180469763756,-1.2409121310756124,-0.43768391785027005,-0.6990303920883818,0.0050190969737191615,1.739140309216141,-1.2073709576565506e-07,-0.813758376948047
0.5221207591064689,0.5869655899158868,0.9061256553877255,0.7253295168323114,0.9539596379031972,1.0606421958684595,0.4697846050219095,1.2577612343136588,True,OUTER_DEVELOPMENT,PAIRED,6,-2.625704732770846,-3.2100188451734533,-0.832606987679951,0.0,0.8639230553938385,1.331583551302118,-1.2662114295478155,0.9112911460257577,0.8049290973959565,0.4033662725980216,-0.6527774026337072,-0.14854516593892364,0.586082887205183,-0.8695700509472394,2.4147419158682126e-07,0.3285837308810533
0.20872565573632504,0.9241199856269411,0.7116887906698656,1.0860888236669781,0.9331687964650532,1.3808555343821236,-0.3860000499283085,2.152838427294205,True,OUTER_DEVELOPMENT,PAIRED,15,-2.180182377419408,-2.170614088631794,1.3089958387438028,0.0,-2.654439124862463,2.496719158691471,2.5324228590956306,-2.236977344266822,-3.1082910792560847,-2.25741284768238,-2.537700720104536,-3.6495647262712043,1.440000301521816,-0.8695698436255772,3.018427394696488e-07,0.9663894978032942
