backbone,fold,seed,run_id,direction_id,direction_rank,source_pool_index,persistence,geometry_strength,identity_score,identity_full,identity_erased,D_finite,C_train_BA_harm,C_train_CE_harm,C_validation_BA_harm,C_validation_CE_harm,U_pseudo_BA,U_pseudo_BA_median_subject,U_pseudo_BA_ci_low,U_pseudo_BA_ci_high,U_pseudo_F1,U_pseudo_CE,U_pseudo_positive_subjects,U_pseudo_negative_subjects,U_pseudo_tied_subjects,U_pseudo_subject_count,model_SHA,direction_SHA,direction_construction_SHA,pseudo_subject_count,future_subject_count,outcome_loaded,U_future_BA,U_future_BA_median_subject,U_future_BA_ci_low,U_future_BA_ci_high,U_future_F1,U_future_CE,U_future_positive_subjects,U_future_negative_subjects,U_future_tied_subjects,U_future_subject_count,global_source_freeze_SHA
eegnet,0,1,eegnet|fold-0|seed-1,4,5,1,0.6445515050752711,2.159614682619366,0.0084269184421981,0.0705823399497103,0.0621554215075121,0.6669780233287482,0.019,0.0396443244501504,0.0225,-0.0111867710099245,-0.0137499999999999,-0.015,-0.03,0.00375,-0.0114441737446822,-0.00906282702302,2,5,1,8,7508a2f3cd4ef1fac7aa587eece8f642ff696ea2d38a4b405446371607b4bd65,eaf655bcae3a580daeb940cc18e1e57f8235dc986eea68823b1a00878cf6a37f,ada1dfc7a7eec5b0eb58269e1b077de61251a19856e988ae6629026ef00a1307,8,8,False,-0.0475,-0.035,-0.075,-0.0287499999999999,-0.0482955887800166,-0.0164507201659915,0,8,0,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,1,eegnet|fold-0|seed-1,5,6,7,0.6004382804288405,1.012099292502611,0.0051136737070289,0.0705823399497103,0.0654686662426813,0.0298444931044727,-0.002,0.0001166403063423,0.005,-0.0015291993294916,-0.0037499999999999,-0.0049999999999999,-0.0087499999999999,0.00125,-0.0038710860909285,-0.0012040826027143,1,4,3,8,7508a2f3cd4ef1fac7aa587eece8f642ff696ea2d38a4b405446371607b4bd65,50a849a5e07d70a8b03d64c7e9ff1ac94908458cffc7cff6cb106a76b762cc84,ada1dfc7a7eec5b0eb58269e1b077de61251a19856e988ae6629026ef00a1307,8,8,False,-0.0025,0.0,-0.005,0.0,-0.0026214879137653,0.000104719459657,0,2,6,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,1,eegnet|fold-0|seed-1,6,7,8,0.57652962075664,1.1182878488827903,0.0047628351539441,0.0705823399497103,0.0658195047957661,0.0732559030187317,-0.0049999999999999,0.0005600582124002,2.775557561562892e-17,-0.0076566658277994,0.005,0.005,-0.0025,0.0125,0.0061424345303362,-0.0002373118230206,4,2,2,8,7508a2f3cd4ef1fac7aa587eece8f642ff696ea2d38a4b405446371607b4bd65,25e0bdc55a0a3f76fa7ab7e337a6399fca135410955455a9c934ccd381730dd0,ada1dfc7a7eec5b0eb58269e1b077de61251a19856e988ae6629026ef00a1307,8,8,False,-0.0012499999999999,0.0,-0.0087499999999999,0.00625,-0.0018656357452395,-0.0014654721705417,3,3,2,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,1,eegnet|fold-0|seed-1,7,8,10,0.4800849872825255,1.1873819088912954,0.0027630612450573,0.0705823399497103,0.0678192787046529,0.078667174129923,-0.004,0.0015044083942586,0.005,5.414380858764344e-05,0.0025,0.0,-0.005,0.0125,0.0018786553760391,-0.0023347626353596,2,2,4,8,7508a2f3cd4ef1fac7aa587eece8f642ff696ea2d38a4b405446371607b4bd65,8b32b96f3e12fb16184f8e8df4ed0aff2144e45b88e797a92149c7396701b837,ada1dfc7a7eec5b0eb58269e1b077de61251a19856e988ae6629026ef00a1307,8,8,False,0.0074999999999999,0.01,-0.0012499999999999,0.0149999999999999,0.0071163284212265,-0.0001661645344438,5,2,1,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,2,eegnet|fold-0|seed-2,0,1,6,0.7614533740339953,0.9701565508674194,0.0083499810825715,0.068601201730706,0.0602512206481344,0.057834880271468,0.0025,-8.430715181298057e-05,-0.0025,-0.0016053981547115,-1.3877787807814457e-17,0.0,-0.0075,0.0062499999999999,0.0001733292029874,0.0052272097740782,3,2,3,8,74c491966aa50489fbfdfc7f1028ad50a0c4bcf26dd399a1a4f3b4db50657e65,19e1a171254ef8367e656453168114e68024d14f92a137d7d5a72fa4ded21ec7,6a83487cad4edaaa536e3276372ca7764842d0ae99ef8ea2afca386c34287888,8,8,False,-0.0025,0.0,-0.0075,0.0025,-0.0029137152384462,0.0033445508244153,1,3,4,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,2,eegnet|fold-0|seed-2,1,2,1,0.7602277278014901,2.2244801416212963,0.0099523476338785,0.068601201730706,0.0586488540968275,0.4626318247210974,0.0185,0.0228197585332536,0.0124999999999999,0.0187203092825041,-0.0249999999999999,-0.0199999999999999,-0.0387499999999999,-0.0124999999999999,-0.0271174674254592,-0.0132434746243271,0,7,1,8,74c491966aa50489fbfdfc7f1028ad50a0c4bcf26dd399a1a4f3b4db50657e65,831e2407720beddfb8b14f069a87e01d0b0ca89d7748b560ab7308af7622cd10,6a83487cad4edaaa536e3276372ca7764842d0ae99ef8ea2afca386c34287888,8,8,False,-0.0175,-0.025,-0.05,0.0174999999999999,-0.0159147741079006,-0.00593781851371,2,5,1,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,2,eegnet|fold-0|seed-2,2,3,2,0.75456810883686,1.7482142027917598,0.0069973711435387,0.068601201730706,0.0616038305871673,0.1571853399104584,0.001,0.0027406355268814,-0.0,-0.0039078856468904,-0.0037499999999999,-0.01,-0.0162499999999999,0.01125,-0.0034241222161699,0.0034924666368551,2,5,1,8,74c491966aa50489fbfdfc7f1028ad50a0c4bcf26dd399a1a4f3b4db50657e65,e1c96f8ba7ea5dd26958436fa5186fe3bd31b4f1ff9c039e73cd09cfe78bf225,6a83487cad4edaaa536e3276372ca7764842d0ae99ef8ea2afca386c34287888,8,8,False,0.00125,-0.005,-0.01125,0.01375,0.0011808672469156,0.0022178327517873,3,4,1,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,2,eegnet|fold-0|seed-2,3,4,0,0.709025608395299,1.9619954639277384,0.0181939223184464,0.068601201730706,0.0504072794122596,0.0099297052324898,0.001,-0.0001715509796011,-0.0025,-0.0001304297266399,-0.0025,0.0,-0.00625,0.0,-0.0026828276124596,-0.0005959800173163,0,2,6,8,74c491966aa50489fbfdfc7f1028ad50a0c4bcf26dd399a1a4f3b4db50657e65,1de2891efae51f3952a3c3d74390a293cfce7c9f6ac3ef178910a9738bf88671,6a83487cad4edaaa536e3276372ca7764842d0ae99ef8ea2afca386c34287888,8,8,False,0.0025,0.0,-0.0025,0.00875,0.0020639639087402,-0.0003614872706729,2,1,5,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,2,eegnet|fold-0|seed-2,4,5,12,0.5966408868262418,1.04546710372886,0.0030693236689665,0.068601201730706,0.0655318780617395,0.1491221467144853,0.0065,0.007001564047266,0.0174999999999999,-0.0015959464653578,-0.0037499999999999,-0.005,-0.01003125,0.00375,-0.0039746816051399,0.0003459319979593,2,4,2,8,74c491966aa50489fbfdfc7f1028ad50a0c4bcf26dd399a1a4f3b4db50657e65,b60323d919d0b298ad32af41c9b05bfd0197ed1b61d8c64494cbb6acee980b51,6a83487cad4edaaa536e3276372ca7764842d0ae99ef8ea2afca386c34287888,8,8,False,-0.00625,-0.01,-0.01625,0.0025,-0.00673400219383,-0.0012987852515153,3,5,0,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
eegnet,0,2,eegnet|fold-0|seed-2,5,6,5,0.5566257971899585,1.6966711077179095,0.006494582716511,0.068601201730706,0.062106619014195,0.2511190994355821,0.005,0.0086564344307305,-0.0,-0.0031696348158724,-0.0037499999999999,-0.005,-0.0174999999999999,0.01,-0.0043154507098095,0.0039191339628764,3,4,1,8,74c491966aa50489fbfdfc7f1028ad50a0c4bcf26dd399a1a4f3b4db50657e65,b2541d3ba53cfd4f0e71390f9236eaa56ef458fcf4721a93048e6952936c1b6c,6a83487cad4edaaa536e3276372ca7764842d0ae99ef8ea2afca386c34287888,8,8,False,-0.0087499999999999,-0.005,-0.0274999999999999,0.01375,-0.0083322243258716,-0.0022187658817481,2,4,2,8,23dffb9fc16ee080014c735149732492ec252fe5e5feac505f5ec1b06ff17522
