comparison,task,seed_scope,feature_family,bootstrap_unit,bootstrap_resamples,point_delta_pp,ci_low_pp,ci_high_pp
XS,OpenBMI_ERP,seed1,F2,real_subject,10000,0.28106060606060657,-0.09393939393939398,0.6666856060606083
XS,OpenBMI_ERP,seed2,F2,real_subject,10000,0.25757575757575757,-0.30833333333333324,0.8166666666666667
XS,OpenBMI_MI,seed0,F0,real_subject,10000,1.6999999999999988,0.9249999999999986,2.5249999999999977
XS,OpenBMI_MI,seed1,F0,real_subject,10000,-0.1499999999999999,-0.95,0.6500000000000002
XS,OpenBMI_MI,seed2,F0,real_subject,10000,0.3499999999999989,-0.6500000000000002,1.2749999999999995
XS,OpenBMI_MI,seed0,F1,real_subject,10000,1.399999999999999,0.47499999999999876,2.324999999999999
XS,OpenBMI_MI,seed1,F1,real_subject,10000,-0.22499999999999964,-1.275,0.7500000000000007
XS,OpenBMI_MI,seed2,F1,real_subject,10000,0.12500000000000017,-0.9000000000000007,1.05
XS,OpenBMI_MI,seed0,F2,real_subject,10000,0.9999999999999997,-0.15000000000000044,2.1249999999999987
XS,OpenBMI_MI,seed1,F2,real_subject,10000,-1.0750000000000004,-2.200000000000001,-0.025000000000000577
XS,OpenBMI_MI,seed2,F2,real_subject,10000,-0.40000000000000036,-1.8000000000000003,0.8499999999999993
XS,OpenBMI_SSVEP,seed0,F0,real_subject,10000,4.399999999999999,2.0500000000000003,7.6256249999999905
XS,OpenBMI_SSVEP,seed1,F0,real_subject,10000,2.224999999999999,1.099999999999999,3.449999999999998
XS,OpenBMI_SSVEP,seed2,F0,real_subject,10000,2.7999999999999994,1.1499999999999984,4.974999999999999
XS,OpenBMI_SSVEP,seed0,F1,real_subject,10000,4.275,2.05,7.399999999999997
XS,OpenBMI_SSVEP,seed1,F1,real_subject,10000,2.3249999999999984,0.7999999999999996,4.249999999999998
XS,OpenBMI_SSVEP,seed2,F1,real_subject,10000,2.7749999999999995,1.0749999999999995,5.000000000000001
XS,OpenBMI_SSVEP,seed0,F2,real_subject,10000,3.7999999999999985,1.4249999999999987,7.1999999999999975
XS,OpenBMI_SSVEP,seed1,F2,real_subject,10000,2.05,0.8500000000000002,3.4749999999999988
XS,OpenBMI_SSVEP,seed2,F2,real_subject,10000,2.3,0.8749999999999993,4.325000000000001
XS,WBCIC_MI,seed0,F0,real_subject,10000,0.7113473444118588,-0.40322580645161393,1.7759052215705424
XS,WBCIC_MI,seed1,F0,real_subject,10000,1.0488758553274653,-0.06402737047898709,2.017595307917885
XS,WBCIC_MI,seed2,F0,real_subject,10000,0.9835043988269769,-0.03263379765396428,1.9835043988269765
XS,WBCIC_MI,seed0,F1,real_subject,10000,0.5171269143043321,-0.6109074617139147,1.5645161290322578
XS,WBCIC_MI,seed1,F1,real_subject,10000,0.7096570544151171,-0.4354838709677441,1.6773989898989858
XS,WBCIC_MI,seed2,F1,real_subject,10000,0.8860581622678375,-0.034361253665692586,1.853826063049853
XS,WBCIC_MI,seed0,F2,real_subject,10000,0.2740102639296182,-0.6451612903225802,1.2094941348973591
XS,WBCIC_MI,seed1,F2,real_subject,10000,0.4976376669925041,-0.48859563375692644,1.3686054089279878
XS,WBCIC_MI,seed2,F2,real_subject,10000,0.6619420006516754,-0.11290322580645454,1.4677419354838677
XS,OpenBMI_ERP,equal_seed_mean,F0,real_subject_with_seed_replicas_together,10000,1.022727272727273,0.5098169191919174,1.5603661616161617
XS,OpenBMI_ERP,equal_seed_mean,F1,real_subject_with_seed_replicas_together,10000,0.2212121212121218,-0.24318181818181814,0.6899116161616164
XS,OpenBMI_ERP,equal_seed_mean,F2,real_subject_with_seed_replicas_together,10000,0.2184343434343432,-0.16339015151515232,0.6101136363636364
XS,OpenBMI_MI,equal_seed_mean,F0,real_subject_with_seed_replicas_together,10000,0.6333333333333325,-0.06666666666666694,1.3083333333333333
XS,OpenBMI_MI,equal_seed_mean,F1,real_subject_with_seed_replicas_together,10000,0.4333333333333331,-0.383333333333333,1.2249999999999994
XS,OpenBMI_MI,equal_seed_mean,F2,real_subject_with_seed_replicas_together,10000,-0.15833333333333374,-1.0916666666666672,0.7166666666666665
XS,OpenBMI_SSVEP,equal_seed_mean,F0,real_subject_with_seed_replicas_together,10000,3.1416666666666653,1.5,5.2502083333333305
XS,OpenBMI_SSVEP,equal_seed_mean,F1,real_subject_with_seed_replicas_together,10000,3.1249999999999996,1.3749999999999993,5.458333333333334
XS,OpenBMI_SSVEP,equal_seed_mean,F2,real_subject_with_seed_replicas_together,10000,2.7166666666666663,1.1499999999999997,4.924999999999999
XS,WBCIC_MI,equal_seed_mean,F0,real_subject_with_seed_replicas_together,10000,0.914575866188767,-0.009572879330946296,1.7694145758661868
XS,WBCIC_MI,equal_seed_mean,F1,real_subject_with_seed_replicas_together,10000,0.7042807103290959,-0.193568752036495,1.5322376995764078
XS,WBCIC_MI,equal_seed_mean,F2,real_subject_with_seed_replicas_together,10000,0.47786331052459935,-0.24794314108830326,1.1600592619745829
