comparison,task,seed,feature_family,heldout_fold,selected_threshold,training_subject_equal_policy_BA,B0_BA,candidate_BA,selective_policy_BA,policy_delta_vs_B0_pp,policy_delta_vs_candidate_pp,fraction_disagreement_trials_switched,fraction_all_trials_switched,realized_rescue_count,realized_harm_count,switched_both_wrong_count,intervention_precision
X,WBCIC_MI,0,F0,1,0.54,0.7983421717171716,0.7774999999999999,0.7925,0.7908333333333334,1.3333333333333364,-0.16666666666666896,0.08256880733944955,0.015,17,1,0,0.9444444444444444
X,WBCIC_MI,0,F0,2,0.55,0.8089462121212121,0.7525000000000001,0.7558333333333334,0.7541666666666668,0.16666666666666496,-0.16666666666666866,0.24705882352941178,0.035,22,20,0,0.5238095238095238
X,WBCIC_MI,0,F0,3,0.53,0.7866000000000001,0.848917297979798,0.812293771043771,0.8497758838383839,0.08585858585858734,3.7482112794612816,0.2833333333333333,0.042677824267782424,26,25,0,0.5098039215686274
X,WBCIC_MI,0,F0,4,0.48,0.801546212121212,0.7858333333333333,0.7725000000000001,0.7775,-0.8333333333333321,0.5000000000000004,0.48717948717948717,0.06333333333333334,33,43,0,0.4342105263157895
X,WBCIC_MI,0,F1,0,0.55,0.8003606376262627,0.7871428571428571,0.7850000000000001,0.792142857142857,0.5000000000000003,0.7142857142857147,0.4708171206225681,0.08642857142857142,64,57,0,0.5289256198347108
X,WBCIC_MI,0,F1,1,0.63,0.7985421717171717,0.7774999999999999,0.7925,0.7816666666666667,0.41666666666667446,-1.0833333333333306,0.022935779816513763,0.004166666666666667,5,0,0,1.0
X,WBCIC_MI,0,F1,2,0.5,0.8117421717171718,0.7525000000000001,0.7558333333333334,0.7533333333333333,0.08333333333333148,-0.25000000000000205,0.4647058823529412,0.06583333333333333,40,39,0,0.5063291139240507
X,WBCIC_MI,0,F1,3,0.51,0.7878000000000001,0.848917297979798,0.812293771043771,0.8547674663299664,0.5850168350168364,4.247369528619529,0.42777777777777776,0.06443514644351464,42,35,0,0.5454545454545454
X,WBCIC_MI,0,F1,4,0.51,0.8041462121212122,0.7858333333333333,0.7725000000000001,0.7800000000000001,-0.5833333333333338,0.7499999999999988,0.4807692307692308,0.0625,34,41,0,0.4533333333333333
X,WBCIC_MI,0,F2,0,0.41,0.8260029987373737,0.7871428571428571,0.7850000000000001,0.7985714285714286,1.1428571428571423,1.3571428571428565,0.14007782101167315,0.025714285714285714,26,10,0,0.7222222222222222
X,WBCIC_MI,0,F2,1,0.5,0.8251628787878788,0.7774999999999999,0.7925,0.7925,1.5000000000000029,-1.8503717077085944e-15,0.3853211009174312,0.07,51,33,0,0.6071428571428571
X,WBCIC_MI,0,F2,2,0.56,0.8369648989898991,0.7525000000000001,0.7558333333333334,0.7625000000000001,1.0000000000000027,0.6666666666666691,0.8823529411764706,0.125,81,69,0,0.54
X,WBCIC_MI,0,F2,3,0.5,0.8157999999999999,0.848917297979798,0.812293771043771,0.8289604377104377,-1.9956860269360295,1.6666666666666643,0.7444444444444445,0.11213389121338913,55,79,0,0.41044776119402987
X,WBCIC_MI,0,F2,4,0.6,0.829364898989899,0.7858333333333333,0.7725000000000001,0.7741666666666668,-1.166666666666664,0.16666666666666866,0.5128205128205128,0.06666666666666667,33,47,0,0.4125
XS,OpenBMI_ERP,0,F0,0,0.49,0.8493465909090908,0.8046590909090909,0.8099242424242424,0.8106060606060606,0.5946969696969715,0.06818181818181729,0.50941475826972,0.06319444444444444,725,276,0,0.7242757242757243
XS,OpenBMI_ERP,1,F0,0,0.49,0.8493465909090908,0.8046590909090909,0.8174621212121211,0.8204166666666666,1.5757575757575761,0.2954545454545474,0.5369198312236287,0.06426767676767677,699,319,0,0.6866404715127702
XS,OpenBMI_ERP,2,F0,0,0.49,0.8493465909090908,0.8046590909090909,0.8112121212121213,0.8192045454545456,1.4545454545454581,0.7992424242424259,0.49217002237136465,0.06944444444444445,832,268,0,0.7563636363636363
XS,OpenBMI_ERP,0,F0,1,0.46,0.8286237373737374,0.8907575757575757,0.895189393939394,0.9014393939393939,1.0681818181818181,0.6249999999999964,0.556469708302169,0.04696969696969697,429,315,0,0.5766129032258065
XS,OpenBMI_ERP,1,F0,1,0.46,0.8286237373737374,0.8907575757575757,0.8963636363636364,0.9032575757575758,1.250000000000001,0.6893939393939397,0.5979381443298969,0.05126262626262626,545,267,0,0.6711822660098522
XS,OpenBMI_ERP,2,F0,1,0.46,0.8286237373737374,0.8907575757575757,0.885719696969697,0.8956818181818182,0.4924242424242456,0.9962121212121255,0.5661252900232019,0.04621212121212121,441,291,0,0.6024590163934426
XS,OpenBMI_ERP,0,F0,2,0.49,0.8613036616161617,0.765,0.7629545454545454,0.7695454545454545,0.4545454545454547,0.6590909090909078,0.4147465437788018,0.03409090909090909,362,178,0,0.6703703703703704
XS,OpenBMI_ERP,1,F0,2,0.49,0.8613036616161617,0.765,0.7750757575757576,0.7720454545454546,0.7045454545454521,-0.303030303030305,0.27323162274618584,0.024873737373737374,226,168,0,0.5736040609137056
XS,OpenBMI_ERP,2,F0,2,0.49,0.8613036616161617,0.765,0.7737121212121212,0.7741287878787879,0.9128787878787861,0.04166666666666485,0.3270799347471452,0.025315656565656566,291,110,0,0.7256857855361596
XS,OpenBMI_ERP,0,F0,3,0.49,0.8309122474747475,0.8755681818181817,0.8676893939393939,0.8831818181818182,0.7613636363636365,1.5492424242424265,0.6332938388625592,0.06748737373737373,741,328,0,0.6931711880261927
XS,OpenBMI_ERP,1,F0,3,0.49,0.8309122474747475,0.8755681818181817,0.8954924242424243,0.8948484848484848,1.9280303030303023,-0.0643939393939405,0.4795774647887324,0.04299242424242424,579,102,0,0.8502202643171806
XS,OpenBMI_ERP,2,F0,3,0.49,0.8309122474747475,0.8755681818181817,0.8862121212121212,0.8942045454545455,1.8636363636363646,0.7992424242424232,0.6418193303853443,0.06414141414141414,784,232,0,0.7716535433070866
XS,OpenBMI_ERP,0,F0,4,0.5,0.8455839646464648,0.826780303030303,0.8229166666666667,0.8364772727272727,0.969696969696969,1.356060606060608,0.5690021231422505,0.06767676767676768,682,390,0,0.6361940298507462
XS,OpenBMI_ERP,1,F0,4,0.5,0.8455839646464648,0.826780303030303,0.8275378787878788,0.8373106060606061,1.0530303030303017,0.9772727272727253,0.5658362989323843,0.060227272727272727,642,312,0,0.6729559748427673
XS,OpenBMI_ERP,2,F0,4,0.5,0.8455839646464648,0.826780303030303,0.813030303030303,0.8293560606060606,0.25757575757575646,1.6325757575757591,0.6083382266588373,0.06540404040404041,702,334,0,0.6776061776061776
XS,OpenBMI_ERP,0,F1,0,0.84,0.8430997474747475,0.8046590909090909,0.8099242424242424,0.8043181818181818,-0.03409090909090723,-0.5606060606060616,0.31195928753180663,0.03869949494949495,508,105,0,0.8287112561174551
XS,OpenBMI_ERP,1,F1,0,0.84,0.8430997474747475,0.8046590909090909,0.8174621212121211,0.8121590909090909,0.7500000000000007,-0.5303030303030283,0.2563291139240506,0.03068181818181818,438,48,0,0.9012345679012346
XS,OpenBMI_ERP,2,F1,0,0.84,0.8430997474747475,0.8046590909090909,0.8112121212121213,0.8119318181818183,0.7272727272727264,0.07196969696969391,0.30604026845637583,0.04318181818181818,602,82,0,0.8801169590643275
XS,OpenBMI_ERP,0,F1,1,0.8,0.8221527777777778,0.8907575757575757,0.895189393939394,0.894810606060606,0.40530303030303083,-0.0378787878787909,0.20269259536275244,0.017108585858585858,243,28,0,0.8966789667896679
XS,OpenBMI_ERP,1,F1,1,0.8,0.8221527777777778,0.8907575757575757,0.8963636363636364,0.8978030303030303,0.7045454545454605,0.14393939393939903,0.2974963181148748,0.025505050505050506,367,37,0,0.9084158415841584
XS,OpenBMI_ERP,2,F1,1,0.8,0.8221527777777778,0.8907575757575757,0.885719696969697,0.8943560606060605,0.3598484848484851,0.8636363636363651,0.23279195668986852,0.019002525252525253,266,35,0,0.8837209302325582
XS,OpenBMI_ERP,0,F1,2,0.79,0.8548642676767676,0.765,0.7629545454545454,0.7628787878787879,-0.2121212121212121,-0.007575757575759012,0.29339477726574503,0.024116161616161615,309,73,0,0.8089005235602095
XS,OpenBMI_ERP,1,F1,2,0.79,0.8548642676767676,0.765,0.7750757575757576,0.7652651515151516,0.026515151515150992,-0.9810606060606061,0.14771151178918168,0.013446969696969697,178,35,0,0.8356807511737089
XS,OpenBMI_ERP,2,F1,2,0.79,0.8548642676767676,0.765,0.7737121212121212,0.7673106060606061,0.23106060606060685,-0.6401515151515145,0.23572593800978792,0.018244949494949494,251,38,0,0.8685121107266436
XS,OpenBMI_ERP,0,F1,3,0.83,0.8246085858585858,0.8755681818181817,0.8676893939393939,0.8792424242424243,0.3674242424242442,1.1553030303030343,0.3311611374407583,0.03529040404040404,480,79,0,0.8586762075134168
XS,OpenBMI_ERP,1,F1,3,0.83,0.8246085858585858,0.8755681818181817,0.8954924242424243,0.8845454545454545,0.8977272727272723,-1.0946969696969706,0.2936619718309859,0.026325757575757575,387,30,0,0.9280575539568345
XS,OpenBMI_ERP,2,F1,3,0.83,0.8246085858585858,0.8755681818181817,0.8862121212121212,0.8833712121212122,0.7803030303030338,-0.28409090909090745,0.3474415666456096,0.034722222222222224,490,60,0,0.8909090909090909
XS,OpenBMI_ERP,0,F1,4,0.05,0.8397506313131314,0.826780303030303,0.8229166666666667,0.8229166666666667,-0.38636363636363896,0.0,1.0,0.11893939393939394,983,901,0,0.5217622080679406
XS,OpenBMI_ERP,1,F1,4,0.05,0.8397506313131314,0.826780303030303,0.8275378787878788,0.8275378787878788,0.0757575757575763,0.0,1.0,0.10643939393939394,937,749,0,0.5557532621589562
XS,OpenBMI_ERP,2,F1,4,0.05,0.8397506313131314,0.826780303030303,0.813030303030303,0.813030303030303,-1.3750000000000027,0.0,1.0,0.10751262626262627,1004,699,0,0.5895478567234292
XS,OpenBMI_ERP,0,F2,0,0.83,0.8463257575757576,0.8046590909090909,0.8099242424242424,0.8041666666666667,-0.04924242424242525,-0.5757575757575795,0.33129770992366414,0.04109848484848485,539,112,0,0.8279569892473119
XS,OpenBMI_ERP,1,F2,0,0.83,0.8463257575757576,0.8046590909090909,0.8174621212121211,0.8097348484848484,0.5075757575757593,-0.7727272727272692,0.2510548523206751,0.03005050505050505,419,57,0,0.8802521008403361
XS,OpenBMI_ERP,2,F2,0,0.83,0.8463257575757576,0.8046590909090909,0.8112121212121213,0.8120075757575758,0.7348484848484869,0.07954545454545459,0.13243847874720358,0.018686868686868686,279,17,0,0.9425675675675675
XS,OpenBMI_ERP,0,F2,1,0.8,0.8273926767676767,0.8907575757575757,0.895189393939394,0.8975757575757576,0.6818181818181834,0.2386363636363617,0.31264023934181,0.02638888888888889,369,49,0,0.8827751196172249
XS,OpenBMI_ERP,1,F2,1,0.8,0.8273926767676767,0.8907575757575757,0.8963636363636364,0.8945833333333333,0.38257575757575935,-0.1780303030303021,0.27466863033873345,0.023547979797979797,325,48,0,0.871313672922252
XS,OpenBMI_ERP,2,F2,1,0.8,0.8273926767676767,0.8907575757575757,0.885719696969697,0.8951136363636364,0.43560606060606133,0.9393939393939412,0.2529002320185615,0.020643939393939395,289,38,0,0.8837920489296636
XS,OpenBMI_ERP,0,F2,2,0.79,0.8597253787878788,0.765,0.7629545454545454,0.7558712121212121,-0.9128787878787903,-0.7083333333333371,0.23425499231950844,0.019255050505050504,212,93,0,0.6950819672131148
XS,OpenBMI_ERP,1,F2,2,0.79,0.8597253787878788,0.765,0.7750757575757576,0.7615530303030302,-0.34469696969697255,-1.3522727272727297,0.24895977808599168,0.022664141414141414,276,83,0,0.7688022284122563
XS,OpenBMI_ERP,2,F2,2,0.79,0.8597253787878788,0.765,0.7737121212121212,0.7635606060606059,-0.14393939393939764,-1.0151515151515191,0.2544861337683524,0.019696969696969695,251,61,0,0.8044871794871795
XS,OpenBMI_ERP,0,F2,3,0.82,0.8281628787878788,0.8755681818181817,0.8676893939393939,0.8814393939393939,0.587121212121211,1.375000000000001,0.18661137440758294,0.019886363636363636,287,28,0,0.9111111111111111
XS,OpenBMI_ERP,1,F2,3,0.82,0.8281628787878788,0.8755681818181817,0.8954924242424243,0.8842045454545455,0.8636363636363679,-1.128787878787875,0.4028169014084507,0.03611111111111111,514,58,0,0.8986013986013986
XS,OpenBMI_ERP,2,F2,3,0.82,0.8281628787878788,0.8755681818181817,0.8862121212121212,0.8865909090909091,1.1022727272727295,0.03787878787878812,0.5843335439039797,0.05839646464646465,810,115,0,0.8756756756756757
XS,OpenBMI_ERP,0,F2,4,0.8,0.8437436868686868,0.826780303030303,0.8229166666666667,0.8295454545454546,0.27651515151514844,0.6628787878787873,0.304140127388535,0.03617424242424242,485,88,0,0.8464223385689355
XS,OpenBMI_ERP,1,F2,4,0.8,0.8437436868686868,0.826780303030303,0.8275378787878788,0.8267424242424242,-0.003787878787880894,-0.0795454545454572,0.18920521945432978,0.02013888888888889,257,62,0,0.8056426332288401
XS,OpenBMI_ERP,2,F2,4,0.8,0.8437436868686868,0.826780303030303,0.813030303030303,0.8183712121212121,-0.8409090909090922,0.5340909090909104,0.55079271873165,0.05921717171717172,722,216,0,0.7697228144989339
XS,OpenBMI_MI,0,F0,0,0.55,0.7930208333333333,0.82625,0.8525,0.8575,3.1249999999999987,0.49999999999999767,0.6033057851239669,0.09125,49,24,0,0.6712328767123288
XS,OpenBMI_MI,1,F0,0,0.55,0.7930208333333333,0.82625,0.81375,0.83375,0.7500000000000021,2.0000000000000004,0.4074074074074074,0.055,25,19,0,0.5681818181818182
XS,OpenBMI_MI,2,F0,0,0.55,0.7930208333333333,0.82625,0.7949999999999999,0.82375,-0.25000000000000133,2.875,0.5669291338582677,0.09,35,37,0,0.4861111111111111
XS,OpenBMI_MI,0,F0,1,0.52,0.7909375,0.8325,0.8525,0.85125,1.874999999999999,-0.12500000000000022,0.4015151515151515,0.06625,34,19,0,0.6415094339622641
XS,OpenBMI_MI,1,F0,1,0.52,0.7909375,0.8325,0.79875,0.82375,-0.8750000000000007,2.500000000000001,0.48201438848920863,0.08375,30,37,0,0.44776119402985076
XS,OpenBMI_MI,2,F0,1,0.52,0.7909375,0.8325,0.82375,0.85,1.749999999999999,2.625000000000002,0.4740740740740741,0.08,39,25,0,0.609375
XS,OpenBMI_MI,0,F0,2,0.54,0.8204166666666666,0.7275,0.71875,0.72875,0.12499999999999595,0.9999999999999994,0.5321637426900585,0.11375,46,45,0,0.5054945054945055
XS,OpenBMI_MI,1,F0,2,0.54,0.8204166666666666,0.7275,0.6875,0.7225,-0.5000000000000018,3.499999999999999,0.39603960396039606,0.1,38,42,0,0.475
XS,OpenBMI_MI,2,F0,2,0.54,0.8204166666666666,0.7275,0.7150000000000001,0.72875,0.12499999999999734,1.3750000000000013,0.3484848484848485,0.08625,35,34,0,0.5072463768115942
XS,OpenBMI_MI,0,F0,3,0.55,0.8021874999999999,0.7875000000000001,0.75625,0.79625,0.8749999999999994,3.999999999999999,0.29559748427672955,0.05875,27,20,0,0.574468085106383
XS,OpenBMI_MI,1,F0,3,0.55,0.8021874999999999,0.7875000000000001,0.75125,0.79625,0.8750000000000007,4.500000000000002,0.24528301886792453,0.04875,23,16,0,0.5897435897435898
XS,OpenBMI_MI,2,F0,3,0.55,0.8021874999999999,0.7875000000000001,0.765,0.7875,0.0,2.2499999999999996,0.25301204819277107,0.0525,21,21,0,0.5
XS,OpenBMI_MI,0,F0,4,0.54,0.8064583333333334,0.78375,0.815,0.80875,2.500000000000001,-0.6250000000000004,0.4186046511627907,0.0675,37,17,0,0.6851851851851852
XS,OpenBMI_MI,1,F0,4,0.54,0.8064583333333334,0.78375,0.7025,0.7737499999999999,-0.9999999999999996,7.124999999999998,0.23357664233576642,0.04,12,20,0,0.375
XS,OpenBMI_MI,2,F0,4,0.54,0.8064583333333334,0.78375,0.7949999999999999,0.785,0.12500000000000006,-1.0000000000000007,0.36054421768707484,0.06625,27,26,0,0.5094339622641509
XS,OpenBMI_MI,0,F1,0,0.53,0.7932291666666668,0.82625,0.8525,0.86,3.3749999999999987,0.7499999999999978,0.6528925619834711,0.09875,53,26,0,0.6708860759493671
XS,OpenBMI_MI,1,F1,0,0.53,0.7932291666666668,0.82625,0.81375,0.83375,0.750000000000002,2.0000000000000004,0.5,0.0675,30,24,0,0.5555555555555556
XS,OpenBMI_MI,2,F1,0,0.53,0.7932291666666668,0.82625,0.7949999999999999,0.81625,-1.0000000000000022,2.124999999999999,0.6141732283464567,0.0975,35,43,0,0.44871794871794873
XS,OpenBMI_MI,0,F1,1,0.59,0.7902083333333333,0.8325,0.8525,0.84625,1.374999999999997,-0.6250000000000022,0.1590909090909091,0.02625,16,5,0,0.7619047619047619
XS,OpenBMI_MI,1,F1,1,0.59,0.7902083333333333,0.8325,0.79875,0.83625,0.37500000000000033,3.7500000000000018,0.2517985611510791,0.04375,19,16,0,0.5428571428571428
XS,OpenBMI_MI,2,F1,1,0.59,0.7902083333333333,0.8325,0.82375,0.84625,1.3750000000000013,2.2500000000000053,0.22962962962962963,0.03875,21,10,0,0.6774193548387096
XS,OpenBMI_MI,0,F1,2,0.56,0.8215625000000001,0.7275,0.71875,0.7237500000000001,-0.3750000000000017,0.5000000000000018,0.47368421052631576,0.10125,39,42,0,0.48148148148148145
XS,OpenBMI_MI,1,F1,2,0.56,0.8215625000000001,0.7275,0.6875,0.7324999999999999,0.4999999999999976,4.499999999999998,0.31683168316831684,0.08,34,30,0,0.53125
XS,OpenBMI_MI,2,F1,2,0.56,0.8215625000000001,0.7275,0.7150000000000001,0.7350000000000001,0.7499999999999979,2.0000000000000018,0.2828282828282828,0.07,31,25,0,0.5535714285714286
XS,OpenBMI_MI,0,F1,3,0.55,0.8029166666666665,0.7875000000000001,0.75625,0.7975,0.9999999999999996,4.125,0.3018867924528302,0.06,28,20,0,0.5833333333333334
XS,OpenBMI_MI,1,F1,3,0.55,0.8029166666666665,0.7875000000000001,0.75125,0.79625,0.8750000000000008,4.500000000000003,0.24528301886792453,0.04875,23,16,0,0.5897435897435898
XS,OpenBMI_MI,2,F1,3,0.55,0.8029166666666665,0.7875000000000001,0.765,0.7925,0.5000000000000004,2.75,0.21686746987951808,0.045,20,16,0,0.5555555555555556
XS,OpenBMI_MI,0,F1,4,0.55,0.8092708333333333,0.78375,0.815,0.8,1.625000000000001,-1.5,0.3798449612403101,0.06125,31,18,0,0.6326530612244898
