comparison,task,target,feature_family,heldout_fold,training_scope,feature,standardized_coefficient,mean_coefficient,mean_absolute_coefficient,sign_consistency
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,margin_difference,0.01678201656738736,0.031825688490381754,0.031825688490381754,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,entropy_difference,-0.13538116291778873,-0.038008509523200965,0.066577434550448,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,probability_L1_distance,-0.03628696196741267,-0.03461675141144712,0.041510449261939794,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,JS_divergence,-0.3120421052429219,-0.15252952761947233,0.1600352943493965,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,b0_centered_logit_0,0.28417638745602475,0.2483949340235858,0.2483949340235858,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,b0_centered_logit_1,-0.28417638745602475,-0.2483949340235858,0.2483949340235858,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,candidate_centered_logit_0,-0.21600227774089714,-0.21649724946737087,0.21649724946737087,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,candidate_centered_logit_1,0.21600227774089714,0.21649724946737087,0.21649724946737087,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,delta_centered_logit_0,-0.27608239885679065,-0.26159834757389905,0.26159834757389905,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,delta_centered_logit_1,0.27608239885679065,0.26159834757389905,0.26159834757389905,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,b0_probability_0,-0.6157433921827634,-0.5390828954709084,0.5390828954709084,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,b0_probability_1,0.6157435934793353,0.5390833100820565,0.5390833100820565,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,candidate_probability_0,0.5817871048786588,0.5608755532244464,0.5608755532244464,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,candidate_probability_1,-0.5817870411524609,-0.5608753780491617,0.5608753780491617,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,delta_probability_0,0.6484564258935872,0.5969037671674239,0.5969037671674238,1.0
