task,target,feature_family,heldout_fold,heldout_seed,n_rows,n_rescue,ROC_AUC,PR_AUC,balanced_accuracy,precision_RESCUE,recall_RESCUE
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,2,2,1226,676,0.7854168908015061,0.8104367855658401,0.7502071005917159,0.8009868421052632,0.7204142011834319
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,0,1688,968,0.8459194214876032,0.8390239296692017,0.8161386593204776,0.8118721461187215,0.9183884297520661
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,1,1420,1017,0.8419962376570997,0.9113519121896873,0.7906214697536422,0.8805093046033301,0.8839724680432645
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,3,2,1583,1040,0.8495378240543988,0.8691590155433597,0.821852422439439,0.8661202185792349,0.9144230769230769
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,4,0,1884,983,0.8366413265242756,0.8094868900201061,0.8001361661000607,0.7852474323062558,0.8555442522889115
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,4,1,1686,937,0.8225880683315926,0.8198332401278746,0.7977922893990279,0.8089887640449438,0.8452508004268944
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,4,2,1703,1004,0.8018298764883242,0.8131842710620681,0.7625079082810389,0.7755803955288049,0.898406374501992
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F2,0,0,1965,1254,0.762012754684307,0.8113662097476448,0.6667406913909246,0.7333333333333333,0.9298245614035088
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F2,0,1,1896,1141,0.8205268992576512,0.8527115002408565,0.6200352891329205,0.6687116564417178,0.9553023663453112
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F2,0,2,2235,1388,0.8364213072753812,0.8730091026804715,0.7426435563388668,0.8657718120805369,0.6505763688760807
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F2,1,0,1337,639,0.8443596952616688,0.8253331152182919,0.7247837550614096,0.6523255813953488,0.8779342723004695
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F2,1,1,1358,743,0.8351136351202004,0.8416929953939517,0.5675890971561128,0.5840779853777417,0.9676985195154778
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F2,1,2,1293,632,0.8350097665600644,0.8336922807643972,0.6665318179206803,0.6025369978858351,0.9018987341772152
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F2,2,0,1302,682,0.7297110017973701,0.6839841525074647,0.6516862170087977,0.6305525460455038,0.8533724340175953
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F2,2,1,1442,630,0.7515912111971226,0.6657072633912953,0.6034893267651888,0.5026881720430108,0.8904761904761904
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F2,2,2,1226,676,0.7819392146315224,0.7732669540655746,0.7177703066164605,0.7902350813743219,0.6464497041420119
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F2,3,0,1688,968,0.8323261019283746,0.8500821963870059,0.7482151056014692,0.7652011225444341,0.8450413223140496
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F2,3,1,1420,1017,0.7450000121995555,0.8415921877893757,0.5,0.7161971830985916,1.0
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F2,3,2,1583,1040,0.8450612693016009,0.8933154095135712,0.7630020186995325,0.8176369863013698,0.9182692307692307
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F2,4,0,1884,983,0.8275093910575229,0.8175049960048968,0.7458436031853384,0.7126341866226259,0.8779247202441506
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F2,4,1,1686,937,0.8013231444843569,0.7950151272205245,0.6788076025949933,0.6732438831886346,0.9103521878335112
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F2,4,2,1703,1004,0.7292503804524393,0.7405154444721513,0.6401725002707339,0.6726618705035972,0.9312749003984063
OpenBMI_ERP,SAFE_SWITCH,F0,0,0,1965,1254,0.6281558646648586,0.7343816486964863,0.5933872367916339,0.7231695085255767,0.5749601275917066
OpenBMI_ERP,SAFE_SWITCH,F0,0,1,1896,1141,0.6545774300456786,0.745796354392598,0.612342490321607,0.7227488151658767,0.5346187554776511
OpenBMI_ERP,SAFE_SWITCH,F0,0,2,2235,1388,0.6978095260777996,0.7879677339086915,0.6422268457243568,0.7568058076225045,0.600864553314121
OpenBMI_ERP,SAFE_SWITCH,F0,1,0,1337,639,0.6611355493675201,0.6414354224183013,0.606596759801086,0.5890625,0.5899843505477308
OpenBMI_ERP,SAFE_SWITCH,F0,1,1,1358,743,0.721914015910011,0.7445741153485133,0.6616704417380648,0.7257799671592775,0.594885598923284
OpenBMI_ERP,SAFE_SWITCH,F0,1,2,1293,632,0.6874820467645876,0.6887990452205751,0.6219072559796244,0.6192052980132451,0.5917721518987342
OpenBMI_ERP,SAFE_SWITCH,F0,2,0,1302,682,0.6602379150506102,0.6825981703614349,0.6190615835777127,0.675146771037182,0.5058651026392962
OpenBMI_ERP,SAFE_SWITCH,F0,2,1,1442,630,0.6178160919540229,0.5578895605520933,0.5717296113847838,0.5870206489675516,0.31587301587301586
OpenBMI_ERP,SAFE_SWITCH,F0,2,2,1226,676,0.6630177514792899,0.7156329065680007,0.6110301237224314,0.7189054726368159,0.4275147928994083
OpenBMI_ERP,SAFE_SWITCH,F0,3,0,1688,968,0.7240272038567493,0.7768687733774287,0.6629074839302111,0.7070506454816285,0.7355371900826446
OpenBMI_ERP,SAFE_SWITCH,F0,3,1,1420,1017,0.710555787347109,0.8624497967836313,0.6625554164806234,0.8702791461412152,0.5211406096361848
OpenBMI_ERP,SAFE_SWITCH,F0,3,2,1583,1040,0.7437615101289135,0.853832787441176,0.6715009208103131,0.7792207792207793,0.75
OpenBMI_ERP,SAFE_SWITCH,F0,4,0,1884,983,0.6743744658077437,0.6918642819479197,0.6312563298606838,0.6332429990966576,0.7131230925737538
OpenBMI_ERP,SAFE_SWITCH,F0,4,1,1686,937,0.6771960621989048,0.7157593047575497,0.6323066115902669,0.6730564430244942,0.6744930629669157
OpenBMI_ERP,SAFE_SWITCH,F0,4,2,1703,1004,0.6678650206042782,0.7306647770608498,0.617561228619143,0.6842619745845552,0.6972111553784861
OpenBMI_ERP,SAFE_SWITCH,F1,0,0,1965,1254,0.7807477394419433,0.8201164656448106,0.7734305076077228,0.8236173393124065,0.8787878787878788
OpenBMI_ERP,SAFE_SWITCH,F1,0,1,1896,1141,0.8311728412975721,0.8636428461854789,0.8089279184635297,0.8444252376836646,0.8562664329535495
OpenBMI_ERP,SAFE_SWITCH,F1,0,2,2235,1388,0.8219159671871225,0.840457255167708,0.791350809264092,0.8324137931034483,0.8695965417867435
OpenBMI_ERP,SAFE_SWITCH,F1,1,0,1337,639,0.8651725699629167,0.8585988333068295,0.8423497047230855,0.8536184210526315,0.812206572769953
OpenBMI_ERP,SAFE_SWITCH,F1,1,1,1358,743,0.8704220420400703,0.873042303600995,0.8330400814102353,0.85,0.8465679676985195
OpenBMI_ERP,SAFE_SWITCH,F1,1,2,1293,632,0.8658534249985638,0.8420965288405075,0.8454860778643789,0.8343653250773994,0.8528481012658228
OpenBMI_ERP,SAFE_SWITCH,F1,2,0,1302,682,0.7647597199886482,0.76561594111262,0.7254398826979472,0.7407407407407407,0.7331378299120235
OpenBMI_ERP,SAFE_SWITCH,F1,2,1,1442,630,0.7631147861443428,0.7236795926249281,0.74064039408867,0.7818181818181819,0.6142857142857143
OpenBMI_ERP,SAFE_SWITCH,F1,2,2,1226,676,0.7854168908015061,0.8104367855658401,0.7502071005917159,0.8009868421052632,0.7204142011834319
OpenBMI_ERP,SAFE_SWITCH,F1,3,0,1688,968,0.8459194214876032,0.8390239296692017,0.8161386593204776,0.8118721461187215,0.9183884297520661
OpenBMI_ERP,SAFE_SWITCH,F1,3,1,1420,1017,0.8419962376570997,0.9113519121896873,0.7906214697536422,0.8805093046033301,0.8839724680432645
OpenBMI_ERP,SAFE_SWITCH,F1,3,2,1583,1040,0.8495378240543988,0.8691590155433597,0.821852422439439,0.8661202185792349,0.9144230769230769
OpenBMI_ERP,SAFE_SWITCH,F1,4,0,1884,983,0.8366413265242756,0.8094868900201061,0.8001361661000607,0.7852474323062558,0.8555442522889115
OpenBMI_ERP,SAFE_SWITCH,F1,4,1,1686,937,0.8225880683315926,0.8198332401278746,0.7977922893990279,0.8089887640449438,0.8452508004268944
OpenBMI_ERP,SAFE_SWITCH,F1,4,2,1703,1004,0.8018298764883242,0.8131842710620681,0.7625079082810389,0.7755803955288049,0.898406374501992
OpenBMI_ERP,SAFE_SWITCH,F2,0,0,1965,1254,0.762012754684307,0.8113662097476448,0.6667406913909246,0.7333333333333333,0.9298245614035088
OpenBMI_ERP,SAFE_SWITCH,F2,0,1,1896,1141,0.8205268992576512,0.8527115002408565,0.6200352891329205,0.6687116564417178,0.9553023663453112
OpenBMI_ERP,SAFE_SWITCH,F2,0,2,2235,1388,0.8364213072753812,0.8730091026804715,0.7426435563388668,0.8657718120805369,0.6505763688760807
OpenBMI_ERP,SAFE_SWITCH,F2,1,0,1337,639,0.8443596952616688,0.8253331152182919,0.7247837550614096,0.6523255813953488,0.8779342723004695
OpenBMI_ERP,SAFE_SWITCH,F2,1,1,1358,743,0.8351136351202004,0.8416929953939517,0.5675890971561128,0.5840779853777417,0.9676985195154778
OpenBMI_ERP,SAFE_SWITCH,F2,1,2,1293,632,0.8350097665600644,0.8336922807643972,0.6665318179206803,0.6025369978858351,0.9018987341772152
OpenBMI_ERP,SAFE_SWITCH,F2,2,0,1302,682,0.7297110017973701,0.6839841525074647,0.6516862170087977,0.6305525460455038,0.8533724340175953
OpenBMI_ERP,SAFE_SWITCH,F2,2,1,1442,630,0.7515912111971226,0.6657072633912953,0.6034893267651888,0.5026881720430108,0.8904761904761904
OpenBMI_ERP,SAFE_SWITCH,F2,2,2,1226,676,0.7819392146315224,0.7732669540655746,0.7177703066164605,0.7902350813743219,0.6464497041420119
OpenBMI_ERP,SAFE_SWITCH,F2,3,0,1688,968,0.8323261019283746,0.8500821963870059,0.7482151056014692,0.7652011225444341,0.8450413223140496
OpenBMI_ERP,SAFE_SWITCH,F2,3,1,1420,1017,0.7450000121995555,0.8415921877893757,0.5,0.7161971830985916,1.0
OpenBMI_ERP,SAFE_SWITCH,F2,3,2,1583,1040,0.8450612693016009,0.8933154095135712,0.7630020186995325,0.8176369863013698,0.9182692307692307
OpenBMI_ERP,SAFE_SWITCH,F2,4,0,1884,983,0.8275093910575229,0.8175049960048968,0.7458436031853384,0.7126341866226259,0.8779247202441506
OpenBMI_ERP,SAFE_SWITCH,F2,4,1,1686,937,0.8013231444843569,0.7950151272205245,0.6788076025949933,0.6732438831886346,0.9103521878335112
OpenBMI_ERP,SAFE_SWITCH,F2,4,2,1703,1004,0.7292503804524393,0.7405154444721513,0.6401725002707339,0.6726618705035972,0.9312749003984063
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F0,0,0,121,71,0.6828169014084507,0.7403614596597452,0.5714084507042254,0.6333333333333333,0.8028169014084507
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F0,0,1,108,49,0.6184711172604637,0.5335097651070763,0.613109650639917,0.5454545454545454,0.7346938775510204
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F0,0,2,127,51,0.6099071207430341,0.4985032016074027,0.5535345717234262,0.44047619047619047,0.7254901960784313
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F0,1,0,132,74,0.5913327120223673,0.6857483503495903,0.5472972972972974,0.6027397260273972,0.5945945945945946
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F0,1,1,139,56,0.6037005163511187,0.4863262877454015,0.5717512908777969,0.4714285714285714,0.5892857142857143
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F0,1,2,135,64,0.6423855633802817,0.6166836747940709,0.6027728873239437,0.5675675675675675,0.65625
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F0,2,0,171,82,0.5630309673883256,0.5501391863769913,0.5563853110441217,0.5221238938053098,0.7195121951219512
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F0,2,1,202,85,0.6005027652086475,0.47892168654227296,0.5767219708396178,0.49074074074074076,0.6235294117647059
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F0,2,2,198,94,0.5675122749590834,0.5627050076709079,0.5475654664484452,0.5287356321839081,0.48936170212765956
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F0,3,0,159,67,0.6807268007787152,0.5982854208832624,0.6333549643088903,0.5402298850574713,0.7014925373134329
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F0,3,1,159,65,0.6780687397708675,0.605157624497515,0.5765139116202946,0.5084745762711864,0.46153846153846156
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F0,3,2,166,74,0.6424794359576969,0.5497033420748094,0.6435076380728555,0.5795454545454546,0.6891891891891891
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F0,4,0,129,77,0.6253746253746253,0.7227051040857995,0.6066433566433567,0.6901408450704225,0.6363636363636364
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F0,4,1,137,36,0.5981848184818481,0.33316783872020506,0.5567931793179318,0.34210526315789475,0.3611111111111111
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F0,4,2,147,78,0.5178372352285396,0.5343503909055056,0.4908026755852843,0.5211267605633803,0.47435897435897434
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F1,0,0,121,71,0.6661971830985915,0.7226417075236153,0.6095774647887324,0.6559139784946236,0.8591549295774648
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F1,0,1,108,49,0.62331373227257,0.5463202011652148,0.613109650639917,0.5454545454545454,0.7346938775510204
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F1,0,2,127,51,0.605263157894737,0.49675222878300024,0.5370227038183695,0.42696629213483145,0.7450980392156863
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F1,1,0,132,74,0.6027493010251631,0.6950212316545992,0.5878378378378378,0.6329113924050633,0.6756756756756757
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F1,1,1,139,56,0.6402753872633391,0.5157203117530567,0.5898235800344234,0.4925373134328358,0.5892857142857143
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F1,1,2,135,64,0.652068661971831,0.6446846903374819,0.6105853873239437,0.5733333333333334,0.671875
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F1,2,0,171,82,0.5511098931214031,0.5522852972655572,0.5268566730611126,0.5,0.6829268292682927
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F1,2,1,202,85,0.611764705882353,0.48786785485223216,0.5595776772247361,0.4838709677419355,0.5294117647058824
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F1,2,2,198,94,0.5693535188216039,0.5718549610261479,0.5490998363338788,0.5268817204301075,0.5212765957446809
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F1,3,0,159,67,0.6721284879948086,0.6039464167105566,0.6143737832576249,0.5308641975308642,0.6417910447761194
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F1,3,1,159,65,0.6725040916530277,0.6015086460494492,0.6120294599018004,0.5373134328358209,0.5538461538461539
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F1,3,2,166,74,0.6621621621621622,0.5568681263569417,0.6395417156286722,0.5853658536585366,0.6486486486486487
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F1,4,0,129,77,0.5839160839160839,0.6897619031352649,0.5422077922077921,0.6338028169014085,0.5844155844155844
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F1,4,1,137,36,0.5354785478547855,0.32286786562231606,0.5034378437843785,0.265625,0.4722222222222222
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F1,4,2,147,78,0.3959494611668525,0.4694582515486506,0.43450390189520627,0.4666666666666667,0.44871794871794873
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F2,0,0,121,71,0.5022535211267606,0.5767138034923456,0.5347887323943662,0.6055045871559633,0.9295774647887324
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F2,0,1,108,49,0.4261501210653753,0.4032219145816099,0.47077135939121406,0.43529411764705883,0.7551020408163265
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F2,0,2,127,51,0.6021671826625387,0.46673529679125897,0.5691434468524251,0.43859649122807015,0.9803921568627451
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F2,1,0,132,74,0.434995340167754,0.5425002531085891,0.49324324324324326,0.5572519083969466,0.9864864864864865
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F2,1,1,139,56,0.6607142857142858,0.5685800604827336,0.626828743545611,0.6097560975609756,0.44642857142857145
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F2,1,2,135,64,0.5321302816901409,0.593243435240238,0.5144146126760564,0.4868421052631579,0.578125
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F2,2,0,171,82,0.42888462592491094,0.4839301972947696,0.4990408331049603,0.47904191616766467,0.975609756097561
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F2,2,1,202,85,0.5432880844645551,0.4737280401335166,0.5195575666163902,0.4369747899159664,0.611764705882353
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F2,2,2,198,94,0.5232201309328969,0.5415962675762258,0.5217880523731587,0.8333333333333334,0.05319148936170213
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F2,3,0,159,67,0.4750162232316677,0.40434854757831723,0.4660934458144062,0.40397350993377484,0.9104477611940298
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F2,3,1,159,65,0.5423895253682488,0.4395431805447517,0.546481178396072,0.44680851063829785,0.6461538461538462
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F2,3,2,166,74,0.5471504112808461,0.4971336754386032,0.5318742655699178,0.4672131147540984,0.7702702702702703
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F2,4,0,129,77,0.5434565434565435,0.6361396032111648,0.5223526473526473,0.608,0.987012987012987
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F2,4,1,137,36,0.5624312431243124,0.3873488297999046,0.5501925192519252,0.29411764705882354,0.6944444444444444
OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F2,4,2,147,78,0.5815681902638424,0.6160141658650533,0.5537904124860646,0.6078431372549019,0.3974358974358974
OpenBMI_MI,SAFE_SWITCH,F0,0,0,121,71,0.6828169014084507,0.7403614596597452,0.5714084507042254,0.6333333333333333,0.8028169014084507
OpenBMI_MI,SAFE_SWITCH,F0,0,1,108,49,0.6184711172604637,0.5335097651070763,0.613109650639917,0.5454545454545454,0.7346938775510204
OpenBMI_MI,SAFE_SWITCH,F0,0,2,127,51,0.6099071207430341,0.4985032016074027,0.5535345717234262,0.44047619047619047,0.7254901960784313
OpenBMI_MI,SAFE_SWITCH,F0,1,0,132,74,0.5913327120223673,0.6857483503495903,0.5472972972972974,0.6027397260273972,0.5945945945945946
OpenBMI_MI,SAFE_SWITCH,F0,1,1,139,56,0.6037005163511187,0.4863262877454015,0.5717512908777969,0.4714285714285714,0.5892857142857143
OpenBMI_MI,SAFE_SWITCH,F0,1,2,135,64,0.6423855633802817,0.6166836747940709,0.6027728873239437,0.5675675675675675,0.65625
OpenBMI_MI,SAFE_SWITCH,F0,2,0,171,82,0.5630309673883256,0.5501391863769913,0.5563853110441217,0.5221238938053098,0.7195121951219512
OpenBMI_MI,SAFE_SWITCH,F0,2,1,202,85,0.6005027652086475,0.47892168654227296,0.5767219708396178,0.49074074074074076,0.6235294117647059
OpenBMI_MI,SAFE_SWITCH,F0,2,2,198,94,0.5675122749590834,0.5627050076709079,0.5475654664484452,0.5287356321839081,0.48936170212765956
OpenBMI_MI,SAFE_SWITCH,F0,3,0,159,67,0.6807268007787152,0.5982854208832624,0.6333549643088903,0.5402298850574713,0.7014925373134329
OpenBMI_MI,SAFE_SWITCH,F0,3,1,159,65,0.6780687397708675,0.605157624497515,0.5765139116202946,0.5084745762711864,0.46153846153846156
OpenBMI_MI,SAFE_SWITCH,F0,3,2,166,74,0.6424794359576969,0.5497033420748094,0.6435076380728555,0.5795454545454546,0.6891891891891891
OpenBMI_MI,SAFE_SWITCH,F0,4,0,129,77,0.6253746253746253,0.7227051040857995,0.6066433566433567,0.6901408450704225,0.6363636363636364
OpenBMI_MI,SAFE_SWITCH,F0,4,1,137,36,0.5981848184818481,0.33316783872020506,0.5567931793179318,0.34210526315789475,0.3611111111111111
OpenBMI_MI,SAFE_SWITCH,F0,4,2,147,78,0.5178372352285396,0.5343503909055056,0.4908026755852843,0.5211267605633803,0.47435897435897434
OpenBMI_MI,SAFE_SWITCH,F1,0,0,121,71,0.6661971830985915,0.7226417075236153,0.6095774647887324,0.6559139784946236,0.8591549295774648
OpenBMI_MI,SAFE_SWITCH,F1,0,1,108,49,0.62331373227257,0.5463202011652148,0.613109650639917,0.5454545454545454,0.7346938775510204
OpenBMI_MI,SAFE_SWITCH,F1,0,2,127,51,0.605263157894737,0.49675222878300024,0.5370227038183695,0.42696629213483145,0.7450980392156863
OpenBMI_MI,SAFE_SWITCH,F1,1,0,132,74,0.6027493010251631,0.6950212316545992,0.5878378378378378,0.6329113924050633,0.6756756756756757
OpenBMI_MI,SAFE_SWITCH,F1,1,1,139,56,0.6402753872633391,0.5157203117530567,0.5898235800344234,0.4925373134328358,0.5892857142857143
OpenBMI_MI,SAFE_SWITCH,F1,1,2,135,64,0.652068661971831,0.6446846903374819,0.6105853873239437,0.5733333333333334,0.671875
OpenBMI_MI,SAFE_SWITCH,F1,2,0,171,82,0.5511098931214031,0.5522852972655572,0.5268566730611126,0.5,0.6829268292682927
OpenBMI_MI,SAFE_SWITCH,F1,2,1,202,85,0.611764705882353,0.48786785485223216,0.5595776772247361,0.4838709677419355,0.5294117647058824
OpenBMI_MI,SAFE_SWITCH,F1,2,2,198,94,0.5693535188216039,0.5718549610261479,0.5490998363338788,0.5268817204301075,0.5212765957446809
OpenBMI_MI,SAFE_SWITCH,F1,3,0,159,67,0.6721284879948086,0.6039464167105566,0.6143737832576249,0.5308641975308642,0.6417910447761194
OpenBMI_MI,SAFE_SWITCH,F1,3,1,159,65,0.6725040916530277,0.6015086460494492,0.6120294599018004,0.5373134328358209,0.5538461538461539
OpenBMI_MI,SAFE_SWITCH,F1,3,2,166,74,0.6621621621621622,0.5568681263569417,0.6395417156286722,0.5853658536585366,0.6486486486486487
OpenBMI_MI,SAFE_SWITCH,F1,4,0,129,77,0.5839160839160839,0.6897619031352649,0.5422077922077921,0.6338028169014085,0.5844155844155844
OpenBMI_MI,SAFE_SWITCH,F1,4,1,137,36,0.5354785478547855,0.32286786562231606,0.5034378437843785,0.265625,0.4722222222222222
OpenBMI_MI,SAFE_SWITCH,F1,4,2,147,78,0.3959494611668525,0.4694582515486506,0.43450390189520627,0.4666666666666667,0.44871794871794873
OpenBMI_MI,SAFE_SWITCH,F2,0,0,121,71,0.5022535211267606,0.5767138034923456,0.5347887323943662,0.6055045871559633,0.9295774647887324
OpenBMI_MI,SAFE_SWITCH,F2,0,1,108,49,0.4261501210653753,0.4032219145816099,0.47077135939121406,0.43529411764705883,0.7551020408163265
OpenBMI_MI,SAFE_SWITCH,F2,0,2,127,51,0.6021671826625387,0.46673529679125897,0.5691434468524251,0.43859649122807015,0.9803921568627451
OpenBMI_MI,SAFE_SWITCH,F2,1,0,132,74,0.434995340167754,0.5425002531085891,0.49324324324324326,0.5572519083969466,0.9864864864864865
