comparison,task,target,feature_family,heldout_fold,evaluation_scope,n_rows,n_rescue,ROC_AUC,PR_AUC,balanced_accuracy,precision_RESCUE,recall_RESCUE
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,F0,2,seed0,76,45,0.7290322580645162,0.7770255822538417,0.6537634408602151,0.7741935483870968,0.5333333333333333
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,65,34,0.6119544592030361,0.6013164114474007,0.603415559772296,0.6428571428571429,0.5294117647058824
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,21,16,0.8374999999999999,0.9485233709788663,0.6375,0.8235294117647058,0.875
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,100,71,0.5526954832442933,0.7506739255098404,0.5308402136959689,0.7301587301587301,0.647887323943662
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,F1,1,seed0,95,55,0.8118181818181818,0.8751501097068317,0.7181818181818181,0.7419354838709677,0.8363636363636363
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,F1,2,seed0,76,45,0.6265232974910394,0.7205937962843821,0.6053763440860215,0.7058823529411765,0.5333333333333333
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,F1,3,seed0,65,34,0.5123339658444023,0.5109931891423166,0.48576850094876656,0.5,0.29411764705882354
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,F1,4,seed0,21,16,0.825,0.9416212351245247,0.7375,0.875,0.875
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,F2,0,seed0,100,71,0.626517727051967,0.7993306843502239,0.5675084992714909,0.7439024390243902,0.8591549295774648
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,F2,1,seed0,95,55,0.7172727272727272,0.7966362808637093,0.5352272727272727,0.5977011494252874,0.9454545454545454
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,F2,2,seed0,76,45,0.5670250896057347,0.6271912931032164,0.471326164874552,0.5681818181818182,0.5555555555555556
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,F2,3,seed0,65,34,0.7760910815939279,0.7666204190729258,0.7357685009487666,0.7297297297297297,0.7941176470588235
X,OpenBMI_SSVEP,CLEAN_RESCUE_VS_HARM,F2,4,seed0,21,16,0.6,0.8051815474150034,0.66875,0.8333333333333334,0.9375
X,OpenBMI_SSVEP,SAFE_SWITCH,F0,0,seed0,136,71,0.7300108342361864,0.7450899266790828,0.6167930660888408,0.6063829787234043,0.8028169014084507
X,OpenBMI_SSVEP,SAFE_SWITCH,F0,1,seed0,109,55,0.8222222222222223,0.8702811150728,0.7518518518518519,0.7333333333333333,0.8
X,OpenBMI_SSVEP,SAFE_SWITCH,F0,2,seed0,109,45,0.7211805555555555,0.6501888926682837,0.6663194444444445,0.6875,0.4888888888888889
X,OpenBMI_SSVEP,SAFE_SWITCH,F0,3,seed0,72,34,0.6749226006191951,0.6396200295563607,0.6478328173374612,0.6551724137931034,0.5588235294117647
X,OpenBMI_SSVEP,SAFE_SWITCH,F0,4,seed0,22,16,0.90625,0.9686855005159959,0.71875,0.8333333333333334,0.9375
X,OpenBMI_SSVEP,SAFE_SWITCH,F1,0,seed0,136,71,0.5765980498374864,0.615575318935356,0.5367280606717226,0.5494505494505495,0.704225352112676
X,OpenBMI_SSVEP,SAFE_SWITCH,F1,1,seed0,109,55,0.7387205387205388,0.8017754226262687,0.6230639730639731,0.609375,0.7090909090909091
X,OpenBMI_SSVEP,SAFE_SWITCH,F1,2,seed0,109,45,0.6604166666666667,0.5959199806644262,0.6083333333333334,0.5675675675675675,0.4666666666666667
X,OpenBMI_SSVEP,SAFE_SWITCH,F1,3,seed0,72,34,0.5882352941176471,0.5139845831871175,0.531733746130031,0.5217391304347826,0.35294117647058826
X,OpenBMI_SSVEP,SAFE_SWITCH,F1,4,seed0,22,16,0.8541666666666667,0.9416212351245246,0.7395833333333333,0.8666666666666667,0.8125
X,OpenBMI_SSVEP,SAFE_SWITCH,F2,0,seed0,136,71,0.572264355362947,0.5856022632487299,0.5469122426868906,0.5523809523809524,0.8169014084507042
X,OpenBMI_SSVEP,SAFE_SWITCH,F2,1,seed0,109,55,0.6707070707070706,0.7168226954677116,0.4920875420875421,0.5,0.8545454545454545
X,OpenBMI_SSVEP,SAFE_SWITCH,F2,2,seed0,109,45,0.6274305555555556,0.5197159376872796,0.5548611111111111,0.48717948717948717,0.4222222222222222
X,OpenBMI_SSVEP,SAFE_SWITCH,F2,3,seed0,72,34,0.718266253869969,0.7021559793657474,0.6981424148606811,0.65,0.7647058823529411
X,OpenBMI_SSVEP,SAFE_SWITCH,F2,4,seed0,22,16,0.65625,0.8175145014299428,0.5208333333333334,0.7368421052631579,0.875
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,F0,0,seed0,257,127,0.5334948516050878,0.5659839686737673,0.5067231980617808,0.5,0.5826771653543307
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,F0,1,seed0,218,118,0.7029661016949151,0.741674978357761,0.5963559322033899,0.8157894736842105,0.2627118644067797
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,F0,2,seed0,170,87,0.4981304528458662,0.5321145918035682,0.48400498545907766,0.4931506849315068,0.41379310344827586
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,F0,3,seed0,180,68,0.6200105042016807,0.5113327068685086,0.6024159663865546,0.49333333333333335,0.5441176470588235
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,F0,4,seed0,156,70,0.570265780730897,0.5148682933421926,0.5166112956810631,0.46875,0.42857142857142855
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,F1,0,seed0,257,127,0.5410054512416718,0.5688871194908168,0.5188067837674137,0.5095541401273885,0.6299212598425197
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,F1,1,seed0,218,118,0.7068644067796609,0.7467815373087257,0.6048305084745763,0.825,0.2796610169491525
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,F1,2,seed0,170,87,0.4625398144301343,0.4911903077825699,0.4949452984351198,0.5063291139240507,0.45977011494252873
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,F1,3,seed0,180,68,0.6752888655462185,0.5284450683745443,0.6817226890756303,0.550561797752809,0.7205882352941176
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,F1,4,seed0,156,70,0.510797342192691,0.501621664030898,0.4883720930232558,0.4375,0.5
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,F2,0,seed0,257,127,0.6405208964264082,0.6088583049694489,0.5560266505148395,0.7058823529411765,0.1889763779527559
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,F2,1,seed0,218,118,0.5449999999999999,0.6205793888112618,0.5511016949152543,0.6071428571428571,0.4322033898305085
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,F2,2,seed0,170,87,0.5914693255781747,0.5842495630049189,0.5317823016202742,0.5294117647058824,0.9310344827586207
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,F2,3,seed0,180,68,0.5731355042016807,0.42873918269905076,0.551733193277311,0.41044776119402987,0.8088235294117647
X,WBCIC_MI,CLEAN_RESCUE_VS_HARM,F2,4,seed0,156,70,0.4287375415282392,0.4235264379406704,0.4606312292358804,0.41379310344827586,0.5142857142857142
X,WBCIC_MI,SAFE_SWITCH,F0,0,seed0,257,127,0.5334948516050878,0.5659839686737673,0.5067231980617808,0.5,0.5826771653543307
