"chronological_index","stage","branch","commit_sha","local_experiment_path","dataset","biological_subject_count","sessions","task","backbone","seed_count","split_protocol","training_role","validation_role","future_outer_role","intervention","primary_hypothesis","primary_metric","statistical_unit","exact_primary_result","exact_effect_size","confidence_interval","p_or_permutation","controls","protocol_frozen_before_outcome","prospective_status","evidence_class","validator_status","exact_terminal","scientific_interpretation","stronger_not_justified","manuscript_role","authoritative_source"
"7","SIGNED_V3_1_REPRODUCIBILITY_REPAIR","codex/persist-eeg-p3-p4","c7e68c18301da6c04100686f59e9523b1d7d9575","experiments/persist_eeg_p4_signed_v3_1","OpenBMI","NOT_REPORTED","MI/ERP/SSVEP development sessions; primary protected-random result is MI","MI; ERP; SSVEP","EEGNet","2","6 fold-seed runs; 10,000-draw hierarchical bootstrap; deterministic SHA256-derived assignments persisted","Reproduce protected assignments; no suppression-method training","Protected-versus-same-rank-random erasure consequence over 6 runs","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Erase deterministic protected blocks and matched-rank random blocks","Protected assignments are reproducible and their erasure is more harmful than matched-rank random erasure","Protected-minus-random MI BA harm","Biological subject under hierarchical bootstrap; 6 runs are repeated analysis units, not subjects","Protected-minus-random MI harm mean 0.095924479; positive in 6/6 runs; deterministic assignments persisted","Protected-minus-random MI BA harm=0.095924479","[0.067918113,0.123013600]","NOT_REPORTED; directional consistency 6/6","Same-rank random erasure; deterministic replay and per-run spectrum audits","YES; Signed V3.1 protocol and deterministic seeds","DEVELOPMENT_ONLY; outer=false","AUTHORITATIVE_REPRODUCIBILITY_REPAIR_PRIMARY_CONSEQUENCE","Per-run spectrum audits present; 6/6 assignment and harm-direction reproduction","PERSISTENCE_UTILITY_ASSIGNMENT_REPRODUCIBLE","Protected persistent structure has task consequence relative to matched random removal","Does not overturn V3 no-actionable-headroom and does not show suppression is beneficial","PRIMARY_PROTECTED_ASSIGNMENT_CONSEQUENCE_EVIDENCE","experiments/persist_eeg_p4_signed_v3_1/results_v3_1/SIGNED_V3_1_FINAL_REPORT.json; experiments/persist_eeg_p4_signed_v3_1/results_v3_1/protocol/SIGNED_V3_1_PROTOCOL.json"
"8","P5_ICG","codex/persist-eeg-p3-p4","dec3c092088bc0d3b87ef8252673514740d48b78","experiments/persist_eeg_p5_icg","OpenBMI","23","2 repeated MI sessions","MI","Frozen E0 adapter plus historical EEGNet head","2","23 distinct development subjects represented by 54 subject-run rows; 3 folds x 2 seeds; 10,000-draw hierarchical subject-run bootstrap","Strict-inductive geometry-to-decoding development","V0-V2 Delta BA and run-direction checks","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Convert canonical protected geometry into an inductive decoding feature","Protected geometry yields strict-inductive decoding gain","Delta balanced accuracy versus baseline","23 biological subjects; 54 subject-run rows are repeated measurements","V0 Delta BA -0.001481481 (1/6); V1 -0.001296296 (2/6); V2 -0.000925926 (2/6)","V2 Delta BA=-0.000925926","V0 [-0.006759259,0.003333333]; V2 [-0.004629630,0.002037037]","NOT_REPORTED","V0-V2 inductive versions; historical task head","YES; P5_METHOD_PROTOCOL present","DEVELOPMENT_ONLY; V3 and secondary tasks not authorized; outer=false","SUPERSEDED_NEGATIVE_TRANSLATION_HISTORY","STANDALONE_VALIDATOR_NOT_IDENTIFIED","PERSIST_ICG_REPRESENTATION_ONLY","Geometry did not translate into strict-inductive accuracy gain","No decoding-benefit or method claim","HISTORY_ONLY_NEGATIVE_TRANSLATION","experiments/persist_eeg_p5_icg/outputs/PERSIST_ICG_FINAL_REPORT.json; experiments/persist_eeg_p5_icg/outputs/protocol/P5_METHOD_PROTOCOL.json"
"9","P5_1_P6_FUSION","codex/persist-eeg-p3-p4","41b156aded19937e6890401f5fbacee8ee8fc1f0","experiments/persist_eeg_p5_1_p6","OpenBMI","23","2 repeated MI sessions","MI","EEGNet lineage","2","23 distinct subjects; 54 subject-run rows; 3 folds x 2 seeds; 10,000-draw hierarchical subject-run bootstrap","Train-only nested tuning and scalar decision fusion","P5.1 V1/V2 and P6 fusion against frozen baseline; oracle diagnostic only","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Protected-geometry decision fusion","Nested tuning or scalar fusion converts protected geometry into realized decision gain","Delta balanced accuracy and positive-run count","23 biological subjects; subject-run rows are repeated measurements","P5.1 V1 Delta BA -0.000648148 (3/6); V2 -0.001851852 (0/6); P6 fusion -0.001018519 (0/6); oracle-union gain +0.061296296 is unrealized","Best realized P5.1 Delta BA=-0.000648148","V1 [-0.002592593,0.000925926]; V2 [-0.004351852,-0.000092593]; P6 [-0.003611111,0]","NOT_REPORTED","V1/V2 nested variants; scalar P6 fusion; unrealized oracle union","YES; P5_1_P6_PROTOCOL present","DEVELOPMENT_ONLY; V3 not authorized; outer=false","AUTHORITATIVE_NEGATIVE_FUSION_CLOSURE_HISTORY","REPRODUCIBILITY_AUDIT exists; exact pass field NOT_REPORTED","PERSISTENCE_GEOMETRY_HAS_NO_DECISION_FUSION_HEADROOM","Protected geometry had no realized decision-fusion headroom","Oracle union is not realized gain and cannot support a deployable router","HISTORY_ONLY_LIMITATION_COUNTEREXAMPLE","experiments/persist_eeg_p5_1_p6/outputs/P5_1_P6_FINAL_REPORT.json; experiments/persist_eeg_p5_1_p6/outputs/protocol/P5_1_P6_PROTOCOL.json"
"10","PERSIST_ROUTER","codex/persist-eeg-p3-p4","b0a8c184619b697fd1b3342c5acdfa033a5df85d","experiments/persist_eeg_router","OpenBMI","54","2 repeated MI sessions","MI","EEGNet","2","54 subjects; 10,800 trial rows; 6 fold-seed runs; TRAIN-only subject-cross-fitted routing","Train-only router selection over KEEP/erase/geometry/amplify actions","Subject-cross-fitted development performance summarized by run/subject","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Route legal actions using training-observable persistence/decision/geometry features","Legal observables can route beneficial actions across subjects","Selected-router Delta BA, positive-run count, action rate, and lock gate","54 biological subjects; 10,800 trial decisions and 6 runs are not independent people","Diagnostic all-action oracle headroom +0.118700980; selected R0 Delta BA -0.000465686 (1/6), action rate 0.408774510; matched-random same-rank mean +0.000012255; no lock","Selected R0 Delta BA=-0.000465686","NOT_REPORTED","NOT_REPORTED","KEEP/erase/geometry/amplify action set; all-action oracle; matched-random same-rank control","YES; ROUTER_PROTOCOL and subject-fold freeze present","TRAIN_ONLY_DEVELOPMENT; R1-R3 not authorized; validation/external/outer=false","NEGATIVE_ROUTER_CLOSURE_HISTORY","Audit authorized R0; no lock obtained","PERSIST_ROUTER_NO_ROUTEABLE_HEADROOM","Oracle complementarity was not routeable using legal observables","No deployable routing or prospective actionability claim","HISTORY_ONLY","experiments/persist_eeg_router/outputs/final/PERSIST_ROUTER_FINAL_REPORT.json; experiments/persist_eeg_router/outputs/protocol/ROUTER_PROTOCOL.json"
"11","PERSIST_COUNTERFACTUAL_AUGMENTATION","codex/persist-eeg-p3-p4","39c35b43f4a5112e1a774190f4ec444e36719b15","experiments/persist_eeg_cf","OpenBMI","52","2 repeated MI sessions","MI","EEGNet","NOT_REPORTED","Outer-TRAIN only; six fold-seed train pools each n=34, union 52 IDs; 30 subject-disjoint inner-fold evaluations","Train-time counterfactual augmentation","Natural and stress-bank robust Delta BA on subject-disjoint inner folds","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","CF0 and CF1-HARD protected-offset augmentation","Protected-offset counterfactual augmentation improves natural and robust decisions","Natural and robust Delta BA against +0.005/+0.020 gates","52 biological subjects; report CI unit subject_run denotes repeated measurements","CF0 natural Delta BA +0.000496032, robust +0.000270833; CF1-HARD natural -0.000031746, robust +0.000411045; all below gates","Best robust Delta BA=+0.000411045","NOT_REPORTED","NOT_REPORTED","CF0 versus CF1-HARD; random-control freeze; stress-bank freeze; natural and robust gates","YES; PERSIST_CF_PROTOCOL, RANDOM_CONTROL_FREEZE, and STRESS_BANK_FREEZE present","TRAIN_ONLY_DEVELOPMENT; no lock; validation and outer=false","NEGATIVE_COUNTERFACTUAL_METHOD_CLOSURE","Phase-A structural audit passed; scientific gain gates failed","PERSIST_CF_NOT_SUPPORTED","Geometric headroom did not yield useful counterfactual augmentation","No natural/robust benefit or constructive method claim","HISTORY_ONLY","experiments/persist_eeg_cf/outputs/final/PERSIST_CF_FINAL_REPORT.json; experiments/persist_eeg_cf/outputs/protocol/PERSIST_CF_PROTOCOL.json"
"12","DECISION_DEPENDENCE_AUDIT","codex/persist-eeg-p3-p4","78f010644e86639d44a844558ab37bd865815082","experiments/persist_eeg_dda_v1","OpenBMI outer-TRAIN representations","NOT_REPORTED_FOR_ANALYSIS","2 repeated MI sessions","MI","EEGNet lineage","NOT_REPORTED; 6 fold-seed runs reported","Frozen outer-TRAIN indices; LORO held intervention consequence; no outer outcome","Mechanism audit precursor; AGDI training not authorized","Frozen DDA-A/B/C conjunction with held-consequence prediction","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Measure decision dependence through Jacobian and finite-logit perturbations, then predict held intervention consequence","Behavioral-null, decision-dependence, and consequence-prediction clauses form a consistent A/B/C actionability chain","DDA-A/B/C gate conjunction; DDA-C LORO RMSE improvement","Biological subject/run for held consequence; run-clustered inference; exact distinct analysis n not reported","DDA-A failed: representation movement 0.227604, flip rate 0.017725, total variation 0.013083, matched-random logit ratio 1.009803; DDA-B passed: Jacobian ratio 3.445844 and finite-logit ratio 1.679936, 5/6 protected>matched, 6/6 sign agreement; DDA-C passed: baseline RMSE 0.04597840, full RMSE 0.03149284, 31.5051% improvement, 6/6 runs improved","DDA-C relative RMSE improvement=31.5051%","Jacobian ratio [2.624825,4.289905]; finite-logit ratio [1.566798,1.799979]; DDA-C relative improvement [22.8293%,40.9711%]","DDA-C permutation p=0.000200","Matched non-protected blocks; matched-random logit ratio; baseline versus full LORO predictor","YES; DDA_PROTOCOL_LOCK at start commit 1eca3976d62d38fb4291e217ca06add484babd41","FROZEN_DEVELOPMENT_MECHANISM_AUDIT; external and AGDI unauthorized; outer unused","FROZEN_PARTIAL_MECHANISM_EVIDENCE","PROVENANCE_AUDIT and OUTPUT_INTEGRITY_AUDIT present; DDA_A_FAIL, DDA_B_PASS, DDA_C_PASS","DDA_PARTIAL_MECHANISM_ONLY; STOP_AGDI_DDA_CHAIN_INCOMPLETE","Decision dependence and incremental consequence prediction are supported, but the complete frozen mechanism chain is not","DDA-B/C cannot override DDA-A, authorize AGDI, establish behavioral null/equivalence, or prove prospective actionability","SCOPED_MECHANISTIC_EVIDENCE_WITH_VISIBLE_DDA_A_FAILURE","experiments/persist_eeg_dda_v1/outputs/scientific_report.md; experiments/persist_eeg_dda_v1/outputs/protocol/DDA_PROTOCOL_LOCK.json; experiments/persist_eeg_dda_v1/outputs/results/DDA_A_RESULT.json; experiments/persist_eeg_dda_v1/outputs/results/DDA_B_RESULT.json; experiments/persist_eeg_dda_v1/outputs/results/DDA_C_RESULT.json"
"13","EXTERNAL_ACTIONABILITY","codex/persist-eeg-p3-p4","78f010644e86639d44a844558ab37bd865815082","experiments/persist_eeg_external_actionability_v1","EEGMMIDB repeated-run MI","15","Repeated runs; not independent session/site/device","MI four-class","NOT_REPORTED","NOT_REPORTED","15 confirmatory subjects; subject-disjoint frozen split; 100 random draws; 10,000 bootstrap draws","Frozen external repeated-run actionability audit","Four-block H1-H5 gate family with Holm correction","WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Erase candidate persistence blocks and compare random controls","An external repeated-run dataset contains a harmful actionable block","Number of four blocks passing H1-H5 under Holm correction","15 biological subjects; repeated runs are not independent subjects","0/4 blocks passed H1-H5; validation-context subject-mean BA 0.346; future-run baseline about 0.286 versus chance 0.25","Passing blocks=0/4","BLOCK_LEVEL_CI_NOT_REPORTED_IN_COMPACT_DECISION","Holm correction within four-block family; exact adjusted values not reported","100 matched-random draws; four-block multiplicity family; frozen data/split/actionability locks","YES; actionability, data, dataset-selection, and split locks present","PROSPECTIVELY_FROZEN_REPEATED_RUN_EXTERNAL; not independent-session/site/device confirmation","FROZEN_NEGATIVE_EXTERNAL_BOUNDARY","OUTPUT_INTEGRITY_AUDIT present; 0/4 gates passed","EXTERNAL_AUDIT_NO_ACTIONABLE_HARMFUL; NO_REAL_ACTIONABLE_HARMFUL_CASE","No actionable harmful block was identified in this weak repeated-run external setting","No independent-session replication and no general absence of harmful persistence","NEGATIVE_EXTERNAL_BOUNDARY_LIMITATION","experiments/persist_eeg_external_actionability_v1/outputs/FINAL_DECISION.json; experiments/persist_eeg_external_actionability_v1/outputs/protocol/EXTERNAL_AUDIT_PROTOCOL_LOCK.json"
"14","WBCIC_ACTIONABILITY","codex/wbcic-eegnet-actionability","61e4157817bc9c04f50471fb9dd6b865d74e21e4","experiments/persist_eeg_wbcic_actionability_v2","WBCIC development cohort","41","S1/S2 training and chronological S3 validation","Motor imagery","EEGNet","NOT_REPORTED","41 subjects; five subject-disjoint audit folds; S1/S2->S3; 10,000 subject-bootstrap draws; 100 random draws","Authorized WBCIC development only","Prospectively frozen S3 four-block H1-H5 actionability audit","WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Erase four predeclared persistence blocks","A WBCIC persistence block is harmful and actionable on later-session data","Four-block H1-H5 gate conjunction under Holm correction","41 biological subjects; folds/random draws are not people","Baseline subject BA 0.781893016; no block passed all H1-H5","Passing blocks=0/4","PER_BLOCK_EFFECT_CI_NOT_REPORTED_IN_COMPACT_DECISION","Holm correction within block family; exact adjusted values not reported","100 matched-random draws; four-block family; preprocessing/session/provenance locks","YES; actionability, data, preprocessing, session, basis, and outer locks present","WBCIC_S3=PROSPECTIVE_ALREADY_OBSERVED; WBCIC_OUTER_10=OUTER_UNTOUCHED","PROSPECTIVELY_FROZEN_NEGATIVE_ACTIONABILITY","Post-outcome reporting repair present; scientific no-actionable-block conclusion preserved","WBCIC_AUDIT_NO_ACTIONABLE_HARMFUL","No WBCIC block met the complete actionability gate","No AGDI authorization and no claim that persistence has no task consequence","NEGATIVE_ACTIONABILITY_EVIDENCE","experiments/persist_eeg_wbcic_actionability_v2/outputs/FINAL_DECISION.json; experiments/persist_eeg_wbcic_actionability_v2/outputs/protocol/ACTIONABILITY_PROTOCOL_LOCK.json"
"15","MULTIBACKBONE_FALSIFICATION_CLOSURE","codex/persist-eeg-multibackbone-final-closure","0eb295ff9c252edb053a50f7b3f80834d4158d92","experiments/persist_eeg_multibackbone_final_closure","OpenBMI and WBCIC authorized development","NOT_REPORTED_BY_DATASET_IN_COMPACT_FINAL","OpenBMI repeated sessions; WBCIC S1/S2->S3","Motor imagery and frozen task roster","EEGNet; DeepConvNet; EEGConformer; FBCNet; TeCh","NOT_REPORTED","Frozen five-backbone search; 16-target global family; multiplicity lock; no WBCIC outer opening","Development target qualification across competent backbones","H1-H5 plus global Holm FWER replication gate","WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Persistence-block erasure across frozen backbone/block targets","An actionable harmful target replicates across competent backbones under global multiplicity","Number of qualified targets surviving H1-H5 and Holm FWER","Biological subject by dataset; 16 targets/backbones are not biological replicates","Qualified targets before replication=[]; no backbone/block jointly survived H1-H5 and Holm FWER","Qualified targets=0","NOT_APPLICABLE_TO_EMPTY_QUALIFIED_SET","Holm FWER over 16-target family","Five frozen backbones; 16-target global multiplicity family; information and task locks","YES; protocol, backbone roster, task-search, multiplicity, AGDI, outer, and pre-outcome implementation locks present","FROZEN_DEVELOPMENT_FALSIFICATION; WBCIC_OUTER_10=OUTER_UNTOUCHED","STRONG_FROZEN_NEGATIVE_MULTIBACKBONE_BOUNDARY","Protocol/multiplicity audits present; MULTIBACKBONE_NO_REPLICATED_ACTIONABLE_TARGET=true","FINAL_MULTIBACKBONE_FALSIFICATION_CLOSURE; MULTIBACKBONE_NO_REPLICATED_ACTIONABLE_TARGET=true","No actionable target replicated across the frozen multibackbone family","Not a positive multibackbone generality result and not evidence that persistent structure is universally irrelevant","STRONG_NEGATIVE_BOUNDARY; APPENDIX_AT_MOST","experiments/persist_eeg_multibackbone_final_closure/outputs/FINAL_DECISION.json; experiments/persist_eeg_multibackbone_final_closure/outputs/protocol/MULTIBACKBONE_PROTOCOL_LOCK.json; experiments/persist_eeg_multibackbone_final_closure/outputs/protocol/MULTIBACKBONE_MULTIPLICITY_LOCK.json"
"16","PROSPECTIVE_ACTION_POLICY_V1","codex/persist-eeg-prospective-action-policy-v1","130373dd454a9bd2ccbd2b97008f5781fdf7c859","experiments/persist_eeg_prospective_action_policy_v1","OpenBMI and WBCIC historical development","OPENBMI=52; WBCIC=41","OpenBMI repeated MI sessions; WBCIC development sessions","MI action-policy prediction","Heterogeneous historical router/DDA/WBCIC pipelines","NOT_REPORTED; 6 OpenBMI router runs","Historical OpenBMI router: 52 subjects/40,800 decision units/6 runs; OpenBMI DDA: 215 block units; WBCIC: 80 block units; incompatible units not pooled","Exploratory policy learning on already-observed development evidence","Historical risk-policy and incremental-geometry diagnostics","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Predict KEEP/intervention benefit from persistence, decision, and geometry observables","Legal observables predict which intervention helps","Policy Delta BA, action rate, and incremental geometry R2","Biological subject for policy evaluation; sample/block/run rows are not people and are not pooled across semantics","Oracle gains: OpenBMI sample +0.118700980, OpenBMI DDA block +0.000632890, WBCIC block +0.001614211; best risk-policy Delta BA 0 with CI [0,0] and action rate 0; geometry Delta R2 -0.001359 for DDA and -0.201398 for WBCIC","Best realized risk-policy Delta BA=0","[0,0] for best risk policy","NOT_REPORTED","Oracle headroom; risk policy; incremental geometry features; separate action semantics","NO; exploratory development-only pilot and no policy lock","RETROSPECTIVE_HISTORICAL_DEVELOPMENT_ONLY","EXPLORATORY_POLICY_SEARCH_HISTORY","Pilot provenance audit present; no confirmatory policy lock","STOP_ACTIONABILITY_NOT_PREDICTABLE","Oracle headroom was not predictably exploitable by the tested legal policy","Oracle gain is not policy performance and does not establish prospective actionability","HISTORY_ONLY","experiments/persist_eeg_prospective_action_policy_v1/outputs/FINAL_DECISION.json"
"17","PROSPECTIVE_ACTION_POLICY_V2","codex/persist-eeg-prospective-action-policy-v2","22e30b089300658289788a09727d23e6239c59f7","experiments/persist_eeg_prospective_action_policy_v2","OpenBMI distinct policy holdout f033c6","12","NOT_REPORTED","MI action-policy evaluation","Frozen cross-run action-policy ensemble","NOT_REPORTED; 6 runs","One-time historical 12-subject prospective policy split; 9,200 rows; subject bootstrap; post-opening retuning forbidden","Policy frozen on exploration before one-time policy-split evaluation","Historical one-time prospective policy evaluation; resource now consumed","OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Frozen cross-run action policy","The frozen action policy improves subject-level BA on the prospective policy split","Mean subject Delta BA with subject-bootstrap CI","12 biological subjects; 9,200 rows and 6 runs are repeated decision data","Mean subject Delta BA +0.008472222; 91.67% positive subjects; oracle +0.112013889","Mean subject Delta BA=+0.008472222","Policy [0.003541667,0.013750000]; oracle [0.077847222,0.143681424]","NOT_REPORTED","Frozen policy; subject bootstrap; oracle diagnostic","YES; FROZEN_POLICY_LOCK present","PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION","HISTORICAL_ONCE_PROSPECTIVE_RESULT_SUPERSEDED_INTERPRETATION","Frozen-policy lock present; post-opening retuning forbidden","DEVELOPMENT_HOLDOUT_SUCCESS_NEW_PROTOCOL_REQUIRED","The frozen policy improved the consumed split, but the mechanism-specific interpretation was immediately falsified by V2.1","Not fresh independent confirmation and not PERSIST/action-policy-specific evidence","CONSUMED_HISTORY_ONLY; must be paired with V2.1 falsification","experiments/persist_eeg_prospective_action_policy_v2/outputs/FINAL_DECISION.json; experiments/persist_eeg_prospective_action_policy_v2/outputs/freeze/FROZEN_POLICY_LOCK.md"
"18","PROSPECTIVE_ACTION_POLICY_V2_1_FALSIFICATION","codex/persist-eeg-prospective-action-policy-v2-1","f8ce6fd425767cffaf33a1f5ed2581724a349320","experiments/persist_eeg_prospective_action_policy_v2_1","OpenBMI consumed 12-subject policy split plus 40-subject exploration","12_POLICY; 40_EXPLORATION","NOT_REPORTED","MI action-policy falsification","Action policy and generic all-run ensemble","NOT_REPORTED","Best generic ensemble selected on 40-subject exploration and evaluated on already-consumed 12-subject split; subject bootstrap","Post-V2 exploratory falsification; no new confirmation","Compare full/protected-safe action policies against generic ensemble on historical split","OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Subtract generic-ensemble explanation from V2 action-policy gain","Persistence/action logic adds value beyond a generic all-run ensemble","Policy-minus-best-ensemble subject Delta BA","12 biological policy-split subjects; 40 exploration subjects used for ensemble selection","Full action policy minus best ensemble -0.011805556; protected-safe minus ensemble -0.012951389 on the 12-subject historical split","Full action policy minus best ensemble=-0.011805556","Full-minus-ensemble [-0.019791667,-0.004375000]; protected-safe-minus-ensemble [-0.020486111,-0.005902778]","NOT_REPORTED","Generic all-run ensemble selected only on exploration; leakage audit","NO_NEW_CONFIRMATORY_LOCK; post-V2 falsification on consumed split","PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; exploratory reuse","AUTHORITATIVE_CONFLICT_RESOLUTION_ON_CONSUMED_DATA","LEAKAGE_AUDIT present; ensemble selected on exploration, not policy split","ENSEMBLE_EXPLAINS_V2_GAIN","A generic ensemble explains the favorable V2 gain better than PERSIST/action logic","V2 cannot be presented as mechanism-specific evidence or independent confirmation","IMPORTANT_CONFLICT_RESOLUTION","experiments/persist_eeg_prospective_action_policy_v2_1/outputs/FINAL_DECISION.json; experiments/persist_eeg_prospective_action_policy_v2_1/outputs/protocol/LEAKAGE_AUDIT.json"
"19","RESIDUAL_ACTIONABILITY_V3","codex/persist-eeg-residual-actionability-v3","ee9e280e350073f4cc30f8e3cad8c27cd1347bec","experiments/persist_eeg_residual_actionability_v3","OpenBMI historical development","52","2 repeated MI sessions","MI residual actionability","Heterogeneous controller family","NOT_REPORTED","All 52 subjects historical development; confirmatory=false; subject bootstrap","Residual policy search after generic-ensemble correction","Delta BA versus B6, rescue precision/harm rate, and capacity-matched movement control","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Residual action policy after generic ensemble correction","Residual action signal provides net benefit beyond B6 and movement controls","Policy Delta BA versus B6 and net rescue/harm","52 biological subjects; action events and controller variants are not subjects","Best policy Delta BA versus B6 -0.000288462; action rate 0.001057692; rescue precision 0.363636; harm rate 0.636364; strongest action oracle +0.085961538; PERSIST-full minus movement +0.000096154","Best policy Delta BA versus B6=-0.000288462","Best policy [-0.000865385,0.000192308]; PERSIST-full minus movement [-0.002115385,0.002403846]","NOT_REPORTED","B6 generic baseline; movement control; action oracle","YES; frozen/provenance audit present","HISTORICAL_DEVELOPMENT_ONLY; confirmatory=false; outer unused","NEGATIVE_RESIDUAL_POLICY_CLOSURE","Frozen/provenance audit present; net-gain CI crosses zero","RESIDUAL_ACTION_SIGNAL_BUT_NO_NET_GAIN","Residual structure/oracle signal did not yield net policy gain","No beneficial residual policy or confirmation claim","HISTORY_ONLY","experiments/persist_eeg_residual_actionability_v3/outputs/FINAL_DECISION.json"
"20","FINAL_MODEL_V4","codex/persist-eeg-final-model-v4","d2f206c6552a19a83d1b64ce1f5b9e5b904dc3ae","experiments/persist_eeg_final_model_v4","OpenBMI and WBCIC development","OPENBMI=NOT_REPORTED_IN_FINAL_DECISION; WBCIC=41","OpenBMI repeated sessions; WBCIC development S1/S2->S3","MI dynamic ensemble","Generic/frozen expert ensembles","NOT_REPORTED","Historical development only; subject bootstrap; no outer loading or use","Combine KEEP, ACTION, and PERSIST experts in development","Dataset-specific generic-versus-PERSIST ensemble comparison","OPENBMI_INTERNAL_14=INVALID_FOR_CONFIRMATION; OPENBMI_POLICY_12=PROSPECTIVE_ALREADY_OBSERVED; INVALID_FOR_CONFIRMATION; WBCIC_OUTER_10=OUTER_UNTOUCHED; eligible only for one final locked confirmation after manuscript V0; not used here","Dynamic expert ensemble with optional PERSIST component","Adding PERSIST to a generic dynamic ensemble improves future-session BA","Delta BA versus raw/generic baseline and incremental PERSIST effect","Biological subject; ensemble experts and bootstrap rows are not subjects","OpenBMI generic KEEP Delta BA +0.004519231; adding PERSIST changes BA by -0.000865385; WBCIC adapted generic Delta BA +0.003163033","OpenBMI incremental PERSIST effect=-0.000865385","OpenBMI generic KEEP [0.002019231,0.007211538]; incremental PERSIST [-0.002980,+0.001250]; WBCIC adapted generic [-0.001836967,0.008173396]","NOT_REPORTED","Generic KEEP ensemble; adapted generic WBCIC ensemble; raw baselines","YES for stated development protocol; no outer authorization","HISTORICAL_DEVELOPMENT; WBCIC_S3=PROSPECTIVE_ALREADY_OBSERVED; outer untouched","GENERIC_BASELINE_HISTORY_SUPERSEDED_BY_V5_V8","Development protocol/data-legality audit present; outer not loaded or used","GENERIC_DYNAMIC_ENSEMBLE_WINS","Any gain was generic; the PERSIST increment was negative and unresolved","No PERSIST-specific benefit or outer-confirmed final model","HISTORY_ONLY_GENERIC_BASELINE_EVIDENCE","experiments/persist_eeg_final_model_v4/outputs/FINAL_DECISION.json; experiments/persist_eeg_final_model_v4/outputs/SCIENTIFIC_REPORT.md"
