Model,Task,fold,seed,subject,session,session_index,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256
EEGNet,OpenBMI_MI,1,0,18,S1,1,0.71,0.7092731829573935,0.71,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,24,S1,1,0.6799999999999999,0.6692848284415047,0.68,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,25,S1,1,0.79,0.7874278773155178,0.79,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,29,S1,1,0.62,0.6072757337742869,0.62,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,36,S1,1,0.83,0.8279178054458953,0.83,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,37,S1,1,0.5900000000000001,0.5879811074263892,0.59,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,39,S1,1,0.8300000000000001,0.8295739348370927,0.83,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,4,S1,1,0.68,0.6753246753246753,0.68,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,42,S1,1,0.73,0.7266929851199515,0.73,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,51,S1,1,0.74,0.7398959583833533,0.74,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,54,S1,1,0.65,0.6471418489767113,0.65,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,12,S2,2,0.71,0.7064480210547626,0.71,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,13,S2,2,0.63,0.6296667000300271,0.63,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,17,S2,2,0.53,0.4986666666666667,0.53,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,18,S2,2,0.63,0.6269785260610949,0.63,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,24,S2,2,0.63,0.5960257670051315,0.63,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,25,S2,2,0.99,0.9899989998999901,0.99,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,29,S2,2,0.7,0.6995192307692308,0.7,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,36,S2,2,0.85,0.8487750781328763,0.85,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,37,S2,2,0.63,0.6236395076797885,0.63,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,39,S2,2,0.68,0.6637242538881883,0.68,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,4,S2,2,0.75,0.7479584635547938,0.75,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,42,S2,2,0.72,0.7189883580891208,0.72,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,51,S2,2,0.7,0.6998799519807923,0.7,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,1,0,54,S2,2,0.65,0.64996499649965,0.65,100,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
EEGNet,OpenBMI_MI,2,0,12,S1,1,0.76,0.7596153846153846,0.76,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,13,S1,1,0.71,0.7092731829573935,0.71,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,17,S1,1,0.76,0.7599039615846338,0.76,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,18,S1,1,0.65,0.6471418489767113,0.65,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,24,S1,1,0.6599999999999999,0.6486151302190988,0.66,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,25,S1,1,0.8,0.7960016319869441,0.8,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,29,S1,1,0.6,0.5920032639738881,0.6,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,36,S1,1,0.78,0.7785829307568438,0.78,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,37,S1,1,0.5700000000000001,0.568922305764411,0.57,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,39,S1,1,0.74,0.7390606182256123,0.74,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,4,S1,1,0.71,0.7050147492625369,0.71,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,42,S1,1,0.72,0.7181964573268921,0.72,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,51,S1,1,0.6599999999999999,0.6594551282051282,0.66,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,54,S1,1,0.5800000000000001,0.5798319327731092,0.58,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,12,S2,2,0.71,0.7092731829573935,0.71,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,13,S2,2,0.6699999999999999,0.6601791782514674,0.67,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,17,S2,2,0.56,0.537620849096259,0.56,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,18,S2,2,0.64,0.6398559423769508,0.64,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,24,S2,2,0.64,0.6138996138996139,0.64,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,25,S2,2,1.0,1.0,1.0,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,29,S2,2,0.5700000000000001,0.567882624861823,0.57,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,36,S2,2,0.78,0.7796474358974359,0.78,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,37,S2,2,0.62,0.6175523349436394,0.62,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,39,S2,2,0.6699999999999999,0.6624040920716112,0.67,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,4,S2,2,0.77,0.7660461804495982,0.77,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,42,S2,2,0.6799999999999999,0.677938808373591,0.68,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,51,S2,2,0.7,0.6995192307692308,0.7,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,2,0,54,S2,2,0.7,0.6989160979526294,0.7,100,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
EEGNet,OpenBMI_MI,3,0,12,S1,1,0.73,0.7293233082706767,0.73,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
EEGNet,OpenBMI_MI,3,0,13,S1,1,0.7,0.6998799519807923,0.7,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
EEGNet,OpenBMI_MI,3,0,17,S1,1,0.69,0.6892230576441103,0.69,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
EEGNet,OpenBMI_MI,3,0,18,S1,1,0.5900000000000001,0.5889724310776943,0.59,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
EEGNet,OpenBMI_MI,3,0,24,S1,1,0.62,0.6124031007751938,0.62,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
EEGNet,OpenBMI_MI,3,0,25,S1,1,0.79,0.7837503861600247,0.79,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
EEGNet,OpenBMI_MI,3,0,29,S1,1,0.58,0.5738636363636364,0.58,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
EEGNet,OpenBMI_MI,3,0,36,S1,1,0.72,0.7126436781609196,0.72,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
EEGNet,OpenBMI_MI,3,0,37,S1,1,0.54,0.5392628205128205,0.54,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
EEGNet,OpenBMI_MI,3,0,39,S1,1,0.75,0.7457023700539112,0.75,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
EEGNet,OpenBMI_MI,3,0,4,S1,1,0.73,0.7286704853783539,0.73,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
EEGNet,OpenBMI_MI,3,0,42,S1,1,0.7,0.6980676328502415,0.7,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
EEGNet,OpenBMI_MI,3,0,51,S1,1,0.71,0.7085720028137876,0.71,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
EEGNet,OpenBMI_MI,3,0,54,S1,1,0.66,0.6598639455782312,0.66,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
EEGNet,OpenBMI_MI,3,0,12,S2,2,0.69,0.6897207486738064,0.69,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
EEGNet,OpenBMI_MI,3,0,13,S2,2,0.6599999999999999,0.6594551282051282,0.66,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
EEGNet,OpenBMI_MI,3,0,17,S2,2,0.6,0.5920032639738881,0.6,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
EEGNet,OpenBMI_MI,3,0,18,S2,2,0.63,0.6296667000300271,0.63,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
EEGNet,OpenBMI_MI,3,0,24,S2,2,0.54,0.5308037535699714,0.54,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
EEGNet,OpenBMI_MI,3,0,25,S2,2,0.96,0.959983993597439,0.96,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
EEGNet,OpenBMI_MI,3,0,29,S2,2,0.53,0.5288220551378446,0.53,100,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
