dataset,fold,seed,subject_id,method,checkpoint_variant,primary,trials,BA,macro_F1,accuracy
OpenBMI,3,0,34,JOINT-CE,EMA_epoch20_PRIMARY,True,100,0.69,0.6846709388668497,0.69
OpenBMI,3,0,34,NRRF-v1,EMA_epoch20_PRIMARY,True,100,0.69,0.6828644501278772,0.69
OpenBMI,3,0,27,EEGNet,selected_best,True,100,0.9199999999999999,0.9197109594540345,0.92
OpenBMI,3,0,27,LiteBN,selected_best,True,100,0.95,0.9499549594635172,0.95
OpenBMI,3,0,27,FROZEN-LOGIT50,selected_best,True,100,0.95,0.9499549594635172,0.95
OpenBMI,3,0,27,JOINT-CE,EMA_epoch20_PRIMARY,True,100,0.94,0.9399759903961584,0.94
OpenBMI,3,0,27,NRRF-v1,EMA_epoch20_PRIMARY,True,100,0.94,0.9399759903961584,0.94
OpenBMI,3,0,49,EEGNet,selected_best,True,100,0.84,0.84,0.84
OpenBMI,3,0,49,LiteBN,selected_best,True,100,0.84,0.8383838383838383,0.84
OpenBMI,3,0,49,FROZEN-LOGIT50,selected_best,True,100,0.8400000000000001,0.839421918908069,0.84
OpenBMI,3,0,49,JOINT-CE,EMA_epoch20_PRIMARY,True,100,0.8799999999999999,0.8795664391810518,0.88
OpenBMI,3,0,49,NRRF-v1,EMA_epoch20_PRIMARY,True,100,0.8600000000000001,0.8594941790445605,0.86
OpenBMI,3,0,10,EEGNet,selected_best,True,100,0.71,0.7097387648883995,0.71
OpenBMI,3,0,10,LiteBN,selected_best,True,100,0.81,0.8095238095238095,0.81
OpenBMI,3,0,10,FROZEN-LOGIT50,selected_best,True,100,0.81,0.8090644156366193,0.81
OpenBMI,3,0,10,JOINT-CE,EMA_epoch20_PRIMARY,True,100,0.8300000000000001,0.8286117552172598,0.83
OpenBMI,3,0,10,NRRF-v1,EMA_epoch20_PRIMARY,True,100,0.8500000000000001,0.8492613807657522,0.85
OpenBMI,3,0,22,EEGNet,selected_best,True,100,0.66,0.6550324675324675,0.66
OpenBMI,3,0,22,LiteBN,selected_best,True,100,0.7,0.6980676328502415,0.7
OpenBMI,3,0,22,FROZEN-LOGIT50,selected_best,True,100,0.6799999999999999,0.6767676767676768,0.68
OpenBMI,3,0,22,JOINT-CE,EMA_epoch20_PRIMARY,True,100,0.71,0.7076318177235609,0.71
OpenBMI,3,0,22,NRRF-v1,EMA_epoch20_PRIMARY,True,100,0.69,0.6884735202492211,0.69
OpenBMI,3,0,19,EEGNet,selected_best,True,100,0.73,0.7253585596582239,0.73
OpenBMI,3,0,19,LiteBN,selected_best,True,100,0.78,0.7799119647859143,0.78
OpenBMI,3,0,19,FROZEN-LOGIT50,selected_best,True,100,0.76,0.7591328783621036,0.76
OpenBMI,3,0,19,JOINT-CE,EMA_epoch20_PRIMARY,True,100,0.79,0.78997899789979,0.79
OpenBMI,3,0,19,NRRF-v1,EMA_epoch20_PRIMARY,True,100,0.8,0.8,0.8
OpenBMI,3,0,16,EEGNet,selected_best,True,100,0.8,0.7996794871794872,0.8
OpenBMI,3,0,16,LiteBN,selected_best,True,100,0.87,0.8699869986998701,0.87
OpenBMI,3,0,16,FROZEN-LOGIT50,selected_best,True,100,0.86,0.86,0.86
OpenBMI,3,0,16,JOINT-CE,EMA_epoch20_PRIMARY,True,100,0.88,0.8799519807923168,0.88
OpenBMI,3,0,16,NRRF-v1,EMA_epoch20_PRIMARY,True,100,0.88,0.8799519807923168,0.88
OpenBMI,4,0,9,EEGNet,selected_best,True,100,0.61,0.6068152031454783,0.61
OpenBMI,4,0,9,LiteBN,selected_best,True,100,0.6,0.586606035551881,0.6
OpenBMI,4,0,9,FROZEN-LOGIT50,selected_best,True,100,0.62,0.6124031007751938,0.62
OpenBMI,4,0,9,JOINT-CE,EMA_epoch20_PRIMARY,True,100,0.5900000000000001,0.5889724310776943,0.59
OpenBMI,4,0,9,NRRF-v1,EMA_epoch20_PRIMARY,True,100,0.6000000000000001,0.5993589743589745,0.6
OpenBMI,4,0,53,EEGNet,selected_best,True,100,0.77,0.767182913250329,0.77
OpenBMI,4,0,53,LiteBN,selected_best,True,100,0.8200000000000001,0.818840579710145,0.82
OpenBMI,4,0,53,FROZEN-LOGIT50,selected_best,True,100,0.8200000000000001,0.8193496587715776,0.82
OpenBMI,4,0,53,JOINT-CE,EMA_epoch20_PRIMARY,True,100,0.8200000000000001,0.8193496587715776,0.82
OpenBMI,4,0,53,NRRF-v1,EMA_epoch20_PRIMARY,True,100,0.8200000000000001,0.8193496587715776,0.82
OpenBMI,4,0,7,EEGNet,selected_best,True,100,0.72,0.72,0.72
OpenBMI,4,0,7,LiteBN,selected_best,True,100,0.73,0.7237851662404092,0.73
OpenBMI,4,0,7,FROZEN-LOGIT50,selected_best,True,100,0.74,0.7383252818035426,0.74
OpenBMI,4,0,7,JOINT-CE,EMA_epoch20_PRIMARY,True,100,0.71,0.7064480210547626,0.71
OpenBMI,4,0,7,NRRF-v1,EMA_epoch20_PRIMARY,True,100,0.71,0.7076318177235609,0.71
OpenBMI,4,0,20,EEGNet,selected_best,True,100,0.88,0.88,0.88
OpenBMI,4,0,20,LiteBN,selected_best,True,100,0.9099999999999999,0.9095568284594513,0.91
OpenBMI,4,0,20,FROZEN-LOGIT50,selected_best,True,100,0.9099999999999999,0.9095568284594513,0.91
OpenBMI,4,0,20,JOINT-CE,EMA_epoch20_PRIMARY,True,100,0.9099999999999999,0.9095568284594513,0.91
OpenBMI,4,0,20,NRRF-v1,EMA_epoch20_PRIMARY,True,100,0.8999999999999999,0.8996386993175431,0.9
OpenBMI,4,0,41,EEGNet,selected_best,True,100,0.6799999999999999,0.6767676767676768,0.68
OpenBMI,4,0,41,LiteBN,selected_best,True,100,0.77,0.7647058823529411,0.77
OpenBMI,4,0,41,FROZEN-LOGIT50,selected_best,True,100,0.75,0.7487689679429204,0.75
OpenBMI,4,0,41,JOINT-CE,EMA_epoch20_PRIMARY,True,100,0.76,0.7599039615846338,0.76
OpenBMI,4,0,41,NRRF-v1,EMA_epoch20_PRIMARY,True,100,0.76,0.7599039615846338,0.76
OpenBMI,4,0,46,EEGNet,selected_best,True,100,0.66,0.6458333333333333,0.66
OpenBMI,4,0,46,LiteBN,selected_best,True,100,0.69,0.6615351020853806,0.69
OpenBMI,4,0,46,FROZEN-LOGIT50,selected_best,True,100,0.6799999999999999,0.6567996567996568,0.68
OpenBMI,4,0,46,JOINT-CE,EMA_epoch20_PRIMARY,True,100,0.7,0.6744791666666667,0.7
OpenBMI,4,0,46,NRRF-v1,EMA_epoch20_PRIMARY,True,100,0.7,0.6744791666666667,0.7
OpenBMI,4,0,21,EEGNet,selected_best,True,100,0.84,0.84,0.84
OpenBMI,4,0,21,LiteBN,selected_best,True,100,0.9099999999999999,0.9097744360902256,0.91
OpenBMI,4,0,21,FROZEN-LOGIT50,selected_best,True,100,0.91,0.90999099909991,0.91
OpenBMI,4,0,21,JOINT-CE,EMA_epoch20_PRIMARY,True,100,0.88,0.8792270531400965,0.88
OpenBMI,4,0,21,NRRF-v1,EMA_epoch20_PRIMARY,True,100,0.87,0.8689384010484928,0.87
OpenBMI,4,0,44,EEGNet,selected_best,True,100,0.67,0.66996699669967,0.67
OpenBMI,4,0,44,LiteBN,selected_best,True,100,0.84,0.8368013055895553,0.84
OpenBMI,4,0,44,FROZEN-LOGIT50,selected_best,True,100,0.82,0.8173701298701299,0.82
OpenBMI,4,0,44,JOINT-CE,EMA_epoch20_PRIMARY,True,100,0.8600000000000001,0.8594941790445605,0.86
OpenBMI,4,0,44,NRRF-v1,EMA_epoch20_PRIMARY,True,100,0.8600000000000001,0.8594941790445605,0.86
WBCIC,0,0,sub-6,EEGNet,selected_best,True,200,0.9099999999999999,0.9097744360902256,0.91
WBCIC,0,0,sub-6,LiteBN,selected_best,True,200,0.935,0.934998374959374,0.935
WBCIC,0,0,sub-6,FROZEN-LOGIT50,selected_best,True,200,0.9299999999999999,0.9299719887955182,0.93
