dataset,fold,seed,method,mean_subject_BA,mean_subject_macro_F1,mean_subject_accuracy,delta_vs_EEGNet_pp,median_subject_delta_vs_EEGNet_pp,harm_le_minus_1pp_fraction,harm_le_minus_3pp_fraction,gain_ge_1pp_fraction,worst_subject_delta_pp,n_subjects
WBCIC,2,0,FROZEN-LOGIT50,0.7566666666666665,0.7556823857320505,0.7566666666666665,0.749999999999984,0.2500000000000002,0.16666666666666666,0.16666666666666666,0.3333333333333333,-5.499999999999994,6
WBCIC,2,0,JOINT-CE,0.7583333333333334,0.7555864024747599,0.7583333333333334,0.9166666666666767,0.5000000000000004,0.5,0.3333333333333333,0.5,-3.499999999999992,6
WBCIC,2,0,NRRF-v1,0.7525,0.7494076586852403,0.7525000000000001,0.33333333333332993,0.5000000000000004,0.5,0.3333333333333333,0.5,-4.0000000000000036,6
WBCIC,3,0,EEGNet,0.8146811868686868,0.8141112934835281,0.8146581196581196,0.0,0.0,0.0,0.0,0.0,0.0,6
WBCIC,3,0,LiteBN,0.8405408249158249,0.8399306310758425,0.840491452991453,2.585963804713809,2.750000000000008,0.16666666666666666,0.0,0.6666666666666666,-2.9999999999999916,6
WBCIC,3,0,FROZEN-LOGIT50,0.8405839646464647,0.8400564397669757,0.8405341880341881,2.590277777777783,1.5208333333333324,0.0,0.0,0.8333333333333334,0.5000000000000115,6
WBCIC,3,0,JOINT-CE,0.7157207491582492,0.6901562090419663,0.716068376068376,-9.896043771043761,-8.999999999999996,0.8333333333333334,0.8333333333333334,0.0,-19.999999999999996,6
WBCIC,3,0,NRRF-v1,0.6788541666666666,0.6416606893560205,0.6792948717948719,-13.58270202020202,-10.749999999999998,1.0,0.8333333333333334,0.0,-27.499999999999993,6
WBCIC,4,0,EEGNet,0.7675,0.76478390305574,0.7675,0.0,0.0,0.0,0.0,0.0,0.0,6
WBCIC,4,0,LiteBN,0.7875000000000001,0.7856051426792517,0.7875000000000001,2.000000000000013,1.7500000000000016,0.16666666666666666,0.0,0.6666666666666666,-1.5000000000000013,6
WBCIC,4,0,FROZEN-LOGIT50,0.7799999999999999,0.7771574921261278,0.7799999999999999,1.2499999999999956,0.0,0.16666666666666666,0.0,0.3333333333333333,-1.0000000000000009,6
WBCIC,4,0,JOINT-CE,0.7941666666666668,0.7903596566089388,0.7941666666666668,2.666666666666684,2.0000000000000018,0.16666666666666666,0.0,0.6666666666666666,-1.0000000000000009,6
WBCIC,4,0,NRRF-v1,0.7875,0.7832535467165439,0.7875000000000001,2.0000000000000018,0.500000000000006,0.16666666666666666,0.0,0.5,-1.0000000000000009,6
