dataset,fold,seed,subject_id,method,checkpoint_variant,primary,trials,BA,macro_F1,accuracy
OpenBMI,1,0,14,NRRF-v1,raw_epoch20_diagnostic,False,100,0.72,0.7198879551820728,0.72
OpenBMI,1,0,31,JOINT-CE,raw_epoch20_diagnostic,False,100,0.79,0.7837503861600247,0.79
OpenBMI,1,0,31,NRRF-v1,raw_epoch20_diagnostic,False,100,0.79,0.7821350762527233,0.79
OpenBMI,1,0,28,JOINT-CE,raw_epoch20_diagnostic,False,100,0.9199999999999999,0.9197109594540345,0.92
OpenBMI,1,0,28,NRRF-v1,raw_epoch20_diagnostic,False,100,0.9099999999999999,0.9095568284594513,0.91
OpenBMI,1,0,35,JOINT-CE,raw_epoch20_diagnostic,False,100,0.81,0.8043455874781176,0.81
OpenBMI,1,0,35,NRRF-v1,raw_epoch20_diagnostic,False,100,0.8200000000000001,0.8139727159983464,0.82
OpenBMI,1,0,40,JOINT-CE,raw_epoch20_diagnostic,False,100,0.84,0.8399359743897559,0.84
OpenBMI,1,0,40,NRRF-v1,raw_epoch20_diagnostic,False,100,0.81,0.8090644156366193,0.81
OpenBMI,1,0,43,JOINT-CE,raw_epoch20_diagnostic,False,100,0.94,0.9399038461538461,0.94
OpenBMI,1,0,43,NRRF-v1,raw_epoch20_diagnostic,False,100,0.94,0.9399038461538461,0.94
OpenBMI,2,0,50,JOINT-CE,raw_epoch20_diagnostic,False,100,0.6699999999999999,0.6601791782514674,0.67
OpenBMI,2,0,50,NRRF-v1,raw_epoch20_diagnostic,False,100,0.65,0.6368917937545389,0.65
OpenBMI,2,0,52,JOINT-CE,raw_epoch20_diagnostic,False,100,0.8600000000000001,0.8594941790445605,0.86
OpenBMI,2,0,52,NRRF-v1,raw_epoch20_diagnostic,False,100,0.87,0.8693598633303186,0.87
OpenBMI,2,0,23,JOINT-CE,raw_epoch20_diagnostic,False,100,0.8,0.7960016319869441,0.8
OpenBMI,2,0,23,NRRF-v1,raw_epoch20_diagnostic,False,100,0.78,0.7742200328407225,0.78
OpenBMI,2,0,1,JOINT-CE,raw_epoch20_diagnostic,False,100,0.67,0.648,0.67
OpenBMI,2,0,1,NRRF-v1,raw_epoch20_diagnostic,False,100,0.65,0.6224786970121885,0.65
OpenBMI,2,0,30,JOINT-CE,raw_epoch20_diagnostic,False,100,0.72,0.7198879551820728,0.72
OpenBMI,2,0,30,NRRF-v1,raw_epoch20_diagnostic,False,100,0.73,0.7297567811029927,0.73
OpenBMI,2,0,48,JOINT-CE,raw_epoch20_diagnostic,False,100,0.74,0.7398959583833533,0.74
OpenBMI,2,0,48,NRRF-v1,raw_epoch20_diagnostic,False,100,0.73,0.7286704853783539,0.73
OpenBMI,2,0,11,JOINT-CE,raw_epoch20_diagnostic,False,100,0.6599999999999999,0.6486151302190988,0.66
OpenBMI,2,0,11,NRRF-v1,raw_epoch20_diagnostic,False,100,0.69,0.6828644501278772,0.69
OpenBMI,2,0,8,JOINT-CE,raw_epoch20_diagnostic,False,100,0.8200000000000001,0.8164014687882497,0.82
OpenBMI,2,0,8,NRRF-v1,raw_epoch20_diagnostic,False,100,0.8,0.7947454844006567,0.8
OpenBMI,3,0,45,JOINT-CE,raw_epoch20_diagnostic,False,100,0.79,0.78997899789979,0.79
OpenBMI,3,0,45,NRRF-v1,raw_epoch20_diagnostic,False,100,0.77,0.769792813532179,0.77
OpenBMI,3,0,34,JOINT-CE,raw_epoch20_diagnostic,False,100,0.69,0.6828644501278772,0.69
OpenBMI,3,0,34,NRRF-v1,raw_epoch20_diagnostic,False,100,0.69,0.6846709388668497,0.69
OpenBMI,3,0,27,JOINT-CE,raw_epoch20_diagnostic,False,100,0.94,0.9399759903961584,0.94
OpenBMI,3,0,27,NRRF-v1,raw_epoch20_diagnostic,False,100,0.94,0.9399759903961584,0.94
OpenBMI,3,0,49,JOINT-CE,raw_epoch20_diagnostic,False,100,0.86,0.8585858585858586,0.86
OpenBMI,3,0,49,NRRF-v1,raw_epoch20_diagnostic,False,100,0.8400000000000001,0.8389694041867954,0.84
OpenBMI,3,0,10,JOINT-CE,raw_epoch20_diagnostic,False,100,0.85,0.8481627695110842,0.85
OpenBMI,3,0,10,NRRF-v1,raw_epoch20_diagnostic,False,100,0.8200000000000001,0.8164014687882497,0.82
OpenBMI,3,0,22,JOINT-CE,raw_epoch20_diagnostic,False,100,0.6799999999999999,0.6788438378161381,0.68
OpenBMI,3,0,22,NRRF-v1,raw_epoch20_diagnostic,False,100,0.67,0.66996699669967,0.67
OpenBMI,3,0,19,JOINT-CE,raw_epoch20_diagnostic,False,100,0.78,0.7799119647859143,0.78
OpenBMI,3,0,19,NRRF-v1,raw_epoch20_diagnostic,False,100,0.79,0.78997899789979,0.79
OpenBMI,3,0,16,JOINT-CE,raw_epoch20_diagnostic,False,100,0.87,0.8699869986998701,0.87
OpenBMI,3,0,16,NRRF-v1,raw_epoch20_diagnostic,False,100,0.88,0.8799519807923168,0.88
OpenBMI,4,0,9,JOINT-CE,raw_epoch20_diagnostic,False,100,0.5900000000000001,0.5879811074263892,0.59
OpenBMI,4,0,9,NRRF-v1,raw_epoch20_diagnostic,False,100,0.5900000000000001,0.5879811074263892,0.59
OpenBMI,4,0,53,JOINT-CE,raw_epoch20_diagnostic,False,100,0.8200000000000001,0.8197115384615384,0.82
OpenBMI,4,0,53,NRRF-v1,raw_epoch20_diagnostic,False,100,0.8200000000000001,0.8197115384615384,0.82
OpenBMI,4,0,7,JOINT-CE,raw_epoch20_diagnostic,False,100,0.71,0.7076318177235609,0.71
OpenBMI,4,0,7,NRRF-v1,raw_epoch20_diagnostic,False,100,0.71,0.7076318177235609,0.71
OpenBMI,4,0,20,JOINT-CE,raw_epoch20_diagnostic,False,100,0.9199999999999999,0.9197109594540345,0.92
OpenBMI,4,0,20,NRRF-v1,raw_epoch20_diagnostic,False,100,0.9099999999999999,0.9095568284594513,0.91
OpenBMI,4,0,41,JOINT-CE,raw_epoch20_diagnostic,False,100,0.78,0.779205138498595,0.78
OpenBMI,4,0,41,NRRF-v1,raw_epoch20_diagnostic,False,100,0.76,0.7596153846153846,0.76
OpenBMI,4,0,46,JOINT-CE,raw_epoch20_diagnostic,False,100,0.76,0.7477931904161412,0.76
OpenBMI,4,0,46,NRRF-v1,raw_epoch20_diagnostic,False,100,0.75,0.7384663667747673,0.75
OpenBMI,4,0,21,JOINT-CE,raw_epoch20_diagnostic,False,100,0.8999999999999999,0.8996386993175431,0.9
OpenBMI,4,0,21,NRRF-v1,raw_epoch20_diagnostic,False,100,0.8899999999999999,0.8894583458948849,0.89
OpenBMI,4,0,44,JOINT-CE,raw_epoch20_diagnostic,False,100,0.85,0.8487750781328763,0.85
OpenBMI,4,0,44,NRRF-v1,raw_epoch20_diagnostic,False,100,0.86,0.8590982286634461,0.86
WBCIC,0,0,sub-6,JOINT-CE,raw_epoch20_diagnostic,False,200,0.825,0.8201022847009842,0.825
WBCIC,0,0,sub-6,NRRF-v1,raw_epoch20_diagnostic,False,200,0.875,0.8733247194142535,0.875
WBCIC,0,0,sub-22,JOINT-CE,raw_epoch20_diagnostic,False,200,0.55,0.45361826129188926,0.55
WBCIC,0,0,sub-22,NRRF-v1,raw_epoch20_diagnostic,False,200,0.585,0.528931013933426,0.585
WBCIC,0,0,sub-44,JOINT-CE,raw_epoch20_diagnostic,False,200,0.6699999999999999,0.6323529411764706,0.67
WBCIC,0,0,sub-44,NRRF-v1,raw_epoch20_diagnostic,False,200,0.73,0.7134974533106961,0.73
WBCIC,0,0,sub-35,JOINT-CE,raw_epoch20_diagnostic,False,200,0.845,0.8411844565690719,0.845
WBCIC,0,0,sub-35,NRRF-v1,raw_epoch20_diagnostic,False,200,0.9,0.898989898989899,0.9
WBCIC,0,0,sub-18,JOINT-CE,raw_epoch20_diagnostic,False,200,0.525,0.39395872539950877,0.525
WBCIC,0,0,sub-18,NRRF-v1,raw_epoch20_diagnostic,False,200,0.58,0.5091164095371669,0.58
WBCIC,0,0,sub-9,JOINT-CE,raw_epoch20_diagnostic,False,200,0.535,0.4201814271018423,0.535
WBCIC,0,0,sub-9,NRRF-v1,raw_epoch20_diagnostic,False,200,0.5449999999999999,0.4503337259521005,0.545
WBCIC,0,0,sub-49,JOINT-CE,raw_epoch20_diagnostic,False,200,0.75,0.7372845733501472,0.75
WBCIC,0,0,sub-49,NRRF-v1,raw_epoch20_diagnostic,False,200,0.8049999999999999,0.8008120738527542,0.805
WBCIC,1,0,sub-28,JOINT-CE,raw_epoch20_diagnostic,False,200,0.56,0.46576007770762506,0.56
WBCIC,1,0,sub-28,NRRF-v1,raw_epoch20_diagnostic,False,200,0.565,0.4744948808553049,0.565
WBCIC,1,0,sub-37,JOINT-CE,raw_epoch20_diagnostic,False,200,0.875,0.8748466871918099,0.875
WBCIC,1,0,sub-37,NRRF-v1,raw_epoch20_diagnostic,False,200,0.875,0.8746207277012964,0.875
WBCIC,1,0,sub-12,JOINT-CE,raw_epoch20_diagnostic,False,200,0.765,0.7649941248531213,0.765
WBCIC,1,0,sub-12,NRRF-v1,raw_epoch20_diagnostic,False,200,0.755,0.7549448625940837,0.755
WBCIC,1,0,sub-30,JOINT-CE,raw_epoch20_diagnostic,False,200,0.8500000000000001,0.8497596153846154,0.85
WBCIC,1,0,sub-30,NRRF-v1,raw_epoch20_diagnostic,False,200,0.835,0.8347976270931892,0.835
WBCIC,1,0,sub-45,JOINT-CE,raw_epoch20_diagnostic,False,200,0.9450000000000001,0.9449656035021888,0.945
WBCIC,1,0,sub-45,NRRF-v1,raw_epoch20_diagnostic,False,200,0.95,0.9499549594635172,0.95
WBCIC,1,0,sub-7,JOINT-CE,raw_epoch20_diagnostic,False,200,0.8,0.7994987468671679,0.8
WBCIC,1,0,sub-7,NRRF-v1,raw_epoch20_diagnostic,False,200,0.79,0.7892412685668406,0.79
WBCIC,2,0,sub-50,JOINT-CE,raw_epoch20_diagnostic,False,200,0.9550000000000001,0.9549718574108819,0.955
WBCIC,2,0,sub-50,NRRF-v1,raw_epoch20_diagnostic,False,200,0.95,0.9499549594635172,0.95
WBCIC,2,0,sub-14,JOINT-CE,raw_epoch20_diagnostic,False,200,0.55,0.5434253246753247,0.55
WBCIC,2,0,sub-14,NRRF-v1,raw_epoch20_diagnostic,False,200,0.5549999999999999,0.5467393241832395,0.555
WBCIC,2,0,sub-1,JOINT-CE,raw_epoch20_diagnostic,False,200,0.9099999999999999,0.9096748293857888,0.91
WBCIC,2,0,sub-1,NRRF-v1,raw_epoch20_diagnostic,False,200,0.9099999999999999,0.9096748293857888,0.91
WBCIC,2,0,sub-32,JOINT-CE,raw_epoch20_diagnostic,False,200,0.595,0.5927089880578253,0.595
WBCIC,2,0,sub-32,NRRF-v1,raw_epoch20_diagnostic,False,200,0.5800000000000001,0.5779318661441061,0.58
WBCIC,2,0,sub-23,JOINT-CE,raw_epoch20_diagnostic,False,200,0.98,0.9799919967987194,0.98
WBCIC,2,0,sub-23,NRRF-v1,raw_epoch20_diagnostic,False,200,0.98,0.9799919967987194,0.98
WBCIC,2,0,sub-34,JOINT-CE,raw_epoch20_diagnostic,False,200,0.575,0.5747342088805503,0.575
WBCIC,2,0,sub-34,NRRF-v1,raw_epoch20_diagnostic,False,200,0.545,0.5449886247156179,0.545
WBCIC,3,0,sub-24,JOINT-CE,raw_epoch20_diagnostic,False,195,0.828125,0.8247978436657681,0.8307692307692308
WBCIC,3,0,sub-24,NRRF-v1,raw_epoch20_diagnostic,False,195,0.8020833333333333,0.7961149020471054,0.8051282051282052
WBCIC,3,0,sub-13,JOINT-CE,raw_epoch20_diagnostic,False,200,0.665,0.6254367575122292,0.665
WBCIC,3,0,sub-13,NRRF-v1,raw_epoch20_diagnostic,False,200,0.64,0.5897435897435898,0.64
WBCIC,3,0,sub-11,JOINT-CE,raw_epoch20_diagnostic,False,200,0.605,0.5550674438906255,0.605
WBCIC,3,0,sub-11,NRRF-v1,raw_epoch20_diagnostic,False,200,0.595,0.5402820738386447,0.595
WBCIC,3,0,sub-29,JOINT-CE,raw_epoch20_diagnostic,False,200,0.73,0.7104247104247103,0.73
WBCIC,3,0,sub-29,NRRF-v1,raw_epoch20_diagnostic,False,200,0.705,0.6789203014883949,0.705
WBCIC,3,0,sub-26,JOINT-CE,raw_epoch20_diagnostic,False,200,0.585,0.5127821314314226,0.585
WBCIC,3,0,sub-26,NRRF-v1,raw_epoch20_diagnostic,False,200,0.585,0.5082792736751681,0.585
WBCIC,3,0,sub-47,JOINT-CE,raw_epoch20_diagnostic,False,200,0.6799999999999999,0.64349376114082,0.68
WBCIC,3,0,sub-47,NRRF-v1,raw_epoch20_diagnostic,False,200,0.65,0.6011396011396011,0.65
WBCIC,4,0,sub-36,JOINT-CE,raw_epoch20_diagnostic,False,200,0.97,0.9699879951980792,0.97
WBCIC,4,0,sub-36,NRRF-v1,raw_epoch20_diagnostic,False,200,0.97,0.9699879951980792,0.97
WBCIC,4,0,sub-16,JOINT-CE,raw_epoch20_diagnostic,False,200,0.5549999999999999,0.539230151950506,0.555
WBCIC,4,0,sub-16,NRRF-v1,raw_epoch20_diagnostic,False,200,0.565,0.5459171690284192,0.565
WBCIC,4,0,sub-48,JOINT-CE,raw_epoch20_diagnostic,False,200,0.87,0.8698828946051447,0.87
WBCIC,4,0,sub-48,NRRF-v1,raw_epoch20_diagnostic,False,200,0.85,0.8498648783905515,0.85
WBCIC,4,0,sub-41,JOINT-CE,raw_epoch20_diagnostic,False,200,0.88,0.8798076923076923,0.88
WBCIC,4,0,sub-41,NRRF-v1,raw_epoch20_diagnostic,False,200,0.875,0.8747463613817982,0.875
WBCIC,4,0,sub-5,JOINT-CE,raw_epoch20_diagnostic,False,200,0.815,0.8149953748843721,0.815
WBCIC,4,0,sub-5,NRRF-v1,raw_epoch20_diagnostic,False,200,0.815,0.8149953748843721,0.815
WBCIC,4,0,sub-27,JOINT-CE,raw_epoch20_diagnostic,False,200,0.6799999999999999,0.6767676767676768,0.68
WBCIC,4,0,sub-27,NRRF-v1,raw_epoch20_diagnostic,False,200,0.6699999999999999,0.6694711538461539,0.67
