block,draw,subject,u_random,finite_logit_rms,delta_BA_random,persistence_random
P01_04,10,S106,0.05204272555260937,0.6221937152834354,0.058035714285714246,19.52999407547972
P01_04,11,S002,-0.006868131590046374,0.28842448681631616,-0.024553571428571397,25.177091274896046
P01_04,11,S015,-0.02406693418134406,0.14848964770714715,0.0,17.2584000957402
P01_04,11,S018,-0.002882188979746603,0.23515063058520586,-0.016666666666666607,31.028789277037745
P01_04,11,S030,-0.0016945859267862276,0.23625422264509588,0.04464285714285715,34.64032328594106
P01_04,11,S043,0.03508887252832779,0.2669851012589625,-0.016666666666666607,21.120522729443888
P01_04,11,S044,0.05852729989913758,0.6294649572676447,0.0,33.23783730837054
P01_04,11,S066,-0.005974438184761629,0.2463313416622425,-0.05000000000000002,10.01605190325554
P01_04,11,S072,-0.016974424577782938,0.24392723692143825,-0.016666666666666663,35.38521823962873
P01_04,11,S077,0.0020289255897374997,0.3311329168996846,0.015476190476190477,31.03803116741726
P01_04,11,S083,0.002827871255633497,0.20352753023744793,-0.03794642857142855,25.609361084467665
P01_04,11,S088,0.014587247802329409,0.2998673185646475,0.026315789473684237,20.564256397852695
P01_04,11,S095,-0.009340863404346388,0.39049181534978267,0.015625,25.283867126516416
P01_04,11,S097,-0.00044378416541887014,0.22573594282955625,0.0,21.27224108308996
P01_04,11,S102,0.023836717294884784,0.23567822856516132,0.0,32.44226700078359
P01_04,11,S106,0.04546355266548783,0.32492726535571176,-0.0535714285714286,8.632125805815367
P01_04,12,S002,-0.029992978788935983,0.33680106585000474,-0.03794642857142855,33.683997322954205
P01_04,12,S015,-0.056357771132181926,0.23974601040698093,0.0,36.41296658122071
P01_04,12,S018,-0.01685283490239024,0.3655074375517379,-0.016666666666666607,29.54531863805132
P01_04,12,S030,0.010557432455629177,0.3487663699572,0.002232142857142849,36.817676093677875
P01_04,12,S043,-0.01335495610819829,0.2832475619777828,-0.033333333333333326,32.0387733172206
P01_04,12,S044,-0.1048507526261046,0.7490733854880373,0.0,20.26159208648818
P01_04,12,S066,-0.05035148860154188,0.3372824878658197,0.0,7.932665175901158
P01_04,12,S072,0.02616359717215033,0.4150735110771868,-0.033333333333333326,40.45683687236501
P01_04,12,S077,0.008109055899290448,0.45902755873537393,-0.07782738095238095,22.184141388919052
P01_04,12,S083,0.035238793451571014,0.28402722661329877,-0.011160714285714302,37.45878527649705
P01_04,12,S088,-0.074408108999011,0.4767505483964134,2.7755575615628914e-17,16.749439283739633
P01_04,12,S095,-0.013910640491326289,0.5541187035526379,0.06919642857142855,26.719721417797697
P01_04,12,S097,0.018505758238085736,0.301810139412784,0.0,8.524381028643468
P01_04,12,S102,0.028299757654347682,0.38544502804661834,0.0,24.77891618325299
P01_04,12,S106,-0.05325273450985129,0.3984540071428068,-0.015625,18.631691230090492
P01_04,13,S002,0.050849026045355745,0.521387064710165,-0.05580357142857145,27.63278961926262
P01_04,13,S015,0.034306044176088506,0.3608335247802617,-0.015625,29.652107679634735
P01_04,13,S018,0.13223029816049853,0.7737316771031252,-0.016666666666666663,35.91445532880782
P01_04,13,S030,0.014298437449732023,0.8423226472899217,0.1183035714285714,42.857766418662614
P01_04,13,S043,-0.05462373385859578,0.6975683354236033,-0.016666666666666607,17.727345858978385
P01_04,13,S044,-0.21128690133739583,1.6050831278684838,0.016666666666666663,32.20614434392736
P01_04,13,S066,-0.10738804418539866,0.66185023606678,0.0,6.355049449737651
P01_04,13,S072,0.0746860409306207,1.0224562777257122,0.04999999999999999,49.51150197192013
P01_04,13,S077,0.13547509695737958,0.9403259366100325,0.0058035714285714635,34.146320103144106
P01_04,13,S083,-0.14392192016620042,0.6187439024532951,-0.06919642857142855,24.449754187002732
P01_04,13,S088,0.03328990283973686,1.061311299565173,2.7755575615628914e-17,17.36184779988213
P01_04,13,S095,0.09525291289302713,0.5907459368222022,0.017857142857142794,24.85071055593243
P01_04,13,S097,0.0859127995754165,0.6147097741321728,-0.08333333333333331,9.04107343165237
P01_04,13,S102,0.012526833713639312,0.8039472716843905,-0.016666666666666663,37.94623781879994
P01_04,13,S106,-0.13668765205112463,0.9539523423918908,0.058035714285714246,24.91263570709246
P01_04,14,S002,0.03542387917772019,0.624439915492123,-0.03125,19.492373880131115
P01_04,14,S015,0.062228072416321716,0.27592933498445466,0.0,31.841576459155302
P01_04,14,S018,0.04673522912164427,0.5779838776615429,-0.06666666666666665,32.75900082335693
P01_04,14,S030,-0.010550367782876996,0.6202885322845788,0.0625,37.90973687832474
P01_04,14,S043,-0.11488136443256862,0.5162855112919482,0.0,9.330093221178497
P01_04,14,S044,-0.09033208582432597,1.3026848235886674,0.06666666666666671,27.19959703736879
P01_04,14,S066,-0.08118832036075346,0.581125319863741,0.0,22.749727033467657
P01_04,14,S072,0.2100241896365857,0.6766870863493479,-0.033333333333333326,34.81974502909819
P01_04,14,S077,-0.04905009534242026,0.6570987481729901,0.0,29.5678706195282
P01_04,14,S083,-0.11404526148347134,0.4255912141912512,0.0022321428571429047,33.279829037332085
P01_04,14,S088,-0.1211322148486394,0.7539417611317673,-0.01315789473684209,16.01135065829252
P01_04,14,S095,-0.025393982985749238,0.7658422018364597,-0.022321428571428603,28.56949768758657
P01_04,14,S097,0.04251209199038079,0.5433801569749411,0.0,21.482359773548794
P01_04,14,S102,0.04349928075911,0.6436345907266726,-0.04999999999999993,34.40309829458462
P01_04,14,S106,0.05644850056153383,0.7192781935097515,-0.033482142857142905,8.10088273915321
P01_04,15,S002,-0.012615969669970742,0.17170679945914005,-0.017857142857142794,31.01397087031412
P01_04,15,S015,-0.041549578840112206,0.18875163390128238,0.0,26.902561248240485
P01_04,15,S018,-0.010242039969877234,0.22609116811168176,0.01666666666666672,39.467582603151484
P01_04,15,S030,-0.005838171507822961,0.2893510225431754,0.08035714285714285,44.40589085568043
P01_04,15,S043,-0.004461494089391328,0.20947697723219755,-0.04999999999999999,6.84788910360149
P01_04,15,S044,0.09895127036819831,0.4437974859535914,0.033333333333333326,25.070680319391073
P01_04,15,S066,0.004003176057451911,0.239561634218553,-0.04999999999999999,21.5255681192803
P01_04,15,S072,-0.061998352007843545,0.2572091154536847,0.016666666666666663,51.21917689782737
P01_04,15,S077,-0.018474949682838006,0.27242505262024447,0.001041666666666663,30.18583123296677
P01_04,15,S083,-0.03656777821860629,0.20656522694797871,-0.002232142857142849,30.28144893155493
P01_04,15,S088,0.05510728625736455,0.41680547508593824,2.7755575615628914e-17,13.44496832715627
P01_04,15,S095,0.006206068870130684,0.4268325812076836,0.06919642857142855,16.226966103487623
P01_04,15,S097,0.01535656323150566,0.2083832604761463,-0.016666666666666663,8.339608138692157
P01_04,15,S102,-0.004614457886826904,0.21884022130007508,-0.06666666666666665,36.045869919207426
P01_04,15,S106,0.036843993221784416,0.23537134302798257,-0.035714285714285754,23.03426889930021
P01_04,16,S002,0.021358247720754862,0.5622629028409347,-0.024553571428571397,24.041400152818653
