fold,seed,inner_fold,run,kind,draw,subject,n_trials,n_shifts,rescue_rate,harm_rate,net_rescue,stable_correct_rate,stable_wrong_rate,true_margin_change,correct_probability_change,prediction_flip_rate,ce_change,ba_change,confidence_change
0,0,0,0_0,matched_random,9,16,200,12,0.00125,0.0,0.00125,0.905,0.09375,-0.0003469405594902734,-3.640609991387821e-05,0.00125,5.247451289384652e-05,0.0012500000000000011,-3.3045181402993944e-05
0,0,0,0_0,matched_random,9,24,200,12,0.005416666666666667,0.004166666666666667,0.0012500000000000002,0.7058333333333333,0.28458333333333335,-0.00011617739219218492,-2.0375771524709196e-05,0.009583333333333333,3.3480499347298284e-05,0.0012500000000000104,8.034540428155426e-06
0,0,0,0_0,matched_random,9,37,200,12,0.0,0.0,0.0,0.975,0.025,-0.00034799998936553794,-1.2599821259655109e-05,0.0,1.877464212932215e-05,0.0,-1.2536616522732016e-05
0,0,0,0_0,matched_random,9,41,200,12,0.01,0.006666666666666667,0.003333333333333333,0.7183333333333334,0.265,-7.185233058407902e-05,-1.9905641925331348e-05,0.016666666666666666,6.009529748132636e-05,0.003333333333333336,7.536657488948893e-05
0,0,0,0_0,matched_random,9,42,200,12,0.0016666666666666668,0.0004166666666666667,0.00125,0.7745833333333333,0.22333333333333333,-0.00010765566412980357,-1.632260811018153e-05,0.0020833333333333333,2.337415592745961e-05,0.0012500000000000011,-2.8469959262404503e-05
0,0,0,0_0,matched_random,9,43,200,12,0.0,0.005,-0.005,0.845,0.15,-0.0001600691396743059,-2.3506942961460964e-05,0.005,4.0539394266297825e-05,-0.005000000000000097,5.948663574708163e-06
0,0,0,0_0,matched_random,10,7,200,12,0.00625,0.0008333333333333334,0.005416666666666667,0.7991666666666667,0.19375,0.00023934278753586112,-0.0003436701175702584,0.007083333333333333,0.0010771992147609452,0.0054166666666666625,0.00012380396946766643
0,0,0,0_0,matched_random,10,16,200,12,0.0008333333333333334,0.0,0.0008333333333333334,0.905,0.09416666666666666,0.0008051338139921427,-2.9926915412398686e-06,0.0008333333333333334,3.9500809562965586e-05,0.000833333333333334,3.2956978747852494e-05
0,0,0,0_0,matched_random,10,24,200,12,0.0075,0.0016666666666666668,0.005833333333333333,0.7083333333333334,0.2825,0.00020728640646363298,0.00029116724428672144,0.009166666666666667,-0.001335270251829662,0.005833333333333339,-0.00032276861824875235
0,0,0,0_0,matched_random,10,37,200,12,0.0,0.0,0.0,0.975,0.025,0.0011154159158468246,9.21790465017747e-05,0.0,-0.00011674220418889806,0.0,0.00012828618439493741
0,0,0,0_0,matched_random,10,41,200,12,0.012083333333333333,0.00375,0.008333333333333333,0.72125,0.2629166666666667,0.0002662857404599587,2.759417350888604e-05,0.015833333333333335,0.00011565311049618252,0.00833333333333334,0.0003259898052718719
0,0,0,0_0,matched_random,10,42,200,12,0.0008333333333333334,0.00125,-0.00041666666666666664,0.77375,0.22416666666666665,0.0003231345908716321,0.0001809887162606719,0.0020833333333333333,-0.0008145400226795321,-0.000416666666666667,-0.0003137482039183388
0,0,0,0_0,matched_random,10,43,200,12,0.0,0.00625,-0.00625,0.84375,0.15,0.0005578421878938873,-0.00012903909163441672,0.00625,0.0007336961644244803,-0.006250000000000107,0.000298444974250547
0,0,0,0_0,matched_random,11,7,200,12,0.01,0.0008333333333333334,0.009166666666666667,0.7991666666666667,0.19,-0.00018059498940904936,0.0003054661988873073,0.010833333333333334,-0.0009099808237075311,0.00916666666666662,-1.1519510907355933e-05
0,0,0,0_0,matched_random,11,16,200,12,0.0020833333333333333,0.0,0.0020833333333333333,0.905,0.09291666666666666,-0.0009107441967353225,-4.724496559700923e-05,0.0020833333333333333,7.169488766021571e-05,0.002083333333333335,-6.719018284825013e-05
0,0,0,0_0,matched_random,11,24,200,12,0.005,0.007916666666666667,-0.0029166666666666672,0.7020833333333333,0.285,-0.00019015282780552903,-0.00030654618508242583,0.012916666666666667,0.001446923474124877,-0.0029166666666666508,0.0004504905432942798
0,0,0,0_0,matched_random,11,37,200,12,0.0,0.00125,-0.00125,0.97375,0.025,-0.0010357633768580854,-0.00011456289184112694,0.00125,0.0001644232828703613,-0.0012500000000000011,-0.00014054777773481474
0,0,0,0_0,matched_random,11,41,200,12,0.011666666666666667,0.011666666666666667,0.0,0.7133333333333334,0.2633333333333333,-0.0002741197395759324,-6.268423394303023e-05,0.023333333333333334,7.388353765232766e-05,0.0,-2.1290941823624797e-05
