setting_id,fold,seed,method,lambda,I_ERM,I_method,S_I_abs,S_I_rel,checkpoint_sha256,task_outcome_accessed_for_selection
S4,1,2,CORAL,1.0,0.07953905921671778,0.07769130785458112,0.0018477513621366626,0.023230741981482544,62baf8ab87d30cd2bf31000cfc9bea9b8fc2a7785e45fe1008b4fe33b4b40d94,False
S4,2,0,DANN,0.01,0.0835119333635661,0.06620494454034387,0.017306988823222236,0.20723970965526162,72c47e309234c6ad93cbf99f8844084191f21fb2a311f1b696d4d4253684c5f6,False
S4,2,0,DANN,0.1,0.0835119333635661,0.058958620909363324,0.02455331245420278,0.294009627905713,93d4a3c3fb87f7ef01d0a7562863ad5550c80cb013eb581bb8c70b77bc9428ec,False
S4,2,0,DANN,1.0,0.0835119333635661,0.1051510720477773,-0.02163913868421119,-0.25911433028076225,b9a293192de3d18a1f3841e804249fa14822cba91dad88ff725524026735efd3,False
S4,2,0,MMD,0.01,0.0835119333635661,0.0835119333635661,0.0,0.0,9897410145c2eaa4809bf5a402a9da149d7d2e7b8bff2e3edbef8f8657dcf5b7,False
S4,2,0,MMD,0.1,0.0835119333635661,0.08768588798456656,-0.004173954621000453,-0.049980337573785005,ac7ca68d73630e2c4fb9586b8ac099f631c190877f86183082c6885fd7a347f6,False
S4,2,0,MMD,1.0,0.0835119333635661,0.08828598054041481,-0.004774047176848706,-0.057166047827056074,71a0ea02f32116c2b18cef60249668ca3fcf659c63e204835cde37d8176f2151,False
S4,2,0,CORAL,0.01,0.0835119333635661,0.08494806655594611,-0.001436133192380007,-0.017196742244137225,2f5613935264fcc62bd038dfcb8bc992f3845f209b55a329f327a226cfd50151,False
S4,2,0,CORAL,0.1,0.0835119333635661,0.08352605288220527,-1.4119518639166273e-05,-0.0001690718687774644,42d472338d759d2089e09ca736025a2101e7c01270e2ee6e90202b1eef3827dd,False
S4,2,0,CORAL,1.0,0.0835119333635661,0.08570746072087809,-0.0021955273573119882,-0.026289983585071026,01bb286c16b6c9986e8468f2970a59a62809c69a11f9e6d8cd579cbc1c4a5013,False
S4,2,1,DANN,0.01,0.07784878692184272,0.06288515611310186,0.014963630808740858,0.1922140523984217,ccbd036b34cbfa627029cf6eb70ad76df47609826ffb1185439d4d98bde75492,False
S4,2,1,DANN,0.1,0.07784878692184272,0.05851606620150984,0.019332720720332874,0.2483368268730233,bfb71d86068b1b260f234d3385dd056cc4d16b413b7633603f034dbbdba16157,False
S4,2,1,DANN,1.0,0.07784878692184272,0.10638257768538284,-0.028533790763540123,-0.36652839294490813,69b439a087a4b45f6b38f53f64498791abf5f5fc6d6f5c55b7046504124e0e17,False
S4,2,1,MMD,0.01,0.07784878692184272,0.07856867916698551,-0.0007198922451427947,-0.009247314872822519,f06f837a2193b3e2e54f0aeb6bf1e2d3e497188ec15479e25472da599578f664,False
