dataset,seed,fold,target,model,gain_mae,sign_balanced_accuracy,spearman,alpha,mae,underestimation_rate
hmc,2,0,benefit,pairwise_sign_gain,0.03837500486913104,0.6187419768934532,0.14991786014491298,,,
hmc,2,0,benefit,constant_zero,0.02256944444444445,0.5,,,,
hmc,2,0,benefit,global_mean,0.025381944444444447,0.5,,,,
hmc,2,0,benefit,entropy_only,0.024373996891398884,0.5,0.07774882412578617,,,
hmc,2,0,benefit,agreement_only,0.024023326962478605,0.5,0.10109533513844363,,,
hmc,2,0,risk,elastic_net,,,,0.1,2.8246662523493518,0.4222222222222222
hmc,2,0,risk,hist_gradient_boosting,,,,0.1,2.4409657596907848,0.5222222222222223
hmc,2,0,risk,constant_critical_index,,,,0.1,2.4555555555555557,0.5
hmc,2,0,risk,action_mean,,,,0.1,2.085185185185185,0.5888888888888889
hmc,2,0,risk,elastic_net,,,,0.2,5.933009277227732,0.4444444444444444
hmc,2,0,risk,hist_gradient_boosting,,,,0.2,4.292364580283067,0.5111111111111111
hmc,2,0,risk,constant_critical_index,,,,0.2,3.511111111111111,0.4222222222222222
hmc,2,0,risk,action_mean,,,,0.2,3.5377777777777784,0.5444444444444444
hmc,2,1,benefit,elastic_net,0.02948264646767368,0.5229142185663924,0.22585808126860352,,,
hmc,2,1,benefit,hist_gradient_boosting,0.03185082826013141,0.5205640423031728,0.050544379265137884,,,
hmc,2,1,benefit,pairwise_sign_gain,0.042564681843425795,0.5205640423031728,0.07595972755566009,,,
hmc,2,1,benefit,constant_zero,0.02513888888888889,0.5,,,,
hmc,2,1,benefit,global_mean,0.02543055555555556,0.5,,,,
hmc,2,1,benefit,entropy_only,0.026589095954109427,0.5910693301997649,0.08039492229098687,,,
hmc,2,1,benefit,agreement_only,0.025483034151409043,0.5,-0.08481657190691098,,,
hmc,2,1,risk,elastic_net,,,,0.1,3.055592247383509,0.4444444444444444
hmc,2,1,risk,hist_gradient_boosting,,,,0.1,2.251918380771311,0.5111111111111111
hmc,2,1,risk,constant_critical_index,,,,0.1,2.3444444444444446,0.37777777777777777
hmc,2,1,risk,action_mean,,,,0.1,1.9518518518518522,0.5222222222222223
hmc,2,1,risk,elastic_net,,,,0.2,5.745929588225534,0.4888888888888889
hmc,2,1,risk,hist_gradient_boosting,,,,0.2,3.846272336599619,0.4666666666666667
hmc,2,1,risk,constant_critical_index,,,,0.2,3.533333333333333,0.4888888888888889
hmc,2,1,risk,action_mean,,,,0.2,3.4933333333333336,0.4666666666666667
hmc,2,2,benefit,elastic_net,0.03772490094137029,0.34724005134788194,-0.23103136068646513,,,
hmc,2,2,benefit,hist_gradient_boosting,0.0354729760891187,0.4685494223363286,0.10684424804945909,,,
hmc,2,2,benefit,pairwise_sign_gain,0.05222046925688583,0.389602053915276,-0.22307367765859262,,,
hmc,2,2,benefit,constant_zero,0.025763888888888895,0.5,,,,
hmc,2,2,benefit,global_mean,0.02776620370370371,0.5,,,,
hmc,2,2,benefit,entropy_only,0.02768706411657503,0.5,-0.030078318159503733,,,
hmc,2,2,benefit,agreement_only,0.026934773391183404,0.5,-0.0413490564686993,,,
hmc,2,2,risk,elastic_net,,,,0.1,3.097244414202943,0.4777777777777778
hmc,2,2,risk,hist_gradient_boosting,,,,0.1,2.6434021732440884,0.45555555555555555
hmc,2,2,risk,constant_critical_index,,,,0.1,2.6333333333333333,0.4888888888888889
hmc,2,2,risk,action_mean,,,,0.1,2.3325925925925923,0.45555555555555555
hmc,2,2,risk,elastic_net,,,,0.2,5.422902982529442,0.4777777777777778
hmc,2,2,risk,hist_gradient_boosting,,,,0.2,4.3196814880542656,0.4222222222222222
hmc,2,2,risk,constant_critical_index,,,,0.2,3.933333333333333,0.5
hmc,2,2,risk,action_mean,,,,0.2,3.8829629629629627,0.4777777777777778
hmc,2,3,benefit,elastic_net,0.03182446757379487,0.5111111111111111,0.05243789581237359,,,
hmc,2,3,benefit,hist_gradient_boosting,0.035274569331073626,0.43333333333333335,-0.01381962636101131,,,
hmc,2,3,benefit,pairwise_sign_gain,0.0439673272679376,0.5333333333333333,-0.05647158010563311,,,
hmc,2,3,benefit,constant_zero,0.02513888888888889,0.5,,,,
hmc,2,3,benefit,global_mean,0.02767592592592593,0.5,,,,
hmc,2,3,benefit,entropy_only,0.02634181019537514,0.4666666666666667,0.14486934227706486,,,
hmc,2,3,benefit,agreement_only,0.02674608082705649,0.5,0.14189638023910095,,,
hmc,2,3,risk,elastic_net,,,,0.1,2.965835462054937,0.5222222222222223
hmc,2,3,risk,hist_gradient_boosting,,,,0.1,2.942899911716794,0.43333333333333335
hmc,2,3,risk,constant_critical_index,,,,0.1,2.7111111111111112,0.4222222222222222
hmc,2,3,risk,action_mean,,,,0.1,2.488888888888889,0.5
hmc,2,3,risk,elastic_net,,,,0.2,5.909366100794815,0.4777777777777778
hmc,2,3,risk,hist_gradient_boosting,,,,0.2,5.384750077826407,0.4777777777777778
hmc,2,3,risk,constant_critical_index,,,,0.2,4.588888888888889,0.4888888888888889
hmc,2,3,risk,action_mean,,,,0.2,4.5051851851851845,0.5111111111111111
hmc,2,4,benefit,elastic_net,0.031115414855253185,0.47619047619047616,-0.14134858129880093,,,
hmc,2,4,benefit,hist_gradient_boosting,0.030552022932416188,0.5238095238095238,0.018884207316859723,,,
hmc,2,4,benefit,pairwise_sign_gain,0.0458934637508194,0.4246031746031746,-0.26095778489483096,,,
hmc,2,4,benefit,constant_zero,0.02423611111111111,0.5,,,,
hmc,2,4,benefit,global_mean,0.024763888888888884,0.5,,,,
hmc,2,4,benefit,entropy_only,0.025343811312648807,0.5515873015873016,-0.05328278848718371,,,
hmc,2,4,benefit,agreement_only,0.024606848982108347,0.5,0.012321240341431885,,,
hmc,2,4,risk,elastic_net,,,,0.1,2.664639576472578,0.4777777777777778
hmc,2,4,risk,hist_gradient_boosting,,,,0.1,2.2317548316137072,0.5777777777777777
hmc,2,4,risk,constant_critical_index,,,,0.1,2.311111111111111,0.43333333333333335
hmc,2,4,risk,action_mean,,,,0.1,2.07037037037037,0.4777777777777778
hmc,2,4,risk,elastic_net,,,,0.2,5.716672789774553,0.5333333333333333
hmc,2,4,risk,hist_gradient_boosting,,,,0.2,4.3750600925670335,0.5666666666666667
hmc,2,4,risk,constant_critical_index,,,,0.2,3.7333333333333334,0.5
hmc,2,4,risk,action_mean,,,,0.2,3.662962962962963,0.4777777777777778
hmc,3,0,benefit,elastic_net,0.033179035950183434,0.4493844049247606,0.174748017454863,,,
hmc,3,0,benefit,hist_gradient_boosting,0.03228544202620902,0.53077975376197,0.05754332338457215,,,
hmc,3,0,benefit,pairwise_sign_gain,0.049417746642329216,0.49658002735978113,0.09711659731119819,,,
hmc,3,0,benefit,constant_zero,0.02638888888888889,0.5,,,,
hmc,3,0,benefit,global_mean,0.02714814814814815,0.5,,,,
hmc,3,0,benefit,entropy_only,0.028879805234466698,0.6833105335157319,0.21453376881425656,,,
hmc,3,0,benefit,agreement_only,0.026045945530786655,0.5,0.2413464343594611,,,
hmc,3,0,risk,elastic_net,,,,0.1,2.157492599407441,0.4666666666666667
hmc,3,0,risk,hist_gradient_boosting,,,,0.1,2.066038658362829,0.4777777777777778
hmc,3,0,risk,constant_critical_index,,,,0.1,2.066666666666667,0.43333333333333335
hmc,3,0,risk,action_mean,,,,0.1,1.894074074074074,0.5
hmc,3,0,risk,elastic_net,,,,0.2,3.669372213886178,0.5
hmc,3,0,risk,hist_gradient_boosting,,,,0.2,3.840069402289918,0.5111111111111111
hmc,3,0,risk,constant_critical_index,,,,0.2,3.066666666666667,0.4888888888888889
hmc,3,0,risk,action_mean,,,,0.2,3.005185185185185,0.4666666666666667
hmc,3,1,benefit,elastic_net,0.033070363081575814,0.47777777777777775,0.1925675186719536,,,
hmc,3,1,benefit,hist_gradient_boosting,0.02977807060223066,0.5,0.3535093698733623,,,
hmc,3,1,benefit,pairwise_sign_gain,0.04414163033788133,0.33333333333333337,0.1352554225440725,,,
hmc,3,1,benefit,constant_zero,0.024444444444444442,0.5,,,,
hmc,3,1,benefit,global_mean,0.026736111111111113,0.5,,,,
hmc,3,1,benefit,entropy_only,0.027371375700222536,0.6333333333333333,0.30544901845104644,,,
hmc,3,1,benefit,agreement_only,0.024847394263571028,0.5,0.31414424503158467,,,
hmc,3,1,risk,elastic_net,,,,0.1,2.813133269025688,0.5111111111111111
hmc,3,1,risk,hist_gradient_boosting,,,,0.1,1.739517137108187,0.5333333333333333
hmc,3,1,risk,constant_critical_index,,,,0.1,2.2333333333333334,0.45555555555555555
hmc,3,1,risk,action_mean,,,,0.1,1.9866666666666666,0.5444444444444444
hmc,3,1,risk,elastic_net,,,,0.2,4.503080822146085,0.5555555555555556
hmc,3,1,risk,hist_gradient_boosting,,,,0.2,2.6557888739584876,0.4777777777777778
hmc,3,1,risk,constant_critical_index,,,,0.2,3.0555555555555554,0.45555555555555555
hmc,3,1,risk,action_mean,,,,0.2,2.986666666666667,0.45555555555555555
hmc,3,2,benefit,elastic_net,0.02650171079424745,0.4318181818181818,0.05263160567647384,,,
hmc,3,2,benefit,hist_gradient_boosting,0.024536414718388598,0.39204545454545453,0.2349915933568043,,,
hmc,3,2,benefit,pairwise_sign_gain,0.036923667896925,0.5340909090909092,0.08430146014450855,,,
hmc,3,2,benefit,constant_zero,0.019583333333333338,0.5,,,,
hmc,3,2,benefit,global_mean,0.02351851851851852,0.5,,,,
hmc,3,2,benefit,entropy_only,0.023166027505162612,0.5397727272727273,0.18047556528241487,,,
hmc,3,2,benefit,agreement_only,0.021203555838214847,0.5,0.29051041459769894,,,
hmc,3,2,risk,elastic_net,,,,0.1,2.9241672483102774,0.45555555555555555
hmc,3,2,risk,hist_gradient_boosting,,,,0.1,3.1985491456469775,0.6222222222222222
hmc,3,2,risk,constant_critical_index,,,,0.1,2.7111111111111112,0.43333333333333335
hmc,3,2,risk,action_mean,,,,0.1,2.6044444444444443,0.6333333333333333
hmc,3,2,risk,elastic_net,,,,0.2,4.798121400122252,0.4444444444444444
hmc,3,2,risk,hist_gradient_boosting,,,,0.2,4.330003237026678,0.6
hmc,3,2,risk,constant_critical_index,,,,0.2,3.8555555555555556,0.4444444444444444
hmc,3,2,risk,action_mean,,,,0.2,3.842962962962963,0.5222222222222223
hmc,3,3,benefit,elastic_net,0.020983329333093905,0.5232919254658386,0.4430330436618545,,,
hmc,3,3,benefit,hist_gradient_boosting,0.02219211659961213,0.562111801242236,0.4045115839137773,,,
hmc,3,3,benefit,pairwise_sign_gain,0.02764015324071455,0.5481366459627329,0.28079757147160195,,,
hmc,3,3,benefit,constant_zero,0.02020833333333333,0.5,,,,
hmc,3,3,benefit,global_mean,0.021599537037037042,0.5,,,,
hmc,3,3,benefit,entropy_only,0.02198330198120992,0.5496894409937888,0.07331389772924048,,,
hmc,3,3,benefit,agreement_only,0.020385291871328988,0.5,0.33546719401823644,,,
hmc,3,3,risk,elastic_net,,,,0.1,3.361822730032257,0.4777777777777778
hmc,3,3,risk,hist_gradient_boosting,,,,0.1,2.791365173634556,0.5666666666666667
hmc,3,3,risk,constant_critical_index,,,,0.1,2.6,0.4111111111111111
hmc,3,3,risk,action_mean,,,,0.1,2.3688888888888893,0.6
hmc,3,3,risk,elastic_net,,,,0.2,5.117072468901708,0.5555555555555556
hmc,3,3,risk,hist_gradient_boosting,,,,0.2,4.125206126837306,0.5444444444444444
hmc,3,3,risk,constant_critical_index,,,,0.2,3.8222222222222224,0.34444444444444444
hmc,3,3,risk,action_mean,,,,0.2,3.8,0.4666666666666667
hmc,3,4,benefit,elastic_net,0.02422324949006638,0.5222222222222223,0.29161995347235564,,,
hmc,3,4,benefit,hist_gradient_boosting,0.02674043553109546,0.37777777777777777,0.23629159902919658,,,
hmc,3,4,benefit,pairwise_sign_gain,0.032412886884598036,0.5444444444444445,0.2716741164077309,,,
hmc,3,4,benefit,constant_zero,0.023125,0.5,,,,
hmc,3,4,benefit,global_mean,0.026763888888888903,0.5,,,,
hmc,3,4,benefit,entropy_only,0.026433913055059134,0.5888888888888889,0.2086013848155043,,,
hmc,3,4,benefit,agreement_only,0.023498545852349277,0.5,0.3518845796250891,,,
hmc,3,4,risk,elastic_net,,,,0.1,2.5496656592501736,0.4777777777777778
hmc,3,4,risk,hist_gradient_boosting,,,,0.1,2.3323421182168818,0.5666666666666667
hmc,3,4,risk,constant_critical_index,,,,0.1,2.1444444444444444,0.43333333333333335
hmc,3,4,risk,action_mean,,,,0.1,1.8614814814814815,0.5444444444444444
hmc,3,4,risk,elastic_net,,,,0.2,4.754894920468548,0.4777777777777778
hmc,3,4,risk,hist_gradient_boosting,,,,0.2,3.657055735145625,0.5222222222222223
hmc,3,4,risk,constant_critical_index,,,,0.2,3.2333333333333334,0.4444444444444444
hmc,3,4,risk,action_mean,,,,0.2,3.1555555555555563,0.5333333333333333
hmc,4,0,benefit,elastic_net,0.025291658931981927,0.5028409090909092,0.2642079359306907,,,
hmc,4,0,benefit,hist_gradient_boosting,0.025473820766345894,0.5823863636363636,0.33617806459635785,,,
hmc,4,0,benefit,pairwise_sign_gain,0.03469338730615072,0.53125,0.11274560162665363,,,
hmc,4,0,benefit,constant_zero,0.022638888888888882,0.5,,,,
hmc,4,0,benefit,global_mean,0.02762962962962963,0.5,,,,
hmc,4,0,benefit,entropy_only,0.026513579127932004,0.5,0.1871402536608119,,,
hmc,4,0,benefit,agreement_only,0.025862578404817854,0.5,0.28809573035565267,,,
hmc,4,0,risk,elastic_net,,,,0.1,3.2261520199079143,0.4777777777777778
hmc,4,0,risk,hist_gradient_boosting,,,,0.1,2.643895724472726,0.5777777777777777
hmc,4,0,risk,constant_critical_index,,,,0.1,2.6777777777777776,0.4444444444444444
hmc,4,0,risk,action_mean,,,,0.1,2.391111111111111,0.5333333333333333
hmc,4,0,risk,elastic_net,,,,0.2,4.9286656149641175,0.4666666666666667
hmc,4,0,risk,hist_gradient_boosting,,,,0.2,4.581629221989308,0.5444444444444444
hmc,4,0,risk,constant_critical_index,,,,0.2,3.988888888888889,0.4666666666666667
hmc,4,0,risk,action_mean,,,,0.2,3.782962962962963,0.4666666666666667
hmc,4,1,benefit,elastic_net,0.024757664986963086,0.5476190476190476,0.3550894944034188,,,
hmc,4,1,benefit,hist_gradient_boosting,0.02547588210286177,0.5079365079365079,0.2716843881581466,,,
hmc,4,1,benefit,pairwise_sign_gain,0.03335848116837521,0.5674603174603174,0.2812380192871564,,,
hmc,4,1,benefit,constant_zero,0.02604166666666667,0.5,,,,
