model,model_priority,dataset,dataset_priority,task_family,A_COMP_1,A_COMP_2,A_COMP_3,A_COMP_4,A_COMP_5,A_COMP_6,A_COMP_7,A_COMP_8,A_COMP_9,A_COMP_10,subject_coverage,sample_coverage,compatible,semantic_reason,checkpoint_status,code_commit,checkpoint_sha256
neurogpt,5,sleepedffull,2,sleep staging,False,False,False,True,False,False,False,False,True,True,0.0,0.0,False,dataset is not present; no subject/sample coverage,official_hf_checkpoint_available_not_needed_after_gate,230571d45ca4369b82f33ab42fc00863c2f95598,
neurogpt,5,bcic2a,3,motor imagery,False,True,True,True,True,True,False,False,True,True,1.0,1.0,False,"official project targets BCIC2A, but exact frozen checkpoint compatibility still requires a loadable checkpoint audit",official_hf_checkpoint_available_not_needed_after_gate,230571d45ca4369b82f33ab42fc00863c2f95598,
biot,6,hmc,0,sleep staging,True,True,False,False,False,False,False,False,True,True,0.0,0.0,False,"PREST tokens 10/14 mean C3-P3/C4-P4, not C3-M2/C4-M1",local_verified,d138e32634e52ae9fa6ec98ac9c4087b14ca869a,40f55f5d23e83796495616c8145c8336fcff2b901c42e8ba5115223081c2ad70
biot,6,eegmmidb,1,motor imagery/execution,True,True,True,True,True,True,True,True,True,True,1.0,1.0,True,the exact 16 PREST bipolar montages can be derived from the 64 referential electrodes,local_verified,d138e32634e52ae9fa6ec98ac9c4087b14ca869a,40f55f5d23e83796495616c8145c8336fcff2b901c42e8ba5115223081c2ad70
biot,6,sleepedffull,2,sleep staging,False,False,False,True,False,False,False,False,True,True,0.0,0.0,False,dataset is not present; no subject/sample coverage,local_verified,d138e32634e52ae9fa6ec98ac9c4087b14ca869a,40f55f5d23e83796495616c8145c8336fcff2b901c42e8ba5115223081c2ad70
biot,6,bcic2a,3,motor imagery,False,True,False,True,False,False,False,False,True,True,0.0,0.0,False,BCIC2A lacks the electrodes required for the fixed PREST 16-montage set,local_verified,d138e32634e52ae9fa6ec98ac9c4087b14ca869a,40f55f5d23e83796495616c8145c8336fcff2b901c42e8ba5115223081c2ad70
labram,7,hmc,0,sleep staging,True,True,False,False,False,False,False,False,True,True,0.0,0.0,False,referential C3/C4 position tokens cannot represent C3-M2/C4-M1,local_verified,c431221e6cfd23dbfa9950e0180682fb322b0548,7c50583826afac76c4ab18f43d958df40496c8229accc09ed6a227c9bb57c37c
labram,7,eegmmidb,1,motor imagery/execution,True,True,True,True,True,True,True,True,True,True,1.0,1.0,True,dataset contains named referential 10-20 electrodes covered by official standard_1020 identities,local_verified,c431221e6cfd23dbfa9950e0180682fb322b0548,7c50583826afac76c4ab18f43d958df40496c8229accc09ed6a227c9bb57c37c
labram,7,sleepedffull,2,sleep staging,False,False,False,True,False,False,False,False,True,True,0.0,0.0,False,dataset is not present; no subject/sample coverage,local_verified,c431221e6cfd23dbfa9950e0180682fb322b0548,7c50583826afac76c4ab18f43d958df40496c8229accc09ed6a227c9bb57c37c
labram,7,bcic2a,3,motor imagery,False,True,True,True,True,True,False,False,True,True,1.0,1.0,False,dataset contains named referential 10-20 electrodes covered by official standard_1020 identities,local_verified,c431221e6cfd23dbfa9950e0180682fb322b0548,7c50583826afac76c4ab18f43d958df40496c8229accc09ed6a227c9bb57c37c
