dataset,subject_id,fold,seed,method,BA,macro_F1,accuracy,trials
OpenBMI,51,0,1,LOGIT50,0.67,0.6659580929243851,0.67,100
OpenBMI,54,0,1,EEGNet,0.77,0.7699769976997699,0.77,100
OpenBMI,54,0,1,LiteBN,0.73,0.7266929851199515,0.73,100
OpenBMI,54,0,1,LOGIT50,0.8,0.7996794871794872,0.8,100
OpenBMI,4,0,2,EEGNet,0.78,0.7767857142857143,0.78,100
OpenBMI,4,0,2,LiteBN,0.76,0.75,0.76,100
OpenBMI,4,0,2,LOGIT50,0.79,0.7863899908452854,0.79,100
OpenBMI,12,0,2,EEGNet,0.69,0.6862030569895738,0.69,100
OpenBMI,12,0,2,LiteBN,0.77,0.7647058823529411,0.77,100
OpenBMI,12,0,2,LOGIT50,0.79,0.7894736842105263,0.79,100
OpenBMI,13,0,2,EEGNet,0.71,0.7097387648883995,0.71,100
OpenBMI,13,0,2,LiteBN,0.69,0.6892230576441103,0.69,100
OpenBMI,13,0,2,LOGIT50,0.7,0.696969696969697,0.7,100
OpenBMI,17,0,2,EEGNet,0.5800000000000001,0.5586380832282472,0.58,100
OpenBMI,17,0,2,LiteBN,0.6799999999999999,0.6798719487795117,0.68,100
OpenBMI,17,0,2,LOGIT50,0.6,0.5941558441558441,0.6,100
OpenBMI,18,0,2,EEGNet,0.69,0.6899689968996899,0.69,100
OpenBMI,18,0,2,LiteBN,0.65,0.64996499649965,0.65,100
OpenBMI,18,0,2,LOGIT50,0.69,0.6899689968996899,0.69,100
OpenBMI,24,0,2,EEGNet,0.5800000000000001,0.525101763907734,0.58,100
OpenBMI,24,0,2,LiteBN,0.56,0.5331069609507639,0.56,100
OpenBMI,24,0,2,LOGIT50,0.56,0.5164835164835164,0.56,100
OpenBMI,25,0,2,EEGNet,0.99,0.9899989998999901,0.99,100
OpenBMI,25,0,2,LiteBN,0.99,0.9899989998999901,0.99,100
OpenBMI,25,0,2,LOGIT50,0.99,0.9899989998999901,0.99,100
OpenBMI,29,0,2,EEGNet,0.75,0.7497747973175859,0.75,100
OpenBMI,29,0,2,LiteBN,0.84,0.8376623376623377,0.84,100
OpenBMI,29,0,2,LOGIT50,0.81,0.8090644156366193,0.81,100
OpenBMI,36,0,2,EEGNet,0.8200000000000001,0.8152709359605912,0.82,100
OpenBMI,36,0,2,LiteBN,0.8799999999999999,0.8795664391810518,0.88,100
OpenBMI,36,0,2,LOGIT50,0.8799999999999999,0.8795664391810518,0.88,100
OpenBMI,37,0,2,EEGNet,0.73,0.7297567811029927,0.73,100
OpenBMI,37,0,2,LiteBN,0.6699999999999999,0.6396986570586308,0.67,100
OpenBMI,37,0,2,LOGIT50,0.73,0.7175436761167486,0.73,100
OpenBMI,39,0,2,EEGNet,0.66,0.6565656565656566,0.66,100
OpenBMI,39,0,2,LiteBN,0.68,0.6753246753246753,0.68,100
OpenBMI,39,0,2,LOGIT50,0.71,0.7064480210547626,0.71,100
OpenBMI,42,0,2,EEGNet,0.66,0.6532027743778049,0.66,100
OpenBMI,42,0,2,LiteBN,0.7,0.6995192307692308,0.7,100
OpenBMI,42,0,2,LOGIT50,0.69,0.6892230576441103,0.69,100
OpenBMI,51,0,2,EEGNet,0.81,0.8090644156366193,0.81,100
OpenBMI,51,0,2,LiteBN,0.72,0.7181964573268921,0.72,100
OpenBMI,51,0,2,LOGIT50,0.77,0.7688674505074866,0.77,100
OpenBMI,54,0,2,EEGNet,0.79,0.78997899789979,0.79,100
OpenBMI,54,0,2,LiteBN,0.72,0.7189883580891208,0.72,100
OpenBMI,54,0,2,LOGIT50,0.76,0.7599039615846338,0.76,100
OpenBMI,4,1,0,EEGNet,0.76,0.7575757575757576,0.76,100
OpenBMI,4,1,0,LiteBN,0.81,0.8076728413807066,0.81,100
OpenBMI,4,1,0,LOGIT50,0.81,0.8067338012409724,0.81,100
OpenBMI,12,1,0,EEGNet,0.75,0.7479584635547938,0.75,100
OpenBMI,12,1,0,LiteBN,0.76,0.7596153846153846,0.76,100
OpenBMI,12,1,0,LOGIT50,0.78,0.7799119647859143,0.78,100
OpenBMI,13,1,0,EEGNet,0.7,0.6921182266009853,0.7,100
OpenBMI,13,1,0,LiteBN,0.75,0.7479584635547938,0.75,100
OpenBMI,13,1,0,LOGIT50,0.75,0.7497747973175859,0.75,100
OpenBMI,17,1,0,EEGNet,0.66,0.6532027743778049,0.66,100
OpenBMI,17,1,0,LiteBN,0.7,0.6989160979526294,0.7,100
OpenBMI,17,1,0,LOGIT50,0.6799999999999999,0.6767676767676768,0.68,100
OpenBMI,18,1,0,EEGNet,0.71,0.7033248081841432,0.71,100
OpenBMI,18,1,0,LiteBN,0.77,0.7699769976997699,0.77,100
OpenBMI,18,1,0,LOGIT50,0.76,0.7591328783621036,0.76,100
OpenBMI,24,1,0,EEGNet,0.59,0.5327635327635327,0.59,100
OpenBMI,24,1,0,LiteBN,0.58,0.5495495495495495,0.58,100
OpenBMI,24,1,0,LOGIT50,0.59,0.5327635327635327,0.59,100
OpenBMI,25,1,0,EEGNet,1.0,1.0,1.0,100
OpenBMI,25,1,0,LiteBN,1.0,1.0,1.0,100
OpenBMI,25,1,0,LOGIT50,1.0,1.0,1.0,100
OpenBMI,29,1,0,EEGNet,0.86,0.859775641025641,0.86,100
OpenBMI,29,1,0,LiteBN,0.69,0.6874684948079444,0.69,100
OpenBMI,29,1,0,LOGIT50,0.84,0.8399359743897559,0.84,100
OpenBMI,36,1,0,EEGNet,0.94,0.9399038461538461,0.94,100
OpenBMI,36,1,0,LiteBN,0.95,0.9499949994999499,0.95,100
OpenBMI,36,1,0,LOGIT50,0.97,0.9699729756781104,0.97,100
OpenBMI,37,1,0,EEGNet,0.76,0.75,0.76,100
OpenBMI,37,1,0,LiteBN,0.73,0.712,0.73,100
OpenBMI,37,1,0,LOGIT50,0.77,0.7593890574327858,0.77,100
OpenBMI,39,1,0,EEGNet,0.74,0.7291666666666667,0.74,100
OpenBMI,39,1,0,LiteBN,0.81,0.8090644156366193,0.81,100
OpenBMI,39,1,0,LOGIT50,0.78,0.7796474358974359,0.78,100
OpenBMI,42,1,0,EEGNet,0.76,0.7584541062801933,0.76,100
OpenBMI,42,1,0,LiteBN,0.78,0.7777777777777778,0.78,100
OpenBMI,42,1,0,LOGIT50,0.75,0.7487689679429204,0.75,100
OpenBMI,51,1,0,EEGNet,0.75,0.7487689679429204,0.75,100
OpenBMI,51,1,0,LiteBN,0.71,0.7064480210547626,0.71,100
OpenBMI,51,1,0,LOGIT50,0.75,0.7487689679429204,0.75,100
OpenBMI,54,1,0,EEGNet,0.73,0.7293233082706767,0.73,100
OpenBMI,54,1,0,LiteBN,0.76,0.7599039615846338,0.76,100
OpenBMI,54,1,0,LOGIT50,0.75,0.74997499749975,0.75,100
OpenBMI,4,1,1,EEGNet,0.73,0.7277951406391774,0.73,100
OpenBMI,4,1,1,LiteBN,0.71,0.6906666666666667,0.71,100
OpenBMI,4,1,1,LOGIT50,0.73,0.7198879551820728,0.73,100
OpenBMI,12,1,1,EEGNet,0.6699999999999999,0.6683750376846548,0.67,100
OpenBMI,12,1,1,LiteBN,0.78,0.7796474358974359,0.78,100
OpenBMI,12,1,1,LOGIT50,0.8,0.7992773986350863,0.8,100
OpenBMI,13,1,1,EEGNet,0.68,0.6637242538881883,0.68,100
OpenBMI,13,1,1,LiteBN,0.6699999999999999,0.6576408341114224,0.67,100
OpenBMI,13,1,1,LOGIT50,0.63,0.6269785260610949,0.63,100
OpenBMI,17,1,1,EEGNet,0.6,0.5755517826825127,0.6,100
OpenBMI,17,1,1,LiteBN,0.62,0.6006725514922235,0.62,100
OpenBMI,17,1,1,LOGIT50,0.61,0.5882166613873931,0.61,100
OpenBMI,18,1,1,EEGNet,0.72,0.7126436781609196,0.72,100
OpenBMI,18,1,1,LiteBN,0.72,0.7159090909090908,0.72,100
OpenBMI,18,1,1,LOGIT50,0.73,0.7297567811029927,0.73,100
OpenBMI,24,1,1,EEGNet,0.62,0.5703301673450927,0.62,100
OpenBMI,24,1,1,LiteBN,0.5599999999999999,0.5280995280995281,0.56,100
OpenBMI,24,1,1,LOGIT50,0.62,0.5824175824175825,0.62,100
OpenBMI,25,1,1,EEGNet,1.0,1.0,1.0,100
OpenBMI,25,1,1,LiteBN,0.98,0.98,0.98,100
OpenBMI,25,1,1,LOGIT50,1.0,1.0,1.0,100
OpenBMI,29,1,1,EEGNet,0.81,0.8095238095238095,0.81,100
OpenBMI,29,1,1,LiteBN,0.82,0.8173701298701299,0.82,100
OpenBMI,29,1,1,LOGIT50,0.8200000000000001,0.8181818181818181,0.82,100
OpenBMI,36,1,1,EEGNet,0.8999999999999999,0.8993558776167472,0.9,100
OpenBMI,36,1,1,LiteBN,0.97,0.9699729756781104,0.97,100
OpenBMI,36,1,1,LOGIT50,0.94,0.9397832195905259,0.94,100
OpenBMI,37,1,1,EEGNet,0.73,0.7198879551820728,0.73,100
OpenBMI,37,1,1,LiteBN,0.74,0.7211497211497211,0.74,100
OpenBMI,37,1,1,LOGIT50,0.71,0.6871966346672419,0.71,100
OpenBMI,39,1,1,EEGNet,0.72,0.72,0.72,100
OpenBMI,39,1,1,LiteBN,0.74,0.7383252818035426,0.74,100
OpenBMI,39,1,1,LOGIT50,0.75,0.74997499749975,0.75,100
OpenBMI,42,1,1,EEGNet,0.6699999999999999,0.6601791782514674,0.67,100
OpenBMI,42,1,1,LiteBN,0.77,0.7694235588972431,0.77,100
OpenBMI,42,1,1,LOGIT50,0.72,0.7159090909090908,0.72,100
OpenBMI,51,1,1,EEGNet,0.6799999999999999,0.6794871794871795,0.68,100
OpenBMI,51,1,1,LiteBN,0.64,0.6305418719211823,0.64,100
OpenBMI,51,1,1,LOGIT50,0.69,0.6874684948079444,0.69,100
OpenBMI,54,1,1,EEGNet,0.66,0.6550324675324675,0.66,100
OpenBMI,54,1,1,LiteBN,0.75,0.7457023700539112,0.75,100
OpenBMI,54,1,1,LOGIT50,0.78,0.7796474358974359,0.78,100
OpenBMI,4,1,2,EEGNet,0.77,0.767182913250329,0.77,100
OpenBMI,4,1,2,LiteBN,0.76,0.7564935064935066,0.76,100
OpenBMI,4,1,2,LOGIT50,0.79,0.7874278773155178,0.79,100
OpenBMI,12,1,2,EEGNet,0.69,0.6656239887822242,0.69,100
OpenBMI,12,1,2,LiteBN,0.71,0.6991389148251893,0.71,100
OpenBMI,12,1,2,LOGIT50,0.8,0.7996794871794872,0.8,100
OpenBMI,13,1,2,EEGNet,0.72,0.72,0.72,100
OpenBMI,13,1,2,LiteBN,0.69,0.6899689968996899,0.69,100
OpenBMI,13,1,2,LOGIT50,0.74,0.7398959583833533,0.74,100
OpenBMI,17,1,2,EEGNet,0.56,0.5098039215686274,0.56,100
OpenBMI,17,1,2,LiteBN,0.64,0.6363636363636364,0.64,100
OpenBMI,17,1,2,LOGIT50,0.62,0.6072757337742869,0.62,100
OpenBMI,18,1,2,EEGNet,0.6699999999999999,0.6673051718923279,0.67,100
OpenBMI,18,1,2,LiteBN,0.8,0.7992773986350863,0.8,100
OpenBMI,18,1,2,LOGIT50,0.72,0.7181964573268921,0.72,100
OpenBMI,24,1,2,EEGNet,0.59,0.5327635327635327,0.59,100
OpenBMI,24,1,2,LiteBN,0.55,0.5021573182874212,0.55,100
OpenBMI,24,1,2,LOGIT50,0.5800000000000001,0.5320855614973261,0.58,100
OpenBMI,25,1,2,EEGNet,1.0,1.0,1.0,100
OpenBMI,25,1,2,LiteBN,0.99,0.9899989998999901,0.99,100
OpenBMI,25,1,2,LOGIT50,1.0,1.0,1.0,100
OpenBMI,29,1,2,EEGNet,0.69,0.6892230576441103,0.69,100
OpenBMI,29,1,2,LiteBN,0.9099999999999999,0.9099189270343309,0.91,100
OpenBMI,29,1,2,LOGIT50,0.87,0.8699869986998701,0.87,100
OpenBMI,36,1,2,EEGNet,0.84,0.8368013055895553,0.84,100
OpenBMI,36,1,2,LiteBN,0.95,0.9499549594635172,0.95,100
OpenBMI,36,1,2,LOGIT50,0.9299999999999999,0.9298245614035088,0.93,100
OpenBMI,37,1,2,EEGNet,0.65,0.6457131288591963,0.65,100
OpenBMI,37,1,2,LiteBN,0.66,0.6155585707824514,0.66,100
OpenBMI,37,1,2,LOGIT50,0.73,0.7149192271143491,0.73,100
OpenBMI,39,1,2,EEGNet,0.6799999999999999,0.6692848284415047,0.68,100
OpenBMI,39,1,2,LiteBN,0.73,0.7266929851199515,0.73,100
OpenBMI,39,1,2,LOGIT50,0.74,0.7362012987012987,0.74,100
OpenBMI,42,1,2,EEGNet,0.7,0.6956168831168831,0.7,100
OpenBMI,42,1,2,LiteBN,0.72,0.7159090909090908,0.72,100
OpenBMI,42,1,2,LOGIT50,0.74,0.7373737373737375,0.74,100
OpenBMI,51,1,2,EEGNet,0.77,0.7694235588972431,0.77,100
OpenBMI,51,1,2,LiteBN,0.7,0.7,0.7,100
OpenBMI,51,1,2,LOGIT50,0.75,0.74997499749975,0.75,100
OpenBMI,54,1,2,EEGNet,0.77,0.7699769976997699,0.77,100
OpenBMI,54,1,2,LiteBN,0.73,0.7286704853783539,0.73,100
OpenBMI,54,1,2,LOGIT50,0.77,0.7688674505074866,0.77,100
OpenBMI,4,2,0,EEGNet,0.74,0.7312939231087227,0.74,100
OpenBMI,4,2,0,LiteBN,0.8300000000000001,0.8295739348370927,0.83,100
OpenBMI,4,2,0,LOGIT50,0.81,0.8090644156366193,0.81,100
OpenBMI,12,2,0,EEGNet,0.67,0.6643271284711627,0.67,100
OpenBMI,12,2,0,LiteBN,0.77,0.7688674505074866,0.77,100
OpenBMI,12,2,0,LOGIT50,0.78,0.7777777777777778,0.78,100
OpenBMI,13,2,0,EEGNet,0.71,0.7097387648883995,0.71,100
OpenBMI,13,2,0,LiteBN,0.71,0.7092731829573935,0.71,100
OpenBMI,13,2,0,LOGIT50,0.73,0.7293233082706767,0.73,100
OpenBMI,17,2,0,EEGNet,0.5700000000000001,0.5538956323270048,0.57,100
OpenBMI,17,2,0,LiteBN,0.59,0.5670995670995671,0.59,100
OpenBMI,17,2,0,LOGIT50,0.62,0.5967741935483871,0.62,100
OpenBMI,18,2,0,EEGNet,0.7,0.6989160979526294,0.7,100
OpenBMI,18,2,0,LiteBN,0.7,0.7,0.7,100
OpenBMI,18,2,0,LOGIT50,0.69,0.6892230576441103,0.69,100
OpenBMI,24,2,0,EEGNet,0.61,0.5882166613873931,0.61,100
OpenBMI,24,2,0,LiteBN,0.62,0.5703301673450927,0.62,100
OpenBMI,24,2,0,LOGIT50,0.63,0.5906626839252129,0.63,100
OpenBMI,25,2,0,EEGNet,0.98,0.9799919967987194,0.98,100
OpenBMI,25,2,0,LiteBN,0.98,0.9799919967987194,0.98,100
OpenBMI,25,2,0,LOGIT50,0.98,0.98,0.98,100
OpenBMI,29,2,0,EEGNet,0.59,0.5849782366636299,0.59,100
OpenBMI,29,2,0,LiteBN,0.78,0.7799119647859143,0.78,100
OpenBMI,29,2,0,LOGIT50,0.77,0.7699769976997699,0.77,100
OpenBMI,36,2,0,EEGNet,0.77,0.7647058823529411,0.77,100
OpenBMI,36,2,0,LiteBN,0.9199999999999999,0.9198717948717949,0.92,100
OpenBMI,36,2,0,LOGIT50,0.8999999999999999,0.8996386993175431,0.9,100
OpenBMI,37,2,0,EEGNet,0.6100000000000001,0.6080795899909557,0.61,100
OpenBMI,37,2,0,LiteBN,0.75,0.7406369955389562,0.75,100
OpenBMI,37,2,0,LOGIT50,0.76,0.7536945812807883,0.76,100
OpenBMI,39,2,0,EEGNet,0.68,0.6753246753246753,0.68,100
OpenBMI,39,2,0,LiteBN,0.72,0.7189883580891208,0.72,100
OpenBMI,39,2,0,LOGIT50,0.74,0.7373737373737375,0.74,100
OpenBMI,42,2,0,EEGNet,0.6699999999999999,0.6691729323308271,0.67,100
OpenBMI,42,2,0,LiteBN,0.74,0.7348021215830274,0.74,100
OpenBMI,42,2,0,LOGIT50,0.74,0.7373737373737375,0.74,100
OpenBMI,51,2,0,EEGNet,0.7,0.7,0.7,100
OpenBMI,51,2,0,LiteBN,0.67,0.6659580929243851,0.67,100
OpenBMI,51,2,0,LOGIT50,0.72,0.7189883580891208,0.72,100
OpenBMI,54,2,0,EEGNet,0.74,0.7395833333333333,0.74,100
OpenBMI,54,2,0,LiteBN,0.8,0.7996794871794872,0.8,100
OpenBMI,54,2,0,LOGIT50,0.75,0.7497747973175859,0.75,100
OpenBMI,4,2,1,EEGNet,0.79,0.7889659330720531,0.79,100
OpenBMI,4,2,1,LiteBN,0.82,0.8173701298701299,0.82,100
OpenBMI,4,2,1,LOGIT50,0.79,0.7863899908452854,0.79,100
OpenBMI,12,2,1,EEGNet,0.71,0.7064480210547626,0.71,100
OpenBMI,12,2,1,LiteBN,0.8200000000000001,0.8197115384615384,0.82,100
OpenBMI,12,2,1,LOGIT50,0.79,0.7898108297467721,0.79,100
OpenBMI,13,2,1,EEGNet,0.75,0.7497747973175859,0.75,100
OpenBMI,13,2,1,LiteBN,0.65,0.6338529134846741,0.65,100
OpenBMI,13,2,1,LOGIT50,0.6599999999999999,0.6510673234811166,0.66,100
OpenBMI,17,2,1,EEGNet,0.55,0.5146154675870995,0.55,100
OpenBMI,17,2,1,LiteBN,0.54,0.5066495066495067,0.54,100
OpenBMI,17,2,1,LOGIT50,0.56,0.5164835164835164,0.56,100
OpenBMI,18,2,1,EEGNet,0.74,0.7383252818035426,0.74,100
OpenBMI,18,2,1,LiteBN,0.76,0.7596153846153846,0.76,100
OpenBMI,18,2,1,LOGIT50,0.72,0.7198879551820728,0.72,100
OpenBMI,24,2,1,EEGNet,0.62,0.5766488413547237,0.62,100
OpenBMI,24,2,1,LiteBN,0.5800000000000001,0.5384615384615385,0.58,100
OpenBMI,24,2,1,LOGIT50,0.6000000000000001,0.554367201426025,0.6,100
OpenBMI,25,2,1,EEGNet,0.98,0.9799919967987194,0.98,100
OpenBMI,25,2,1,LiteBN,0.97,0.96999699969997,0.97,100
OpenBMI,25,2,1,LOGIT50,0.98,0.98,0.98,100
OpenBMI,29,2,1,EEGNet,0.72,0.72,0.72,100
OpenBMI,29,2,1,LiteBN,0.88,0.8792270531400965,0.88,100
OpenBMI,29,2,1,LOGIT50,0.8300000000000001,0.8295739348370927,0.83,100
OpenBMI,36,2,1,EEGNet,0.79,0.7851662404092072,0.79,100
OpenBMI,36,2,1,LiteBN,0.97,0.9699729756781104,0.97,100
OpenBMI,36,2,1,LOGIT50,0.94,0.9397832195905259,0.94,100
OpenBMI,37,2,1,EEGNet,0.62,0.6193910256410255,0.62,100
OpenBMI,37,2,1,LiteBN,0.8500000000000001,0.849624060150376,0.85,100
OpenBMI,37,2,1,LOGIT50,0.81,0.8095238095238095,0.81,100
OpenBMI,39,2,1,EEGNet,0.74,0.7390606182256123,0.74,100
OpenBMI,39,2,1,LiteBN,0.73,0.7297567811029927,0.73,100
OpenBMI,39,2,1,LOGIT50,0.72,0.719551282051282,0.72,100
OpenBMI,42,2,1,EEGNet,0.68,0.6753246753246753,0.68,100
OpenBMI,42,2,1,LiteBN,0.71,0.7099709970997099,0.71,100
OpenBMI,42,2,1,LOGIT50,0.72,0.719551282051282,0.72,100
OpenBMI,51,2,1,EEGNet,0.69,0.6892230576441103,0.69,100
OpenBMI,51,2,1,LiteBN,0.58,0.5442708333333334,0.58,100
OpenBMI,51,2,1,LOGIT50,0.65,0.6338529134846741,0.65,100
OpenBMI,54,2,1,EEGNet,0.74,0.7398959583833533,0.74,100
OpenBMI,54,2,1,LiteBN,0.74,0.7383252818035426,0.74,100
OpenBMI,54,2,1,LOGIT50,0.77,0.769792813532179,0.77,100
OpenBMI,4,2,2,EEGNet,0.8,0.7960016319869441,0.8,100
OpenBMI,4,2,2,LiteBN,0.79,0.7851662404092072,0.79,100
OpenBMI,4,2,2,LOGIT50,0.8200000000000001,0.8164014687882497,0.82,100
OpenBMI,12,2,2,EEGNet,0.73,0.721964782205746,0.73,100
OpenBMI,12,2,2,LiteBN,0.7,0.6816638370118846,0.7,100
OpenBMI,12,2,2,LOGIT50,0.77,0.7688674505074866,0.77,100
OpenBMI,13,2,2,EEGNet,0.71,0.7099709970997099,0.71,100
OpenBMI,13,2,2,LiteBN,0.69,0.6897207486738064,0.69,100
OpenBMI,13,2,2,LOGIT50,0.7,0.6998799519807923,0.7,100
OpenBMI,17,2,2,EEGNet,0.53,0.48684354187138335,0.53,100
OpenBMI,17,2,2,LiteBN,0.62,0.6041666666666667,0.62,100
OpenBMI,17,2,2,LOGIT50,0.6,0.5796553173602353,0.6,100
OpenBMI,18,2,2,EEGNet,0.76,0.7552019583843329,0.76,100
OpenBMI,18,2,2,LiteBN,0.8300000000000001,0.8298468621759583,0.83,100
OpenBMI,18,2,2,LOGIT50,0.78,0.7777777777777778,0.78,100
OpenBMI,24,2,2,EEGNet,0.61,0.5555555555555556,0.61,100
OpenBMI,24,2,2,LiteBN,0.5700000000000001,0.5459824728117411,0.57,100
OpenBMI,24,2,2,LOGIT50,0.61,0.5741893219783819,0.61,100
OpenBMI,25,2,2,EEGNet,0.98,0.98,0.98,100
OpenBMI,25,2,2,LiteBN,0.99,0.9899989998999901,0.99,100
OpenBMI,25,2,2,LOGIT50,0.99,0.9899989998999901,0.99,100
OpenBMI,29,2,2,EEGNet,0.74,0.7383252818035426,0.74,100
OpenBMI,29,2,2,LiteBN,0.8799999999999999,0.8795664391810518,0.88,100
