dataset,method_id,subject_id,balanced_accuracy,accuracy,macro_f1,NLL,Brier,ECE,baseline,baseline_BA,delta_BA,OUTER_TEST_USED
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-19,0.95,0.95,0.9499799919967987,0.13705844649101276,0.03928232712373031,0.04859724761575173,current,0.9450000000000001,0.004999999999999893,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-2,0.7350000000000001,0.735,0.7335009428032684,0.47421444629058557,0.16091132171956501,0.08222062912564553,current,0.7250000000000001,0.010000000000000009,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-21,0.8500000000000001,0.85,0.849624060150376,0.29944336815807565,0.0964582365474473,0.08166067540805784,current,0.8600000000000001,-0.010000000000000009,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-22,0.76,0.76,0.7599039615846338,0.487025845094958,0.1594971225887416,0.06512469676746811,current,0.75,0.010000000000000009,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-23,0.975,0.975,0.9749993749843746,0.0752880680249319,0.018610126999517758,0.04957999762661391,current,0.99,-0.015000000000000013,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-24,0.9741161616161617,0.9743589743589743,0.9743346758272131,0.12363647823523977,0.032924784082663916,0.06262962577290195,current,0.9433396464646464,0.03077651515151525,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-25,0.99,0.99,0.9899989998999901,0.04691129327562784,0.00957966084566618,0.035879735238387125,current,0.98,0.010000000000000009,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-26,0.6699999999999999,0.67,0.6694711538461539,0.6174680378638251,0.21364519185127817,0.12658647069639392,current,0.73,-0.06000000000000005,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-27,0.595,0.595,0.5772332263368042,0.6591070488865839,0.23366423997158228,0.10033694713181143,current,0.6699999999999999,-0.07499999999999996,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-28,0.725,0.725,0.724938111074992,0.5322559245521074,0.18804767824693364,0.1704567300265201,current,0.66,0.06499999999999995,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-29,0.8999999999999999,0.9,0.899507587177168,0.32080573171658494,0.08425306644797416,0.07311281797084895,current,0.915,-0.015000000000000124,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-3,0.9,0.9,0.8999099189270343,0.30664034530717466,0.08965474700110118,0.07729726903811888,current,0.88,0.020000000000000018,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-30,0.895,0.895,0.894681411269089,0.32952072538696664,0.09114367872774194,0.06633342256923078,current,0.875,0.020000000000000018,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-31,0.595,0.595,0.5863019995403356,0.6818708782280518,0.24062061742998353,0.1564810739009032,current,0.585,0.010000000000000009,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-32,0.675,0.675,0.6647324306898775,0.5785254739278711,0.19584074283715716,0.10623329643070219,current,0.62,0.05500000000000005,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-33,0.97,0.97,0.97,0.1018418828624857,0.026001909641985427,0.05114326346283944,current,0.97,0.0,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-34,0.595,0.595,0.5904850982077403,0.7279674137235332,0.26125727541454813,0.10752901180327967,current,0.575,0.020000000000000018,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-35,0.9299999999999999,0.93,0.9299719887955182,0.16675709856078322,0.04941158725308559,0.03125991239637584,current,0.9299999999999999,0.0,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-36,0.98,0.98,0.9799979997999799,0.0801418329703266,0.0162894441237961,0.05603085684571567,current,0.98,0.0,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-37,0.865,0.865,0.8640175266299011,0.3727629216982525,0.11531707094198956,0.10963335777429144,current,0.845,0.020000000000000018,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-38,0.49,0.49,0.47980416156670747,0.7174556569961689,0.26235981093633093,0.13060565745602024,current,0.515,-0.025000000000000022,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-41,0.89,0.89,0.8899559823929573,0.22346509882346807,0.07070503353692778,0.05517172437658905,current,0.89,0.0,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_LOCAL_SESSION_LOGISTIC,sub-42,0.67,0.67,0.66996699669967,0.5642795942657329,0.19719748077951452,0.13055357790835756,current,0.69,-0.019999999999999907,False
