expert,subject_id,configuration,candidate_order,history_cv_BA,history_cv_worst_session_BA,history_cv_NLL,selected,target_sessions_used,target_S3_labels_used_for_fit,OUTER_TEST_USED
EEGNet_STABLE,sub-24,"{'family': 'logistic', 'C': 0.001}",0,0.9297979797979798,0.9145959595959596,0.510345831183239,True,"S1,S2",False,False
EEGNet_STABLE,sub-24,"{'family': 'logistic', 'C': 0.01}",1,0.9247727272727273,0.9045454545454545,0.27117926849247587,False,"S1,S2",False,False
EEGNet_STABLE,sub-24,"{'family': 'logistic', 'C': 0.1}",2,0.9273232323232323,0.9146464646464647,0.20216166663256907,False,"S1,S2",False,False
EEGNet_STABLE,sub-24,"{'family': 'logistic', 'C': 1.0}",3,0.9098989898989899,0.8947979797979797,0.25955313477201103,False,"S1,S2",False,False
EEGNet_STABLE,sub-25,"{'family': 'logistic', 'C': 0.001}",0,0.9125,0.865,0.4723476706604521,False,"S1,S2",False,False
EEGNet_STABLE,sub-25,"{'family': 'logistic', 'C': 0.01}",1,0.9175,0.875,0.2539901686047637,True,"S1,S2",False,False
EEGNet_STABLE,sub-25,"{'family': 'logistic', 'C': 0.1}",2,0.915,0.865,0.187919039974268,False,"S1,S2",False,False
EEGNet_STABLE,sub-25,"{'family': 'logistic', 'C': 1.0}",3,0.9099999999999999,0.87,0.22937489745147344,False,"S1,S2",False,False
EEGNet_STABLE,sub-26,"{'family': 'logistic', 'C': 0.001}",0,0.837020202020202,0.819040404040404,0.5534007135505192,False,"S1,S2",False,False
EEGNet_STABLE,sub-26,"{'family': 'logistic', 'C': 0.01}",1,0.8470454545454545,0.8290909090909091,0.38032036562748084,False,"S1,S2",False,False
EEGNet_STABLE,sub-26,"{'family': 'logistic', 'C': 0.1}",2,0.8571212121212121,0.8342424242424242,0.36909687335630725,True,"S1,S2",False,False
EEGNet_STABLE,sub-26,"{'family': 'logistic', 'C': 1.0}",3,0.8395959595959597,0.8091919191919192,0.50662693265173,False,"S1,S2",False,False
EEGNet_STABLE,sub-27,"{'family': 'logistic', 'C': 0.001}",0,0.475,0.455,0.6965374319132325,True,"S1,S2",False,False
EEGNet_STABLE,sub-27,"{'family': 'logistic', 'C': 0.01}",1,0.46499999999999997,0.46499999999999997,0.7310942478111457,False,"S1,S2",False,False
EEGNet_STABLE,sub-27,"{'family': 'logistic', 'C': 0.1}",2,0.43000000000000005,0.4,0.8203046505378961,False,"S1,S2",False,False
EEGNet_STABLE,sub-27,"{'family': 'logistic', 'C': 1.0}",3,0.4425,0.425,0.9226167451821984,False,"S1,S2",False,False
EEGNet_STABLE,sub-28,"{'family': 'logistic', 'C': 0.001}",0,0.835,0.815,0.560665309443144,False,"S1,S2",False,False
